signal	unit	muliplier	addition	Round	
Osmolality	MOSM/L	1	0	1	
Osmolality	mOsm/kg	1	0	1	
OtherFluids_Lymphocytes%	%	1	0	1	
OtherFluids_Macrophage%	%	1	0	1	
OtherFluids_Monocytes%	%	1	0	1	
OtherFluids_Polys%	%	1	0	1	
OtherFluids_RBC	#/uL	1	0	1	
OtherFluids_WBC	#/uL	1	0	1	
Oxygen_Over_InspiredGas	None	1	0	10	
Oxygen_Over_InspiredGas	%	1	0	10	
PCO2	None	1	0	1	
PCO2	MM HG	1	0	1	
PCO2	mm Hg	1	0	1	
PEEP_Set	None	1	0	1	
PEEP_Set	cmH2O	1	0	1	
pH	None	1	0	0.01	
pH	units	1	0	0.01	
pH	UNITS	1	0	0.01	
PIP	None	1	0	1	
PIP	cmH20	1	0	1	
PLEURAL_Albumin	g/dL	1	0	0.1	
PLEURAL_Glucose	mg/dL	1	0	1	
PLEURAL_Lactate	IU/L	1	0	1	
PLEURAL_Lymphocytes%	%	1	0	1	
PLEURAL_Macrophage%	%	1	0	1	
PLEURAL_Monocytes%	%	1	0	1	
PLEURAL_Polys%	%	1	0	1	
PLEURAL_RBC	#/uL	1	0	1	
PLEURAL_Protein_Total	g/dL	1	0	0.1	
PLEURAL_WBC	#/uL	1	0	1	
PO2	None	1	0	1	
PO2	MM HG	1	0	1	
PO2	mm Hg	1	0	1	
PSA	ug/L	1	0	0.1	
PSA	ng/mL	1	0	0.1	
PT	None	1	0	0.1	
PT	sec	1	0	0.1	
PT	SECONDS	1	0	0.1	
Parathyrin	pg/mL	1	0	1	
Peak_Insp_Pressure	cmH2O	1	0	1	
Peak_Insp_Pressure	None	1	0	1	
Phenobarbital	ug/mL	1	0	1	
Phenytoin	ug/mL	1	0	0.1	
Phosphate	None	1	0	0.1	
Phosphate	mg/dL	1	0	0.1	
Phosphate	mEq/L	1	0	0.1	
Plateau_Pressure	cmH2O	1	0	1	
Plateau_Pressure	None	1	0	1	
Platelets	None	1	0	1	
Platelets	K/uL	1	0	1	
Potassium	None	1	0	0.1	
Potassium	mEq/L	1	0	0.1	
Promyelocytes%	%	1	0	1	
Pulmonary_AP_Dia	mmHg	1	0	1	
Pulmonary_AP_Mean	None	1	0	1	
Pulmonary_AP_Mean	mmHg	1	0	1	
Pulmonary_AP_Sys	None	1	0	1	
Pulmonary_AP_Sys	mmHg	1	0	1	
RBC	None	1	0	0.01	
RBC	/mic l	1	0	0.01	
RBC	m/uL	1	0	0.01	
RDW	None	1	0	0.1	
RDW	%	1	0	0.1	
Req_O2	None	1	0	1	
Resp_Rate	insp/min	1	0	1	
Resp_Rate	None	1	0	1	
Resp_Rate	BPM	1	0	1	
Resp_Rate	Breath	1	0	1	
Resp_Rate_Set	None	1	0	1	
Resp_Rate_Set	BPM	1	0	1	
Resp_Rate_Set	insp/min	1	0	1	
Resp_Rate_Spont	None	1	0	1	
Resp_Rate_Spont	BPM	1	0	1	
Resp_Rate_Spont	insp/min	1	0	1	
Resp_Rate_Total	insp/min	1	0	1	
Resp_Rate_Total	None	1	0	1	
Resp_Rate_Total	BPM	1	0	1	
Reticulocytes%	%	1	0	0.1	
SaO2	None	1	0	1	
SaO2	%	1	0	1	
Salicylate	mg/dL	1	0	1	
Sirolimus	ng/mL	1	0	0.1	
Na	None	1	0	1	
Na	mEq/L	1	0	1	
SVO2	%	1	0	1	
SVO2	None	1	0	1	
T3	NG/DL	1	0	1	
T3	ng/dL	1	0	1	
T4	ug/dL	12.872	0	0.1	0.1
TSH	None	1	0	0.1	
TSH	uIU/mL	1	0	0.1	
TSH	uU/ML	1	0	0.1	
Tacrolimus	ng/mL	1	0	0.1	
Tacrolimus	None	1	0	0.1	
Temperature	None	1	0	0.1	
Temperature	?F	0.5555	-17.777	0.1	
Temperature	Deg. C	1	0	0.1	
Temperature	?C	1	0	0.1	
Tidal_Volume_Spont	None	1	0	1	
Tidal_Volume_Obser	None	1	0	1	
Tidal_Volume_Obser	ml/B	1	0	1	
Tidal_Volume_Obser	mL	1	0	1	
Tidal_Volume_Set	None	1	0	1	
Tidal_Volume_Set	ml/B	1	0	1	
Tidal_Volume_Set	mL	1	0	1	
Tidal_Volume_Spont	ml/B	1	0	1	
Tidal_Volume_Spont	mL	1	0	1	
Tobramycin	ug/mL	1	0	1	
Total_Fluids	None	1	0	1	
Protein_Total	g/dL	1	0	0.1	
Transferrin	mg/dL	1	0	1	
Triglycerides	None	1	0	1	
Triglycerides	mg/dL	1	0	1	
Triglycerides	MG/DL	1	0	1	
TroponinI	None	1	0	0.1	
TroponinI	ng/ml	1	0	0.1	
TroponinT	ng/ml	1	0	0.01	
TroponinT	ng/mL	1	0	0.01	
Uric_Acid	None	1	0	0.1	
Uric_Acid	mg/dL	1	0	0.1	
UrineAlbumin	mg/dL	1	0	0.1	
UrineAlbumin_over_Creatinine	None	1	0	1	
UrineAlbumin_over_Creatinine	mg/g	1	0	1	
Urine_Chloride	None	1	0	1	
Urine_Chloride	mEq/L	1	0	1	
Urine_Creatinine	None	1	0	1	
Urine_Creatinine	mg/dL	1	0	1	
Urine_Epithelial_Cells	None	1	0	1	
Urine_Epithelial_Cells	#/hpf	1	0	1	
Urine_Glucose	None	1	0	1	
Urine_Glucose	mg/dL	1	0	1	
Urine_Granular_Casts	#/lpf	1	0	1	
Urine_Hyaline_Casts	#/lpf	1	0	1	
Urine_Ketone	None	1	0	1	
Urine_Ketone	mg/dL	1	0	1	
Urine_Osmolality	None	1	0	1	
Urine_Osmolality	mOsm/kg	1	0	1	
Urine_PH	None	1	0	1	
Urine_PH	units	1	0	1	
Urine_Phosphate	mg/dL	1	0	0.1	
Urine_Potassium	None	1	0	1	
Urine_Potassium	mEq/L	1	0	1	
Urine_Total_Protein	None	1	0	1	
Urine_Total_Protein	mg/dL	1	0	1	
Urine_Protein_Over_Creatinine	Ratio	1	0	0.1	
Urine_RBC	None	1	0	1	
Urine_RBC	#/hpf	1	0	1	
Urine_Sodium	None	1	0	1	
Urine_Sodium	mEq/L	1	0	1	
Urine_Spec_Gravity	None	1	0	1	
Urine_Spec_Gravity	 	1	0	1	
Urine_Transitional_Cells	#/hpf	1	0	1	
Urine_UreaN	mg/dL	1	0	1	
Urine_Urobilinogen	None	1	0	0.1	
Urine_Urobilinogen	mg/dL	1	0	0.1	
Urine_Urobilinogen	EU/dL	1	0	0.1	
Urine_WBC	None	1	0	1	
Urine_WBC	#/hpf	1	0	1	
Valproate_Acid	ug/mL	1	0	1	
Vancomycin	None	1	0	0.1	
Vancomycin	ug/mL	1	0	0.1	
WBC	None	1	0	0.1	
WBC	K/uL	1	0	0.1	
Weight	kg	1	0	1	
Weight	None	1	0	1	
aPTT	None	1	0	1	
aPTT	sec	1	0	1	
freeCalcium	None	1	0	0.01	
freeCalcium	mmol/L	1	0	0.01	
NTproBNP	None	1	0	1	
NTproBNP	pg/mL	1	0	1	
Macrophage%	%	1	0	1	
Mesothelial%	%	1	0	1	
PAP_Sys	None	1	0	1	
PAP_Sys	mmHg	1	0	1	
PAP_Mean	None	1	0	1	
PAP_Mean	mmHg	1	0	1	
PAP_Dia	mmHg	1	0	1	
BloodLoss	ml	1	0	0.1
BloodLoss	None	1	0	0.1
