data_file	code	ahd_name	column_num	column_description	type
TEST	1001400303	Urine dipstick for glucose	data4	QUALIFIER	string
TEST	1001400302	Urine Dipstick for Nitrites	data4	QUALIFIER	string
TEST	1001400300	HLA Tissue Typing	data4	QUALIFIER	string
TEST	1001400111	Lower arm X-ray	data4	QUALIFIER	string
TEST	1001400320	Ear Swab	data4	QUALIFIER	string
TEST	1001400279	Microscopy for malarial parasites	data4	QUALIFIER	string
TEST	1001400278	Other autoantibodies	data4	QUALIFIER	string
TEST	1001400328	Pulse oximetry	data4	QUALIFIER	string
TEST	1001400116	Eye swab	data4	QUALIFIER	string
TEST	1001400117	Sinus X-ray	data4	QUALIFIER	string
TEST	1001400114	Urine test	data4	QUALIFIER	string
TEST	1001400115	Shoulder X-ray	data4	QUALIFIER	string
TEST	1001400112	Urea and Electrolytes	data4	QUALIFIER	string
TEST	1001400113	Ribs X-ray	data4	QUALIFIER	string
TEST	1001400186	Blood gases	data4	QUALIFIER	string
TEST	1001400188	Chemical function tests	data4	QUALIFIER	string
TEST	1001400237	Histology	data4	QUALIFIER	string
TEST	1001400235	Liver enzymes	data4	QUALIFIER	string
TEST	1001400234	Gonadotrophin	data4	QUALIFIER	string
TEST	1001400233	Immuno-electrophoresis	data4	QUALIFIER	string
TEST	1001400330	Hepatitis B Antibody	data4	QUALIFIER	string
TEST	1001400241	General ultra sound scan	data4	QUALIFIER	string
TEST	1001400069	Blood lipids	data4	QUALIFIER	string
TEST	1001400065	Barium meal	data4	QUALIFIER	string
TEST	1001400062	B12 & Folate level	data4	QUALIFIER	string
TEST	1001400063	Barium enema	data4	QUALIFIER	string
TEST	1001400143	Anti Nuclear antibodies	data4	QUALIFIER	string
TEST	1001400142	Anti Mitochondrial antibodies	data4	QUALIFIER	string
TEST	1001400145	Blood group antibodies	data4	QUALIFIER	string
TEST	1001400146	Syphilis test	data4	QUALIFIER	string
TEST	1001400149	Viral studies	data4	QUALIFIER	string
TEST	1001400148	Toxicology	data4	QUALIFIER	string
TEST	1001400205	Calculus examination	data4	QUALIFIER	string
TEST	1001400201	Sputum examination	data4	QUALIFIER	string
TEST	1001400109	Pelvis X-ray	data4	QUALIFIER	string
TEST	1001400108	Abdominal ultra-sound	data4	QUALIFIER	string
TEST	1001400105	Knee X-ray	data4	QUALIFIER	string
TEST	1001400104	Stool culture	data4	QUALIFIER	string
TEST	1001400107	Neck X-ray	data4	QUALIFIER	string
TEST	1001400106	Thyroid function	data4	QUALIFIER	string
TEST	1001400101	Hip X-ray	data4	QUALIFIER	string
TEST	1001400100	Male sex hormone profile	data4	QUALIFIER	string
TEST	1001400103	Upper arm X-ray	data4	QUALIFIER	string
TEST	1001400102	Sputum culture	data4	QUALIFIER	string
TEST	1001400299	Microscopy, culture & sensitivities	data4	QUALIFIER	string
TEST	1001400325	Dexa scan/Bone mineral density	data4	QUALIFIER	string
TEST	1001400088	Mid-stream specimen of urine	data4	QUALIFIER	string
TEST	1001400089	Ankle X-ray	data4	QUALIFIER	string
TEST	1001400084	Glucose Tolerance test	data4	QUALIFIER	string
TEST	1001400085	Iron studies	data4	QUALIFIER	string
TEST	1001400086	Mammogram	data4	QUALIFIER	string
TEST	1001400087	Other Diagnostic Imaging	data4	QUALIFIER	string
TEST	1001400081	Full blood count	data4	QUALIFIER	string
TEST	1001400083	Glandular Fever Test	data4	QUALIFIER	string
TEST	1001400259	Postural drop in Blood Pressure	data4	QUALIFIER	string
TEST	1001400258	Skin Prick Testing	data4	QUALIFIER	string
TEST	1001400253	Ambulatory blood pressure	data4	QUALIFIER	string
TEST	1001400252	Abdominal Xray	data4	QUALIFIER	string
TEST	1001400255	Bone Density Studies	data4	QUALIFIER	string
TEST	1001400254	Doppler Ultrasound Peripheral Pulse	data4	QUALIFIER	string
TEST	1001400257	Nerve Conduction Studies	data4	QUALIFIER	string
TEST	1001400256	Echocardiogram	data4	QUALIFIER	string
TEST	1001400079	Endoscopy	data4	QUALIFIER	string
TEST	1001400078	Electrocardiogram	data4	QUALIFIER	string
TEST	1001400075	Liver Function tests	data4	QUALIFIER	string
TEST	1001400074	Intravenous Pyelogram	data4	QUALIFIER	string
TEST	1001400077	Drug levels	data4	QUALIFIER	string
TEST	1001400076	Clotting tests	data4	QUALIFIER	string
TEST	1001400071	Bone studies	data4	QUALIFIER	string
TEST	1001400170	Sigmoidoscopy	data4	QUALIFIER	string
TEST	1001400171	Nuclear medicine	data4	QUALIFIER	string
TEST	1001400172	CAT scan	data4	QUALIFIER	string
TEST	1001400178	Differential white cell count	data4	QUALIFIER	string
TEST	1001400179	Coronary angiogram	data4	QUALIFIER	string
TEST	1001400289	Other Bacteriology Tests	data4	QUALIFIER	string
TEST	1001400282	Hepatitis A Test	data4	QUALIFIER	string
TEST	1001400283	Urine Cytology Test	data4	QUALIFIER	string
TEST	1001400280	Other Immunology Tests	data4	QUALIFIER	string
TEST	1001400214	Haemoglobin variants	data4	QUALIFIER	string
TEST	1001400217	RBC red blood cell size	data4	QUALIFIER	string
TEST	1001400218	SH-antigen (hepatitis B) test	data4	QUALIFIER	string
TEST	1001400130	Vaginal swab	data4	QUALIFIER	string
TEST	1001400131	Wound swab	data4	QUALIFIER	string
TEST	1001400134	Rubella Test	data4	QUALIFIER	string
TEST	1001400135	Tubercullin Test	data4	QUALIFIER	string
TEST	1001400315	Biochemical screening tests	data4	QUALIFIER	string
TEST	1001400317	Haematology screening tests	data4	QUALIFIER	string
TEST	1001400318	Immunology screening tests	data4	QUALIFIER	string
TEST	1001400316	Genetic observations	data4	QUALIFIER	string
TEST	1001400093	Elbow X-ray	data4	QUALIFIER	string
TEST	1001400092	Pregnancy test	data4	QUALIFIER	string
TEST	1001400091	Chest X-ray	data4	QUALIFIER	string
TEST	1001400090	Nail clippings	data4	QUALIFIER	string
TEST	1001400097	Foot X-ray	data4	QUALIFIER	string
TEST	1001400096	Serology	data4	QUALIFIER	string
TEST	1001400095	Upper leg X-ray	data4	QUALIFIER	string
TEST	1001400094	Seminal analysis	data4	QUALIFIER	string
TEST	1001400099	Hand X-ray	data4	QUALIFIER	string
TEST	1001400167	Oesophagoscopy	data4	QUALIFIER	string
TEST	1001400166	Bronchoscopy	data4	QUALIFIER	string
TEST	1001400164	MRI scan	data4	QUALIFIER	string
TEST	1001400298	Electroencephalography	data4	QUALIFIER	string
TEST	1001400296	Sickle cell disease screen	data4	QUALIFIER	string
TEST	1001400197	Barium swallow	data4	QUALIFIER	string
TEST	1001400195	Pulmonary function tests	data4	QUALIFIER	string
TEST	1001400192	Cerebro-spinal fluid examination	data4	QUALIFIER	string
TEST	1001400193	ECG ambulatory	data4	QUALIFIER	string
TEST	1001400190	Examination of Faeces	data4	QUALIFIER	string
TEST	1001400191	ECG exercise	data4	QUALIFIER	string
TEST	1001400220	HIV Test	data4	QUALIFIER	string
TEST	1001400225	Infectious titres	data4	QUALIFIER	string
TEST	1001400226	Anti smooth muscle autoantibodies	data4	QUALIFIER	string
TEST	1001400227	Parietal cell autoantibodies	data4	QUALIFIER	string
TEST	1001400118	Cervical swab	data4	QUALIFIER	string
TEST	1001400119	Skull X-ray	data4	QUALIFIER	string
TEST	1001400110	Pelvic ultra-sound	data4	QUALIFIER	string
TEST	1001400122	Nose swab	data4	QUALIFIER	string
TEST	1001400155	Film report	data4	QUALIFIER	string
TEST	1001400182	Lipoprotein electrophesis	data4	QUALIFIER	string
TEST	1001400230	DNA binding autoantibodies	data4	QUALIFIER	string
TEST	1001400073	Chlamydia	data4	QUALIFIER	string
TEST	1001400221	RBC colour/staining	data4	QUALIFIER	string
TEST	1001400098	Female sex hormone profile	data4	QUALIFIER	string
