ndc	atc	description
11822-0417-20	R01BA	Sympathomimetics
11822-0417-20	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0417-20	S01GA	Sympathomimetics used as decongestants
11822-0417-40	C01CA	Adrenergic and dopaminergic agents
11822-0417-40	R01AA	Sympathomimetics, plain
11822-0417-40	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-0417-40	R01BA	Sympathomimetics
11822-0417-40	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0417-40	S01GA	Sympathomimetics used as decongestants
11822-0489-43	R06AA	Aminoalkyl ethers
11822-0592-00	N02BE	Anilides
11822-0592-00	R05DA	Opium alkaloids and derivatives
11822-0592-00	R06AA	Aminoalkyl ethers
11822-0620-40	N02BE	Anilides
11822-0620-50	N02BE	Anilides
11822-0629-14	R06AX	Other antihistamines for systemic use
11822-0635-50	N02BE	Anilides
11822-0635-50	R05DA	Opium alkaloids and derivatives
11822-0635-50	R06AA	Aminoalkyl ethers
11822-0642-30	A01AC	Corticosteroids for local oral treatment
11822-0642-30	A07EA	Corticosteroids acting locally
11822-0642-30	C05AA	Corticosteroids
11822-0642-30	D07AA	Corticosteroids, weak (group I)
11822-0642-30	D07XA	Corticosteroids, weak, other combinations
11822-0642-30	H02AB	Glucocorticoids
11822-0642-30	S01BA	Corticosteroids, plain
11822-0642-30	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-0642-30	S02BA	Corticosteroids
11822-0642-40	D06AX	Other antibiotics for topical use
11822-0642-40	J01XX	Other antibacterials
11822-0642-40	R02AB	Antibiotics
11822-0642-40	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-0642-40	A07AA	Antibiotics
11822-0642-40	B05CA	Antiinfectives
11822-0642-40	J01GB	Other aminoglycosides
11822-0642-40	S01AA	Antibiotics
11822-0642-40	S02AA	Antiinfectives
11822-0642-40	S03AA	Antiinfectives
11822-0642-40	J01XB	Polymyxins
11822-0644-60	A09AA	Enzyme preparations
11822-0644-70	A06AG	Enemas
11822-0644-70	A06AX	Other drugs for constipation
11822-0650-30	D01AE	Other antifungals for topical use
11822-0650-30	S01BC	Antiinflammatory agents, non-steroids
11822-0652-00	A06AA	Softeners, emollients
11822-0654-60	R05CA	Expectorants
11822-0654-70	R05CA	Expectorants
11822-0655-50	A07DA	Antipropulsives
11822-0671-80	R06AX	Other antihistamines for systemic use
11822-0740-40	G02CC	Antiinflammatory products for vaginal administration
11822-0740-40	M01AE	Propionic acid derivatives
11822-0740-40	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0740-50	N02BE	Anilides
11822-0740-60	G02CC	Antiinflammatory products for vaginal administration
11822-0740-60	M01AE	Propionic acid derivatives
11822-0740-60	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-0740-80	A06AB	Contact laxatives
11822-0800-20	D01AE	Other antifungals for topical use
11822-0800-20	D01BA	Antifungals for systemic use
11822-0833-30	R05DA	Opium alkaloids and derivatives
11822-0833-30	R05CA	Expectorants
11822-0833-30	C01CA	Adrenergic and dopaminergic agents
11822-0833-30	R01AA	Sympathomimetics, plain
11822-0833-30	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-0833-30	R01BA	Sympathomimetics
11822-0833-30	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0833-30	S01GA	Sympathomimetics used as decongestants
11822-0833-50	N02BE	Anilides
11822-0833-50	C01CA	Adrenergic and dopaminergic agents
11822-0833-50	R01AA	Sympathomimetics, plain
11822-0833-50	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-0833-50	R01BA	Sympathomimetics
11822-0833-50	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-0833-50	S01GA	Sympathomimetics used as decongestants
11822-0971-60	A11GA	Ascorbic acid (vitamin C), plain
11822-0971-60	G01AD	Organic acids
11822-0971-60	S01XA	Other ophthalmologicals
11822-0976-80	A02BA	H2-receptor antagonists
11822-1109-90	B03AA	Iron bivalent, oral preparations
11822-1109-90	B03AD	Iron in combination with folic acid
11822-1158-50	R06AX	Other antihistamines for systemic use
11822-1158-50	S01GX	Other antiallergics
11822-1173-70	R05DA	Opium alkaloids and derivatives
11822-1173-70	R05CA	Expectorants
11822-1195-80	C01EB	Other cardiac preparations
11822-1234-10	A09AA	Enzyme preparations
11822-1255-60	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-1255-60	A07AC	Imidazole derivatives
11822-1255-60	D01AC	Imidazole and triazole derivatives
11822-1255-60	G01AF	Imidazole derivatives
11822-1255-60	J02AB	Imidazole derivatives
11822-1255-60	S02AA	Antiinfectives
11822-1280-80	A06AC	Bulk-forming laxatives
11822-1457-60	R01AA	Sympathomimetics, plain
11822-1457-60	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-1457-60	S01GA	Sympathomimetics used as decongestants
11822-1477-70	D04AA	Antihistamines for topical use
11822-1477-70	R06AA	Aminoalkyl ethers
11822-1545-00	C01EB	Other cardiac preparations
11822-1545-00	G02CC	Antiinflammatory products for vaginal administration
11822-1545-00	M01AE	Propionic acid derivatives
11822-1545-00	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-1545-00	R02AX	Other throat preparations
11822-1545-10	C01EB	Other cardiac preparations
11822-1545-10	G02CC	Antiinflammatory products for vaginal administration
11822-1545-10	M01AE	Propionic acid derivatives
11822-1545-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-1545-10	R02AX	Other throat preparations
11822-1545-20	C01EB	Other cardiac preparations
11822-1545-20	G02CC	Antiinflammatory products for vaginal administration
11822-1545-20	M01AE	Propionic acid derivatives
11822-1545-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-1545-20	R02AX	Other throat preparations
11822-1545-30	N02BE	Anilides
11822-1545-40	N02BE	Anilides
11822-1545-50	N02BE	Anilides
11822-1651-20	A11HA	Other plain vitamin preparations
11822-1651-60	A11GA	Ascorbic acid (vitamin C), plain
11822-1651-60	G01AD	Organic acids
11822-1651-60	S01XA	Other ophthalmologicals
11822-1652-30	A06AB	Contact laxatives
11822-1951-50	R06AX	Other antihistamines for systemic use
11822-1951-50	S01GX	Other antiallergics
11822-2225-90	N07BA	Drugs used in nicotine dependence
11822-2280-90	N05CH	Melatonin receptor agonists
11822-2281-00	B03BB	Folic acid and derivatives
11822-2281-00	V04CX	Other diagnostic agents
11822-2399-90	C01EB	Other cardiac preparations
11822-2399-90	G02CC	Antiinflammatory products for vaginal administration
11822-2399-90	M01AE	Propionic acid derivatives
11822-2399-90	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-2399-90	R02AX	Other throat preparations
11822-2407-20	A02BA	H2-receptor antagonists
11822-2443-90	D06AX	Other antibiotics for topical use
11822-2443-90	J01XX	Other antibacterials
11822-2443-90	R02AB	Antibiotics
11822-2443-90	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-2443-90	A07AA	Antibiotics
11822-2443-90	B05CA	Antiinfectives
11822-2443-90	J01GB	Other aminoglycosides
11822-2443-90	S01AA	Antibiotics
11822-2443-90	S02AA	Antiinfectives
11822-2443-90	S03AA	Antiinfectives
11822-2443-90	J01XB	Polymyxins
11822-2534-70	N07BA	Drugs used in nicotine dependence
11822-2534-80	N07BA	Drugs used in nicotine dependence
11822-2537-10	B05CX	Other irrigating solutions
11822-2537-10	V04CA	Tests for diabetes
11822-2537-10	V06DC	Carbohydrates
11822-2537-20	D08AX	Other antiseptics and disinfectants
11822-2566-80	R02AA	Antiseptics
11822-2566-80	D08AJ	Quaternary ammonium compounds
11822-2654-10	A06AC	Bulk-forming laxatives
11822-2840-70	A11HA	Other plain vitamin preparations
11822-2840-80	A11HA	Other plain vitamin preparations
11822-2900-30	D01AE	Other antifungals for topical use
11822-2900-30	D01BA	Antifungals for systemic use
11822-2900-40	D01AE	Other antifungals for topical use
11822-2900-40	D01BA	Antifungals for systemic use
11822-3002-30	N02BE	Anilides
11822-3002-40	A01AD	Other agents for local oral treatment
11822-3002-40	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3002-40	N02BA	Salicylic acid and derivatives
11822-3005-90	A11GA	Ascorbic acid (vitamin C), plain
11822-3005-90	G01AD	Organic acids
11822-3005-90	S01XA	Other ophthalmologicals
11822-3009-30	A06AB	Contact laxatives
11822-3009-30	A06AA	Softeners, emollients
11822-3009-40	A02AC	Calcium compounds
11822-3009-40	A12AA	Calcium
11822-3009-50	A02AC	Calcium compounds
11822-3009-50	A12AA	Calcium
11822-3009-60	A02AC	Calcium compounds
11822-3009-60	A12AA	Calcium
11822-3019-20	N02BE	Anilides
11822-3025-10	C01EB	Other cardiac preparations
11822-3025-10	G02CC	Antiinflammatory products for vaginal administration
11822-3025-10	M01AE	Propionic acid derivatives
11822-3025-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3025-10	R02AX	Other throat preparations
11822-3039-80	R06AB	Substituted alkylamines
11822-3039-80	R01BA	Sympathomimetics
11822-3039-90	D04AA	Antihistamines for topical use
11822-3039-90	R06AA	Aminoalkyl ethers
11822-3040-00	R05DA	Opium alkaloids and derivatives
11822-3040-00	R05CA	Expectorants
11822-3040-50	D04AA	Antihistamines for topical use
11822-3040-50	R06AA	Aminoalkyl ethers
11822-3040-90	D04AA	Antihistamines for topical use
11822-3040-90	R06AA	Aminoalkyl ethers
11822-3047-90	A02AC	Calcium compounds
11822-3047-90	A12AA	Calcium
11822-3047-90	A11CC	Vitamin D and analogues
11822-3052-50	A02BC	Proton pump inhibitors
11822-3058-00	D04AA	Antihistamines for topical use
11822-3058-00	R06AA	Aminoalkyl ethers
11822-3065-00	A06AB	Contact laxatives
11822-3065-00	A06AA	Softeners, emollients
11822-3078-20	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3078-20	D01AC	Imidazole and triazole derivatives
11822-3078-20	G01AF	Imidazole derivatives
11822-3081-00	A02AA	Magnesium compounds
11822-3081-00	G04BX	Other urologicals
11822-3081-60	A06AC	Bulk-forming laxatives
11822-3096-80	N02BE	Anilides
11822-3108-10	C05BB	Sclerosing agents for local injection
11822-3108-10	D08AE	Phenol and derivatives
11822-3108-10	N01BX	Other local anesthetics
11822-3108-10	R02AA	Antiseptics
11822-3109-80	C05BB	Sclerosing agents for local injection
11822-3109-80	D08AE	Phenol and derivatives
11822-3109-80	N01BX	Other local anesthetics
11822-3109-80	R02AA	Antiseptics
11822-3117-50	P03AX	Other ectoparasiticides, incl. scabicides
11822-3126-40	D11AX	Other dermatologicals
11822-3127-60	R06AX	Other antihistamines for systemic use
11822-3127-70	R06AX	Other antihistamines for systemic use
11822-3130-50	A06AC	Bulk-forming laxatives
11822-3137-80	D06AX	Other antibiotics for topical use
11822-3137-80	J01XX	Other antibacterials
11822-3137-80	R02AB	Antibiotics
11822-3142-70	A01AC	Corticosteroids for local oral treatment
11822-3142-70	A07EA	Corticosteroids acting locally
11822-3142-70	C05AA	Corticosteroids
11822-3142-70	D07AA	Corticosteroids, weak (group I)
11822-3142-70	D07XA	Corticosteroids, weak, other combinations
11822-3142-70	H02AB	Glucocorticoids
11822-3142-70	S01BA	Corticosteroids, plain
11822-3142-70	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-3142-70	S02BA	Corticosteroids
11822-3143-20	A01AC	Corticosteroids for local oral treatment
11822-3143-20	A07EA	Corticosteroids acting locally
11822-3143-20	C05AA	Corticosteroids
11822-3143-20	D07AA	Corticosteroids, weak (group I)
11822-3143-20	D07XA	Corticosteroids, weak, other combinations
11822-3143-20	H02AB	Glucocorticoids
11822-3143-20	S01BA	Corticosteroids, plain
11822-3143-20	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-3143-20	S02BA	Corticosteroids
11822-3148-90	D06AX	Other antibiotics for topical use
11822-3148-90	J01XX	Other antibacterials
11822-3148-90	R02AB	Antibiotics
11822-3148-90	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3148-90	A07AA	Antibiotics
11822-3148-90	B05CA	Antiinfectives
11822-3148-90	J01GB	Other aminoglycosides
11822-3148-90	S01AA	Antibiotics
11822-3148-90	S02AA	Antiinfectives
11822-3148-90	S03AA	Antiinfectives
11822-3148-90	J01XB	Polymyxins
11822-3152-30	R06AX	Other antihistamines for systemic use
11822-3164-50	R06AX	Other antihistamines for systemic use
11822-3165-00	A06AA	Softeners, emollients
11822-3169-10	A01AD	Other agents for local oral treatment
11822-3169-10	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3169-10	N02BA	Salicylic acid and derivatives
11822-3169-20	A01AD	Other agents for local oral treatment
11822-3169-20	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3169-20	N02BA	Salicylic acid and derivatives
11822-3169-30	G02CC	Antiinflammatory products for vaginal administration
11822-3169-30	M01AE	Propionic acid derivatives
11822-3169-30	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3169-40	C01EB	Other cardiac preparations
11822-3169-40	G02CC	Antiinflammatory products for vaginal administration
11822-3169-40	M01AE	Propionic acid derivatives
11822-3169-40	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3169-40	R02AX	Other throat preparations
11822-3169-80	R06AE	Piperazine derivatives
11822-3170-00	C01EB	Other cardiac preparations
11822-3170-00	G02CC	Antiinflammatory products for vaginal administration
11822-3170-00	M01AE	Propionic acid derivatives
11822-3170-00	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3170-00	R02AX	Other throat preparations
11822-3170-60	N02BE	Anilides
11822-3172-00	R05DA	Opium alkaloids and derivatives
11822-3172-90	D04AA	Antihistamines for topical use
11822-3172-90	R06AA	Aminoalkyl ethers
11822-3173-50	C01EB	Other cardiac preparations
11822-3173-50	G02CC	Antiinflammatory products for vaginal administration
11822-3173-50	M01AE	Propionic acid derivatives
11822-3173-50	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3173-50	R02AX	Other throat preparations
11822-3173-60	C01EB	Other cardiac preparations
11822-3173-60	G02CC	Antiinflammatory products for vaginal administration
11822-3173-60	M01AE	Propionic acid derivatives
11822-3173-60	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3173-60	R02AX	Other throat preparations
11822-3173-70	R05DA	Opium alkaloids and derivatives
11822-3173-70	R05CA	Expectorants
11822-3174-50	R01AA	Sympathomimetics, plain
11822-3174-50	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-3174-50	S01GA	Sympathomimetics used as decongestants
11822-3175-00	A01AD	Other agents for local oral treatment
11822-3175-00	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3175-00	N02BA	Salicylic acid and derivatives
11822-3175-10	A01AD	Other agents for local oral treatment
11822-3175-10	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3175-10	N02BA	Salicylic acid and derivatives
11822-3175-40	A01AD	Other agents for local oral treatment
11822-3175-40	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3175-40	N02BA	Salicylic acid and derivatives
11822-3176-40	N02BE	Anilides
11822-3180-00	N02BE	Anilides
11822-3182-30	R05DA	Opium alkaloids and derivatives
11822-3182-30	R05CA	Expectorants
11822-3183-00	A06AC	Bulk-forming laxatives
11822-3184-60	A07DA	Antipropulsives
11822-3185-50	A07DA	Antipropulsives
11822-3192-30	N02BE	Anilides
11822-3196-80	R06AX	Other antihistamines for systemic use
11822-3197-50	R06AB	Substituted alkylamines
11822-3198-60	R01BA	Sympathomimetics
11822-3201-00	R01AA	Sympathomimetics, plain
11822-3201-00	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-3201-00	S01GA	Sympathomimetics used as decongestants
11822-3201-50	R06AX	Other antihistamines for systemic use
11822-3203-00	A12CA	Sodium
11822-3203-00	B05CB	Salt solutions
11822-3203-00	B05XA	Electrolyte solutions
11822-3209-20	N07BA	Drugs used in nicotine dependence
11822-3209-30	N07BA	Drugs used in nicotine dependence
11822-3211-30	N07BA	Drugs used in nicotine dependence
11822-3211-40	N07BA	Drugs used in nicotine dependence
11822-3218-00	R01AA	Sympathomimetics, plain
11822-3218-00	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-3218-00	S01GA	Sympathomimetics used as decongestants
11822-3220-50	C05AD	Local anesthetics
11822-3220-50	D04AB	Anesthetics for topical use
11822-3220-50	N01BA	Esters of aminobenzoic acid
11822-3220-50	R02AD	Anesthetics, local
11822-3227-00	R06AA	Aminoalkyl ethers
11822-3233-70	D01AE	Other antifungals for topical use
11822-3233-70	S01BC	Antiinflammatory agents, non-steroids
11822-3239-00	N07BA	Drugs used in nicotine dependence
11822-3239-10	N07BA	Drugs used in nicotine dependence
11822-3239-20	D04AA	Antihistamines for topical use
11822-3239-20	R06AA	Aminoalkyl ethers
11822-3253-50	R05DA	Opium alkaloids and derivatives
11822-3253-50	R05CA	Expectorants
11822-3281-10	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3281-10	D01AC	Imidazole and triazole derivatives
11822-3281-10	G01AF	Imidazole derivatives
11822-3296-00	B05BC	Solutions producing osmotic diuresis
11822-3296-00	D02AE	Carbamide products
11822-3296-00	D01AE	Other antifungals for topical use
11822-3296-00	S01BC	Antiinflammatory agents, non-steroids
11822-3297-60	A02AB	Aluminium compounds
11822-3297-60	A02AA	Magnesium compounds
11822-3297-60	G04BX	Other urologicals
11822-3300-50	A02AC	Calcium compounds
11822-3300-50	A12AA	Calcium
11822-3300-50	A11CC	Vitamin D and analogues
11822-3302-70	N02BE	Anilides
11822-3304-10	N02BE	Anilides
11822-3306-70	A06AA	Softeners, emollients
11822-3311-00	A06AB	Contact laxatives
11822-3311-10	R05CA	Expectorants
11822-3313-70	A07DA	Antipropulsives
11822-3315-20	R06AX	Other antihistamines for systemic use
11822-3315-40	R06AX	Other antihistamines for systemic use
11822-3315-40	R01BA	Sympathomimetics
11822-3315-50	R06AX	Other antihistamines for systemic use
11822-3315-50	R01BA	Sympathomimetics
11822-3319-10	A06AA	Softeners, emollients
11822-3320-50	D04AA	Antihistamines for topical use
11822-3320-50	R06AA	Aminoalkyl ethers
11822-3320-90	D04AA	Antihistamines for topical use
11822-3320-90	R06AA	Aminoalkyl ethers
11822-3321-50	A06AG	Enemas
11822-3321-50	A06AX	Other drugs for constipation
11822-3321-60	A06AG	Enemas
11822-3321-60	A06AX	Other drugs for constipation
11822-3321-80	A06AG	Enemas
11822-3321-80	A06AX	Other drugs for constipation
11822-3321-90	A06AG	Enemas
11822-3321-90	A06AX	Other drugs for constipation
11822-3323-70	A02AC	Calcium compounds
11822-3323-70	A12AA	Calcium
11822-3324-70	A02AB	Aluminium compounds
11822-3324-70	A02AA	Magnesium compounds
11822-3324-70	G04BX	Other urologicals
11822-3328-30	A02AB	Aluminium compounds
11822-3328-30	A02AA	Magnesium compounds
11822-3328-30	G04BX	Other urologicals
11822-3329-70	A01AD	Other agents for local oral treatment
11822-3329-70	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3329-70	N02BA	Salicylic acid and derivatives
11822-3329-70	A09AB	Acid preparations
11822-3329-70	B05CB	Salt solutions
11822-3329-70	B05XA	Electrolyte solutions
11822-3329-80	A02AA	Magnesium compounds
11822-3329-80	G04BX	Other urologicals
11822-3330-00	A06AD	Osmotically acting laxatives
11822-3330-00	A12CC	Magnesium
11822-3330-00	B05CB	Salt solutions
11822-3330-30	A06AD	Osmotically acting laxatives
11822-3330-30	A12CC	Magnesium
11822-3330-30	B05CB	Salt solutions
11822-3330-60	A02BA	H2-receptor antagonists
11822-3332-30	R05DA	Opium alkaloids and derivatives
11822-3332-30	R05CA	Expectorants
11822-3334-40	R06AX	Other antihistamines for systemic use
11822-3334-50	A02AC	Calcium compounds
11822-3334-50	A12AA	Calcium
11822-3334-90	A02AC	Calcium compounds
11822-3334-90	A12AA	Calcium
11822-3337-80	A07DA	Antipropulsives
11822-3340-70	A06AB	Contact laxatives
11822-3340-70	A06AG	Enemas
11822-3342-20	A11CC	Vitamin D and analogues
11822-3349-50	D04AA	Antihistamines for topical use
11822-3349-50	R06AA	Aminoalkyl ethers
11822-3355-40	A11CC	Vitamin D and analogues
11822-3355-40	A12AA	Calcium
11822-3375-90	R05DA	Opium alkaloids and derivatives
11822-3384-30	N02BE	Anilides
11822-3385-90	N02BE	Anilides
11822-3409-80	A07DA	Antipropulsives
11822-3485-40	A01AC	Corticosteroids for local oral treatment
11822-3485-40	A07EA	Corticosteroids acting locally
11822-3485-40	C05AA	Corticosteroids
11822-3485-40	D07AA	Corticosteroids, weak (group I)
11822-3485-40	D07XA	Corticosteroids, weak, other combinations
11822-3485-40	H02AB	Glucocorticoids
11822-3485-40	S01BA	Corticosteroids, plain
11822-3485-40	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-3485-40	S02BA	Corticosteroids
11822-3495-20	R01BA	Sympathomimetics
11822-3495-40	A12CA	Sodium
11822-3495-40	B05CB	Salt solutions
11822-3495-40	B05XA	Electrolyte solutions
11822-3508-50	D04AA	Antihistamines for topical use
11822-3508-50	R06AA	Aminoalkyl ethers
11822-3508-50	C01CA	Adrenergic and dopaminergic agents
11822-3508-50	R01AA	Sympathomimetics, plain
11822-3508-50	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-3508-50	R01BA	Sympathomimetics
11822-3508-50	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-3508-50	S01GA	Sympathomimetics used as decongestants
11822-3508-70	B05CB	Salt solutions
11822-3508-70	B05XA	Electrolyte solutions
11822-3508-70	A12CA	Sodium
11822-3519-90	A07DA	Antipropulsives
11822-3533-60	D01AE	Other antifungals for topical use
11822-3533-90	N02BE	Anilides
