InFile	OutFile
ESR_normal-42B6200_Erythrocyte_sedimentation_rate-1001400138	Erythrocyte
Elderly_at_risk_rating_scale-388M.00_Scoring_test_result-1001400287	NULL
Eosinophil_count-42K..00_Eosinophil_count-1001400022	EosNum
Eosinophil_count_NOS-42KZ.00_Eosinophil_count-1001400022	EosNum
Epithelial_cell_count-4KH0.00_Other_Laboratory_tests-1001400153	Urine_Epithelial_Cell
Erythrocyte_sedimentation_rate-42B6.00_Erythrocyte_sedimentation_rate-1001400138	Erythrocyte
Exercise_grading-138..00_Scoring_test_result-1001400287	NULL
Exercise_grading_NOS-138Z.00_Scoring_test_result-1001400287	NULL
Expected_FEV1-339P.00_Forced_Expiratory_Volume_in_1_sec-1001400260	TBD
Expected_FEV1_Over_FVC_ratio-339N.00_FEV1_Over_FVC-1001400261	TBD
Expected_FVC-339Q.00_Forced_Vital_Capacity-1001400262	TBD
Expected_peak_flow_rate-339C.00_PF_predicted-1001400208	TBD
Expired_carbon_monoxide_concentration-4I90.00_Other_Laboratory_tests-1001400153	TBD
Eye_-_special_tests-312..11_Intra_Ocular_Pressure_Left-1001400293	NULL
Eye_-_special_tests-312..11_Intra_Ocular_Pressure_Right-1001400295	NULL
FEV1_Over_FVC_percent-339R.00_FEV1_Over_FVC-1001400261	TBD
FEV1_Over_FVC_ratio-339M.00_FEV1_Over_FVC-1001400261	TBD
FEV1_Over_FVC_ratio_after_bronchodilator-339m.00_PF_last_attack_after_nebuliser-1001400204	TBD
FEV1_Over_FVC_ratio_normal-3398.00_FEV1_Over_FVC-1001400261	TBD
FEV1_after_bronchodilation-339b.00_PF_last_attack_after_nebuliser-1001400204	TBD
FEV1_before_bronchodilation-339a.00_PF_last_attack_before_nebuliser-1001400202	TBD
FSH_level-4434.11_Follicle_Stimulating_Hormone-1001400014	FSH
FVC_-_forced_vital_capacity_normal-3396000_Forced_Vital_Capacity-1001400262	TBD
FVC_Over_Expected_FVC_percent-339i.00_Forced_Vital_Capacity-1001400262	TBD
FVC_after_bronchodilation-339h.00_Forced_Vital_Capacity-1001400262	TBD
Fast_alcohol_screening_test-388u.00_Scoring_test_result-1001400287	NULL
Fasting_blood_glucose_level-44TK.00_Blood_glucose-1001400067	Glucose
Fasting_blood_sugar-44T2.00_Fasting_glucose-1001400139	Glucose
Ferritin_-_serum-42R4.11_Serum_ferritin-1001400024	Ferritin
Ferritin_level_low-42R4100_Serum_ferritin-1001400024	Ferritin
Fibrinogen_assay_Over_titre-42Q9.00_Serum_Fibrinogen_Level-1001400264	Fibrinogen
Fibrinogen_level-42Qn.00_Serum_Fibrinogen_Level-1001400264	Fibrinogen
Fluid_sample_alk.phosphatase-4I3C.00_Other_Laboratory_tests-1001400153	NULL
Fluid_sample_bilirubin-4I38.00_Other_Laboratory_tests-1001400153	NULL
Fluid_sample_creatinine-4I37.00_Other_Laboratory_tests-1001400153	NULL
Fluid_sample_urea-4I36.00_Other_Laboratory_tests-1001400153	NULL
Folate_-_RBC-42U4.11_RBC_-_Folate-1001400028	TBD
Folate_blood_level-42U..11_Folate_level-1001400013	Folate
Follicle_stim._hormone_-_F.S.H-4434.00_Follicle_Stimulating_Hormone-1001400014	FSH
Forced_expiratory_volume_-_FEV-3397.00_Forced_Expiratory_Volume_in_1_sec-1001400260	TBD
Forced_expired_volume_in_1_second-339O.00_FEV1_Over_FVC-1001400261	TBD
Forced_expired_volume_in_1_second-339O.00_Forced_Expiratory_Volume_in_1_sec-1001400260	TBD
Forced_vital_capacity_-_FVC-3396.00_Forced_Vital_Capacity-1001400262	TBD
Framingham_1991_cardiovascular_disease_10_year_risk_score-38DR.00_Scoring_test_result-1001400287	NULL
Framingham_coronary_heart_disease_10_year_risk_score-3888.00_Scoring_test_result-1001400287	NULL
Free-total_prostate_specific_antigen_ratio-43ZC.00_Prostate_specific_antigen-1001400141	TBD
Free_T3_level-4425.00_Free_Tri-iodothyronine-1001400265	FreeT3
Free_T4_level-4427.00_Free_Thyroxine-1001400266	FreeT4
Free_T4_level-4427.00_Thyroxine-1001400036	FreeT4
Free_prostate_specific_antigen_level-43ZB.00_Prostate_specific_antigen-1001400141	TBD
Full_blood_count_-_FBC-424..00_Haemoglobin-1001400027	Hemoglobin
GFR_calculated_abbreviated_MDRD-451E.00_Glomerular_filtration_rate-1001400326	GFR
Gamma_-_G.T._level-44G4.00_Gamma_Glutamyl_Transpeptidase-1001400025	GGT
Gamma_glutamyl_transferase_level_abnormal-44G4100_Gamma_Glutamyl_Transpeptidase-1001400025	GGT
Gamma_glutamyl_transferase_level_normal-44G4000_Gamma_Glutamyl_Transpeptidase-1001400025	GGT
General_pathology-4K...00_Other_Laboratory_tests-1001400153	NULL
General_well_-_being_schedule-3884.00_Scoring_test_result-1001400287	NULL
Generalised_anxiety_disorder_7_item_score-388w.00_Scoring_test_result-1001400287	NULL
Glomerular_filtration_rate-451F.00_Glomerular_filtration_rate-1001400326	GFR
Glucometer_blood_sugar-44T9.00_Blood_glucose-1001400067	Glucose
Glucose_level-4Q80.00_Other_Biochemistry_tests-1001400276	Glucose
Glycated_haemoglobin-42W..12_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Glycosylated_Hb-42W..11_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Granulocyte_count-42J..11_Neutrophil_count-1001400053	GtanNum
HAD_scale-_anxiety_score-388N.00_Scoring_test_result-1001400287	NULL
HAD_scale-_depression_score-388P.00_Other_Laboratory_tests-1001400153	NULL
HAD_scale-_depression_score-388P.00_Scoring_test_result-1001400287	NULL
HDL_-_LDL_ratio-44PA.00_Blood_lipid_ratios-1001400239	HDL/LDL
HDL_-_total_cholesterol_ratio-44PG.00_Blood_lipid_ratios-1001400239	Cholesterol/HDL
Haematocrit-4258.00_Packed_Cell_Volume-1001400213	Hematocrit
Haematocrit_-_PCV-425..00_Packed_Cell_Volume-1001400213	Hematocrit
Haematology-42...00_Other_Laboratory_tests-1001400153	NULL
Haematology_NOS-42Z..00_Other_Laboratory_tests-1001400153	NULL
Haematology_test-42g..00_Other_Laboratory_tests-1001400153	NULL
Haemoglobin_A1c_level-44TB.00_Blood_glucose-1001400067	HbA1C
Haemoglobin_A1c_level-44TB.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Haemoglobin_estimation-423..00_Haemoglobin-1001400027	Hemoglobin
Haemoglobin_normal-4237.00_Haemoglobin-1001400027	Hemoglobin
Hb._A1C_-_diabetic_control-42W..00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Hb._A1C_-_diabetic_control_NOS-42WZ.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Hb._A1C_7-10%_-_borderline-42W2.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Hb._A1C_GreaterThan_10%_-_bad_control-42W3.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Hb._A1C_LessThan_7%_-_good_control-42W1.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
HbA1_-_diabetic_control-42c..00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
HbA1_level_(DCCT_aligned)-42c3.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
HbA1c_level_(DCCT_aligned)-42W4.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
HbA1c_levl_-_IFCC_standardised-42W5.00_Hb_A1C_-_Diabetic_control-1001400140	HbA1C
Hb_estimation-423..11_Haemoglobin-1001400027	Hemoglobin
INR_-_international_normal_ratio_abnormal-42QE100_International_normalised_ratio-1001400212	INR
INR_-_international_normal_ratio_normal-42QE000_International_normalised_ratio-1001400212	INR
Immature_white_blood_cells-42O..00_Large_unstained_cells-1001400163	TBD
International_normalised_ratio-42QE.00_International_normalised_ratio-1001400212	INR
International_normalised_ratio_monitorin_in_general_practice-9k21.00_International_normalised_ratio-1001400212	INR
International_prostate_symptom_score-388o.00_Scoring_test_result-1001400287	NULL
Intraocular_pressure_left_eye-312J.00_Intra_Ocular_Pressure_Left-1001400293	NULL
Intraocular_pressure_left_eye-312J.00_Intra_Ocular_Pressure_Right-1001400295	NULL
Intraocular_pressure_right_eye-312H.00_Intra_Ocular_Pressure_Left-1001400293	NULL
Intraocular_pressure_right_eye-312H.00_Intra_Ocular_Pressure_Right-1001400295	NULL
JBS_cardiovascular_disease_risk_10-20%_over_next_10_years-662l.00_Scoring_test_result-1001400287	NULL
JBS_cardiovascular_disease_risk_GreaterThan20%_up_to_30%_ov_next_10_yr-662m.00_Scoring_test_result-1001400287	NULL
JBS_cardiovascular_disease_risk_GreaterThan30%_over_next_10_years-662n.00_Scoring_test_result-1001400287	NULL
JBS_cardiovascular_disease_risk_LessThan10%_over_next_10_years-662k.00_Scoring_test_result-1001400287	NULL
Joint_British_Societies_cardiac_risk_score-388W.00_Scoring_test_result-1001400287	NULL
L.H._level-4433.11_Luteinising_Hormone-1001400037	LuteinisingHormone
LDH_(HBD)_level-44H6.00_Lactate_Dehydrogenase-1001400033	LDH
LDH_blood_level-44H6.11_Lactate_Dehydrogenase-1001400033	LDH
Laboratory_procedure_NOS-4Z...00_Other_Laboratory_tests-1001400153	NULL
Laboratory_procedures-4....00_Other_Laboratory_tests-1001400153	NULL
Laboratory_procedures_-general-41...00_Other_Laboratory_tests-1001400153	NULL
Large_unstained_cells-42ZD.00_Large_unstained_cells-1001400163	LUC
Leucocyte_count-42MG.00_Lymphocyte_count-1001400058	LymphNum
Lithium_level_therapeutic-44W8000_Lithium_levels-1001400039	Lithium
Lithium_level_therapeutic-44W8000_Lithium_levels-1001400039	Lithium
Lung_vital_capacity-3386.00_Forced_Vital_Capacity-1001400262	TBD
Luteinising_hormone-4433.12_Luteinising_Hormone-1001400037	LuteinisingHormone
Luteinising_hormone_-_L.H.-4433.00_Luteinising_Hormone-1001400037	LuteinisingHormone
Lymphocyte_count-42M..00_Lymphocyte_count-1001400058	LymphNum
Lymphocyte_count_NOS-42MZ.00_Lymphocyte_count-1001400058	LymphNum
Lymphocyte_count_normal-42M1.00_Lymphocyte_count-1001400058	LymphNum
MCHC_-_NOS-429Z.00_MCH_Hb_Concentration-1001400046	MCHC
MCH_-_NOS-428Z.00_Mean_corpuscular_haemoglobin-1001400044	MCH
MCV_-_NOS-42AZ.00_Mean_corpuscular_volume-1001400048	MCV
MCV_-_normal-42A1.00_Mean_corpuscular_volume-1001400048	MCV
Mean_cell_haemoglobin-428..11_Mean_corpuscular_haemoglobin-1001400044	MCH
Mean_cell_volume-42A..11_Mean_corpuscular_volume-1001400048	MCV
Mean_corpusc._Hb._conc._(MCHC)-429..00_MCH_Hb_Concentration-1001400046	MCHC
Mean_corpusc._haemoglobin(MCH)-428..00_Mean_corpuscular_haemoglobin-1001400044	MCH
Mean_corpuscular_volume_(MCV)-42A..00_Mean_corpuscular_volume-1001400048	MCV
Mean_platelet_volume-42Z5.00_Platelets-1001400064	MPV
Metamyelocyte_count-42O8.00_Large_unstained_cells-1001400163	TBD
Microalbumin_excretion_rate-46W2.00_Urine_microalbumin-1001400311	Urine_Microalbumin
Mini-mental_state_examination-388m.00_Scoring_test_result-1001400287	NULL
Monocyte_count-42N..00_Monocyte_count-1001400050	MonNum
Monocyte_count_NOS-42NZ.00_Monocyte_count-1001400050	MonNum
More_than_80%_of_predicted_peak_flow_rate-339E.00_PF_current-1001400210	TBD
Myelocyte_count-42O7.00_Large_unstained_cells-1001400163	TBD
Neutrophil_count-42J..00_Neutrophil_count-1001400053	NeutNum
Neutrophil_count_NOS-42JZ.00_Neutrophil_count-1001400053	NeutNum
Non_HDL_cholesterol_level-44PL.00_Low_Density_Lipoprotein-1001400035	NonHDLCholesterol
Non_HDL_cholesterol_level-44PL.00_Other_Laboratory_tests-1001400153	NonHDLCholesterol
Non_HDL_cholesterol_level-44PL.00_Serum_cholesterol-1001400017	NonHDLCholesterol
Normal_serum_potassium_level-44I4000_Potassium-1001400066	Potassium
Nucleated_red_blood_cell_count-4266.00_Red_blood_cell_count-1001400026	NRBC
Number_of_portions_of_fruit_and_vegetables_daily-1FE0.00_Scoring_test_result-1001400287	NULL
O_Over_E_-_intraocular_pressure_reading-22EP.00_Intra_Ocular_Pressure_Left-1001400293	NULL
O_Over_E_-_intraocular_pressure_reading-22EP.00_Intra_Ocular_Pressure_Right-1001400295	NULL
O_Over_E_-_level_of_fever-2E3..00_Temperature-1001400275	TEMP
O_Over_E_-_rate_of_respiration-235..00_Respiratory_Rate-1001400274	NULL
O_Over_E_-_respiratory_rate-235..12_Respiratory_Rate-1001400274	NULL
O_Over_E_-_temperature_level-2E3..11_Temperature-1001400275	TEMP
O_Over_E_-_temperature_normal-2E31.00_Temperature-1001400275	TEMP
O_Over_E_-_tympanic_temperature-2E27.00_Temperature-1001400275	TEMP
Other_haematology_test-42Y..00_Other_Laboratory_tests-1001400153	NULL
PEFR_-_peak_exp._flow_rate-3395.11_PF_current-1001400210	TBD
PFR_-_peak_flow_rate-3395.12_PF_current-1001400210	PFR
PSA_-_Serum_prostate_specific_antigen_level-43Z2.11_Prostate_specific_antigen-1001400141	PSA
Serum_prostate_specific_antigen_level-43Z2200_Prostate_specific_antigen-1001400141	PSA
Pack_years-388B.00_Scoring_test_result-1001400287	NULL
Packed_cell_volume-4257.00_Packed_Cell_Volume-1001400213	Hematocrit
Packed_cell_volume_-_PCV-425..11_Packed_Cell_Volume-1001400213	Hematocrit
Partial_thromboplastin_time-42Q6.00_Partial_thromboplastin_time-1001400211	PTT
Partial_thromboplastin_time_ratio-42Qt.00_Partial_thromboplastin_time-1001400211	PTT
Patient_health_questionnaire_(PHQ-9)_score-388f.00_Other_Laboratory_tests-1001400153	NULL
Patient_health_questionnaire_(PHQ-9)_score-388f.00_Scoring_test_result-1001400287	NULL
Patient_initiated_diet_NOS-13AZ.00_Scoring_test_result-1001400287	NULL
Peak_exp._flow_rate-_PEFR_Over_PFR-3395.00_PF_current-1001400210	PFR
Peak_exp._flow_rate-_PEFR_Over_PFR-3395.00_PF_last_attack_before_nebuliser-1001400202	PFR
Peak_expiratory_flow_rate_measured_using_EN_13826_device-339o.00_PF_current-1001400210	PFR
Peak_expiratory_flow_rate_monitoring-66YX.00_PF_current-1001400210	PFR
Peak_flow_rate-3395.13_PF_current-1001400210	PFR
Peak_flow_rate_after_bronchodilation-339B.00_PF_last_attack_after_nebuliser-1001400204	PFR
Peak_flow_rate_before_bronchodilation-339A.00_PF_last_attack_before_nebuliser-1001400202	PFR
Percent_predicted_FEV1-339S.00_Forced_Expiratory_Volume_in_1_sec-1001400260	TBD
Percentage_basophils-42b3.00_Basophil_count-1001400215	BasPerc
Percentage_basophils-42b3.00_Other_Laboratory_tests-1001400153	BasPerc
Percentage_eosinophils-42b9.00_Eosinophil_count-1001400022	EosPerc
Percentage_eosinophils-42b9.00_Other_Laboratory_tests-1001400153	EosPerc
Percentage_iron_saturation-42RA.00_Other_Laboratory_tests-1001400153	TBD
Percentage_lymphocytes-42b1.00_Lymphocyte_count-1001400058	LymphPerc
Percentage_lymphocytes-42b1.00_Other_Laboratory_tests-1001400153	LymphPerc
Percentage_monocytes-42b2.00_Monocyte_count-1001400050	MonPerc
Percentage_monocytes-42b2.00_Other_Laboratory_tests-1001400153	MonPerc
Percentage_neutrophils-42b0.00_Neutrophil_count-1001400053	NeutPerc
Percentage_neutrophils-42b0.00_Other_Laboratory_tests-1001400153	NeutPerc
Plasma_25-Hydroxyvitamin_D3_level-44LM.00_Blood_trace_elements_Over_vitamins-1001400249	TBD
Plasma_B_natriuretic_peptide_level-44AR.00_Other_Laboratory_tests-1001400153	TBD
Plasma_C_reactive_protein-44CC.00_C_Reactive_protein-1001400144	CRP
Plasma_FSH_level-443i.00_Follicle_Stimulating_Hormone-1001400014	FSH
Plasma_HDL_cholesterol_level-44dA.00_High_Density_Lipoprotein-1001400031	HDL
Plasma_LDL_cholesterol_level-44dB.00_Low_Density_Lipoprotein-1001400035	LDL
Plasma_LH_level-443f.00_Luteinising_Hormone-1001400037	LuteinisingHormone
Plasma_TSH_level-442X.00_Thyroid_Stimulating_Hormone-1001400049	TSH
Plasma_alanine_aminotransferase_level-44GA.00_Alanine_Aminotransferase-1001400006	ALT
Plasma_albumin_level-44MI.00_Albumin-1001400002	Albumin
Plasma_alkaline_phosphatase_level-44CU.00_Alkaline_Phosphatase-1001400004	ALP
Plasma_amylase_level-44CT.00_Amylase-1001400136	Amylase
Plasma_anion_gap-44IA.00_Anion_gap-1001400313	PlasmaAnionGap
Plasma_aspartate_transaminase_level-44HC.00_Aspartate_Aminotransferase-1001400007	AST
Plasma_bicarbonate_level-44i0.00_Serum_bicarbonate-1001400245	Bicarbonate
Plasma_calcium_level-44h7.00_Calcium-1001400010	Calcium
Plasma_calcium_level-44h7.00_Other_Laboratory_tests-1001400153	Calcium
Plasma_chloride_level-44i1.00_Serum_chloride-1001400016	Chloride
Plasma_cholesterol_Over_HDL_ratio-44lG.00_Blood_lipid_ratios-1001400239	Cholesterol/HDL
Plasma_corrected_calcium_level-44h9.00_Calcium_adjusted-1001400012	CorrectedCalcium
Plasma_corrected_calcium_level-44h9.00_Other_Laboratory_tests-1001400153	CorrectedCalcium
Plasma_creatine_kinase_level-44HE.00_Creatine_phosphokinase_level-1001400018	CreatinineKinase
Plasma_creatinine_level-44JF.00_Serum_creatinine-1001400019	Creatinine
Plasma_fasting_HDL_cholesterol_level-44d3.00_High_Density_Lipoprotein-1001400031	HDL
Plasma_fasting_LDL_cholesterol_level-44d5.00_Low_Density_Lipoprotein-1001400035	LDL
Plasma_fasting_glucose_level-44g1.00_Blood_glucose-1001400067	Glucose
Plasma_fasting_glucose_level-44g1.00_Fasting_glucose-1001400139	Glucose
Plasma_ferritin_level-42d4.00_Serum_ferritin-1001400024	Ferritin
Plasma_folate_level-42UE.00_Folate_level-1001400013	Folate
Plasma_free_T4_level-442c.00_Free_Thyroxine-1001400266	FreeT4
Plasma_free_triiodothyronine_level-442Y.00_Free_Tri-iodothyronine-1001400265	TBD
Plasma_gamma-glutamyl_transferase_level-44G7.00_Gamma_Glutamyl_Transpeptidase-1001400025	GGT
Plasma_globulin_level-44MP.00_Serum_globulin-1001400248	Globulin
Plasma_glucose-44TA.00_Blood_glucose-1001400067	Glucose
Plasma_glucose_level-44U..12_Blood_glucose-1001400067	Glucose
Plasma_glucose_level-44g..00_Blood_glucose-1001400067	Glucose
Plasma_glucose_level-44g..00_Fasting_glucose-1001400139	Glucose
Plasma_glucose_level-44g..00_Other_Laboratory_tests-1001400153	Glucose
Plasma_inorganic_phosphate_level-44i2.00_Serum_Inorganic_Phosphate-1001400061	InorganicPhosphate
Plasma_iron_level-42d2.00_Serum_iron_tests-1001400023	Iron
Plasma_lactate_dehydrogenase_level-44HD.00_Lactate_Dehydrogenase-1001400033	LDH
Plasma_magnesium_level-44LH.00_Blood_trace_elements_Over_vitamins-1001400249	Magnesium
Plasma_parathyroid_hormone_level-44AJ.00_Serum_Parathyroid_Hormone-1001400272	PTH
Plasma_parathyroid_hormone_related_peptide_level-44AM.00_Other_Laboratory_tests-1001400153	PTH
Plasma_potassium_level-44h8.00_Potassium-1001400066	Potassium
Plasma_pro-brain_natriuretic_peptide_level-44AN.00_Other_Laboratory_tests-1001400153	TBD
Plasma_random_glucose_level-44g0.00_Blood_glucose-1001400067	RandomGlucose
Plasma_sodium_level-44h6.00_Sodium-1001400032	Na
Plasma_total_bilirubin_level-44E9.00_Bilirubin-1001400009	Bilirubin
Plasma_total_cholesterol_level-44OE.00_Serum_cholesterol-1001400017	Cholesterol
Plasma_total_protein-44MA.00_Other_Laboratory_tests-1001400153	TotalProtein
Plasma_total_protein-44MA.00_Total_protein-1001400043	TotalProtein
Plasma_triglyceride_level-44e..00_Triglycerides-1001400045	Triglycerides
Plasma_troponin_I_level-44ME.00_Total_protein-1001400043	TroponinI
Plasma_urate_level-44K6.00_Uric_acid_blood_level-1001400132	Urate
Plasma_urea_level-44JA.00_Urea_-_blood-1001400051	Urea
Plasma_viscosity-42B..00_Plasma_viscosity-1001400133	PlasmaViscosity
Plasma_viscosity_-_PV-42B..11_Plasma_viscosity-1001400133	PlasmaViscosity
Plasma_vitamin_B12_level-44Le.00_Blood_trace_elements_Over_vitamins-1001400249	B12
Plasma_volume-42Z2.00_Other_Laboratory_tests-1001400153	PlasmaVolume
