CPT_CODE	CPT_DESCR
00470	"ANESTH, REMOVAL OF RIB"
00472	"ANESTH, CHEST WALL REPAIR"
00474	"ANESTH, SURGERY OF RIB(S)"
00500	"ANESTH, ESOPHAGEAL SURGERY"
00520	"ANESTH, CHEST PROCEDURE"
00522	"ANESTH, CHEST LINING BIOPSY"
00524	"ANESTH, CHEST DRAINAGE"
00528	"ANESTH, CHEST PARTITION VIEW"
00529	ANES-CLOS CHST; MEDIASTNSCPY 1 LUNG
00530	"ANESTH, PACEMAKER INSERTION"
00532	"ANESTH, VASCULAR ACCESS"
00534	"ANESTH, CARDIOVERTER/DEFIB"
00537	ANESTH FOR CARDIAC ELECTRPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION
00539	ANESTH. TRACHEOBRONCHIAL RECONSTRUCTION
00540	"ANESTH, CHEST SURGERY"
00541	"ANESTH. THORACTOMY PROCEDURES INVOLVING LUNGS, UTILIZING ONE LUNG VENTILATION"
00542	"ANESTH, RELEASE OF LUNG"
00544	"ANESTH, CHEST LINING REMOVAL"
00546	"ANESTH, LUNG,CHEST WALL SURG"
00548	"ANESTH, TRACHEA,BRONCHI SURG"
00550	ANESTHESIA FOR STERNAL DEBRIDEMENT
00560	"ANESTH, OPEN HEART SURGERY"
00561	"ANES  PROCED  HEART, PERICARDIAL SAC, & GREAT VESSELS  CHEST; W PUMP OXYGENATOR,"
00562	"ANESTH, OPEN HEART SURGERY"
00563	"ANESTH FOR PROCEDURES ON HEART, PERICARDIAL SAC, AND GREAT VESSELS OF CHEST, WITH PUMP OXYGENATOR WITH HYPOTHERMIC CIRCULATORY ARREST"
00566	ANESTH FOR DIRECT CORONARY ARTERY BYPASS GRAFTING WITHOUT PUMP OXYGENATOR
00580	"ANESTH,HEART/LUNG TRANSPLANT"
00600	"ANESTH, SPINE, CORD SURGERY"
00604	"ANESTH, SURGERY OF VERTEBRA"
00620	"ANESTH, SPINE, CORD SURGERY"
00622	"ANESTH, REMOVAL OF NERVES"
00630	"ANESTH, SPINE, CORD SURGERY"
00632	"ANESTH, REMOVAL OF NERVES"
00634	ANESTH FOR CHEMONUCLEOLYSIS
00635	"ANESTH FOR PROCEDURES IN LUMBAR REGION, DIAGNOSTIC OR THERAPEUTIC LUMBAR PUNCTURE"
00640	"ANESTH. MANIPULATION OF THE SPINE OR FOR CLOSED PROCEDURES ON THE CERVICAL, THORACIC OR LUMBAR SPINE"
00670	"ANESTH, SPINE, CORD SURGERY"
00700	"ANESTH, ABDOMINAL WALL SURG"
00702	"ANESTH, FOR LIVER BIOPSY"
00730	"ANESTH, ABDOMINAL WALL SURG"
00740	"ANESTH, GI VISUALIZATION"
00750	"ANESTH, REPAIR OF HERNIA"
00752	"ANESTH, REPAIR OF HERNIA"
00754	"ANESTH, REPAIR OF HERNIA"
00756	"ANESTH, REPAIR OF HERNIA"
00770	"ANESTH, BLOOD VESSEL REPAIR"
00790	"ANESTH, SURG UPPER ABDOMEN"
00792	"ANESTH, PART LIVER REMOVAL"
00794	"ANESTH, PANCREAS REMOVAL"
00796	"ANESTH, FOR LIVER TRANSPLANT"
00797	Anesthesia for surgery for morbid obesity
00800	"ANESTH, ABDOMINAL WALL SURG"
00802	"ANESTH, FAT LAYER REMOVAL"
00810	"ANESTH, INTESTINE ENDOSCOPY"
00820	"ANESTH, ABDOMINAL WALL SURG"
00830	"ANESTH, REPAIR OF HERNIA"
00832	"ANESTH, REPAIR OF HERNIA"
00834	"ANESTH. HERNIA REPAIRS IN THE LOWER ABDOMEN NOS,< 1YR OF AGE."
00836	"ANESTH. HERNIA REPAIRS IN THE LOWER ABDOMEN NOS,INFANTS <37WEEKS"
00840	"ANESTH, SURG LOWER ABDOMEN"
00842	"ANESTH, AMNIOCENTESIS"
00844	"ANESTH, PELVIS SURGERY"
00846	"ANESTH, HYSTERECTOMY"
00848	"ANESTH, PELVIC ORGAN SURG"
00850	"ANESTH, CESAREAN SECTION"
00851	Anesthesia for tubal ligation
00855	"ANESTH, HYSTERECTOMY"
00857	"ANALGESIA, LABOR & C-SECTION"
00860	"ANESTH, SURGERY OF ABDOMEN"
00862	"ANESTH, KIDNEY, URETER SURG"
00864	"ANESTH, REMOVAL OF BLADDER"
00865	ANES. RADICAL PROSTATECTOMY
00866	"ANESTH, REMOVAL OF ADRENAL"
00868	"ANESTH, KIDNEY TRANSPLANT"
00869	Anesthesia for vasectomy
00870	"ANESTH, BLADDER STONE SURG"
00872	"ANESTH,KIDNEY STONE DESTRUCT"
00873	"ANESTH,KIDNEY STONE DESTRUCT"
00880	"ANESTH, ABDOMEN VESSEL SURG"
00882	"ANESTH, MAJOR VEIN LIGATION"
00884	"ANESTH, MAJOR VEIN REVISION"
00900	"ANESTH, PERINEAL PROCEDURE"
00902	"ANESTH, ANORECTAL SURGERY"
00904	"ANESTH, PERINEAL SURGERY"
00906	"ANESTH, REMOVAL OF VULVA"
00908	"ANESTH, REMOVAL OF PROSTATE"
00910	"ANESTH, BLADDER SURGERY"
00912	"ANESTH, BLADDER TUMOR SURG"
00914	"ANESTH, REMOVAL OF PROSTATE"
00916	"ANESTH, BLEEDING CONTROL"
00918	"ANESTH, STONE REMOVAL"
00920	"ANESTH, GENITALIA SURGERY"
00921	"ANESTH. PROCEDURES ON MALE GENITALIA, VASECTOMY, UNILATERAL/BILATERAL"
00922	"ANESTH, SPERM DUCT SURGERY"
00924	"ANESTH, TESTIS EXPLORATION"
00925	"ANES. PROCD ON MALE EXTERNAL GENITALIA (INCLUD. OPN MALE URETHRAL PROCD); RADICAL ORCHIECTOMY, ABDOMINAL"
00926	"ANESTH, REMOVAL OF TESTIS"
00928	"ANESTH, REMOVAL OF TESTIS"
00930	"ANESTH, TESTIS SUSPENSION"
00932	"ANESTH, AMPUTATION OF PENIS"
00934	`
00936	"ANESTH, PENIS, NODES REMOVAL"
00938	"ANESTH, INSERT PENIS DEVICE"
00940	"ANESTH, VAGINAL PROCEDURES"
00942	"ANESTH, SURGERY ON VAGINA"
00944	"ANESTH, VAGINAL HYSTERECTOMY"
00946	"ANESTH, VAGINAL DELIVERY"
00948	"ANESTH, REPAIR OF CERVIX"
00950	"ANESTH, VAGINAL ENDOSCOPY"
00952	"ANESTH, UTERINE ENDOSCOPY"
00955	"ANALGESIA, VAGINAL DELIVERY"
00999	"UNSPECIFIED DIAGNOSTIC PROCEDURE, BY REP"
01000	"ANESTH, SKIN SURGERY, PELVIS"
01110	"ANESTH, SKIN SURGERY, PELVIS"
01112	"ANESTH FOR BONE MARROW ASPIRATION AND/OR BIOPSY, ANTERIOR OR POSTERIOR ILIAC CREST"
01120	"ANESTH, PELVIS SURGERY"
01130	"ANESTH, BODY CAST PROCEDURE"
01140	"ANESTH, AMPUTATION AT PELVIS"
01150	"ANESTH, PELVIC TUMOR SURGERY"
01160	"ANESTH, PELVIS PROCEDURE"
01170	"ANESTH, PELVIS SURGERY"
01173	ANES-OPN REP FX PEL/COLUMN ACETAB
01180	"ANESTH, PELVIS NERVE REMOVAL"
01190	"ANESTH, PELVIS NERVE REMOVAL"
01200	"ANESTH, HIP JOINT PROCEDURE"
01202	"ANESTH, ARTHROSCOPY OF HIP"
01210	"ANESTH, HIP JOINT SURGERY"
01212	"ANESTH, HIP DISARTICULATION"
01214	"ANESTH, REPLACEMENT OF HIP"
01215	"ANESTH FOR OPEN PROCEDURES INVOLVING HIP JOINT, REVISION OF TOTAL HIP ARTHROPLASTY"
01216	"ANESTH, REV OF TOTAL HIP ARTH"
01220	"ANESTH, PROCEDURE ON FEMUR"
01230	"ANESTH, SURGERY OF FEMUR"
01232	"ANESTH, AMPUTATION OF FEMUR"
01234	"ANESTH, RADICAL FEMUR SURG"
01240	"ANESTH, UPPER LEG SKIN SURG"
01250	"ANESTH, UPPER LEG SURGERY"
01260	"ANESTH, UPPER LEG VEINS SURG"
01270	"ANESTH, THIGH ARTERIES SURG"
01272	"ANESTH, FEMORAL ARTERY SURG"
01274	"ANESTH, FEMORAL EMBOLECTOMY"
01300	"ANESTH, SKIN SURGERY, KNEE"
01320	"ANESTH, KNEE AREA SURGERY"
01340	"ANESTH, KNEE AREA PROCEDURE"
01360	"ANESTH, KNEE AREA SURGERY"
01380	"ANESTH, KNEE JOINT PROCEDURE"
01382	"ANESTH, KNEE ARTHROSCOPY"
01390	"ANESTH, KNEE AREA PROCEDURE"
01392	"ANESTH, KNEE AREA SURGERY"
01400	"ANESTH, KNEE JOINT SURGERY"
01402	"ANESTH, REPLACEMENT OF KNEE"
01404	"ANESTH, AMPUTATION AT KNEE"
01420	"ANESTH, KNEE JOINT CASTING"
01430	"ANESTH, KNEE VEINS SURGERY"
01432	"ANESTH, KNEE VESSEL SURG"
01440	"ANESTH, KNEE ARTERIES SURG"
01442	"ANESTH, KNEE ARTERY SURG"
01444	"ANESTH, KNEE ARTERY REPAIR"
01460	"ANESTH, LOWER LEG SKIN SURG"
01462	"ANESTH, LOWER LEG PROCEDURE"
01464	"ANESTH, ANKLE ARTHROSCOPY"
01470	"ANESTH, LOWER LEG SURGERY"
01472	"ANESTH, ACHILLES TENDON SURG"
01474	"ANESTH, LOWER LEG SURGERY"
01480	"ANESTH, LOWER LEG BONE SURG"
01482	"ANESTH, RADICAL LEG SURGERY"
01484	"ANESTH, LOWER LEG REVISION"
01486	"ANESTH, ANKLE REPLACEMENT"
01490	"ANESTH, LOWER LEG CASTING"
01500	"ANESTH, LEG ARTERIES SURG"
01502	"ANESTH, LOWERLEG EMBOLECTOMY"
01520	"ANESTH, LOWER LEG VEIN SURG"
01522	"ANESTH, LOWER LEG VEIN SURG"
01600	"ANESTH, SHOULDER SKIN SURG"
01610	"ANESTH, SURGERY OF SHOULDER"
01620	"ANESTH, SHOULDER PROCEDURE"
01622	"ANESTH, SHOULDER ARTHROSCOPY"
01630	"ANESTH, SURGERY OF SHOULDER"
01632	"ANESTH, SURGERY OF SHOULDER"
01634	"ANESTH, SHOULDER JOINT AMPUT"
01636	"ANESTH, FOREQUARTER AMPUT"
01638	"ANESTH, SHOULDER REPLACEMENT"
01650	"ANESTH, SHOULDER ARTERY SURG"
01652	"ANESTH, SHOULDER VESSEL SURG"
01654	"ANESTH, SHOULDER VESSEL SURG"
01656	"ANESTH, ARM-LEG VESSEL SURG"
01670	"ANESTH, SHOULDER VEIN SURG"
01680	"ANESTH, SHOULDER CASTING"
01682	"ANESTH, AIRPLANE CAST"
01700	"ANESTH, ELBOW AREA SKIN SURG"
01710	"ANESTH, ELBOW AREA SURGERY"
01712	"ANESTH, UPPERARM TENDON SURG"
01714	"ANESTH, UPPERARM TENDON SURG"
01716	"ANESTH, BICEPS TENDON REPAIR"
01730	"ANESTH, UPPERARM PROCEDURE"
01732	"ANESTH, ELBOW ARTHROSCOPY"
01740	"ANESTH, UPPER ARM SURGERY"
01742	"ANESTH, HUMERUS SURGERY"
01744	"ANESTH, HUMERUS REPAIR"
01756	"ANESTH, RADICAL HUMERUS SURG"
01758	"ANESTH, HUMERAL LESION SURG"
01760	"ANESTH, ELBOW REPLACEMENT"
01770	"ANESTH, UPPERARM ARTERY SURG"
01772	"ANESTH, UPPERARM EMBOLECTOMY"
01780	"ANESTH, UPPER ARM VEIN SURG"
01782	"ANESTH, UPPERARM VEIN REPAIR"
01784	"ANESTH, AV FISTULA REPAIR"
01800	"ANESTH, LOWER ARM SKIN SURG"
01810	"ANESTH, LOWER ARM SURGERY"
01820	"ANESTH, LOWER ARM PROCEDURE"
01829	ANESTH. DIAGNOSTIC ARTHROSCOPIC PROCEDURE ON THE WRIST
01830	"ANESTH, LOWER ARM SURGERY"
01832	"ANESTH, WRIST REPLACEMENT"
01840	"ANESTH, LOWERARM ARTERY SURG"
01842	"ANESTH, LOWERARM EMBOLECTOMY"
01844	"ANESTH, VASCULAR SHUNT SURG"
01850	"ANESTH, LOWER ARM VEIN SURG"
01852	"ANESTH, LOWERARM VEIN REPAIR"
01860	"ANESTH, LOWER ARM CASTING"
01900	"ANESTH, UTERUS/TUBE INJECT"
01902	"ANESTH, BURR HOLES, SKULL"
01904	"ANESTH, SKULL X-RAY INJECT"
01905	Anesthesia for spinal injection/repair
01906	"ANESTH, LUMBAR MYELOGRAPHY"
01908	"ANESTH, CERVICAL MYELOGRAPHY"
01910	"ANESTH, SKULL MYELOGRAPHY"
01912	"ANESTH, LUMBAR DISCOGRAPHY"
01914	"ANESTH, CERVICAL DISCOGRAPHY"
01916	"ANESTH, HEAD ARTERIOGRAM"
01918	"ANESTH, LIMB ARTERIOGRAM"
01920	"ANESTH, CATHETERIZE HEART"
01921	"ANESTH, VESSEL SURGERY"
01922	"ANESTH, CAT OR MRI SCAN"
01924	Anesthesia for therapeutice intervention radiology
01925	Anesthesia for therapeutice intervention radiology
01926	Anesthesia for therapeutice intervention radiology
01930	Anesthesia for therapeutice intervention radiology
01931	Anesthesia for therapeutice intervention radiology
01932	Anesthesia for therapeutice intervention radiology
01933	Anesthesia for therapeutice intervention radiology
01951	"ANESTH FOR SECOND AND THIRD DEGREE BURN EXCISION OR DEBRIDEMENT WITH OR WITHOUT SKIN GRAFTING, ANY SITE, FOR TOTAL BODY SURFACE AREA (TBSA) TREATED DURING ANESTHESIA AND SURGERY, LESS THAN FOUR PERCENT TOTAL BODY SURF"
01952	"ANESTH FOR SECOND AND THIRD DEGREE BURN EXCISION OR DEBRIDEMENT WITH OR WITHOUT SKIN GRAFTING, ANY SITE, FOR TOTAL BODY SURFACE AREA (TBSA) TREATED DURING ANESTHESIA AND SURGERY, BETWEEN FOUR  AND NINE PERCENT TOTAL B"
01953	"ANESTH FOR SECOND AND THIRD DEGREE BURN EXCISION OR DEBRIDEMENT WITH OR WITHOUT SKIN GRAFTING, ANY SITE, FOR TOTAL BODY SURFACE AREA (TBSA) TREATED DURING ANESTHESIA AND SURGERY, EACH ADDITIONAL NINE PERCENT TOTAL BOD"
01958	ANES-EXTERNAL CEPHALIC VERSION PROC
01960	Anesthesia for urgent vaginal delivery
01961	Anesthesia for cesarean delivery
01962	Anesthesia for urgent hysterectomy following deliv
01963	Anesthesia for cesarean hysterectomy
01964	Anesthesia for abortion
01965	ANESTHESIA FOR INCOMPLETE OR MISSED ABORTION PROCEDURES
01966	ANESTHESIA FOR INDUCED ABORTION PROCEDURES
01967	Neuroaxial labor analgesia/anesthesia
01968	Neuroaxial labor analgesia/anesthesia add-on
01969	Neuroaxial labor analgesia/anesthesia add-on
01990	SUPPORT FOR ORGAN DONOR
01991	ANESTH. DIAGNOSTIC OR THERAPEUTIC NERVE BLOCKS AND INJECTIONS(*BLOCK OR INJECTION IS PERFORMED BY A DIFFERENT PROVIDER)OTHER THAN THE PRONE POSITION
01992	ANESTH. DIAGNOSTIC OR THERAPEUTIC NERVE BLOCKS AND INJECTIONS(*BLOCK OR INJECTION IS PERFORMED BY A DIFFERENT PROVIDER)THE PRONE POSITION
01995	"REGIONAL ANESTHESIA, LIMB"
01996	MANAGE DAILY DRUG THERAPY
01997	PATIENT CONTROLED ANALGESIA
6300	THUMPER UNIT (MESSAGE UNIT)
10021	FNA W/O IMAGE
10022	FNA W/IMAGE
10040	ACNE SURGERY
10060	DRAINAGE OF SKIN ABSCESS
10061	DRAINAGE OF SKIN ABSCESS
10080	DRAINAGE OF PILONIDAL CYST
10081	DRAINAGE OF PILONIDAL CYST
10101	DRAINAGE OF INFECTED NAIL(S)
10120	REMOVE FOREIGN BODY
10121	REMOVE FOREIGN BODY
10140	DRAINAGE OF HEMATOMA/FLUID
10141	DRAINAGE OF HEMATOMA
10160	PUNCTURE DRAINAGE OF LESION
10180	"COMPLEX DRAINAGE, WOUND"
11000	DEBRIDE INFECTED SKIN
11001	DEBRIDE INFECTED SKIN ADD-ON
11004	DEBRIDE GENITALIA & PERINEUM
11005	DEBRIDE ABDOM WALL
11006	DEBRIDE GENIT/PER/ABDOM WALL
11008	REMOVE MESH FROM ABD WALL
11010	"DEBRIDE SKIN, FX"
11011	"DEBRIDE SKIN/MUSCLE, FX"
11012	"DEBRIDE SKIN/MUSCLE/BONE, FX"
11040	"DEBRIDE SKIN, PARTIAL"
11041	"DEBRIDE SKIN, FULL"
11042	DEBRIDE SKIN/TISSUE
11043	DEBRIDE TISSUE/MUSCLE
11044	DEBRIDE TISSUE/MUSCLE/BONE
11050	TRIM SKIN LESION
11051	TRIM 2 TO 4 SKIN LESIONS
11052	TRIM OVER 4 SKIN LESIONS
11055	TRIM SKIN LESION
11056	"TRIM SKIN LESIONS, 2 TO 4"
11057	"TRIM SKIN LESIONS, OVER 4"
11060	SHAVE SKIN LESION
11061	SHAVE SKIN LESIONS
11062	SHAVE SKIN LESIONS
11100	"BIOPSY, SKIN LESION"
11101	"BIOPSY, SKIN ADD-ON"
11111	INVALID CPT CODE
11200	REMOVAL OF SKIN TAGS
11201	REMOVE SKIN TAGS ADD-ON
11300	SHAVE SKIN LESION
11301	SHAVE SKIN LESION
11302	SHAVE SKIN LESION
11303	SHAVE SKIN LESION
11305	SHAVE SKIN LESION
11306	SHAVE SKIN LESION
11307	SHAVE SKIN LESION
11308	SHAVE SKIN LESION
11310	SHAVE SKIN LESION
11311	SHAVE SKIN LESION
11312	SHAVE SKIN LESION
11313	SHAVE SKIN LESION
11400	EXC TR-EXT B9+MARG 0.5 < CM
11401	EXC TR-EXT B9+MARG 0.6-1 CM
11402	EXC TR-EXT B9+MARG 1.1-2 CM
11403	EXC TR-EXT B9+MARG 2.1-3 CM
11404	EXC TR-EXT B9+MARG 3.1-4 CM
11406	EXC TR-EXT B9+MARG > 4.0 CM
11420	EXC H-F-NK-SP B9+MARG 0.5 <
11421	EXC H-F-NK-SP B9+MARG 0.6-1
11422	EXC H-F-NK-SP B9+MARG 1.1-2
11423	EXC H-F-NK-SP B9+MARG 2.1-3
11424	EXC H-F-NK-SP B9+MARG 3.1-4
11426	EXC H-F-NK-SP B9+MARG > 4 CM
11440	EXC FACE-MM B9+MARG 0.5 < CM
11441	EXC FACE-MM B9+MARG 0.6-1 CM
11442	EXC FACE-MM B9+MARG 1.1-2 CM
11443	EXC FACE-MM B9+MARG 2.1-3 CM
11444	EXC FACE-MM B9+MARG 3.1-4 CM
11446	EXC FACE-MM B9+MARG > 4 CM
11450	"REMOVAL, SWEAT GLAND LESION"
11451	"REMOVAL, SWEAT GLAND LESION"
11462	"REMOVAL, SWEAT GLAND LESION"
11463	"REMOVAL, SWEAT GLAND LESION"
11470	"REMOVAL, SWEAT GLAND LESION"
11471	"REMOVAL, SWEAT GLAND LESION"
11600	EXC TR-EXT MLG+MARG 0.5 < CM
11601	EXC TR-EXT MLG+MARG 0.6-1 CM
11602	EXC TR-EXT MLG+MARG 1.1-2 CM
11603	EXC TR-EXT MLG+MARG 2.1-3 CM
11604	EXC TR-EXT MLG+MARG 3.1-4 CM
11606	EXC TR-EXT MLG+MARG > 4 CM
11620	EXC H-F-NK-SP MLG+MARG 0.5 <
11621	EXC H-F-NK-SP MLG+MARG 0.6-1
11622	EXC H-F-NK-SP MLG+MARG 1.1-2
11623	EXC H-F-NK-SP MLG+MARG 2.1-3
11624	EXC H-F-NK-SP MLG+MARG 3.1-4
11626	EXC H-F-NK-SP MLG+MAR > 4 CM
11640	EXC FACE-MM MALIG+MARG 0.5 <
11641	EXC FACE-MM MALIG+MARG 0.6-1
11642	EXC FACE-MM MALIG+MARG 1.1-2
11643	EXC FACE-MM MALIG+MARG 2.1-3
11644	EXC FACE-MM MALIG+MARG 3.1-4
11646	EXC FACE-MM MLG+MARG > 4 CM
11700	SCRAPING OF 1-5 NAILS
11701	SCRAPING OF ADDITIONAL NAILS
11710	SCRAPING OF 1-5 NAILS
11711	SCRAPING OF ADDITIONAL NAILS
11719	TRIM NAIL(S)
11720	"DEBRIDE NAIL, 1-5"
11721	"DEBRIDE NAIL, 6 OR MORE"
11730	REMOVAL OF NAIL PLATE
11731	REMOVAL OF SECOND NAIL PLATE
11732	"REMOVE NAIL PLATE, ADD-ON"
11740	DRAIN BLOOD FROM UNDER NAIL
11750	REMOVAL OF NAIL BED
11752	REMOVE NAIL BED/FINGER TIP
11755	"BIOPSY, NAIL UNIT"
11760	REPAIR OF NAIL BED
11762	RECONSTRUCTION OF NAIL BED
11765	"EXCISION OF NAIL FOLD, TOE"
11770	REMOVAL OF PILONIDAL LESION
11771	REMOVAL OF PILONIDAL LESION
11772	REMOVAL OF PILONIDAL LESION
11900	INJECTION INTO SKIN LESIONS
11901	ADDED SKIN LESIONS INJECTION
11920	CORRECT SKIN COLOR DEFECTS
11921	CORRECT SKIN COLOR DEFECTS
11922	CORRECT SKIN COLOR DEFECTS
11950	THERAPY FOR CONTOUR DEFECTS
11951	THERAPY FOR CONTOUR DEFECTS
11952	THERAPY FOR CONTOUR DEFECTS
11954	THERAPY FOR CONTOUR DEFECTS
11960	INSERT TISSUE EXPANDER(S)
11970	REPLACE TISSUE EXPANDER
11971	REMOVE TISSUE EXPANDER(S)
11975	INSERT CONTRACEPTIVE CAP
11976	REMOVAL OF CONTRACEPTIVE CAP
11977	REMOVAL/REINSERT CONTRA CAP
11980	IMPLANT HORMONE PELLET(S)
11981	INSERT DRUG IMPLANT DEVICE
11982	REMOVE DRUG IMPLANT DEVICE
11983	REMOVE/INSERT DRUG IMPLANT
12001	REPAIR SUPERFICIAL WOUND(S)
12002	REPAIR SUPERFICIAL WOUND(S)
12004	REPAIR SUPERFICIAL WOUND(S)
12005	REPAIR SUPERFICIAL WOUND(S)
12006	REPAIR SUPERFICIAL WOUND(S)
12007	REPAIR SUPERFICIAL WOUND(S)
12011	REPAIR SUPERFICIAL WOUND(S)
12013	REPAIR SUPERFICIAL WOUND(S)
12014	REPAIR SUPERFICIAL WOUND(S)
12015	REPAIR SUPERFICIAL WOUND(S)
12016	REPAIR SUPERFICIAL WOUND(S)
12017	REPAIR SUPERFICIAL WOUND(S)
12018	REPAIR SUPERFICIAL WOUND(S)
12020	CLOSURE OF SPLIT WOUND
12021	CLOSURE OF SPLIT WOUND
12031	LAYER CLOSURE OF WOUND(S)
12032	LAYER CLOSURE OF WOUND(S)
12034	LAYER CLOSURE OF WOUND(S)
12035	LAYER CLOSURE OF WOUND(S)
12036	LAYER CLOSURE OF WOUND(S)
12037	LAYER CLOSURE OF WOUND(S)
12041	LAYER CLOSURE OF WOUND(S)
12042	LAYER CLOSURE OF WOUND(S)
12044	LAYER CLOSURE OF WOUND(S)
12045	LAYER CLOSURE OF WOUND(S)
12046	LAYER CLOSURE OF WOUND(S)
12047	LAYER CLOSURE OF WOUND(S)
12051	LAYER CLOSURE OF WOUND(S)
12052	LAYER CLOSURE OF WOUND(S)
12053	LAYER CLOSURE OF WOUND(S)
12054	LAYER CLOSURE OF WOUND(S)
12055	LAYER CLOSURE OF WOUND(S)
12056	LAYER CLOSURE OF WOUND(S)
12057	LAYER CLOSURE OF WOUND(S)
13100	REPAIR OF WOUND OR LESION
13101	REPAIR OF WOUND OR LESION
13102	REPAIR WOUND/LESION ADD-ON
13120	REPAIR OF WOUND OR LESION
13121	REPAIR OF WOUND OR LESION
13122	REPAIR WOUND/LESION ADD-ON
13131	REPAIR OF WOUND OR LESION
13132	REPAIR OF WOUND OR LESION
13133	REPAIR WOUND/LESION ADD-ON
13150	REPAIR OF WOUND OR LESION
13151	REPAIR OF WOUND OR LESION
13152	REPAIR OF WOUND OR LESION
13153	REPAIR WOUND/LESION ADD-ON
13160	LATE CLOSURE OF WOUND
13300	REPAIR OF WOUND OR LESION
14000	SKIN TISSUE REARRANGEMENT
14001	SKIN TISSUE REARRANGEMENT
14020	SKIN TISSUE REARRANGEMENT
14021	SKIN TISSUE REARRANGEMENT
14040	SKIN TISSUE REARRANGEMENT
14041	SKIN TISSUE REARRANGEMENT
14060	SKIN TISSUE REARRANGEMENT
14061	SKIN TISSUE REARRANGEMENT
14212	NONCORING NEEDLE
14300	SKIN TISSUE REARRANGEMENT
14350	SKIN TISSUE REARRANGEMENT
15000	SKIN GRAFT
15001	SKIN GRAFT ADD-ON
15040	HARVEST CULTURED SKIN GRAFT
15050	SKIN PINCH GRAFT
15100	SKIN SPLIT GRAFT
15101	SKIN SPLIT GRAFT ADD-ON
15110	EPIDRM AUTOGRFT TRNK/ARM/LEG
15111	EPIDRM AUTOGRFT T/A/L ADD-ON
15115	EPIDRM A-GRFT FACE/NCK/HF/G
15116	EPIDRM A-GRFT F/N/HF/G ADDL
15120	SKIN SPLIT GRAFT
15121	SKIN SPLIT GRAFT ADD-ON
15130	"DERM AUTOGRAFT, TRNK/ARM/LEG"
15131	DERM AUTOGRAFT T/A/L ADD-ON
15135	DERM AUTOGRAFT FACE/NCK/HF/G
15136	"DERM AUTOGRAFT, F/N/HF/G ADD"
15150	CULT EPIDERM GRFT T/ARM/LEG
15151	CULT EPIDERM GRFT T/A/L ADDL
15152	CULT EPIDERM GRAFT T/A/L +%
15155	"CULT EPIDERM GRAFT, F/N/HF/G"
15156	CULT EPIDRM GRFT F/N/HFG ADD
15157	CULT EPIDERM GRFT F/N/HFG +%
15170	ACELL GRAFT TRUNK/ARMS/LEGS
15171	ACELL GRAFT T/ARM/LEG ADD-ON
15175	"ACELLULAR GRAFT, F/N/HF/G"
15176	"ACELL GRAFT, F/N/HF/G ADD-ON"
15200	SKIN FULL GRAFT
15201	SKIN FULL GRAFT ADD-ON
15220	SKIN FULL GRAFT
