CPT_CODE	CPT_DESCR
0202T	POST VERT ARTHRPLST 1 LU Pre-Auth/Cert Required
0207T	CLEAR EYELID GLAND W/HEA Pre-Auth/Cert Required
0208T	AUDIOMETRY AIR ONLY Pre-Auth/Cert Required
0209T	AUDIOMETRY AIR/BONE Pre-Auth/Cert Required
0210T	SPEECH AUDIOMETRY THRESH Pre-Auth/Cert Required
0211T	SPEECH AUDIOM THRESH& RE Pre-Auth/Cert Required
0212T	COMPARE AUDIOMETRY EVALU Pre-Auth/Cert Required
0213T	NJX PARAVERT W/US CER/TH Pre-Auth/Cert Required
0214T	NJX PARAVERT W/US CER/TH Pre-Auth/Cert Required
0215T	NJX PARVERT W/US CER/THO Pre-Auth/Cert Required
0216T	NJX PARAVERT W/US LUMB/S Pre-Auth/Cert Required
0217T	NJX PARAVERT W/US LUMB/S Pre-Auth/Cert Required
0218T	NJX PARACERT W/US LUMB/S Pre-Auth/Cert Required
0219T	PLMT POST FACET IMPLT CE Pre-Auth/Cert Required
0220T	PLMT POST FACET IMPLT TH Pre-Auth/Cert Required
0221T	PLMT POST FACET IMPLT LU Pre-Auth/Cert Required
0222T	PLMT POST FACET IMPLT AD Pre-Auth/Cert Required
0228T	NJX TFRML EPRL W/US CER/ Pre-Auth/Cert Required
0229T	NJX RFRML EPRL W/US CER/ Pre-Auth/Cert Required
0230T	NJX TFRML EPRL W/US LUMB Pre-Auth/Cert Required
0231T	NJX RDEML WPEL W/US LUMB Pre-Auth/Cert Required
0232T	NJX PLATELET PLASMA Pre-Auth/Cert Required
0233T	SKIN GLYCATION SPECTROSC Pre-Auth/Cert Required Code Deleted
0240T	ESOPH MOTILITY 3D TOPOGR Pre-Auth/Cert Required Code Deleted
0241T	ESOPH MOTILITY W/STIM/PE Pre-Auth/Cert Required Code Deleted
0243T	INTM MSR BRONCHODIL WHEE Pre-Auth/Cert Required Code Deleted
0244T	CONT MSR BRONCHODIL WHEE Pre-Auth/Cert Required Code Deleted
0253T	INSERT AQUEOUS DRAIN DEV Pre-Auth/Cert Required
0254T	EVASC RPR ILIAC ART BIFU Pre-Auth/Cert Required
0255T	EVASC RPR ILIAC ART BIFR Pre-Auth/Cert Required
0262T	IMPLTJ PULM VLV EVASC APPR Pre-Auth/Cert Required Code Deleted
0263T	IM B1 MRW CEL THER CMPL Pre-Auth/Cert Required
0264T	IM B1 MRW CEL THER XCL HRVST Pre-Auth/Cert Required
0265T	IM B1 MRW CEL THER HRVST ONL Pre-Auth/Cert Required
0266T	IMPLT/RPL CRTD SNS DEV TOTAL Pre-Auth/Cert Required
0267T	IMPLT/RPL CRTD SNS DEV LEAD Pre-Auth/Cert Required
0268T	IMPLT/RPL CRTD SNS DEV GEN Pre-Auth/Cert Required
0269T	REV/REMVL CRTD SNS DEV TOTAL Pre-Auth/Cert Required
0270T	REV/REMVL CRTD SNS DEV LEAD Pre-Auth/Cert Required
0271T	REV/REMVL CRTD SNS DEV GEN Pre-Auth/Cert Required
0272T	INTERROGATE CRTD SNS DEV Pre-Auth/Cert Required
0273T	INTERROGATE CRTD SNS W/PGRMG Pre-Auth/Cert Required
0274T	PERQ LAMOT/LAM CRV/THRC Pre-Auth/Cert Required
0275T	PERQ LAMOT/LAM LUMBAR Pre-Auth/Cert Required
0281T	LAA CLOSURE W/IMPLANT Pre-Auth/Cert Required Code Deleted
0282T	PERIPH FIELD STIMUL TRIA Pre-Auth/Cert Required Code Deleted
0283T	PERIPH FIELD STIMUL PERM Pre-Auth/Cert Required Code Deleted
0284T	PERIPH FIELD STIMUL REVI Pre-Auth/Cert Required Code Deleted
0285T	PERIPH FIELD STIMUL ANAL Pre-Auth/Cert Required Code Deleted
0286T	NEAR IFR SPECTRSC OF WOU Pre-Auth/Cert Required Code Deleted
0288T	ANOSCOPY W/RF DELIVERY Pre-Auth/Cert Required Code Deleted
0289T	LASER INC FOR PKP/LKP DO Pre-Auth/Cert Required Code Deleted
0290T	LASER INC FOR PKP/LKP RE Pre-Auth/Cert Required
0291T	IV OCT FOR PROC INIT VES Pre-Auth/Cert Required Code Deleted
0292T	IV OCT FOR PROC ADDL VES Pre-Auth/Cert Required Code Deleted
0293T	INS LT ATRL PRESS MONITO Pre-Auth/Cert Required
0294T	INS LT ATRL PRESS MONT A Pre-Auth/Cert Required
0299T	ESW WOUND HEALING INIT W Pre-Auth/Cert Required
0300T	ESW WOUND HEALING ADDL W Pre-Auth/Cert Required
0301T	MW THERAPY FOR BREAST TU Pre-Auth/Cert Required
0308T	INSERTION OCULAR TEL PROSTHESIS Pre-Auth/Cert Required
0309T	ARTHROD PRESAC INTERBODY TECH Pre-Auth/Cert Required
0310T	MOTOR FUNCT MAPPING Pre-Auth/Cert Required
0312T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0313T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0314T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0315T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0316T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0317T	VAGUS NERVE BLOCKING THERAPY Pre-Auth/Cert Required
0329T	MONITOR IOL PRESSURE > 24 HRS UNILAT OR BILAT W/INTERP & REPORT Pre-Auth/Cert Required
0330T	TEAR FILM IMAGE, UNILAT OR BILAT, W/INTERP & REPORT Pre-Auth/Cert Required
0333T	VISUAL EVOKED POTENTIAL, AUTOMATEDPre-Auth/Cert Required
0335T	EXTRAOSSEOUS JOINT STABLJ Pre-Auth/Cert Required
0336T	LAP ABLAT UTERINE FIBROIDS Pre-Auth/Cert Required Code Deleted
0337T	ENDOTHEL FXNASSMNT NON-INVAS Pre-Auth/Cert Required
0338T	TRANSCATH RENAL SYMP DENERV Pre-Auth/Cert Required
0339T	TRANSCATH RENAL SYMP DENERV Pre-Auth/Cert Required
0340T	ABLATE PULM TUMORS + EXTNSN Pre-Auth/Cert Required
0341T	QUANT PUPILLOMETRY W/ RPRT Pre-Auth/Cert Required
0342T	THXP APHERESIS W/ HDL DELIP Pre-Auth/Cert Required
0345T	TRANSCATH MTRAL VLVE REPAIR Pre-Auth/Cert Required
0346T	ULTRASOUND ELASTOGRAPHY Pre-Auth/Cert Required
0347T	INS BONE DEVICE FOR RSA Pre-Auth/Cert Required
0348T	RSA SPINE EXAM Pre-Auth/Cert Required
0349T	RSA UPPER EXTR EXAM Pre-Auth/Cert Required
0350T	RSA LOWER EXTR EXAM Pre-Auth/Cert Required
0351T	INTRAOP OCT BRST/NODE SPEC Pre-Auth/Cert Required
0352T	OCT BRST/NODE I&R PER SPEC Pre-Auth/Cert Required
0353T	INTRAOP OCT BREAST CAVITY Pre-Auth/Cert Required
0354T	OCT BREAST SURG CAVITY I&R Pre-Auth/Cert Required
0355T	GI TRACT CAPSULE ENDOSCOPY Pre-Auth/Cert Required
0356T	INSRT DRUG DEVICE FOR IOP Pre-Auth/Cert Required
0358T	BIA WHOLE BODY Pre-Auth/Cert Required
0375T	TOTAL DISC ARTHRP ANT APPR Pre-Auth/Cert Required
0376T	INSERT ANT SEGMENT DRAIN INT Pre-Auth/Cert Required
0377T	ANOSCPY INJ AGENT FOR INCONT Pre-Auth/Cert Required
0378T	VISUAL FIELD ASSMNT REV/RPRT Pre-Auth/Cert Required
0379T	VIS FIELD ASSMNT TECH SUPPT Pre-Auth/Cert Required
0380T	COMP ANIMAT RET IMAG SERIES Pre-Auth/Cert Required
0381T	EXT H RATE EPI SZ 14 DAYS Pre-Auth/Cert Required
0382T	EXT H RATE SZ 14 DAY RI ONLY Pre-Auth/Cert Required
0383T	EXT H RATE SZ UP TO 30 DAYS Pre-Auth/Cert Required
0384T	EXT H RATE SZ UP TO 30 DAYS Pre-Auth/Cert Required
0385T	EX H RATE FOR SZ OVR 30 DAY Pre-Auth/Cert Required
0386T	EX H RATE SZ 30+ DAY RI ONLY Pre-Auth/Cert Required
0387T	LEADLESS C PM INS/RPL VENTR Pre-Auth/Cert Required
0388T	LEADLESS C PM REMOVE VENTR Pre-Auth/Cert Required
0389T	PROG EVAL INPER LEADLS PM Pre-Auth/Cert Required
0390T	PERIPROC EVAL INPER LEDLS PM Pre-Auth/Cert Required
0391T	INTERGT EVAL INPER LEADLS PM Pre-Auth/Cert Required
0392T	Laparoscopy, surgical, esophageal sphincter augmentation procedure, placement of sphincter augmentation device (ie, magnetic band) Pre-Auth/Cert Required
0394T	HDR ELCTRNC SKN SURF BRCHYTX Pre-Auth/Cert Required
0395T	HDR ELCTR NTRST/NTRCV BRCHTX Pre-Auth/Cert Required
0397T	ERCP W/OPTICAL ENDOMICROSCPY Pre-Auth/Cert Required
0402T	COLLAGEN CROSSLINKING CORNEA Pre-Auth/Cert Required
0404T	TRNSCRV UTERIN FIBROID ABLTJ Pre-Auth/Cert Required
0405T	OVRSGHT XTRCORP LIV ASST PAT Pre-Auth/Cert Required
0406T	SIN NDSC PLMT DRG ELUT MPLNT Pre-Auth/Cert Required
0407T	SIN NDSC PLMT DRG ELUT MPLNT Pre-Auth/Cert Required
0408T	INSJ/RPLC CARDIAC MODULJ SYS Pre-Auth/Cert Required
0409T	INSJ/RPLC CARDIAC MODULJ PLS GN Pre-Auth/Cert Required
0410T	INSJ/RPLC CAR MODULJ ATR ELT Pre-Auth/Cert Required
0411T	INSJ/RPLC CAR MODULJ VNT ELT Pre-Auth/Cert Required
0412T	RMVL CARDIAC MODULJ PLS GEN Pre-Auth/Cert Required
0413T	RMVL CAR MODULJ TRANVNS ELT Pre-Auth/Cert Required
0414T	RMVL & RPL CAR MODULJ PLS GN Pre-Auth/Cert Required
0415T	REPOS CAR MODULJ TRANVNS ELT Pre-Auth/Cert Required
0416T	RELOC SKIN POCKET PLS GEN Pre-Auth/Cert Required
0417T	PRGRMG EVAL CARDIAC MODULJ Pre-Auth/Cert Required
0418T	INTERRO EVAL CARDIAC MODULJ Pre-Auth/Cert Required
0421T	WATERJET PROSTATE ABLTJ CMPL Pre-Auth/Cert Required
0422T	TACTILE BREAST IMG UNI/BI Pre-Auth/Cert Required
0423T	ASSAY SECRETORY TYPE II PLA2 Pre-Auth/Cert Required
0424T	INSJ/RPLC NSTIM APNEA COMPL Pre-Auth/Cert Required
0425T	INSJ/RPLC NSTIM APNEA SEN LD Pre-Auth/Cert Required
0426T	INSJ/RPLC NSTIM APNEA STM LD Pre-Auth/Cert Required
0427T	INSJ/RPLC NSTIM APNEA PLS GN Pre-Auth/Cert Required
0428T	RMVL NSTIM APNEA PLS GEN Pre-Auth/Cert Required
0429T	RMVL NSTIM APNEA SEN LD Pre-Auth/Cert Required
0430T	RMVL NSTIM APNEA STIMJ LD Pre-Auth/Cert Required
0431T	RMVL/RPLC NSTIM APNEA PLS GN Pre-Auth/Cert Required
0432T	REPOS NSTIM APNEA STIMJ LD Pre-Auth/Cert Required
0433T	REPOS NSTIM APNEA SENSING LD Pre-Auth/Cert Required
0434T	INTERRO EVAL NPGS SLEEP APNEA Pre-Auth/Cert Required
0435T	PRGRMG EVAL NPGS APNEA 1 SES Pre-Auth/Cert Required
0436T	PRGRMG EVAL NPGS APNEA STUDY Pre-Auth/Cert Required
0438T	TPRNL PLMT BIODEGRDABL MATRL Pre-Auth/Cert Required
0439T	MYOCRD CONTRAST PRFUJ ECHO Pre-Auth/Cert Required
0440T	ABLTJ PERC UXTR/PERPH NRV Pre-Auth/Cert Required
0441T	ABLTJ PERC LXTR/PERPH NRV Pre-Auth/Cert Required
0442T	ABLTJ PERC PLEX/TRNCL NRV Pre-Auth/Cert Required
0443T	R-T SPCTRL ALYS PROSTATE TISS Pre-Auth/Cert Required
0444T	1ST PLMT DRUG ELUT OC INS Pre-Auth/Cert Required
0445T	SBSQT PLMT DRUG ELUT OC INS Pre-Auth/Cert Required
0446T	INSJ IMPLTBL GLUCOSE SENSOR Pre-Auth/Cert Required
0447T	RMVL IMPLTBL GLUCOSE SENSOR Pre-Auth/Cert Required
0448T	REMVL INSJ IMPLTBL GLUC SENS Pre-Auth/Cert Required
0449T	INSJ AQUEOUS DRAIN DEV 1ST Pre-Auth/Cert Required
0450T	INSJ AQUEOUS DRAIN DEV EACH Pre-Auth/Cert Required
0451T	INSJ/RPLCMT AORTIC VENTR SYS Pre-Auth/Cert Required
0452T	INSJ/RPLCMT DEV VASC SEAL Pre-Auth/Cert Required
0453T	INSJ/RPLCMT MECH-ELEC NTRFCE Pre-Auth/Cert Required
0454T	INSJ/RPLCMT SUBQ ELECTRODE Pre-Auth/Cert Required
0455T	REMVL AORTIC VENTR CMPL SYS Pre-Auth/Cert Required
0456T	REMVL AORTIC DEV VASC SEAL Pre-Auth/Cert Required
0457T	REMVL MECH-ELEC SKIN NTRFCE Pre-Auth/Cert Required
0458T	REMVL SUBQ ELECTRODE Pre-Auth/Cert Required
0459T	RELOCAJ RPLCMT AORTIC VENTR Pre-Auth/Cert Required
0460T	REPOS AORTIC VENTR DEV ELTRD Pre-Auth/Cert Required
0461T	REPOS AORTIC CONTRPULSJ DEV Pre-Auth/Cert Required
0462T	PRGRMG EVL AORTIC VENTR SYS Pre-Auth/Cert Required
0463T	INTERROG AORTIC VENTR SYS Pre-Auth/Cert Required
0464T	VISUAL EP TEST FOR GLAUCOMA Pre-Auth/Cert Required
0465T	SUPCHRDL NJX RXW/O SUPPLY Pre-Auth/Cert Required
0466T	INSJ CHWAL RESPIR ELTRD/RA Pre-Auth/Cert Required
0467T	REVJ/RPLMNT CH RESPIR ELTRD Pre-Auth/Cert Required
0468T	RMVL CHWAL RESPIR ELTRD/RA Pre-Auth/Cert Required
0472T	PRGRMG IO RTA ELTRD RA Pre-Auth/Cert Required
0473T	REPRGRMG IO RTA ELTRD RA Pre-Auth/Cert Required
0474T	INSJ AQUEOUS DRG DEV IO RSVR Pre-Auth/Cert Required
0475T	REC FTL CAR SGL 3 CH I&R Pre-Auth/Cert Required
0476T	REC FTL CAR SGL ELEC TR DATA Pre-Auth/Cert Required
0477T	REC FTL CAR SGL XRTJ ALYS Pre-Auth/Cert Required
0478T	REC FTL CAR 3 CH REV I&R Pre-Auth/Cert Required
11950	THERAPY FOR CONTOUR DEFE Pre-Auth/Cert Required
11951	THERAPY FOR CONTOUR DEFE Pre-Auth/Cert Required
11952	THERAPY FOR CONTOUR DEFE Pre-Auth/Cert Required
11954	THERAPY FOR CONTOUR DEFE Pre-Auth/Cert Required
11960	INSERT TISSUE EXPANDER(S Pre-Auth/Cert Required
11970	REPLACE TISSUE EXPANDER Pre-Auth/Cert Required
11971	REMOVE TISSUE EXPANDER(S Pre-Auth/Cert Required
15150	CULT EPIDERM GRFT T/ARM/ Pre-Auth/Cert Required
15151	CULT EPIDERM GRFT T/A/L Pre-Auth/Cert Required
15152	CULT EPIDERM GRAFT T/A/L Pre-Auth/Cert Required
15155	CULT EPIDERM GRAFT, F/N/ Pre-Auth/Cert Required
15156	CULT EPIDRM GRFT F/N/HFG Pre-Auth/Cert Required
15157	CULT EPIDERM GRFT F/N/HF Pre-Auth/Cert Required
15271	SKIN SUB GRAFT TRNK/ARM/ Pre-Auth/Cert Required
15272	SKIN SUB GRAFT T/A/L ADD Pre-Auth/Cert Required
15273	SKIN SUB GRFT T/ARM/LG Pre-Auth/Cert Required
15274	SKN SUB GRFT T/A/L CHILD Pre-Auth/Cert Required
15275	SKN SUB GRAFT FACE/NK/HF Pre-Auth/Cert Required
15276	SKN SUB GRAFT F/N/HF/G A Pre-Auth/Cert Required
15277	SKN SUB GRFT F/N/HF/G CH Pre-Auth/Cert Required
15278	SKN SUB GRFT F/N/HF/G CH Pre-Auth/Cert Required
15777	ACELLULAR DERM MATRIX IM Pre-Auth/Cert Required
15786	ABRASION, LESION, SINGLE Pre-Auth/Cert Required
15787	ABRASION, LESIONS, ADD-O Pre-Auth/Cert Required
15819	PLASTIC SURGERY, NECK Pre-Auth/Cert Required
15820	REVISION OF LOWER EYELID Pre-Auth/Cert Required
15821	REVISION OF LOWER EYELID Pre-Auth/Cert Required
15822	REVISION OF UPPER EYELID Pre-Auth/Cert Required
15823	REVISION OF UPPER EYELID Pre-Auth/Cert Required
15824	REMOVAL OF FOREHEAD WRIN Pre-Auth/Cert Required
15825	REMOVAL OF NECK WRINKLES Pre-Auth/Cert Required
15828	REMOVAL OF FACE WRINKLES Pre-Auth/Cert Required
15829	REMOVAL OF SKIN WRINKLES Pre-Auth/Cert Required
15830	EXC SKIN ABD Pre-Auth/Cert Required
15832	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15833	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15834	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15835	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15836	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15837	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15838	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15839	EXCISE EXCESSIVE SKIN TI Pre-Auth/Cert Required
15847	EXC SKIN ABD ADD-ON Pre-Auth/Cert Required
15876	SUCTION ASSISTED LIPECTO Pre-Auth/Cert Required
15877	SUCTION ASSISTED LIPECTO Pre-Auth/Cert Required
15878	SUCTION ASSISTED LIPECTO Pre-Auth/Cert Required
15879	SUCTION ASSISTED LIPECTO Pre-Auth/Cert Required
15999	REMOVAL OF PRESSURE SORE Pre-Auth/Cert Required
17999	SKIN TISSUE PROCEDURE Pre-Auth/Cert Required
19105	CRYOSURG ABLATE FA, EACH Pre-Auth/Cert Required
19281	PERQ DEVICE BREAST 1ST IMAG Pre-Auth/Cert Required
19282	PERQ DEVICE BREAST EA IMAG Pre-Auth/Cert Required
19283	PERQ DEV BREAST 1ST STRTCTC Pre-Auth/Cert Required
19284	PERQ DEV BREAST ADD STRTCTC Pre-Auth/Cert Required
19285	PERQ DEV BREAST 1ST US IMAG Pre-Auth/Cert Required
19286	PERQ DEV BREAST ADD US IMAG Pre-Auth/Cert Required
19287	PERQ DEV BREAST 1ST MR GUIDE Pre-Auth/Cert Required
19288	PERQ DEV BREAST ADD MR GUIDE Pre-Auth/Cert Required
19290	PLACE NEEDLE WIRE, BREAS Pre-Auth/Cert Required
19291	PLACE NEEDLE WIRE, BREAS Pre-Auth/Cert Required
19295	PLACE BREAST CLIP, PERCU Pre-Auth/Cert Required
19296	PLACE PO BREAST CATH FOR Pre-Auth/Cert Required
19297	PLACE BREAST CATH FOR RA Pre-Auth/Cert Required
19298	PLACE BREAST RAD TUBE/CA Pre-Auth/Cert Required
19300	REMOVAL OF BREAST TISSUE Pre-Auth/Cert Required
19304	MAST, SUBQ Pre-Auth/Cert Required
19307	MAST, MOD RAD Pre-Auth/Cert Required
19316	SUSPENSION OF BREAST Pre-Auth/Cert Required
19318	REDUCTION OF LARGE BREAS Pre-Auth/Cert Required
19324	ENLARGE BREAST Pre-Auth/Cert Required
19325	ENLARGE BREAST WITH IMPL Pre-Auth/Cert Required
19328	REMOVAL OF BREAST IMPLAN Pre-Auth/Cert Required
19330	REMOVAL OF IMPLANT MATER Pre-Auth/Cert Required
19340	IMMEDIATE BREAST PROSTHE Pre-Auth/Cert Required
19342	DELAYED BREAST PROSTHESI Pre-Auth/Cert Required
19350	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19355	CORRECT INVERTED NIPPLE( Pre-Auth/Cert Required
19357	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19361	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19364	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19366	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19367	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19368	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19369	BREAST RECONSTRUCTION Pre-Auth/Cert Required
19370	SURGERY OF BREAST CAPSUL Pre-Auth/Cert Required
19371	REMOVAL OF BREAST CAPSUL Pre-Auth/Cert Required
19380	REVISE BREAST RECONSTRUC Pre-Auth/Cert Required
19396	DESIGN CUSTOM BREAST IMP Pre-Auth/Cert Required
19499	BREAST SURGERY PROCEDURE Pre-Auth/Cert Required
20527	INJ DUPUYTREN CORD W/ENZ Pre-Auth/Cert Required
20910	REMOVE CARTILAGE FOR GRA Pre-Auth/Cert Required
20912	REMOVE CARTILAGE FOR GRA Pre-Auth/Cert Required
20930	SPINAL BONE ALLOGRAFT Pre-Auth/Cert Required Spinal Auth form required
20936	SPINAL BONE AUTOGRAFT Pre-Auth/Cert Required Spinal Auth form required
20937	SPINAL BONE AUTOGRAFT Pre-Auth/Cert Required Spinal Auth form required
20938	SPINAL BONE AUTOGRAFT Pre-Auth/Cert Required Spinal Auth form required
20975	ELECTRICAL BONE STIMULAT Pre-Auth/Cert Required
20999	MUSCULOSKELETAL SURGERY Pre-Auth/Cert Required
21025	EXCISION OF BONE, LOWER Pre-Auth/Cert Required
21032	REMOVE EXOSTOSIS, MAXILL Pre-Auth/Cert Required
21050	REMOVAL OF JAW JOINT Pre-Auth/Cert Required
21060	REMOVE JAW JOINT CARTILA Pre-Auth/Cert Required
21073	MNPJ OF TMJ W/ANESTH Pre-Auth/Cert Required
21076	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21077	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21079	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21080	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21081	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21082	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21083	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21085	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21088	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21089	PREPARE FACE/ORAL PROSTH Pre-Auth/Cert Required
21110	INTERDENTAL FIXATION Pre-Auth/Cert Required
21120	RECONSTRUCTION OF CHIN Pre-Auth/Cert Required
21121	RECONSTRUCTION OF CHIN Pre-Auth/Cert Required
21122	RECONSTRUCTION OF CHIN Pre-Auth/Cert Required
21123	RECONSTRUCTION OF CHIN Pre-Auth/Cert Required
21125	AUGMENTATION, LOWER JAW Pre-Auth/Cert Required
21127	AUGMENTATION, LOWER JAW Pre-Auth/Cert Required
21137	REDUCTION OF FOREHEAD Pre-Auth/Cert Required
21138	REDUCTION OF FOREHEAD Pre-Auth/Cert Required
21139	REDUCTION OF FOREHEAD Pre-Auth/Cert Required
21141	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21142	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21143	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21145	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21146	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21147	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21150	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21151	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21154	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21155	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21159	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21160	RECONSTRUCT MIDFACE, LEF Pre-Auth/Cert Required
21172	RECONSTRUCT ORBIT/FOREHE Pre-Auth/Cert Required
21179	RECONSTRUCT ENTIRE FOREH Pre-Auth/Cert Required
21180	RECONSTRUCT ENTIRE FOREH Pre-Auth/Cert Required
21181	CONTOUR CRANIAL BONE LES Pre-Auth/Cert Required
21182	RECONSTRUCT CRANIAL BONE Pre-Auth/Cert Required
21188	RECONSTRUCTION OF MIDFAC Pre-Auth/Cert Required
21193	RECONST LWR JAW W/O GRAF Pre-Auth/Cert Required
21194	RECONST LWR JAW W/GRAFT Pre-Auth/Cert Required
21195	RECONST LWR JAW W/O FIXA Pre-Auth/Cert Required
21196	RECONST LWR JAW W/FIXATI Pre-Auth/Cert Required
21198	RECONSTR LWR JAW SEGMENT Pre-Auth/Cert Required
21199	RECONSTR LWR JAW W/ADVAN Pre-Auth/Cert Required
21206	RECONSTRUCT UPPER JAW BO Pre-Auth/Cert Required
21208	AUGMENTATION OF FACIAL B Pre-Auth/Cert Required
21209	REDUCTION OF FACIAL BONE Pre-Auth/Cert Required
21210	FACE BONE GRAFT Pre-Auth/Cert Required
21215	LOWER JAW BONE GRAFT Pre-Auth/Cert Required
21230	RIB CARTILAGE GRAFT Pre-Auth/Cert Required
21235	EAR CARTILAGE GRAFT Pre-Auth/Cert Required
21240	RECONSTRUCTION OF JAW JO Pre-Auth/Cert Required
21242	RECONSTRUCTION OF JAW JO Pre-Auth/Cert Required
21243	RECONSTRUCTION OF JAW JO Pre-Auth/Cert Required
21244	RECONSTRUCTION OF LOWER Pre-Auth/Cert Required
21245	RECONSTRUCTION OF JAW Pre-Auth/Cert Required
