signal_id	frequency_per_signal	signal_unit_id	frequency_per_signal_unit	rambam_signal_name	rambam_unit	empty	first_val	ignore_me1	medial_signal_name	medial_unit	rambam_resolution	conversion_factor	medial_resolution	SpecialRule	ignore_me2	ignore_me3
CYA 	11092	CYA@NG/ML 	11092	0: CYA~1: CYA-CYCLOSPORINE PARENT DRUG 	NG/ML 		0	38	CYA_CYCLOSPORINE_P_D	NG/ML	0.01	1	0.01			TRUE
880158010	14379	880158010@NG/ML 	14379	0: 880158010~1: Cyclosporine - blood 	NG/ML 		0	60	CyclosporineBlood	NG/ML	0.1	1	0.1			TRUE
806331010	10833	806331010@MG/L 	10043	0: 806331010~1: D-Dimer (FEU) 	MG/L 		0	24	DDIMER	NG/ML	0.01	1000	10			TRUE
806331010	10833	806331010@NG/ML 	790	0: 806331010~1: D-Dimer (FEU) 	NG/ML 		32	1	DDIMER	NG/ML	1	1	10			TRUE
493	44964	493@NULL 	44964	0: 493~1: עורקי דיאסטולי 	NULL 		4	2	Diastolic	MMHG 	10	1	10			TRUE
7	4600350	7@MMHG 	4600350	0: 7~1: דיאסטולי 	MMHG 		-90	1	Diastolic	MMHG	1	1	1			TRUE
805024010	842492	805024010@X10^3/µL 	777162	0: 805024010~1: Eosinophils - abs 	X10^3/µL 		62.4	1	EosNum	10*9/L	0.1	1	0.1			FALSE
805024010	842492	805024010@X10^3/MCRL 	65241	0: 805024010~1: Eosinophils - abs 	X10^3/MCRL 		0	2120	EosNum	10*9/L	0.1	1	0.1			TRUE
805988010	14349	805988010@X10^3/µL 	14348	0: 805988010~1: Eosinophils (manual) - abs 	X10^3/µL 		0	3792	EosNum	10*9/L	0.01	1	0.01			TRUE
805018010	1035644	805018010@% 	1035428	0: 805018010~1: Eosinophils % 	% 		0	63383	EosPerc	%	1	1	1			TRUE
805018010	1035644	805018010@NULL 	216	0: 805018010~1: Eosinophils % 	NULL 		0.1	4	EosPerc	%	1	1	1			TRUE
805104010	35139	805104010@% 	35139	0: 805104010~1: Eosinophils (manual) % 	% 		0	3930	EosPerc	%	1	1	1			TRUE
805323010	21903	805323010@MM/HR 	19103	0: 805323010~1: ERYTHROCYTE SEDIMENTATION RATE 	MM/HR 		0	31	ESR	MM/HR 	10	1	10			TRUE
805323010	21903	805323010@NULL 	2800	0: 805323010~1: ERYTHROCYTE SEDIMENTATION RATE 	NULL 		0	2	ESR	MM/HR 	10	1	10			TRUE
20	33861	"20@מ""מ/כספית "	33861	0: 20~1: ETCO2 	"מ""מ/כספית "		0	22	ETCO2	MMHG	3	1	3			TRUE
882728010	53425	882728010@NG/ML 	53338	0: 882728010~1: Ferritin-BL 	NG/ML 		0	2	Ferritin	ug/L	1	1	1			TRUE
885384010	62931	885384010@MG/DL 	62929	0: 885384010~1: Fibrinogen 	MG/DL 		12.9	1	Fibrinogen	mg/dL	0.1	1	0.1			TRUE
435	46844	435@CC 	46844	"0: 435~1: מאזן נוזלים סה""כ 4 "	CC 		-36000	1	Fluid_Balance	mL	100	1	100			TRUE
882746010	15337	882746010@NG/ML 	13419	0: 882746010~1: Folic Acid 	NG/ML 		0.1	1	Folate	ug/L	0.1	1	0.1			TRUE
884439010	57870	884439010@NULL 	824	"0: 884439010~1: FT4 (thyroxine), free "	NULL 		0	1	FreeT4	NG/DL	0.01	0.0777	0.000777			TRUE
884439010	57870	884439010@PMOL/L 	57046	"0: 884439010~1: FT4 (thyroxine), free "	PMOL/L 		0.3	2	FreeT4	NG/DL	0.01	0.0777	0.000777			TRUE
885018010	1671849	885018010@NULL 	3363	0: 885018010~1: HGB 	NULL 		-10.2	1	Hemoglobin	G/DL	0.1	1	0.1			TRUE
802042010	15064	802042010@% 	15003	0: 802042010~1: gamma-Globulin (ELCP)-BL % 	% 		0	2	GammaGlobulin	%	0.1	1	0.1			TRUE
802042010	15064	802042010@NULL 	61	0: 802042010~1: gamma-Globulin (ELCP)-BL % 	NULL 		0.8	1	GammaGlobulin	%	0.1	1	0.1			TRUE
882977010	621117	882977010@NULL 	3402	0: 882977010~1: Gamma Glutamyl Transpeptidase (GGT)-BL 	NULL 		0	1	GGT	IU/L	1	1	1			TRUE
882977010	621117	882977010@U/L 	617715	0: 882977010~1: Gamma Glutamyl Transpeptidase (GGT)-BL 	U/L 		0	8	GGT	IU/L	1	1	1			TRUE
1001308	71589	1001308@MG/DL 	71589	0: 1001308~1: Glucose-BL (POC) 	MG/DL 		5	41	Glucose	mg/dL	1	1	1			TRUE
14	1504510	14@NULL 	1504510	0: 14~1: עקומת סוכר 	NULL 		0	565	Glucose	mg/dL	1	1	1			TRUE
802194140	916122	802194140@MG/DL 	916121	0: 802194140~1: Glucose (glucometer) - whole blood 	MG/DL 		10	195	Glucose	mg/dL	1	1	1			TRUE
882947010	2021053	882947010@MG/DL 	2014270	0: 882947010~1: Glucose-BL 	MG/DL 		0	8	Glucose	mg/dl 	1	1	1			TRUE
882947010	2021053	882947010@NULL 	6782	0: 882947010~1: Glucose-BL 	NULL 		0.7	1	Glucose	mg/dl	1	1	1			TRUE
801030400	24659	801030400@MG/DL 	24659	0: 801030400~1: Glucose-UR-Strip 	MG/DL 		0	1537	Glucose-UR	MG/DL 	1	1	1			TRUE
883036010	12706	883036010@MMOL/MOL 	12706	0: 883036010~1: Hemoglobin A1C - blood 	MMOL/MOL 		18.03	1	HbA1CPERC	%	0.01	1	0.1	HbA1cRule		TRUE
883036970	24301	883036970@% 	23266	0: 883036970~1: Hemoglobin A1C % - blood 	% 		3.1	1	HbA1CPERC	%	0.1	1	0.1			TRUE
883036970	24301	883036970@NULL 	1035	0: 883036970~1: Hemoglobin A1C % - blood 	NULL 		3.1	1	HbA1CPERC	%	0.1	1	0.1			TRUE
883718010	168939	883718010@MG/DL 	164582	0: 883718010~1: HDL-Cholesterol-BL 	MG/DL 		0	7	HDL	mg/dL	1	1	1			TRUE
883718010	168939	883718010@NULL 	4357	0: 883718010~1: HDL-Cholesterol-BL 	NULL 		-35	1	HDL	mg/dL	1	1	1			TRUE
805010010	432356	805010010@% 	95171	0: 805010010~1: HDW 	% 		0	4	HDW	G/DL 	0.01	1	0.1			TRUE
805010010	432356	805010010@G/DL 	337185	0: 805010010~1: HDW 	G/DL 		0	31	HDW	G/DL 	0.01	1	0.1		Hemoglobin Distribution width	TRUE
33	92991	"33@ס""מ "	92991	0: 33~1: גובה 	"ס""מ "		0	6	Height	cm	1	10	10			TRUE
1001312	67157	1001312@% 	67157	0: 1001312~1: HCT (POC) 	% 		15	271	Hematocrit	%	1	1	1			TRUE
805004010	1590034	805004010@% 	1588986	0: 805004010~1: HCT 	% 		0	68	Hematocrit	% 	1	1	1			TRUE
805004010	1590034	805004010@NULL 	1048	0: 805004010~1: HCT 	NULL 		4.87	1	IGNORE							TRUE
1001313	28940	1001313@G/DL 	28940	0: 1001313~1: HGB (POC) 	G/DL 		4.3	1	Hemoglobin	g/dL	0.1	1	0.1			TRUE
885018010	1671849	885018010@G% 	192854	0: 885018010~1: HGB 	G% 		0	3	Hemoglobin	G/DL 	0.1	1	0.1			TRUE
885018010	1671849	885018010@G/DL 	1465763	0: 885018010~1: HGB 	G/DL 		0	73	Hemoglobin	G/DL 	0.1	1	0.1			TRUE
885018010	1671849	885018010@GR% 	9869	0: 885018010~1: HGB 	GR% 		2	1	Hemoglobin	G/DL	0.1	1	0.1			TRUE
805042010	367157	805042010@% 	367157	0: 805042010~1: Hyperchromia 	% 		0	627	Hyperchromia	%	0.1	1	0.1			TRUE
805041010	367067	805041010@% 	367067	0: 805041010~1: Hypochromia 	% 		0	896	Hypochromia	%	0.1	1	0.1			TRUE
805412010	21615	805412010@MG/DL 	21609	0: 805412010~1: IgA 	MG/DL 		0	2	IgA	MG/DL 	0.1	1	1			TRUE
IGFL 	134107	IGFL@NULL 	134107	0: IGFL~1: IG 	NULL 		-91.1	1	IGFL	NULL	0.1	1	0.1			TRUE
805410010	22361	805410010@MG/DL 	22357	0: 805410010~1: IgG 	MG/DL 		0.61	1	IgG	MG/DL 	1	1	1			TRUE
805411010	21230	805411010@MG/DL 	21227	0: 805411010~1: IgM 	MG/DL 		0	1	IgM	MG/DL 	0.1	1	0.1			TRUE
801012400	92991	801012400@NULL 	5	0: 801012400~1: Protein-UR-Strip 	NULL 		3	1	IGNORE							TRUE
801019400	24888	801019400@MG/DL 	1	0: 801019400~1: Blood-UR-Strip 	MG/DL 		150	1	IGNORE							TRUE
802007010	17070	802007010@NULL 	60	0: 802007010~1: alpha1-globulin % (EP) - blood 	NULL 		0.1	1	IGNORE							TRUE
802009010	17036	802009010@NULL 	60	0: 802009010~1: alpha2-globulin % (EP) - blood 	NULL 		0.7	1	IGNORE							TRUE
802076010	95855	802076010@NULL 	42	0: 802076010~1: C-Reactive Protein-BL 	NULL 		0	1	IGNORE							TRUE
802194140	916122	802194140@NULL 	1	0: 802194140~1: Glucose (glucometer) - whole blood 	NULL 		134	1	IGNORE							TRUE
802211010	104065	802211010@NULL 	13	0: 802211010~1: Non HDL cholesterol - blood 	NULL 		33	1	IGNORE							TRUE
803556140	585813	803556140@NULL 	12	0: 803556140~1: Bicarbonate (HCO3) 	NULL 		2.4	1	IGNORE							TRUE
805001010	1571177	805001010@X10^3/ML 	15607	0: 805001010~1: WBC 	X10^3/ML 		0	2	IGNORE							TRUE
805001400	26612	805001400@LEUCO/HPF 	150	0: 805001400~1: Leucocytes-UR-Strip 	LEUCO/HPF 		0	120	IGNORE							TRUE
805001400	26612	805001400@NULL 	270	0: 805001400~1: Leucocytes-UR-Strip 	NULL 		0	263	IGNORE							TRUE
805021010	929304	805021010@% 	90	0: 805021010~1: Neutrophils - abs 	% 		0.7	1	IGNORE							TRUE
805023010	842538	805023010@% 	89	0: 805023010~1: Monocytes - abs 	% 		0.08	1	IGNORE							TRUE
805024010	842492	805024010@% 	89	0: 805024010~1: Eosinophils - abs 	% 		0	2	IGNORE							TRUE
805025010	842495	805025010@% 	89	0: 805025010~1: Basophils - abs 	% 		0	5	IGNORE							TRUE
805026010	192069	805026010@X10^3/MCRL 	4	0: 805026010~1: Large unstained cells- abs 	X10^3/MCRL 		0	1	IGNORE							TRUE
805037010	366962	805037010@NULL 	1	0: 805037010~1: Microcytosis 	NULL 		1.8	1	IGNORE							TRUE
805410010	22361	805410010@NULL 	4	0: 805410010~1: IgG 	NULL 		438	1	IGNORE							TRUE
805411010	21230	805411010@NULL 	3	0: 805411010~1: IgM 	NULL 		50	1	IGNORE							TRUE
805412010	21615	805412010@NULL 	6	0: 805412010~1: IgA 	NULL 		115	1	IGNORE							TRUE
805853010	15458	805853010@NULL 	4	0: 805853010~1: Complement C4-BL 	NULL 		16	1	IGNORE							TRUE
805985010	12681	805985010@NULL 	1	0: 805985010~1: Bands (manual) - abs 	NULL 		0.09	1	IGNORE							TRUE
805986010	17996	805986010@NULL 	1	0: 805986010~1: Lymphocytes (manual)  - abs 	NULL 		0.88	1	IGNORE							TRUE
805987010	17696	805987010@NULL 	1	0: 805987010~1: Monocytes (manual) - abs 	NULL 		0.97	1	IGNORE							TRUE
805988010	14349	805988010@NULL 	1	0: 805988010~1: Eosinophils (manual) - abs 	NULL 		0.18	1	IGNORE							TRUE
806468010	488053	806468010@26.6 	1	0: 806468010~1: INR 	26.6		1.07	1	IGNORE							TRUE
847	28489	847@NULL 	28489	0: 847~1: אמדן כאב FLACC בכי 	NULL 		0	28489	IGNORE							TRUE
848	23977	848@NULL 	23977	0: 848~1: אמדן כאב FLACC הרגעה 	NULL 		0	23977	IGNORE							TRUE
851	22363	851@NULL 	22363	0: 851~1: CPOT פנים 	NULL 		0	22349	IGNORE							FALSE
851	22363	851@NULL 	22363	0: 851~1: CPOT פנים 	NULL 		0	14	IGNORE							TRUE
856	45404	856@% 	45404	None 	% 		4	1	IGNORE							TRUE
882009400	22333	882009400@G/L 	252	0: 882009400~1: Ketones-UR strip 	G/L 		15	178	IGNORE							TRUE
882150010	485289	882150010@NULL 	175	0: 882150010~1: Amylase-BL 	NULL 		8.1	1	IGNORE							TRUE
882330140	583162	882330140@NULL 	7	0: 882330140~1: Calcium++ 	NULL 		1.02	1	IGNORE							TRUE
882550010	290616	882550010@NULL 	1122	0: 882550010~1: Creatine Kinase (CK)-BL 	NULL 		0.57	1	IGNORE							TRUE
882570040	35196	882570040@NULL 	8	0: 882570040~1: Creatinine-UR 	NULL 		0.65	1	IGNORE							TRUE
882570950	20391	882570950@NULL 	50	0: 882570950~1: Creatinine-UR/24h 	NULL 		0.6	1	IGNORE							TRUE
882607010	17949	882607010@PMOL/L 	2	0: 882607010~1: Vitamin B12 	PMOL/L 		171	1	IGNORE							TRUE
882728010	53425	882728010@NULL 	87	0: 882728010~1: Ferritin-BL 	NULL 		4.8	1	IGNORE							TRUE
882746010	15337	882746010@MG/ML 	1869	0: 882746010~1: Folic Acid 	MG/ML 		1	2	IGNORE							TRUE
882746010	15337	882746010@NULL 	49	0: 882746010~1: Folic Acid 	NULL 		2.7	1	IGNORE							TRUE
882947010	2021053	882947010@69 	1	0: 882947010~1: Glucose-BL 	69		69	1	IGNORE							TRUE
883605140	575584	883605140@NULL 	8	0: 883605140~1: Lactate 	NULL 		0.6	1	IGNORE							TRUE
883615010	525300	883615010@NULL 	2059	0: 883615010~1: Lactate Dehydrogenase (LDH)-BL 	NULL 		0	1	IGNORE							TRUE
883735010	625013	883735010@NULL 	138	0: 883735010~1: Magnesium-BL 	NULL 		0	1	IGNORE							TRUE
883930010	33664	883930010@NULL 	22	0: 883930010~1: Osmolarity-BL 	NULL 		269	1	IGNORE							TRUE
883935040	24366	883935040@NULL 	16	0: 883935040~1: Osmolarity-UR 	NULL 		209	1	IGNORE							TRUE
884075010	660192	884075010@; 	1	0: 884075010~1: Alkaline Phosphatase-BL 	; 		189	1	IGNORE							TRUE
885384010	62931	885384010@NULL 	2	0: 885384010~1: Fibrinogen 	NULL 		236	1	IGNORE							TRUE
886160010	15535	886160010@NULL 	4	0: 886160010~1: Complement C3-BL 	NULL 		75	1	IGNORE							TRUE
887	25928	887@שעות 	25928	None 	שעות 		0	3	IGNORE							TRUE
ALMP 	65338	ALMP@% 	89	0: ALMP~1: LYMHOCYTES (ABS) 	% 		0.07	1	IGNORE							TRUE
ALUC 	65401	ALUC@% 	89	0: ALUC~1: LARGE UNSTAINED CELLS (ABS) 	% 		0.02	3	IGNORE							TRUE
PT 	69133	PT@% 	68598	0: PT~1: PROTHROMBIN TIME % 	% 		0	7	IGNORE							TRUE
PT 	69133	PT@NULL 	535	0: PT~1: PROTHROMBIN TIME % 	NULL 		0.13	1	IGNORE							TRUE
WBCM 	38692	WBCM@NULL 	38692	0: WBCM~1: LABFLEGS 	NULL 		0	27179	IGNORE							TRUE
805980010	382820	805980010@% 	382820	0: 805980010~1: Immature Granulocytes % 	% 		0	16188	Immature_Granulocytes%	%	0.1	1	0.1			TRUE
805979010	382833	805979010@X10^3/µL 	382833	0: 805979010~1: Immature Granulocytes - abs 	X10^3/µL 		0	16154	Immature_Granulocytes-abs	10*9/L	0.01	1	0.01			TRUE
805705010	10875	805705010@% 	10875	0: 805705010~1: Immature Reticulocyte Fraction (IRF) 	% 		0	911	ImmatureReticulocyteFraction	%	0.1	1	0.1			TRUE
805989010	12991	805989010@NULL 	1	0: 805989010~1: Basophils[unsupported character] (manual) - abs 	NULL 		0.09	1	IGNORE							TRUE
884100010	715105	884100010@MG/DL 	712828	0: 884100010~1: Inorganic Phosphate-BL 	MG/DL 		0.1	2	InorganicPhosphate	mg/dL	0.1	1	0.1			TRUE
884100010	715105	884100010@NULL 	2277	0: 884100010~1: Inorganic Phosphate-BL 	NULL 		1.2	1	InorganicPhosphate	mg/dL	0.1	1	0.1			TRUE
806468010	488053	806468010@INR 	364209	0: 806468010~1: INR 	INR 		0	6	INR	Ratio	0.01	1	0.01			TRUE
806468010	488053	806468010@NULL 	123843	0: 806468010~1: INR 	NULL 		0	30	INR	Ratio	0.01	1	0.01			TRUE
883540010	58822	883540010@µG/DL 	43668	0: 883540010~1: Iron-BL 	µG/DL 		0	1	Iron	ug/dL	1	1	1			TRUE
883540010	58822	883540010@MICROG/DL 	13983	0: 883540010~1: Iron-BL 	MICROG/DL 		1	1	Iron	ug/dL	1	1	1			TRUE
883540010	58822	883540010@NULL 	1171	0: 883540010~1: Iron-BL 	NULL 		0	1	Iron	ug/dL	1	1	1			TRUE
225	32062	225@CC 	32062	0: 225~1: נוזלים IV 	CC 		0	20	IV_FLUIDS	mL	1	1	1			TRUE
882009400	22333	882009400@MG/DL 	22081	0: 882009400~1: Ketones-UR strip 	MG/DL 		0	292	Ketones-UR	MG/DL 	1	1	1			TRUE
1001309	71535	1001309@MMOL/L 	71535	0: 1001309~1: Lactate (POC) 	MMOL/L 		0.2	119	Lactate	MG/DL	0.1	9.008	0.1			TRUE
883605140	575584	883605140@MMOL/L 	575576	0: 883605140~1: Lactate 	MMOL/L 		-0.2	1	Lactate	MG/DL 	0.1	9.008	0.1			TRUE
883615010	525300	883615010@U/L 	523240	0: 883615010~1: Lactate Dehydrogenase (LDH)-BL 	U/L 		0	11	LDH	U/L	1	1	1			TRUE
802152970	153562	802152970@MG/DL 	149242	0: 802152970~1: LDL Cholesterol (Calc)-BL 	MG/DL 		-74.6	1	LDL	mg/dL	1	1	1			TRUE
802152970	153562	802152970@NULL 	4320	0: 802152970~1: LDL Cholesterol (Calc)-BL 	NULL 		0.94	1	LDL	mg/dL	1	1	1			TRUE
805001400	26612	805001400@LEU/µL 	26166	0: 805001400~1: Leucocytes-UR-Strip 	LEU/µL 		0	113	Leucocytes-UR	1/uL	1	1	1			TRUE
