***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
A4216	"Sterile water, saline and/or dextrose, diluent/flush, 10 ml"	"Sterile water/saline, 10 ml"
A4217	"Sterile water/saline, 500 ml"	"Sterile water/saline, 500 ml"
A4218	"Sterile saline or water, metered dose dispenser, 10 ml"	Sterile saline or water
A4220	Refill kit for implantable infusion pump	Infusion pump refill kit
A4221	"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs separately)"	Supp non-insulin inf cath/wk
A4222	"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)"	Infusion supplies with pump
A4223	"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)"	Infusion supplies w/o pump
A4224	"Supplies for maintenance of insulin infusion catheter, per week"	Supply insulin inf cath/wk
A4225	"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each"	Sup/ext insulin inf pump syr
A4230	"Infusion set for external insulin pump, non needle cannula type"	Infus insulin pump non needl
A4231	"Infusion set for external insulin pump, needle type"	Infusion insulin pump needle
A4232	"Syringe with needle for external insulin pump, sterile, 3 cc"	Syringe w/needle insulin 3cc
A4233	"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each"	Alkalin batt for glucose mon
A4234	"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each"	J-cell batt for glucose mon
A4235	"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each"	Lithium batt for glucose mon
A4236	"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each"	Silvr oxide batt glucose mon
A4244	"Alcohol or peroxide, per pint"	Alcohol or peroxide per pint
A4245	"Alcohol wipes, per box"	Alcohol wipes per box
A4246	"Betadine or phisohex solution, per pint"	Betadine/phisohex solution
A4247	"Betadine or iodine swabs/wipes, per box"	Betadine/iodine swabs/wipes
A4248	"Chlorhexidine containing antiseptic, 1 ml"	Chlorhexidine antisept
A4250	Urine test or reagent strips or tablets (100 tablets or strips)	Urine reagent strips/tablets
A4252	"Blood ketone test or reagent strip, each"	Blood ketone test or strip
A4253	"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"	Blood glucose/reagent strips
A4255	"Platforms for home blood glucose monitor, 50 per box"	Glucose monitor platforms
A4256	"Normal, low and high calibrator solution / chips"	Calibrator solution/chips
A4257	"Replacement lens shield cartridge for use with laser skin piercing device, each"	Replace lensshield cartridge
A4258	"Spring-powered device for lancet, each"	Lancet device each
A4259	"Lancets, per box of 100"	Lancets per box
A4261	Cervical cap for contraceptive use	Cervical cap contraceptive
A4262	"Temporary, absorbable lacrimal duct implant, each"	Temporary tear duct plug
A4263	"Permanent, long term, non-dissolvable lacrimal duct implant, each"	Permanent tear duct plug
A4264	Permanent implantable contraceptive intratubal occlusion device(s) and delivery system	Intratubal occlusion device
A4265	"Paraffin, per pound"	Paraffin
A4266	Diaphragm for contraceptive use	Diaphragm
A4267	"Contraceptive supply, condom, male, each"	Male condom
A4268	"Contraceptive supply, condom, female, each"	Female condom
A4269	"Contraceptive supply, spermicide (e.g., foam, gel), each"	Spermicide
A4270	"Disposable endoscope sheath, each"	Disposable endoscope sheath
A4280	"Adhesive skin support attachment for use with external breast prosthesis, each"	Brst prsths adhsv attchmnt
A4281	"Tubing for breast pump, replacement"	Replacement breastpump tube
A4282	"Adapter for breast pump, replacement"	Replacement breastpump adpt
A4283	"Cap for breast pump bottle, replacement"	Replacement breastpump cap
A4284	"Breast shield and splash protector for use with breast pump, replacement"	Replcmnt breast pump shield
A4285	"Polycarbonate bottle for use with breast pump, replacement"	Replcmnt breast pump bottle
A4286	"Locking ring for breast pump, replacement"	Replcmnt breastpump lok ring
A4290	"Sacral nerve stimulation test lead, each"	Sacral nerve stim test lead
A4300	"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access"	Cath impl vasc access portal
A4301	"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)"	Implantable access syst perc
A4305	"Disposable drug delivery system, flow rate of 50 ml or greater per hour"	Drug delivery system >=50 ml
A4306	"Disposable drug delivery system, flow rate of less than 50 ml per hour"	Drug delivery system <=50 ml
A4310	Insertion tray without drainage bag and without catheter (accessories only)	Insert tray w/o bag/cath
A4311	"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"	Catheter w/o bag 2-way latex
A4312	"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone"	Cath w/o bag 2-way silicone
A4313	"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"	Catheter w/bag 3-way
A4314	"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"	Cath w/drainage 2-way latex
A4315	"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone"	Cath w/drainage 2-way silcne
A4316	"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"	Cath w/drainage 3-way
A4320	"Irrigation tray with bulb or piston syringe, any purpose"	Irrigation tray
A4321	Therapeutic agent for urinary catheter irrigation	Cath therapeutic irrig agent
A4322	"Irrigation syringe, bulb or piston, each"	Irrigation syringe
A4326	"Male external catheter with integral collection chamber, any type, each"	Male external catheter
A4327	"Female external urinary collection device; meatal cup, each"	Fem urinary collect dev cup
A4328	"Female external urinary collection device; pouch, each"	Fem urinary collect pouch
A4330	"Perianal fecal collection pouch with adhesive, each"	Stool collection pouch
A4331	"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each"	Extension drainage tubing
A4332	"Lubricant, individual sterile packet, each"	Lube sterile packet
A4333	"Urinary catheter anchoring device, adhesive skin attachment, each"	Urinary cath anchor device
A4334	"Urinary catheter anchoring device, leg strap, each"	Urinary cath leg strap
A4335	Incontinence supply; miscellaneous	Incontinence supply
A4336	"Incontinence supply, urethral insert, any type, each"	Urethral insert
A4337	"Incontinence supply, rectal insert, any type, each"	Incontinent rectal insert
A4338	"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"	Indwelling catheter latex
A4340	"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each"	Indwelling catheter special
A4344	"Indwelling catheter, foley type, two-way, all silicone, each"	Cath indw foley 2 way silicn
A4346	"Indwelling catheter; foley type, three way for continuous irrigation, each"	Cath indw foley 3 way
A4349	"Male external catheter, with or without adhesive, disposable, each"	Disposable male external cat
A4351	"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"	Straight tip urine catheter
A4352	"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each"	Coude tip urinary catheter
A4353	"Intermittent urinary catheter, with insertion supplies"	Intermittent urinary cath
A4354	Insertion tray with drainage bag but without catheter	Cath insertion tray w/bag
A4355	"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each"	Bladder irrigation tubing
A4356	"External urethral clamp or compression device (not to be used for catheter clamp), each"	Ext ureth clmp or compr dvc
A4357	"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each"	Bedside drainage bag
A4358	"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each"	Urinary leg or abdomen bag
A4360	"Disposable external urethral clamp or compression device, with pad and/or pouch, each"	Disposable ext urethral dev
A4361	"Ostomy faceplate, each"	Ostomy face plate
A4362	"Skin barrier; solid, 4 x 4 or equivalent; each"	Solid skin barrier
A4363	"Ostomy clamp, any type, replacement only, each"	"Ostomy clamp, replacement"
A4364	"Adhesive, liquid or equal, any type, per oz"	"Adhesive, liquid or equal"
A4366	"Ostomy vent, any type, each"	Ostomy vent
A4367	"Ostomy belt, each"	Ostomy belt
A4368	"Ostomy filter, any type, each"	Ostomy filter
A4369	"Ostomy skin barrier, liquid (spray, brush, etc.), per oz"	Skin barrier liquid per oz
A4371	"Ostomy skin barrier, powder, per oz"	Skin barrier powder per oz
A4372	"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each"	Skin barrier solid 4x4 equiv
A4373	"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each"	Skin barrier with flange
A4375	"Ostomy pouch, drainable, with faceplate attached, plastic, each"	Drainable plastic pch w fcpl
A4376	"Ostomy pouch, drainable, with faceplate attached, rubber, each"	Drainable rubber pch w fcplt
A4377	"Ostomy pouch, drainable, for use on faceplate, plastic, each"	Drainable plstic pch w/o fp
A4378	"Ostomy pouch, drainable, for use on faceplate, rubber, each"	Drainable rubber pch w/o fp
A4379	"Ostomy pouch, urinary, with faceplate attached, plastic, each"	Urinary plastic pouch w fcpl
A4380	"Ostomy pouch, urinary, with faceplate attached, rubber, each"	Urinary rubber pouch w fcplt
A4381	"Ostomy pouch, urinary, for use on faceplate, plastic, each"	Urinary plastic pouch w/o fp
A4382	"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each"	Urinary hvy plstc pch w/o fp
A4383	"Ostomy pouch, urinary, for use on faceplate, rubber, each"	Urinary rubber pouch w/o fp
A4384	"Ostomy faceplate equivalent, silicone ring, each"	Ostomy faceplt/silicone ring
A4385	"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each"	Ost skn barrier sld ext wear
A4387	"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each"	Ost clsd pouch w att st barr
A4388	"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each"	Drainable pch w ex wear barr
A4389	"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each"	Drainable pch w st wear barr
A4390	"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each"	Drainable pch ex wear convex
A4391	"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each"	Urinary pouch w ex wear barr
A4392	"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each"	Urinary pouch w st wear barr
A4393	"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each"	Urine pch w ex wear bar conv
A4394	"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce"	Ostomy pouch liq deodorant
A4395	"Ostomy deodorant for use in ostomy pouch, solid, per tablet"	Ostomy pouch solid deodorant
A4396	Ostomy belt with peristomal hernia support	Peristomal hernia supprt blt
A4397	"Irrigation supply; sleeve, each"	Irrigation supply sleeve
A4398	"Ostomy irrigation supply; bag, each"	Ostomy irrigation bag
A4399	"Ostomy irrigation supply; cone/catheter, with or without brush"	Ostomy irrig cone/cath w brs
A4400	Ostomy irrigation set	Ostomy irrigation set
A4402	"Lubricant, per ounce"	Lubricant per ounce
A4404	"Ostomy ring, each"	Ostomy ring each
A4405	"Ostomy skin barrier, non-pectin based, paste, per ounce"	Nonpectin based ostomy paste
A4406	"Ostomy skin barrier, pectin-based, paste, per ounce"	Pectin based ostomy paste
A4407	"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each"	"Ext wear ost skn barr <=4sq"""
A4408	"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each"	"Ext wear ost skn barr >4sq"""
A4409	"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each"	Ost skn barr convex <=4 sq i
A4410	"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each"	Ost skn barr extnd >4 sq
A4411	"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each"	Ost skn barr extnd =4sq
A4412	"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each"	Ost pouch drain high output
A4413	"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each"	2 pc drainable ost pouch
A4414	"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each"	Ost sknbar w/o conv<=4 sq in
A4415	"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each"	Ost skn barr w/o conv >4 sqi
A4416	"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each"	Ost pch clsd w barrier/filtr
A4417	"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each"	Ost pch w bar/bltinconv/fltr
A4418	"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each"	Ost pch clsd w/o bar w filtr
A4419	"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each"	Ost pch for bar w flange/flt
A4420	"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each"	Ost pch clsd for bar w lk fl
A4421	Ostomy supply; miscellaneous	Ostomy supply misc
A4422	"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each"	Ost pouch absorbent material
A4423	"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each"	Ost pch for bar w lk fl/fltr
A4424	"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each"	Ost pch drain w bar & filter
A4425	"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each"	Ost pch drain for barrier fl
A4426	"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each"	Ost pch drain 2 piece system
A4427	"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each"	Ost pch drain/barr lk flng/f
A4428	"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each"	Urine ost pouch w faucet/tap
A4429	"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"	Urine ost pouch w bltinconv
A4430	"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"	Ost urine pch w b/bltin conv
A4431	"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each"	Ost pch urine w barrier/tapv
A4432	"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each"	Os pch urine w bar/fange/tap
A4433	"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each"	Urine ost pch bar w lock fln
A4434	"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each"	Ost pch urine w lock flng/ft
A4435	"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each"	1pc ost pch drain hgh output
A4450	"Tape, non-waterproof, per 18 square inches"	Non-waterproof tape
A4452	"Tape, waterproof, per 18 square inches"	Waterproof tape
A4455	"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce"	Adhesive remover per ounce
A4456	"Adhesive remover, wipes, any type, each"	"Adhesive remover, wipes"
A4458	"Enema bag with tubing, reusable"	Reusable enema bag
A4459	"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type"	"Manual pump enema, reusable"
A4461	"Surgical dressing holder, non-reusable, each"	Surgicl dress hold non-reuse
A4463	"Surgical dressing holder, reusable, each"	Surgical dress holder reuse
A4465	Non-elastic binder for extremity	Non-elastic extremity binder
A4466	"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each"	Elastic garment/covering
A4467	"Belt, strap, sleeve, garment, or covering, any type"	Belt strap sleev grmnt cover
A4470	Gravlee jet washer	Gravlee jet washer
A4480	Vabra aspirator	Vabra aspirator
A4481	"Tracheostoma filter, any type, any size, each"	Tracheostoma filter
A4483	"Moisture exchanger, disposable, for use with invasive mechanical ventilation"	Moisture exchanger
A4490	"Surgical stockings above knee length, each"	Above knee surgical stocking
A4495	"Surgical stockings thigh length, each"	Thigh length surg stocking
A4500	"Surgical stockings below knee length, each"	Below knee surgical stocking
A4510	"Surgical stockings full length, each"	Full length surg stocking
A4520	"Incontinence garment, any type, (e.g., brief, diaper), each"	Incontinence garment anytype
A4550	Surgical trays	Surgical trays
A4553	"Non-disposable underpads, all sizes"	"Nondisp underpads, all sizes"
A4554	"Disposable underpads, all sizes"	Disposable underpads
A4555	"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only"	Ca tx e-stim electr/transduc
A4556	"Electrodes, (e.g., apnea monitor), per pair"	"Electrodes, pair"
A4557	"Lead wires, (e.g., apnea monitor), per pair"	"Lead wires, pair"
A4558	"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz"	Conductive gel or paste
A4559	"Coupling gel or paste, for use with ultrasound device, per oz"	Coupling gel or paste
A4561	"Pessary, rubber, any type"	"Pessary rubber, any type"
A4562	"Pessary, non rubber, any type"	"Pessary, non rubber,any type"
A4565	Slings	Slings
A4566	"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment"	Should sling/vest/abrestrain
A4570	Splint	Splint
A4575	"Topical hyperbaric oxygen chamber, disposable"	Hyperbaric o2 chamber disps
A4580	"Cast supplies (e.g., plaster)"	Cast supplies (plaster)
A4590	"Special casting material (e.g., fiberglass)"	Special casting material
A4595	"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)"	Tens suppl 2 lead per month
A4600	"Sleeve for intermittent limb compression device, replacement only, each"	"Sleeve, inter limb comp dev"
A4601	"Lithium ion battery, rechargeable, for non-prosthetic use, replacement"	Lith ion non prosth recharge
A4602	"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each"	Replace lithium battery 1.5v
A4604	Tubing with integrated heating element for use with positive airway pressure device	Tubing with heating element
A4605	"Tracheal suction catheter, closed system, each"	Trach suction cath close sys
A4606	"Oxygen probe for use with oximeter device, replacement"	Oxygen probe used w oximeter
A4608	"Transtracheal oxygen catheter, each"	Transtracheal oxygen cath
A4611	"Battery, heavy duty; replacement for patient owned ventilator"	Heavy duty battery
A4612	Battery cables; replacement for patient-owned ventilator	Battery cables
A4613	Battery charger; replacement for patient-owned ventilator	Battery charger
A4614	"Peak expiratory flow rate meter, hand held"	Hand-held pefr meter
A4615	"Cannula, nasal"	Cannula nasal
A4616	"Tubing (oxygen), per foot"	Tubing (oxygen) per foot
A4617	Mouth piece	Mouth piece
A4618	Breathing circuits	Breathing circuits
A4619	Face tent	Face tent
A4620	Variable concentration mask	Variable concentration mask
A4623	"Tracheostomy, inner cannula"	Tracheostomy inner cannula
A4624	"Tracheal suction catheter, any type other than closed system, each"	Tracheal suction tube
A4625	Tracheostomy care kit for new tracheostomy	Trach care kit for new trach
A4626	"Tracheostomy cleaning brush, each"	Tracheostomy cleaning brush
A4627	"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler"	Spacer bag/reservoir
A4628	"Oropharyngeal suction catheter, each"	Oropharyngeal suction cath
A4629	Tracheostomy care kit for established tracheostomy	Tracheostomy care kit
A4630	"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient"	Repl bat t.e.n.s. own by pt
A4633	"Replacement bulb/lamp for ultraviolet light therapy system, each"	Uvl replacement bulb
A4634	"Replacement bulb for therapeutic light box, tabletop model"	Replacement bulb th lightbox
A4635	"Underarm pad, crutch, replacement, each"	Underarm crutch pad
A4636	"Replacement, handgrip, cane, crutch, or walker, each"	Handgrip for cane etc
A4637	"Replacement, tip, cane, crutch, walker, each."	Repl tip cane/crutch/walker
A4638	"Replacement battery for patient-owned ear pulse generator, each"	Repl batt pulse gen sys
A4639	"Replacement pad for infrared heating pad system, each"	Infrared ht sys replcmnt pad
A4640	Replacement pad for use with medically necessary alternating pressure pad owned by patient	Alternating pressure pad
A4641	"Radiopharmaceutical, diagnostic, not otherwise classified"	Radiopharm dx agent noc
A4642	"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries"	In111 satumomab
A4648	"Tissue marker, implantable, any type, each"	Implantable tissue marker
A4649	Surgical supply; miscellaneous	Surgical supplies
A4650	"Implantable radiation dosimeter, each"	Implant radiation dosimeter
A4651	"Calibrated microcapillary tube, each"	Calibrated microcap tube
A4652	Microcapillary tube sealant	Microcapillary tube sealant
A4653	"Peritoneal dialysis catheter anchoring device, belt, each"	Pd catheter anchor belt
A4657	"Syringe, with or without needle, each"	Syringe w/wo needle
A4660	Sphygmomanometer/blood pressure apparatus with cuff and stethoscope	Sphyg/bp app w cuff and stet
A4663	Blood pressure cuff only	Dialysis blood pressure cuff
A4670	Automatic blood pressure monitor	"Automatic bp monitor, dial"
A4671	"Disposable cycler set used with cycler dialysis machine, each"	Disposable cycler set
A4672	"Drainage extension line, sterile, for dialysis, each"	"Drainage ext line, dialysis"
A4673	"Extension line with easy lock connectors, used with dialysis"	Ext line w easy lock connect
A4674	"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz"	"Chem/antisept solution, 8oz"
A4680	"Activated carbon filter for hemodialysis, each"	"Activated carbon filter, ea"
A4690	"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each"	"Dialyzer, each"
A4706	"Bicarbonate concentrate, solution, for hemodialysis, per gallon"	Bicarbonate conc sol per gal
A4707	"Bicarbonate concentrate, powder, for hemodialysis, per packet"	Bicarbonate conc pow per pac
A4708	"Acetate concentrate solution, for hemodialysis, per gallon"	Acetate conc sol per gallon
A4709	"Acid concentrate, solution, for hemodialysis, per gallon"	Acid conc sol per gallon
A4714	"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon"	Treated water per gallon
A4719	"""y set"" tubing for peritoneal dialysis"	"""y set"" tubing"
A4720	"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis"	Dialysat sol fld vol > 249cc
A4721	"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis"	Dialysat sol fld vol > 999cc
A4722	"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis"	Dialys sol fld vol > 1999cc
A4723	"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis"	Dialys sol fld vol > 2999cc
A4724	"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis"	Dialys sol fld vol > 3999cc
A4725	"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis"	Dialys sol fld vol > 4999cc
A4726	"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis"	Dialys sol fld vol > 5999cc
A4728	"Dialysate solution, non-dextrose containing, 500 ml"	"Dialysate solution, non-dex"
A4730	"Fistula cannulation set for hemodialysis, each"	"Fistula cannulation set, ea"
A4736	"Topical anesthetic, for dialysis, per gram"	"Topical anesthetic, per gram"
A4737	"Injectable anesthetic, for dialysis, per 10 ml"	Inj anesthetic per 10 ml
A4740	"Shunt accessory, for hemodialysis, any type, each"	Shunt accessory
A4750	"Blood tubing, arterial or venous, for hemodialysis, each"	Art or venous blood tubing
A4755	"Blood tubing, arterial and venous combined, for hemodialysis, each"	Comb art/venous blood tubing
A4760	"Dialysate solution test kit, for peritoneal dialysis, any type, each"	"Dialysate sol test kit, each"
A4765	"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet"	Dialysate conc pow per pack
