Common name	syn_list
INTERFERON GAMMA-1B	['IFN-GAMMA 1B', 'IFN-GAMMA-1B', 'INTERFERON GAMMA 1-B', 'INTERFERON GAMMA-1B', 'INTERFERON GAMMA-1B, RECOMBINANT', 'INTERFERON GAMMA-2A']
INTERFERON ALFA-2A, RECOMBINANT	['INTERFERON ALFA-2A', 'INTERFERON ALFA-2A (RECOMBINANT)', 'INTERFERON ALFA-2A, RECOMBINANT', 'INTERFERON ALFA-2A,RECOMBINANT', 'INTERFERON ALPHA-2A', 'INTERFERON-ALFA-2A', 'RECOMBINANT HUMAN INTERFERON ALFA-2A', 'RECOMBINANT HUMAN INTERFERON-ALFA-2A', 'RIFN-ALPHA-2A', 'SH-POLYPEPTIDE-46']
DESMOPRESSIN	['1-(3-MERCAPTOPROPIONIC ACID)-8-D-ARGININE-VASOPRESSIN', '1-DEAMINO-8-D-ARGININE VASOPRESSIN', '1-DESAMINO-8-D-ARGININE VASOPRESSIN', 'DDAVP', 'DESMOPRESINA', 'DESMOPRESSIN', 'DESMOPRESSINE', 'DESMOPRESSINUM']
COAGULATION FACTOR VIIA RECOMBINANT HUMAN	['COAGULATION FACTOR VIIA', 'COAGULATION FACTOR VIIA (RECOMBINANT)', 'EPTACOG ALFA', 'EPTACOG ALFA (ACTIVATED)', 'RFVIIA']
OPRELVEKIN	['IL-11', 'INTERLEUKIN 11', 'INTERLEUKIN-11', 'OPRELVEKIN', 'RECOMBINANT INTERLEUKIN-11']
PALIFERMIN	['24-163 FIBROBLAST GROWTH FACTOR 7 (HUMAN)', 'PALIFERMINA']
GLUCAGON	['GLUCAGON', 'GLUCAGON (RECOMBINANT DNA ORIGIN)', 'GLUCAGON RECOMBINANT', 'GLUCAGON, HUMAN', 'GLUCAGON, PORCINE', 'GLUCAGONE', 'GLUCAGONUM']
ALDESLEUKIN	['125-L-SERINE-2-133-INTERLEUKIN 2 (HUMAN REDUCED)', 'ALDESLEUKINA', 'INTERLEUKIN-2 ALDESLEUKIN', 'INTERLEUKIN-2(2-133),125-SER', 'RECOMBINANT INTERLEUKIN-2 HUMAN']
BOTULINUM TOXIN TYPE B	['BOTULIN B', 'BOTULINUM B TOXIN', 'BOTULINUM NEUROTOXIN TYPE B PRECURSOR', 'BTX-B', 'RIMABOTULINUMTOXINB', 'TOXINA BOTULÍNICA B']
LUTROPIN ALFA	['LUTROPIN ALFA', 'LUTROPIN ALPHA', 'LUTROPINA ALFA']
LYME DISEASE VACCINE (RECOMBINANT OSPA)	['LIPOPROTEIN OSPA ANTIGEN RECOMBINANT', 'LIPOPROTEIN OUTER SURFACE A BORRELIA BURGDORFERI ANTIGEN', 'OSPA LIPOPROTEIN']
INSULIN LISPRO	['INSULIN LISPRO (GENETICAL RECOMBINATION)', 'INSULIN LISPRO (RDNA ORIGIN)', 'INSULIN LISPRO PROTAMINE', 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'INSULIN LISPRO RECOMBINANT', 'INSULIN,LISPRO,HUMAN/RDNA', 'INSULIN,LISPRO,PROTAMINE/RDNA', 'INSULINA LISPRO']
INSULIN GLARGINE	['INSULIN GLARGINE', 'INSULIN GLARGINE (RDNA ORIGIN)', 'INSULIN GLARGINE RECOMBINANT', 'INSULINA GLARGINA']
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	['CLOSTRIDIUM HISTOLYTICUM ENZYMES', 'COLLAGENASE', 'COLLAGENASE CLOSTRIDIUM HISTOLYTICUM']
RASBURICASE	['RASBURICASA', 'RASBURICASE', 'URATE OXIDASE']
CETRORELIX	['CETRORELIX', 'CETRORELIXUM']
ADALIMUMAB	['ADALIMUMAB (GENETICAL RECOMBINATION)', 'ADALIMUMAB-ADAZ', 'ADALIMUMAB-ADBM', 'ADALIMUMAB-ATTO']
SOMATOTROPIN	['GROWTH HORMONE', 'GROWTH HORMONE (HUMAN)', 'HGH', 'HUMAN GROWTH HORMONE', 'RECOMBINANT HUMAN GROWTH HORMONE', 'RHGH', 'SOMATOTROPIN (HUMAN)', 'SOMATOTROPIN HUMAN', 'SOMATOTROPIN HUMAN GROWTH HORMONE', 'SOMATROPIN', 'SOMATROPIN (RDNA ORIGIN)', 'SOMATROPIN (RECOMBINANT DNA ORIGIN)', 'SOMATROPIN [RDNA ORIGIN]', 'SOMATROPIN RECOMBINANT', 'SOMATROPIN(RECOMBINANT DNA ORIGIN)', 'SOMATROPINA']
IMIGLUCERASE	['IMIGLUCERASA']
ABCIXIMAB	['ABCIXIMAB', 'ABCIXIMAB (GENETICAL RECOMBINATION)', 'C7E3']
DROTRECOGIN ALFA	['ACTIVATED PROTEIN C', 'BLOOD COAGULATION FACTOR XIV (HUMAN)', 'DROTRECOGIN ALFA (ACTIVATED)', 'DROTRECOGIN ALFA (ACTIVATED), LYOPHILIZED', 'DROTRECOGIN ALFA ACTIVATED', 'DROTRECOGIN ALFA, ACTIVATED', 'DROTRECOGIN-ALFA', 'RECOMBINANT HUMAN ACTIVATED PROTEIN C (RH-APC)']
INDIUM IN-111 SATUMOMAB PENDETIDE	['INDIUM (111IN) SATUMOMAB PENDETIDE', 'INDIUM IN 111 SATUMOMAB PENDETIDE', 'INDIUM-111 SATUMOMAB PENDETIDE']
ALPHA-1-PROTEINASE INHIBITOR	['ALFA-1-ANTITRIPSINA', 'ALFA1 ANTITRYPSIN', 'ALPHA 1-ANTITRYPSIN', 'ALPHA 1-PROTEINASE INHIBITOR', 'ALPHA 1-PROTEINASE INHIBITOR (HUMAN)', 'ALPHA 1-PROTEINASE INHIBITOR, HUMAN', 'ALPHA-1 PROTEASE INHIBITOR', 'ALPHA-1 PROTEINASE INHIBITOR (HUMAN)', 'ALPHA-1-ANTIPROTEINASE', 'ALPHA-1-ANTITRYPSIN', 'ALPHA-1-PROTEINASE INHIBITOR (HUMAN)', 'ALPHA-1-PROTEINASE INHIBITOR HUMAN', 'ALPHA-1-PROTEINASE INHIBITOR, HUMAN', 'ALPHA-1-PROTEINASE INHIBITOR,HUMAN', 'ALPHA1-PROTEINASE INHIBITOR', 'ALPHA1-PROTEINASE INHIBITOR (HUMAN)', 'ALPHA1-PROTEINASE INHIBITOR HUMAN', 'API']
PEGASPARGASE	['PEG-ASPARAGINASE', 'PEG/L-ASPARAGINASE', 'PEGASPARGASA']
INTERFERON BETA-1A	['INTERFERON BETA 1-A', 'INTERFERON BETA 1A', 'INTERFERON BETA-1A (RECOMBINANT HUMAN)', 'INTERFERON BETA-1A,RECOMBINANT', 'INTERFERON-BETA-1A']
PEGADEMASE	['(MONOMETHOXYPOLYETHYLENE GLYCOL SUCCINIMIDYL) 11-17-ADENOSINE DEAMINASE', 'PEG-ADENOSINE DEAMINASE', 'PEGADA', 'PEGADEMASE', 'PEGADEMASE BOVINE']
HUMAN SERUM ALBUMIN	['ALBUMIN (HUMAN)', 'ALBUMIN HUMAN', 'ALBUMIN, BLOOD', 'ALBUMIN, HUMAN', 'ALBUMIN, HUMAN-KJDA', 'HUMAN ALBUMIN', 'SERUM ALBUMIN']
EPTIFIBATIDE	['EPTIFIBATIDA', 'EPTIFIBATIDE', 'INTEGRELIN', 'INTRIFIBAN']
INFLIXIMAB	['INFLIXIMAB (GENETICAL RECOMBINATION)', 'INFLIXIMAB-ABDA', 'INFLIXIMAB-DYYB', 'INFLIXIMAB-QBTX']
FOLLITROPIN	['FOLITROPINA ALFA', 'FOLITROPINA BETA', 'FOLITROPINA DELTA', 'FOLLICLE STIMULATING HORMONE', 'FOLLITROPHIN ALFA', 'FOLLITROPHIN ALPHA', 'FOLLITROPHIN BETA', 'FOLLITROPIN ALFA', 'FOLLITROPIN ALFA/BETA', 'FOLLITROPIN ALPHA', 'FOLLITROPIN BETA', 'FOLLITROPIN DELTA', 'FOLLITROPIN GAMMA', 'FOLLOTROPIN RECOMBINANT', 'FSH', 'FSH ALPHA', 'FSH-A', 'FSH-B', 'FSH-BETA', 'RECOMBINANT HUMAN FOLLICLE STIMULATING HORMONE BETA', 'RECOMBINANT HUMAN FOLLICLE-STIMULATING HORMONE (R-HFSH)', 'RFSH-ALPHA']
VASOPRESSIN	['VASOPRESSIN, UNSPECIFIED', 'VASOPRESSINA']
INTERFERON BETA-1B	['INTERFERON BETA 1B (RECOMBINANT)', 'INTERFERON BETA-1B,RECOMBINANT', 'INTERFERON-BETA-1B', 'RECOMBINANT INTERFERON BETA-1B']
INTERFERON ALFACON-1	['IFN ALFACON-1', 'IFN-CON1', 'INTERFERON ALFACON-1']
HYALURONIDASE (OVINE)	['HYALURONIDASE (GLYCOPROTEIN, SHEEP TESTIS ISOENZYME)', 'HYALURONIDASE (OVINE)', 'HYALURONIDASE (SHEEP TESTIS ISOENZYME)', 'HYALURONIDASE, OVINE', 'OVINE HYALURONIDASE']
INSULIN PORK	['INSULIN (PORK)', 'INSULIN PORCINE', 'INSULIN PURIFIED PORCINE', 'INSULIN PURIFIED PORK', 'INSULIN, PORCINE', 'INSULIN, REGULAR, PORK', 'PORCINE INSULIN']
TRASTUZUMAB	['RHUMAB HER2', 'TRASTUZUMAB-ANNS', 'TRASTUZUMAB-DKST', 'TRASTUZUMAB-DTTB', 'TRASTUZUMAB-PKRB', 'TRASTUZUMAB-QYYP']
RITUXIMAB	['RITUXIMAB-ABBS']
BASILIXIMAB	['BASILIXIMAB']
MUROMONAB	['ANTI-CD3', 'MUROMONAB-CD3']
DIGOXIN IMMUNE FAB (OVINE)	['DIGITALIS ANTITOXIN', 'DIGOXIN IMMUNE FAB, OVINE', 'DIGOXIN-SPECIFIC ANTIBODY FRAGMENTS', 'OVINE DIGOXIN IMMUNE FAB']
IBRITUMOMAB TIUXETAN	['IBRITUMOMAB', 'MAB MURINE (IGG1) ANTI P19437 (CD20_MOUSE)']
DAPTOMYCIN	['DAPTOMICINA', 'DAPTOMYCIN']
BOTULINUM TOXIN TYPE A	['ABOBOTULINUMTOXINA', 'BOTULINUM A NEUROTOXIN', 'BOTULINUM TOXIN A', 'BOTULINUM TOXIN TYPE A', 'BTX-A', 'EVABOTULINUMTOXINA', 'INCOBOTULINUMTOXINA', 'ONABOTULINUMTOXINA', 'PRABOTULINUMTOXIN A', 'TOXINA BOTULÍNICA A', 'TOXINE BOTULINIQUE A']
PANCRELIPASE	['PANCREALIPASE', 'PANCREATIC EXTRACT PANCRELIPASE', 'PANCREATIC PROTEASE', 'PANCREATIN', 'PANCREATINUM', 'PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)']
STREPTOKINASE	['ESTREPTOQUINASA', 'STREPTOCHINASI', 'STREPTOCOCCAL FIBRINOLYSIN', 'STREPTOKINASE', 'STREPTOKINASUM']
CAPROMAB PENDETIDE	['(111IN)-CAPROMAB PENDETIDE', 'INDIUM (111IN) CAPROMAB PENDETIDE', 'INDIUM 111 CAPROMAB PENDETIDE', 'INDIUM IN 111 CAPROMAB PENDETIDE']
LARONIDASE	['ALPHA-L-IDOSIDURONASE', 'HUMAN RECOMBINANT ALPHA-L-IDURONIDASE', 'LARONIDASA', 'LARONIDASE', 'LARONIDASE (GENETICAL RECOMBINATION)']
CICLOSPORIN	['CICLOSPORIN', 'CICLOSPORINA', 'CICLOSPORINE', 'CICLOSPORINUM', 'CSA', 'CYA', 'CYCLOSPORIN', 'CYCLOSPORIN A', 'CYCLOSPORINE']
FELYPRESSIN	['2-(L-PHENYLALANINE)-8-L-LYSINEVASOPRESSIN', 'FELIPRESINA', 'FELYPRESSIN', 'FELYPRESSINE', 'FELYPRESSINUM', 'PLV-2']
UROFOLLITROPIN	['FOLLITROPIN HUMAN', 'UROFOLLITROPHIN']
EFALIZUMAB	['ANTI-CD11A', 'ANTICD11 ALPHA', 'EFALIZUMAB']
CHORIOGONADOTROPIN ALFA	['CHORIOGONADOTROPIN ALPHA', 'CHORIONIC GONADOTROPIN (RECOMBINANT)']
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)	['ANTI-HUMAN THYMOCYTE IMMUNOGLOBULIN, RABBIT', 'ANTI-T-LYMPHOCYTE IMMUNE GLOBULIN, RABBIT', 'ANTI-THYMOCYTE GLOBULIN (RABBIT)', 'ANTI-THYMOCYTE GLOBULIN RABBIT', 'ANTITHYMOCYTE IMMUNOGLOBULIN', 'LAPINE T-LYMPHOCYTE IMMUNE GLOBULIN', 'RABBIT ANTI-HUMAN THYMOCYTE GLOBULIN', 'RABBIT ANTI-HUMAN THYMOCYTE GLOBULIN (RATG)', 'RABBIT ANTI-HUMAN THYMOCYTE IMMUNOGLOBULIN', 'RABBIT ANTI-THYMOCYTE IMMUNOGLOBULIN', 'RABBIT ANTITHYMOCYTE GLOBULIN', 'RABBIT ATG', 'RATG', 'THYMOGLOBULIN', 'THYMOGLOBULINE']
FILGRASTIM	['FILGRASTIM-AAFI', 'FILGRASTIM-SNDZ', 'G-CSF', 'GRANULOCYTE COLONY STIMULATING FACTOR', 'TBO-FILGRASTIM']
COAGULATION FACTOR IX (RECOMBINANT)	['COAGULATION FACTOR IX (RECOMBINANT)', 'COAGULATION FACTOR IX RECOMBINANT HUMAN', 'FACTOR IX (RECOMBINANT)', 'NONACOG ALFA', 'NONACOG GAMMA', 'RECOMBINANT FACTOR IX']
BECAPLERMIN	['BECAPLERMIN', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'PLATELET-DERIVED GROWTH FACTOR BB, RECOMBINANT', 'PLATELET-DERIVED GROWTH FACTOR BETA POLYPEPTIDE', 'RECOMBINANT PLATELET-DERIVED GROWTH FACTOR BB', 'RHPDGF-BB', 'RPDGF-BB', 'SH-POLYPEPTIDE-59']
AGALSIDASE BETA	['AGALSIDASA ALFA', 'AGALSIDASA BETA', 'AGALSIDASE ALFA', 'ALPHA-GALACTOSIDASE A']
OCTREOTIDE	['OCTREOTIDA', 'OCTREOTIDE', 'OCTREOTIDUM', 'OCTROTIDE']
INTERFERON ALFA-2B	['INTERFERON ALFA-2B', 'INTERFERON ALFA-2B, RECOMBINANT', 'INTERFERON ALPHA-2B', 'INTERFERON Α-2B', 'INTRON (INTERFERON Α2B)', 'INTRON A', 'INTRON A (INTERFERON Α2B)', 'R-INF-ALPHA', 'RIFN-ALPHA-2B']
ABARELIX	['ABARELIX']
OXYTOCIN	['OXITOCINA', 'OXYTOCIN']
NATALIZUMAB	['ANTI-ALPHA4 INTEGRIN', 'ANTI-VLA4']
ENFUVIRTIDE	['ENFUVIRTIDA']
PALIVIZUMAB	['PALIVIZUMAB']
DACLIZUMAB	['DACLIXIMAB', 'DACLIZUMAB BETA']
BEVACIZUMAB	['ANTI-VEGF HUMANIZED MONOCLONAL ANTIBODY', 'ANTI-VEGF MONOCLONAL ANTIBODY', 'BEVACIZUMAB', 'BEVACIZUMAB-AWWB', 'RHUMAB-VEGF']
TECHNETIUM TC-99M ARCITUMOMAB	['ARCITUMOMAB TECHNETIUM-99M', 'TECHNETIUM (99MTC) ARCITUMOMAB', 'TECHNETIUM TC 99M ARCITUMOMAB', 'TECHNETIUM-99M ARCITUMOMAB']
PYRIDOXAL PHOSPHATE	"['3-HYDROXY-2-METHYL-5-((PHOSPHONOOXY)METHYL)-4-PYRIDINECARBOXALDEHYDE', '3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYLISONICOTINALDEHYDE 5-PHOSPHATE', 'CODECARBOXYLASE', 'PLP', 'PYRIDOXAL 5-MONOPHOSPHORIC ACID ESTER', 'PYRIDOXAL 5-PHOSPHATE', ""PYRIDOXAL 5'-PHOSPHATE"", 'PYRIDOXAL P', 'PYRIDOXAL PHOSPHATE ANHYDROUS', 'PYRIDOXAL-5P', 'PYRIDOXAL-P']"
CYANOCOBALAMIN	['CIANOCOBALAMINA', 'CYANOCOB(III)ALAMIN', 'CYANOCOBALAMIN', 'VITAMIN B12', 'VITAMIN B12 COMPLEX', 'VITAMIN B12 NOS']
TETRAHYDROFOLIC ACID	['5,6,7,8-TETRAHYDROFOLATE', '5,6,7,8-TETRAHYDROFOLIC ACID', 'TETRAHYDROFOLATE']
HISTIDINE	['(S)-4-(2-AMINO-2-CARBOXYETHYL)IMIDAZOLE', '(S)-A-AMINO-1H-IMIDAZOLE-4-PROPANOIC ACID', '(S)-ALPHA-AMINO-1H-IMIDAZOLE-4-PROPANOIC ACID', '(S)-ALPHA-AMINO-1H-IMIDAZOLE-4-PROPIONIC ACID', '(S)-Α-AMINO-1H-IMIDAZOLE-4-PROPANOIC ACID', 'HIS', 'HISTIDINA', 'HISTIDINE', 'L-(−)-HISTIDINE', 'L-HISTIDIN', 'L-HISTIDINE']
ADEMETIONINE	['ADOMET', 'S-ADENOSYLMETHIONINE', 'SAM', 'SAM-E', 'SAME']
PYRUVIC ACID	['2-KETOPROPIONIC ACID', '2-OXOPROPANOIC ACID', '2-OXOPROPANSÄURE', '2-OXOPROPIONSÄURE', 'A-KETOPROPIONIC ACID', 'ACETYLFORMIC ACID', 'ACIDE PYRUVIQUE', 'ALPHA-KETOPROPIONIC ACID', 'BRENZTRAUBENSÄURE', 'BTS', 'PYRORACEMIC ACID', 'Α-KETOPROPIONIC ACID', 'Α-OXOPROPIONSÄURE']
L-PHENYLALANINE	['(S)-2-AMINO-3-PHENYLPROPIONIC ACID', '(S)-ALPHA-AMINO-BETA-PHENYLPROPIONIC ACID', '3-PHENYL-L-ALANINE', 'BETA-PHENYL-L-ALANINE', 'F', 'PHE', 'PHENYLALANINE', 'Β-PHENYL-L-ALANINE']
BIOTIN	['(+)-CIS-HEXAHYDRO-2-OXO-1H-THIENO[3,4]IMIDAZOLE-4-VALERIC ACID', '(3AS,4S,6AR)-HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOLE-4-VALERIC ACID', '5-(2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL)PENTANOIC ACID', 'BIOTIN', 'BIOTINA', 'BIOTINE', 'BIOTINUM', 'CIS-(+)-TETRAHYDRO-2-OXOTHIENO[3,4]IMIDAZOLINE-4-VALERIC ACID', 'CIS-HEXAHYDRO-2-OXO-1H-THIENO(3,4)IMIDAZOLE-4-VALERIC ACID', 'CIS-TETRAHYDRO-2-OXOTHIENO(3,4-D)IMIDAZOLINE-4-VALERIC ACID', 'COENZYME R', 'D-(+)-BIOTIN', 'D-BIOTIN', 'VITAMIN B7', 'VITAMIN H']
CHOLINE	['BILINEURINE', 'CHOLINE ION', 'N-TRIMETHYLETHANOLAMINE', 'N,N,N-TRIMETHYLETHANOL-AMMONIUM', 'TRIMETHYLETHANOLAMINE', 'VITAMIN J']
L-LYSINE	['(S)-2,6-DIAMINOHEXANOIC ACID', '(S)-LYSINE', '(S)-Α,Ε-DIAMINOCAPROIC ACID', '6-AMMONIO-L-NORLEUCINE', 'L-2,6-DIAMINOCAPROIC ACID', 'L-LYS', 'L-LYSIN', 'LYS', 'LYSINA', 'LYSINE', 'LYSINE ACID', 'LYSINUM']
L-ARGININE	['(2S)-2-AMINO-5-(CARBAMIMIDAMIDO)PENTANOIC ACID', '(2S)-2-AMINO-5-GUANIDINOPENTANOIC ACID', '(S)-2-AMINO-5-GUANIDINOPENTANOIC ACID', '(S)-2-AMINO-5-GUANIDINOVALERIC ACID', 'ARG', 'ARGININA', 'ARGININE', 'L-(+)-ARGININE', 'L-ARG', 'L-ARGININ', 'R']
ASCORBIC ACID	['ACIDE ASCORBIQUE', 'ÁCIDO ASCÓRBICO', 'ACIDUM ASCORBICUM', 'ACIDUM ASCORBINICUM', 'ASCORBATE', 'ASCORBIC ACID', 'ASCORBINSÄURE', 'L-(+)-ASCORBIC ACID', 'L-ASCORBATE', 'L-ASCORBIC ACID', 'VITAMIN C', 'VITAMINA C']
SPERMINE	"['4,9-DIAZA-1,12-DODECANEDIAMINE', '4,9-DIAZADODECANE-1,12-DIAMINE', 'MUSCULAMINE', ""N,N'-BIS(3-AMINOPROPYL)-1,4-BUTANEDIAMINE"", 'SPERMINA', 'SPERMINE']"
ASPARTIC ACID	['(S)-2-AMINOBUTANEDIOIC ACID', '(S)-2-AMINOSUCCINIC ACID', '2-AMINOSUCCINIC ACID', 'ÁCIDO ASPÁRTICO', 'ACIDUM ASPARTICUM', 'ASP', 'ASPARTIC ACID', 'D', 'L-ASP', 'L-ASPARAGINSÄURE', 'L-ASPARTATE', 'L-ASPARTIC ACID']
