RXN_CD	RXN_NM	cnt
1244579	{1 (12 HR Chlorpheniramine Maleate 4 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [Allerx DF AM]) / 1 (12 HR Chlorpheniramine Maleate 8 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet [AlleRx PM]) } Pack [AlleRx DF Sample]	1
1244578	{1 (12 HR Chlorpheniramine Maleate 4 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet) / 1 (12 HR Chlorpheniramine Maleate 8 MG / methscopolamine nitrate 2.5 MG Extended Release Oral Tablet) } Pack	6
1370201	{1 (12 HR Chlorpheniramine Maleate 8 MG / methscopolamine nitrate 2.5 MG / Phenylephrine Hydrochloride 10 MG Extended Release Oral Tablet) / 1 (12 HR methscopolamine nitrate 2.5 MG / Phenylephrine Hydrochloride 40 MG Extended Release Oral Tablet) } Pack	3
866800	{1 (12 ML) (Hydroxypropyl Chitosan 10 MG/ML Topical Solution) / 42 (terbinafine 250 MG Oral Tablet) } Pack	2
1005905	{1 (120 ML) (ammonium lactate 120 MG/ML Topical Foam [Pro 12 Mousse]) / 1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack [Halonate]	1
1005900	{1 (120 ML) (ammonium lactate 120 MG/ML Topical Foam) / 1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack	2
1545033	{1 (133 ML) (Benzoyl Peroxide 44 MG/ML Medicated Liquid Soap) / 30 (Doxycycline Monohydrate 100 MG Oral Tablet) } Pack	2
1545035	{1 (133 ML) (Benzoyl Peroxide 44 MG/ML Medicated Liquid Soap) / 60 (Doxycycline Monohydrate 100 MG Oral Tablet) } Pack	2
1549687	{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack	2
1549688	{1 (15 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (300 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack [Hyqvia 30 G / 300 ML Kit]	1
763531	{1 (15 ML) (Ketoconazole 0.02 MG/MG Topical Gel [Xolegel]) / 1 (120 ML) (zinc pyrithione 10 MG/ML Medicated Shampoo [Xolex]) } Pack [Xolegel Duo]	1
763525	{1 (15 ML) (Ketoconazole 0.02 MG/MG Topical Gel) / 1 (120 ML) (zinc pyrithione 10 MG/ML Medicated Shampoo) } Pack	3
1246324	{1 (150 ML) (Permethrin 5 MG/ML Topical Spray) / 1 (118 ML) (Piperonyl Butoxide 40 MG/ML / Pyrethrins 3.3 MG/ML Medicated Shampoo) } Pack	5
1424850	{1 (180 ML) (Acetaminophen 32.5 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (180 ML) (Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	4
1537095	{1 (180 ML) (Acetaminophen 32.5 MG/ML / Diphenhydramine Hydrochloride 1.25 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) / 1 (180 ML) (Acetaminophen 32.5 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine Hydrochloride 0.5 MG/ML Oral Solution) } Pack	2
1549691	{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack	2
1549692	{1 (2.5 ML hyaluronidase, human recombinant 160 UNT/ML Injection) / 1 (50 ML Immunoglobulin G, Human 100 MG/ML Injection) } Pack [Hyqvia 5 G / 50 ML Kit]	1
797583	{1 (20 ML) (iodine-131-tositumomab 0.1 MG/ML Injectable Solution) / 1 (16.1 ML) (tositumomab 14 MG/ML Injectable Solution) } Pack [Bexxar Dosimetric Packaging]	2
797582	{1 (20 ML) (iodine-131-tositumomab 0.1 MG/ML Injectable Solution) / 2 (2.5 ML) (tositumomab 14 MG/ML Injectable Solution) } Pack	2
808354	{1 (22.7 ML) (Hydrocortisone 0.01 MG/MG Topical Gel [Xebcort]) / 3 (15 ML) (Ketoconazole 0.02 MG/MG Topical Gel [Xolegel]) } Pack [Xolegel CorePak]	1
808349	{1 (22.7 ML) (Hydrocortisone 0.01 MG/MG Topical Gel) / 3 (15 ML) (Ketoconazole 0.02 MG/MG Topical Gel) } Pack	2
978056	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion [Lac-Hydrin]) / 1 (50 ML) (halobetasol propionate 0.0005 MG/MG Topical Ointment [Ultravate]) } Pack [Ultravate Pac]	1
978320	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion [Lac-Hydrin]) / 1 (50 ML) (halobetasol propionate 0.5 MG/ML Topical Cream [Ultravate]) } Pack [Ultravate Pac Cream]	1
978054	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack	4
1053854	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack [Halac]	1
978318	{1 (225 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50 ML) (halobetasol propionate 0.5 MG/ML Topical Cream) } Pack	2
1045430	{1 (236 ML) (Benzethonium Chloride 1.3 MG/ML Medicated Liquid Soap) / 1 (78000 MG) (Zinc Oxide 100 MG/ML Topical Cream) } Pack	2
1242575	{1 (240 ML) (Acetaminophen 33.3 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) / 1 (240 ML) (Acetaminophen 33.3 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML Oral Solution) } Pack	2
1005907	{1 (240 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack	4
1005908	{1 (240 ML) (ammonium lactate 120 MG/ML Topical Lotion) / 1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) } Pack [Halonate Pac]	1
1362223	{1 (28400 MG) (hydrocortisone acetate 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 6 (Pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 6 Prax Medicated Pad]	1
1362222	{1 (28400 MG) (hydrocortisone acetate 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream) / 6 (Pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack	2
1489300	{1 (295 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) / 1 (295 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) } Pack	7
1242543	{1 (295 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) / 1 (295 ML) (Acetaminophen 33.3 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) } Pack	7
1248353	{1 (295 ML) (Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) / 1 (Dextromethorphan Hydrobromide 1 MG/ML Oral Solution) } Pack	4
1098147	{1 (297 ML) (Benzoyl Peroxide 40 MG/ML Medicated Liquid Soap) / 1 (113 ML) (Sodium Hyaluronate 0.002 MG/MG Topical Gel) } Pack	2
1247454	{1 (297 ML) (Benzoyl Peroxide 40 MG/ML Topical Lotion) / 1 (113 ML) (Sodium Hyaluronate 0.002 MG/MG Topical Gel) } Pack	2
1098155	{1 (297 ML) (Benzoyl Peroxide 80 MG/ML Medicated Liquid Soap [Zaclir]) / 1 (113 ML) (Sodium Hyaluronate 0.002 MG/MG Topical Gel [Hylira]) } Pack [Zacare 8/0.2]	1
1098153	{1 (297 ML) (Benzoyl Peroxide 80 MG/ML Medicated Liquid Soap) / 1 (113 ML) (Sodium Hyaluronate 0.002 MG/MG Topical Gel) } Pack	2
1247455	{1 (297 ML) (Benzoyl Peroxide 80 MG/ML Topical Lotion) / 1 (113 ML) (Sodium Hyaluronate 0.002 MG/MG Topical Gel) } Pack	2
1803903	{1 (3 ML Lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]) / 1 (3 ML Lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]) } Pack [Adlyxin Starter Kit]	1
1803902	{1 (3 ML Lixisenatide 0.05 MG/ML Pen Injector) / 1 (3 ML Lixisenatide 0.1 MG/ML Pen Injector) } Pack	2
794078	{1 (3 ML) (Interferon Alfa-2b 6000000 UNT/ML Injectable Solution) / 42 (Ribavirin 200 MG Oral Capsule) } Pack	3
794063	{1 (3 ML) (Interferon Alfa-2b 6000000 UNT/ML Injectable Solution) / 70 (Ribavirin 200 MG Oral Capsule) } Pack	3
794071	{1 (3 ML) (Interferon Alfa-2b 6000000 UNT/ML Injectable Solution) / 84 (Ribavirin 200 MG Oral Capsule) } Pack	3
763548	{1 (30 ML) (Hydrocortisone 20 MG/ML Topical Lotion [Coraz]) / 1 (177 ML) (Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo [Pulere]) } Pack [Coraz Lotion Kit]	1
833507	{1 (30 ML) (Hydrocortisone 20 MG/ML Topical Lotion [Scalacort]) / 1 (118 ML) (Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo) } Pack [Scalacort DK]	1
833505	{1 (30 ML) (Hydrocortisone 20 MG/ML Topical Lotion) / 1 (118 ML) (Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo) } Pack	2
763539	{1 (30 ML) (Hydrocortisone 20 MG/ML Topical Lotion) / 1 (177 ML) (Salicylic Acid 20 MG/ML / Sulfur 20 MG/ML Medicated Shampoo) } Pack	2
1246586	{1 (30000 MG) (Hydrocortisone 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream) / 6 (Pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack	2
866813	{1 (30000 MG) (Sodium Hyaluronate 0.002 MG/MG Topical Gel) / 1 (18 ML) (Urea 400 MG/ML Topical Cream) } Pack	3
1484901	{1 (354 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) / 1 (354 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) } Pack	7
1242561	{1 (354 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) / 1 (354 ML) (Acetaminophen 33.3 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) } Pack	7
1544175	{1 (355 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / doxylamine succinate 0.417 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) / 1 (355 ML) (Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 0.667 MG/ML / Guaifenesin 13.3 MG/ML / Phenylephrine Hydrochloride 0.333 MG/ML Oral Solution) } Pack	4
1360638	{1 (355 ML) (Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution) / 1 (355 ML) (Dextromethorphan Hydrobromide 1 MG/ML Oral Solution) } Pack	4
1362221	{1 (4000 MG) (hydrocortisone acetate 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream [Analpram HC]) / 1 (Pramoxine hydrochloride 10 MG/ML Medicated Pad [Prax]) } Pack [Analpram E Kit with 1 Prax Medicated Pad]	1
1362220	{1 (4000 MG) (hydrocortisone acetate 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Rectal Cream) / 1 (Pramoxine hydrochloride 10 MG/ML Medicated Pad) } Pack	2
1193311	{1 (42000 MG) (Colloidal oatmeal 10 MG/ML Topical Cream [Neosporin Moisturizing]) / 1 (8500 MG) (Hydrocortisone 10 MG/ML Topical Cream [Neosporin Eczema]) } Pack [Neosporin Essentials Trial Pack]	1
1193304	{1 (42000 MG) (Colloidal oatmeal 10 MG/ML Topical Cream) / 1 (8500 MG) (Hydrocortisone 10 MG/ML Topical Cream) } Pack	2
1014366	{1 (42500 MG) (Hydrocortisone 0.01 MG/MG Topical Gel) / 1 (60000 MG) (Ketoconazole 20 MG/ML Topical Cream) } Pack	3
1014367	{1 (42500 MG) (Hydrocortisone 0.01 MG/MG Topical Gel) / 1 (60000 MG) (Ketoconazole 20 MG/ML Topical Cream) } Pack [Ketocon Plus]	1
1370688	{1 (480 ML) (Magnesium Sulfate 0.0277 MEQ/ML / potassium sulfate 0.0374 MEQ/ML / sodium sulfate 0.257 MEQ/ML Oral Solution) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 210000 MG / Potassium Chloride 740 MG / Sodium Bicarbonate 2860 MG / Sodium Chloride 5600 MG Powder for Oral Solution) } Pack [Suclear]	1
1301695	{1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) / 1 (225000 MG) (Lactic acid 100 MG/ML Topical Cream) } Pack	2
1301696	{1 (50000 MG) (halobetasol propionate 0.0005 MG/MG Topical Ointment) / 1 (225000 MG) (Lactic acid 100 MG/ML Topical Cream) } Pack [Ultravate X Ointment]	1
1301693	{1 (50000 MG) (halobetasol propionate 0.5 MG/ML Topical Cream) / 1 (225000 MG) (Lactic acid 100 MG/ML Topical Cream) } Pack	2
1301694	{1 (50000 MG) (halobetasol propionate 0.5 MG/ML Topical Cream) / 1 (225000 MG) (Lactic acid 100 MG/ML Topical Cream) } Pack [Ultravate X Cream]	1
1043389	{1 (60000 MG) (Clobetasol Propionate 0.0005 MG/MG Topical Ointment) / 1 (100 ML) (Coal Tar 23 MG/ML Topical Solution [Psorent]) } Pack [Clobeta Plus Ointment]	1
1014379	{1 (60000 MG) (Clobetasol Propionate 0.5 MG/ML Topical Cream) / 1 (100 ML) (Coal Tar 23 MG/ML Topical Solution [Psorent]) } Pack [Clobeta Plus]	1
1014374	{1 (60000 MG) (Clobetasol Propionate 0.5 MG/ML Topical Cream) / 1 (100 ML) (Coal Tar 23 MG/ML Topical Solution) } Pack	3
883501	{1 (60000 MG) (Salicylic Acid 0.06 MG/MG Topical Gel [Keralyt]) / 1 (160 ML) (Salicylic Acid 60 MG/ML Medicated Shampoo [Keralyt]) } Pack [Keralyt Scalp]	1
866892	{1 (60000 MG) (Salicylic Acid 0.06 MG/MG Topical Gel) / 1 (160 ML) (Salicylic Acid 60 MG/ML Medicated Shampoo) } Pack	2
1247825	{1 (70000 MG) (Salicylic Acid 60 MG/ML Topical Foam [Salvax]) / 1 (150000 MG) (Urea 350 MG/ML Topical Foam [Hydro 35]) } Pack [Salvax Duo Plus]	1
880890	{1 (70000 MG) (Salicylic Acid 60 MG/ML Topical Foam [Salvax]) / 1 (70000 MG) (Urea 400 MG/ML Topical Foam [Hydro 40]) } Pack [Salvax Duo]	1
1247823	{1 (70000 MG) (Salicylic Acid 60 MG/ML Topical Foam) / 1 (150000 MG) (Urea 350 MG/ML Topical Foam) } Pack	2
880887	{1 (70000 MG) (Salicylic Acid 60 MG/ML Topical Foam) / 1 (70000 MG) (Urea 400 MG/ML Topical Foam) } Pack	2
904620	{1 (85 ML) (Sulfacetamide Sodium 100 MG/ML Topical Lotion [Carmol Scalp]) / 1 (120 ML) (Urea 100 MG/ML Medicated Shampoo [Carmol]) } Pack [Carmol Scalp Treatment Kit]	1
904617	{1 (85 ML) (Sulfacetamide Sodium 100 MG/ML Topical Lotion) / 1 (120 ML) (Urea 100 MG/ML Medicated Shampoo) } Pack	3
997613	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Topical Cream) / 1 (25000 MG) (Miconazole Nitrate 40 MG/ML Vaginal Cream) } Pack	4
997620	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Topical Cream) / 1 (35000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) } Pack	4
1536462	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream [Monistat]) / 1 (25000 MG) (Miconazole Nitrate 40 MG/ML Vaginal Cream [Monistat]) } Pack [Monistat 3 Vaginal Cream Combination Pack]	1
992771	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream [Monistat]) / 3 (Miconazole Nitrate 200 MG Vaginal Suppository [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack]	4
1536610	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream [Monistat]) / 7 (5000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream [Monistat]) } Pack [Monistat 7 Vaginal Cream Combination Pack with Vaginal Creams]	1
992792	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream [Vagistat]) / 3 (Miconazole Nitrate 200 MG Vaginal Suppository [Vagistat]) } Pack [Vagistat 3 Day Combination Pack]	1
1536461	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) / 1 (25000 MG) (Miconazole Nitrate 40 MG/ML Vaginal Cream) } Pack	4
992816	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) / 3 (5000 MG) (Miconazole Nitrate 40 MG/ML Vaginal Cream) } Pack	9
992766	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) / 3 (Miconazole Nitrate 200 MG Vaginal Suppository) } Pack	26
1854816	{1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) / 7 (5000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) } Pack	2
754509	{1 (aprepitant 125 MG Oral Capsule [Emend]) / 2 (aprepitant 80 MG Oral Capsule [Emend]) } Pack [Emend Tri-Fold Pack]	1
754508	{1 (aprepitant 125 MG Oral Capsule) / 2 (aprepitant 80 MG Oral Capsule) } Pack	4
999473	{1 (Benzoyl Peroxide 50 MG/ML Medicated Pad) / 1 (Salicylic Acid 20 MG/ML Medicated Pad) } Pack	2
999477	{1 (Benzoyl Peroxide 50 MG/ML Medicated Pad) / 1 (Salicylic Acid 20 MG/ML Medicated Pad) } Pack [Cleanse and Treat]	1
1101748	{1 (Bisacodyl 10 MG Rectal Suppository [Dulcolax]) / 4 (Bisacodyl 5 MG Delayed Release Oral Tablet [Dulcolax]) } Pack [Dulcolax Bowel Prep kit]	1
763632	{1 (Bisacodyl 10 MG Rectal Suppository) / 4 (Bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (45 ML) (sodium phosphate 180 MG/ML / Sodium Phosphate, Monobasic 480 MG/ML Oral Solution) } Pack	4
1101747	{1 (Bisacodyl 10 MG Rectal Suppository) / 4 (Bisacodyl 5 MG Delayed Release Oral Tablet) } Pack	2
1718991	{1 (Bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 210000 MG / Potassium Chloride 740 MG / Sodium Bicarbonate 2860 MG / Sodium Chloride 5600 MG Powder for Oral Solution [Gavilyte-H]) } Pack [Gavilyte-H and Bisacodyl]	6
1000479	{1 (Bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (POLYETHYLENE GLYCOL 3350 210000 MG / Potassium Chloride 740 MG / Sodium Bicarbonate 2860 MG / Sodium Chloride 5600 MG Powder for Oral Solution) } Pack	6
1741747	{1 (cariprazine 1.5 MG Oral Capsule [Vraylar]) / 6 (cariprazine 3 MG Oral Capsule [Vraylar]) } Pack [Vraylar 1.5/3 Mixed Pack]	1
1741746	{1 (cariprazine 1.5 MG Oral Capsule) / 6 (cariprazine 3 MG Oral Capsule) } Pack	2
