ndc	atc	description
00002-7714-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-7715-01	A10AE	"Insulins and analogues for injection, long-acting"
00002-7724-01	L04AC	Interleukin inhibitors
00002-8147-01	H01AC	Somatropin and somatropin agonists
00002-8148-01	H01AC	Somatropin and somatropin agonists
00002-8149-01	H01AC	Somatropin and somatropin agonists
00002-8400-01	H05AA	Parathyroid hormones and analogues
00002-8501-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8501-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8501-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8501-01	A10AE	"Insulins and analogues for injection, long-acting"
00002-8501-01	A10AF	Insulins and analogues for inhalation
00002-8797-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8797-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8797-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8798-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8798-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8798-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8799-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8799-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8799-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8803-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8803-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8803-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8803-01	A10AE	"Insulins and analogues for injection, long-acting"
00002-8803-01	A10AF	Insulins and analogues for inhalation
00002-8824-01	A10AB	"Insulins and analogues for injection, fast-acting"
00002-8824-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00002-8824-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00002-8824-01	A10AE	"Insulins and analogues for injection, long-acting"
00002-8824-01	A10AF	Insulins and analogues for inhalation
00003-0215-01	J05AP	Antivirals for treatment of HCV infections
00003-0293-05	A01AC	Corticosteroids for local oral treatment
00003-0293-05	C05AA	Corticosteroids
00003-0293-05	D07AB	"Corticosteroids, moderately potent (group II)"
00003-0293-05	D07XB	"Corticosteroids, moderately potent, other combinations"
00003-0293-05	H02AB	Glucocorticoids
00003-0293-05	R01AD	Corticosteroids
00003-0293-05	R03BA	Glucocorticoids
00003-0293-05	S01BA	"Corticosteroids, plain"
00003-0524-11	L01XE	Protein kinase inhibitors
00003-0527-11	L01XE	Protein kinase inhibitors
00003-0528-11	L01XE	Protein kinase inhibitors
00003-0830-50	L01XX	Other antineoplastic agents
00003-0852-22	L01XE	Protein kinase inhibitors
00003-0857-22	L01XE	Protein kinase inhibitors
00003-1611-12	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-1612-12	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-1614-12	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-1965-01	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-1966-01	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-1967-01	J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
00003-2187-10	L04AA	Selective immunosuppressants
00003-2188-11	L04AA	Selective immunosuppressants
00003-2188-51	L04AA	Selective immunosuppressants
00003-2230-11	J01DF	Monobactams
00003-2240-11	J01DF	Monobactams
00003-2560-16	J01DF	Monobactams
00003-2570-16	J01DF	Monobactams
00003-3772-11	L01XC	Monoclonal antibodies
00003-3774-12	L01XC	Monoclonal antibodies
00003-5195-10	C10AA	HMG CoA reductase inhibitors
00004-0038-22	J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
00004-0039-09	J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
00004-0058-01	N03AE	Benzodiazepine derivatives
00004-0068-01	N03AE	Benzodiazepine derivatives
00004-0098-01	N03AE	Benzodiazepine derivatives
00004-0186-82	M05BA	Bisphosphonates
00004-0191-09	M05BA	Bisphosphonates
00004-0350-09	L03AB	Interferons
00004-0357-30	L03AB	Interferons
00004-0360-30	L03AB	Interferons
00004-0365-30	L03AB	Interferons
00004-0381-40	J05AX	Other antivirals
00004-0802-85	J05AH	Neuraminidase inhibitors
00004-1100-20	L01BC	Pyrimidine analogues
00004-6940-03	J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
00004-6940-03	S01AD	Antivirals
00005-2500-02	A06AC	Bulk-forming laxatives
00005-5509-19	A02AC	Calcium compounds
00005-5509-19	A12AA	Calcium
00005-5509-19	A11CC	Vitamin D and analogues
00005-5517-50	A11CC	Vitamin D and analogues
00005-5568-19	A02AC	Calcium compounds
00005-5568-19	A12AA	Calcium
00005-5568-19	A11CC	Vitamin D and analogues
00006-0005-10	N05CM	Other hypnotics and sedatives
00006-0019-54	C09AA	"ACE inhibitors, plain"
00006-0032-20	D11AX	Other dermatologicals
00006-0032-20	P02CF	Avermectines
00006-0033-10	N05CM	Other hypnotics and sedatives
00006-0080-61	A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors
00006-0080-61	A10BA	Biguanides
00006-0080-61	A10BD	Combinations of oral blood glucose lowering drugs
00006-0081-31	A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors
00006-0081-31	A10BA	Biguanides
00006-0081-31	A10BD	Combinations of oral blood glucose lowering drugs
00006-0207-54	C09AA	"ACE inhibitors, plain"
00006-0221-01	A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors
00006-0266-01	N02CC	Selective serotonin (5HT1) agonists
00006-0270-44	M05BA	Bisphosphonates
00006-0270-44	A11CC	Vitamin D and analogues
00006-0325-10	N05CM	Other hypnotics and sedatives
00006-0335-10	N05CM	Other hypnotics and sedatives
00006-0462-01	A04AD	Other antiemetics
00006-0473-61	J05AX	Other antivirals
00006-0477-61	J05AX	Other antivirals
00006-0543-31	C10AA	HMG CoA reductase inhibitors
00006-0568-40	L01XX	Other antineoplastic agents
00006-0575-61	A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors
00006-0575-61	A10BA	Biguanides
00006-0575-61	A10BD	Combinations of oral blood glucose lowering drugs
00006-0735-31	C10AA	HMG CoA reductase inhibitors
00006-3026-01	L01XC	Monoclonal antibodies
00006-3069-01	J05AG	Non-nucleoside reverse transcriptase inhibitors
00006-3074-01	J05AP	Antivirals for treatment of HCV infections
00006-3076-01	J05AX	Other antivirals
00006-3080-01	J05AX	Other antivirals
00006-3514-58	J01DH	Carbapenems
00006-3516-59	J01DH	Carbapenems
00006-3800-01	N02CC	Selective serotonin (5HT1) agonists
00006-3801-01	N02CC	Selective serotonin (5HT1) agonists
00006-3822-10	J02AX	Other antimycotics for systemic use
00006-3823-10	J02AX	Other antimycotics for systemic use
00006-3841-30	R03DC	Leukotriene receptor antagonists
00006-3843-71	J01DH	Carbapenems
00006-3845-01	J01DH	Carbapenems
00006-3862-03	A04AD	Other antiemetics
00006-3915-68	N04BA	Dopa and dopa derivatives
00006-3916-68	N04BA	Dopa and dopa derivatives
00006-3917-68	N04BA	Dopa and dopa derivatives
00006-3918-68	N04BA	Dopa and dopa derivatives
00007-4139-20	C07AG	Alpha and beta blocking agents
00007-4141-20	C07AG	Alpha and beta blocking agents
00007-4201-01	L01XX	Other antineoplastic agents
00007-4205-11	L01XX	Other antineoplastic agents
00007-4207-11	L01XX	Other antineoplastic agents
00007-4640-13	B02BX	Other systemic hemostatics
00007-4643-13	B02BX	Other systemic hemostatics
00007-4883-13	N04BC	Dopamine agonists
00007-4887-13	N04BC	Dopamine agonists
00007-4888-13	N04BC	Dopamine agonists
00007-4890-20	N04BC	Dopamine agonists
00007-4891-20	N04BC	Dopamine agonists
00007-4893-20	N04BC	Dopamine agonists
00007-4894-20	N04BC	Dopamine agonists
00007-4895-20	N04BC	Dopamine agonists
00007-4896-20	N04BC	Dopamine agonists
00008-0843-81	A02BC	Proton pump inhibitors
00008-0844-01	A02BC	Proton pump inhibitors
00008-0923-51	A02BC	Proton pump inhibitors
00008-1030-04	L04AA	Selective immunosuppressants
00008-1030-04	S01XA	Other ophthalmologicals
00008-1040-05	L04AA	Selective immunosuppressants
00008-1040-05	S01XA	Other ophthalmologicals
00008-1041-05	L04AA	Selective immunosuppressants
00008-1041-05	S01XA	Other ophthalmologicals
00008-1042-05	L04AA	Selective immunosuppressants
00008-1042-05	S01XA	Other ophthalmologicals
00008-1123-12	G03XC	Selective estrogen receptor modulators
00008-1123-12	G03CC	"Estrogens, combinations with other drugs"
00008-1123-12	G03CA	"Natural and semisynthetic estrogens, plain"
00008-1179-01	L01XE	Protein kinase inhibitors
00008-1210-30	N06AX	Other antidepressants
00008-4188-04	C01BD	"Antiarrhythmics, class III"
00008-4990-01	J01AA	Tetracyclines
00009-0012-01	A01AC	Corticosteroids for local oral treatment
00009-0012-01	A07EA	Corticosteroids acting locally
00009-0012-01	C05AA	Corticosteroids
00009-0012-01	D07AA	"Corticosteroids, weak (group I)"
00009-0012-01	D07XA	"Corticosteroids, weak, other combinations"
00009-0012-01	H02AB	Glucocorticoids
00009-0012-01	S01BA	"Corticosteroids, plain"
00009-0012-01	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00009-0012-01	S02BA	Corticosteroids
00009-0017-55	N05CD	Benzodiazepine derivatives
00009-0018-20	D07AA	"Corticosteroids, weak (group I)"
00009-0018-20	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0018-20	H02AB	Glucocorticoids
00009-0020-01	D07AA	"Corticosteroids, weak (group I)"
00009-0020-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0020-01	H02AB	Glucocorticoids
00009-0022-01	D07AA	"Corticosteroids, weak (group I)"
00009-0022-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0022-01	H02AB	Glucocorticoids
00009-0031-01	A01AC	Corticosteroids for local oral treatment
00009-0031-01	A07EA	Corticosteroids acting locally
00009-0031-01	C05AA	Corticosteroids
00009-0031-01	D07AA	"Corticosteroids, weak (group I)"
00009-0031-01	D07XA	"Corticosteroids, weak, other combinations"
00009-0031-01	H02AB	Glucocorticoids
00009-0031-01	S01BA	"Corticosteroids, plain"
00009-0031-01	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00009-0031-01	S02BA	Corticosteroids
00009-0044-01	A01AC	Corticosteroids for local oral treatment
00009-0044-01	A07EA	Corticosteroids acting locally
00009-0044-01	C05AA	Corticosteroids
00009-0044-01	D07AA	"Corticosteroids, weak (group I)"
00009-0044-01	D07XA	"Corticosteroids, weak, other combinations"
00009-0044-01	H02AB	Glucocorticoids
00009-0044-01	S01BA	"Corticosteroids, plain"
00009-0044-01	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00009-0044-01	S02BA	Corticosteroids
00009-0056-02	D07AA	"Corticosteroids, weak (group I)"
00009-0056-02	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0056-02	H02AB	Glucocorticoids
00009-0057-07	N05BA	Benzodiazepine derivatives
00009-0059-07	N05BA	Benzodiazepine derivatives
00009-0068-07	N05BA	Benzodiazepine derivatives
00009-0073-01	D07AA	"Corticosteroids, weak (group I)"
00009-0073-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0073-01	H02AB	Glucocorticoids
00009-0094-01	N05BA	Benzodiazepine derivatives
00009-0176-01	D07AA	"Corticosteroids, weak (group I)"
00009-0176-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0176-01	H02AB	Glucocorticoids
00009-0225-02	D10AF	Antiinfectives for treatment of acne
00009-0225-02	G01AA	Antibiotics
00009-0225-02	J01FF	Lincosamides
00009-0260-01	C10AC	Bile acid sequestrants
00009-0286-03	G03AC	Progestogens
00009-0286-03	G03DA	Pregnen (4) derivatives
00009-0286-03	L02AB	Progestogens
00009-0302-02	D10AF	Antiinfectives for treatment of acne
00009-0302-02	G01AA	Antibiotics
00009-0302-02	J01FF	Lincosamides
00009-0331-02	D10AF	Antiinfectives for treatment of acne
00009-0331-02	G01AA	Antibiotics
00009-0331-02	J01FF	Lincosamides
00009-0352-01	A10BB	Sulfonylureas
00009-0370-03	C10AC	Bile acid sequestrants
00009-0370-05	C10AC	Bile acid sequestrants
00009-0395-14	D10AF	Antiinfectives for treatment of acne
00009-0395-14	G01AA	Antibiotics
00009-0395-14	J01FF	Lincosamides
00009-0450-03	C10AC	Bile acid sequestrants
00009-0626-01	G03AC	Progestogens
00009-0626-01	G03DA	Pregnen (4) derivatives
00009-0626-01	L02AB	Progestogens
00009-0698-01	D07AA	"Corticosteroids, weak (group I)"
00009-0698-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0698-01	H02AB	Glucocorticoids
00009-0758-01	D07AA	"Corticosteroids, weak (group I)"
00009-0758-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0758-01	H02AB	Glucocorticoids
00009-0796-01	D07AA	"Corticosteroids, weak (group I)"
00009-0796-01	D10AA	"Corticosteroids, combinations for treatment of acne"
00009-0796-01	H02AB	Glucocorticoids
00009-0825-01	A01AC	Corticosteroids for local oral treatment
00009-0825-01	A07EA	Corticosteroids acting locally
00009-0825-01	C05AA	Corticosteroids
00009-0825-01	D07AA	"Corticosteroids, weak (group I)"
00009-0825-01	D07XA	"Corticosteroids, weak, other combinations"
00009-0825-01	H02AB	Glucocorticoids
00009-0825-01	S01BA	"Corticosteroids, plain"
00009-0825-01	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00009-0825-01	S02BA	Corticosteroids
00009-1111-02	L01XX	Other antineoplastic agents
00009-3116-01	D10AF	Antiinfectives for treatment of acne
00009-3116-01	G01AA	Antibiotics
00009-3116-01	J01FF	Lincosamides
00009-3116-14	D10AF	Antiinfectives for treatment of acne
00009-3116-14	G01AA	Antibiotics
00009-3116-14	J01FF	Lincosamides
00009-3331-01	D10AF	Antiinfectives for treatment of acne
00009-3331-01	G01AA	Antibiotics
00009-3331-01	J01FF	Lincosamides
00009-3375-01	D10AF	Antiinfectives for treatment of acne
00009-3375-01	G01AA	Antibiotics
00009-3375-01	J01FF	Lincosamides
00009-3381-01	D10AF	Antiinfectives for treatment of acne
00009-3381-01	G01AA	Antibiotics
00009-3381-01	J01FF	Lincosamides
00009-3382-01	D10AF	Antiinfectives for treatment of acne
00009-3382-01	G01AA	Antibiotics
00009-3382-01	J01FF	Lincosamides
00009-3448-01	D10AF	Antiinfectives for treatment of acne
00009-3448-01	G01AA	Antibiotics
00009-3448-01	J01FF	Lincosamides
00009-3449-01	A10BB	Sulfonylureas
00009-3701-05	C01EA	Prostaglandins
00009-3701-05	G04BE	Drugs used in erectile dysfunction
00009-4541-02	G04BD	Drugs for urinary frequency and incontinence
00009-4992-01	J01XX	Other antibacterials
00009-5012-01	A10BF	Alpha glucosidase inhibitors
00009-5013-01	A10BF	Alpha glucosidase inhibitors
00009-5136-01	J01XX	Other antibacterials
00009-5137-01	J01XX	Other antibacterials
00009-5175-02	H01AX	Other anterior pituitary lobe hormones and analogues
00009-5178-02	H01AX	Other anterior pituitary lobe hormones and analogues
00009-5179-02	H01AX	Other anterior pituitary lobe hormones and analogues
00009-5182-01	C01EA	Prostaglandins
00009-5182-01	G04BE	Drugs used in erectile dysfunction
00009-7376-11	G03AC	Progestogens
00009-7376-11	G03DA	Pregnen (4) derivatives
00009-7376-11	L02AB	Progestogens
00009-7686-01	C01EA	Prostaglandins
00009-7686-01	G04BE	Drugs used in erectile dysfunction
00013-0102-01	A07EC	Aminosalicylic acid and similar agents
00013-1114-01	B02AA	Amino acids
00013-2626-81	H01AC	Somatropin and somatropin agonists
00013-2646-81	H01AC	Somatropin and somatropin agonists
00013-2649-02	H01AC	Somatropin and somatropin agonists
00013-2650-02	H01AC	Somatropin and somatropin agonists
00013-2651-02	H01AC	Somatropin and somatropin agonists
00015-0508-42	G03AC	Progestogens
00015-0508-42	G03DB	Pregnadien derivatives
00015-0508-42	L02AB	Progestogens
00023-0066-04	D06AX	Other antibiotics for topical use
00023-0066-04	J01GB	Other aminoglycosides
00023-0066-04	S01AA	Antibiotics
00023-0066-04	S02AA	Antiinfectives
00023-0066-04	S03AA	Antiinfectives
00023-0066-04	A07EA	Corticosteroids acting locally
00023-0066-04	C05AA	Corticosteroids
00023-0066-04	D07AA	"Corticosteroids, weak (group I)"
00023-0066-04	D07XA	"Corticosteroids, weak, other combinations"
00023-0066-04	H02AB	Glucocorticoids
00023-0066-04	R01AD	Corticosteroids
00023-0066-04	S01BA	"Corticosteroids, plain"
00023-0066-04	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00023-0066-04	S02BA	Corticosteroids
00023-0066-04	S03BA	Corticosteroids
00023-0240-04	A06AA	"Softeners, emollients"
00023-0312-04	A06AA	"Softeners, emollients"
00023-0316-04	C05AA	Corticosteroids
00023-0316-04	D07AB	"Corticosteroids, moderately potent (group II)"
00023-0316-04	D07XB	"Corticosteroids, moderately potent, other combinations"
00023-0316-04	D10AA	"Corticosteroids, combinations for treatment of acne"
00023-0316-04	S01BA	"Corticosteroids, plain"
00023-0316-04	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00023-3240-01	A06AG	Enemas
00023-3240-01	A06AX	Other drugs for constipation
00023-3348-07	A01AC	Corticosteroids for local oral treatment
00023-3348-07	C05AA	Corticosteroids
00023-3348-07	D07AB	"Corticosteroids, moderately potent (group II)"
00023-3348-07	D07XB	"Corticosteroids, moderately potent, other combinations"
00023-3348-07	D10AA	"Corticosteroids, combinations for treatment of acne"
00023-3348-07	H02AB	Glucocorticoids
00023-3348-07	R01AD	Corticosteroids
00023-3348-07	S01BA	"Corticosteroids, plain"
00023-3348-07	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
00023-3348-07	S02BA	Corticosteroids
00023-3348-07	S03BA	Corticosteroids
00023-3416-30	A06AG	Enemas
00023-3416-30	A06AX	Other drugs for constipation
00023-3670-60	D10AX	Other anti-acne preparations for topical use
00023-3670-60	J04BA	Drugs for treatment of lepra
00023-4385-05	S01ED	Beta blocking agents
00023-5206-60	D10AX	Other anti-acne preparations for topical use
00023-5206-60	J04BA	Drugs for treatment of lepra
00023-5300-30	R01AA	"Sympathomimetics, plain"
00023-5300-30	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
00023-5300-30	S01GA	Sympathomimetics used as decongestants
00023-5301-05	L04AD	Calcineurin inhibitors
00023-5301-05	S01XA	Other ophthalmologicals
00023-5862-28	B03AA	"Iron bivalent, oral preparations"
00023-5862-28	B03AD	Iron in combination with folic acid
00023-5862-28	G03AA	"Progestogens and estrogens, fixed combinations"
00023-5862-28	G03AB	"Progestogens and estrogens, sequential preparations"
00023-5862-28	G03CA	"Natural and semisynthetic estrogens, plain"
00023-5862-28	L02AA	Estrogens
00023-5862-28	G03AC	Progestogens
00023-5862-28	G03DC	Estren derivatives
00023-5901-18	A07EC	Aminosalicylic acid and similar agents
00023-6110-01	A09AA	Enzyme preparations
00023-6111-01	A09AA	Enzyme preparations
00023-6112-01	A09AA	Enzyme preparations
00023-6114-01	A09AA	Enzyme preparations
00023-6115-01	A09AA	Enzyme preparations
00023-6116-01	A09AA	Enzyme preparations
00023-8335-03	D05AX	Other antipsoriatics for topical use
00023-8842-05	R01AC	"Antiallergic agents, excl. corticosteroids"
00023-8842-05	R03BC	"Antiallergic agents, excl. corticosteroids"
00023-8842-05	S01GX	Other antiallergics
00023-9155-30	D05AX	Other antipsoriatics for topical use
00023-9156-30	D05AX	Other antipsoriatics for topical use
00023-9201-05	R06AX	Other antihistamines for systemic use
00023-9201-05	S01GX	Other antiallergics
00023-9277-05	M01AB	Acetic acid derivatives and related substances
00023-9277-05	S01BC	"Antiinflammatory agents, non-steroids"
00024-0335-05	N02AB	Phenylpiperidine derivatives
00024-0391-02	A11CC	Vitamin D and analogues
00024-1015-10	B03AA	"Iron bivalent, oral preparations"
00024-5150-10	V03AF	Detoxifying agents for antineoplastic treatment
00024-5761-05	A10BJ	Glucagon-like peptide-1 (GLP-1) analogues
00024-5761-05	A10AE	"Insulins and analogues for injection, long-acting"
00024-5843-01	L03AA	Colony stimulating factors
00024-5850-90	C09CA	"Angiotensin II receptor blockers (ARBs), plain"
00024-5903-01	C10AX	Other lipid modifying agents
00024-5910-01	L04AC	Interleukin inhibitors
00024-5914-01	D11AH	"Agents for dermatitis, excluding corticosteroids"
00024-5924-10	A10AB	"Insulins and analogues for injection, fast-acting"
00024-5924-10	A10AC	"Insulins and analogues for injection, intermediate-acting"
00024-5924-10	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00024-5925-01	A10AB	"Insulins and analogues for injection, fast-acting"
00024-5925-01	A10AC	"Insulins and analogues for injection, intermediate-acting"
00024-5925-01	A10AD	"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
00025-0166-08	H01CA	Gonadotropin-releasing hormones
00025-1001-31	C03DA	Aldosterone antagonists
00025-1011-31	C03AA	"Thiazides, plain"
00025-1011-31	C03DA	Aldosterone antagonists
00025-1021-31	C03AA	"Thiazides, plain"
00025-1021-31	C03DA	Aldosterone antagonists
00025-1031-31	C03DA	Aldosterone antagonists
00025-1041-31	C03DA	Aldosterone antagonists
00025-1515-01	L01XX	Other antineoplastic agents
00025-1515-01	M01AH	Coxibs
00025-1710-01	C03DA	Aldosterone antagonists
00025-1831-31	A01AB	Antiinfectives and antiseptics for local oral treatment
00025-1831-31	D06BX	Other chemotherapeutics
00025-1831-31	G01AF	Imidazole derivatives
00025-1831-31	J01XD	Imidazole derivatives
00025-1831-31	P01AB	Nitroimidazole derivatives
00025-1851-31	C08DA	Phenylalkylamine derivatives
00025-1891-31	C08DA	Phenylalkylamine derivatives
00025-1901-31	C08DA	Phenylalkylamine derivatives
00025-1911-31	C08DA	Phenylalkylamine derivatives
00025-1942-50	A01AB	Antiinfectives and antiseptics for local oral treatment
00025-1942-50	D06BX	Other chemotherapeutics
00025-1942-50	G01AF	Imidazole derivatives
00025-1942-50	J01XD	Imidazole derivatives
00025-1942-50	P01AB	Nitroimidazole derivatives
00025-2732-31	C01BA	"Antiarrhythmics, class Ia"
00025-2742-31	C01BA	"Antiarrhythmics, class Ia"
00026-3822-25	B02BD	Blood coagulation factors
00026-3824-25	B02BD	Blood coagulation factors
00026-3826-50	B02BD	Blood coagulation factors
00026-3828-50	B02BD	Blood coagulation factors
00028-0264-60	D11AX	Other dermatologicals
00028-0264-60	M01AB	Acetic acid derivatives and related substances
00028-0264-60	M02AA	"Antiinflammatory preparations, non-steroids for topical use"
00028-0264-60	S01BC	"Antiinflammatory agents, non-steroids"
00031-2234-13	R06AB	Substituted alkylamines
00031-2234-13	R05DA	Opium alkaloids and derivatives
00031-2234-13	C01CA	Adrenergic and dopaminergic agents
00031-2234-13	R01AA	"Sympathomimetics, plain"
00031-2234-13	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
00031-2234-13	R01BA	Sympathomimetics
00031-2234-13	S01FB	Sympathomimetics excl. antiglaucoma preparations
00031-2234-13	S01GA	Sympathomimetics used as decongestants
00031-2235-13	R06AB	Substituted alkylamines
00031-2235-13	C01CA	Adrenergic and dopaminergic agents
00031-2235-13	R01AA	"Sympathomimetics, plain"
00031-2235-13	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
00031-2235-13	R01BA	Sympathomimetics
00031-2235-13	S01FB	Sympathomimetics excl. antiglaucoma preparations
00031-2235-13	S01GA	Sympathomimetics used as decongestants
00031-2247-13	D04AA	Antihistamines for topical use
00031-2247-13	R06AA	Aminoalkyl ethers
00031-2247-13	C01CA	Adrenergic and dopaminergic agents
00031-2247-13	R01AA	"Sympathomimetics, plain"
00031-2247-13	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
00031-2247-13	R01BA	Sympathomimetics
00031-2247-13	S01FB	Sympathomimetics excl. antiglaucoma preparations
00031-2247-13	S01GA	Sympathomimetics used as decongestants
00031-8693-12	R06AB	Substituted alkylamines
00031-8693-12	R05DA	Opium alkaloids and derivatives
00031-8694-12	R05DA	Opium alkaloids and derivatives
00031-8716-12	R05DA	Opium alkaloids and derivatives
00031-8716-12	R05CA	Expectorants
00031-8716-12	C01CA	Adrenergic and dopaminergic agents
00031-8716-12	R01AA	"Sympathomimetics, plain"
00031-8716-12	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
