A	ALIMENTARY TRACT AND METABOLISM
A02A F01	MAGALDRATE AND ANTIFLATULENTS
A02A F02	ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS
A02A G	ANTACIDS WITH ANTISPASMODICS
A02A H	ANTACIDS WITH SODIUM BICARBONATE
A02A X	"ANTACIDS, OTHER COMBINATIONS"
A02B	DRUGS FOR TREATMENT OF PEPTIC ULCER
A02B A	H2-RECEPTOR ANTAGONISTS
A02B A01	CIMETIDINE
A02B A02	RANITIDINE
A02B A03	FAMOTIDINE
A02B A04	NIZATIDINE
A02B A05	NIPEROTIDINE
A02B A06	ROXATIDINE
A02B A07	RANITIDINE BISMUTH CITRATE
A02B A08	LAFUTIDINE
A02B A51	"CIMETIDINE, COMBINATIONS"
A02B A53	"FAMOTIDINE, COMBINATIONS"
A02B B	PROSTAGLANDINS
A02B B01	MISOPROSTOL
A02B B02	ENPROSTIL
A02B C	PROTON PUMP INHIBITORS
A02B C01	OMEPRAZOLE
A02B C02	PANTOPRAZOLE
A02B C03	LANSOPRAZOLE
A02B C04	RABEPRAZOLE
A02B C05	ESOMEPRAZOLE
A02B C06	DEXLANSOPRAZOLE
A02B C07	DEXRABEPRAZOLE
A02B C53	"LANSOPRAZOLE, COMBINATIONS"
A02B C54	"RABEPRAZOLE, COMBINATIONS"
A02B D	COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI
A02B D01	"OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE"
A02B D02	"LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE"
A02B D03	"LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE"
A02B D04	"PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"
A02B D05	"OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"
A02B D07	"LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"
A02B D08	"BISMUTH SUBCITRATE, TETRACYCLINE AND METRONIDAZOLE"
A02B D09	"LANSOPRAZOLE, CLARITHROMYCIN AND TINIDAZOLE"
A02B D10	"LANSOPRAZOLE, AMOXICILLIN AND LEVOFLOXACIN"
A02B D11	"PANTOPRAZOLE, AMOXICILLIN, CLARITHROMYCIN AND METRONIDAZOLE"
A02B X	OTHER DRUGS FOR TREATMENT OF PEPTIC ULCER
A02B X01	CARBENOXOLONE
A02B X02	SUCRALFATE
A02B X03	PIRENZEPINE
A02B X04	METHIOSULFONIUM CHLORIDE
A02B X05	BISMUTH SUBCITRATE
A02B X06	PROGLUMIDE
A02B X07	GEFARNATE
A02B X08	SULGLICOTIDE
A02B X09	ACETOXOLONE
A02B X10	ZOLIMIDINE
A02B X11	TROXIPIDE
A02B X12	BISMUTH SUBNITRATE
A02B X13	ALGINIC ACID
A02B X14	REBAMIPIDE
A02B X51	"CARBENOXOLONE, COMBINATIONS EXCL. PSYCHOLEPTICS"
A02B X71	"CARBENOXOLONE, COMBINATIONS WITH PSYCHOLEPTICS"
A02B X77	"GEFARNATE, COMBINATIONS WITH PSYCHOLEPTICS"
A02D	ANTIFLATULENTS - OLD CODE
A02D A	ANTIFLATULENTS - OLD CODE
A02D A01	SILICONES - OLD CODE
A02E	ANTIREGURGITANTS - OLD CODE
A02E A	ANTIREGURGITANTS
A02E A01	ALGINIC ACID - OLD CODE
A02E A02	SODIUM ALGINATE
A02E F	SILICONES
A02X	"OTHER ANTACIDS, DRUGS FOR TREATMENT OF PEPTIC ULCER AND FLATULENCE"
A03	ANTISPASMODIC AND ANTICHOLINERGIC AGENTS AND PROPULSIVES
A03A	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A A	"SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP"
A03A A01	OXYPHENCYCLIMINE
A03A A03	CAMYLOFIN
A03A A04	MEBEVERINE
A03A A05	TRIMEBUTINE
A03A A06	ROCIVERINE
A03A A07	DICYCLOVERINE
A03A A08	DIHEXYVERINE
A03A A09	DIFEMERINE
A03A A30	PIPERIDOLATE
A03A B	"SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS"
A03A B01	BENZILONE
A03A B02	GLYCOPYRRONIUM
A03A B03	OXYPHENONIUM
A03A B04	PENTHIENATE
A03A B05	PROPANTHELINE
A03A B06	OTILONIUM BROMIDE
A03A B07	METHANTHELINE
A03A B08	TRIDIHEXETHYL
A03A B09	ISOPROPAMIDE
A03A B10	HEXOCYCLIUM
A03A B11	POLDINE
A03A B12	MEPENZOLATE
A03A B13	BEVONIUM
A03A B14	PIPENZOLATE
A03A B15	DIPHEMANIL
A03A B16	(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE
A03A B17	TIEMONIUM IODIDE
A03A B18	PRIFINIUM BROMIDE
A03A B19	TIMEPIDIUM BROMIDE
A03A B20	TROSPIUM - OLD CODE
A03A B21	FENPIVERINIUM
A03A B53	"OXYPHENONIUM, COMBINATIONS"
A03A C	"SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES"
A03A C02	DIMETHYLAMINOPROPIONYLPHENOTHIAZINE
A03A C04	NICOFETAMIDE
A03A C05	TIROPRAMIDE
A03A D	PAPAVERINE AND DERIVATIVES
A03A D01	PAPAVERINE
A03A D02	DROTAVERINE
A03A D30	MOXAVERINE
A03A D51	"PAPAVERINE, COMBINATIONS"
A03A E	SEROTONIN RECEPTOR ANTAGONISTS
A03A E01	ALOSETRON
A03A E02	TEGASEROD - OLD CODE
A03A E03	CILANSETRON
A03A E04	PRUCALOPRIDE - OLD CODE
A03A X	OTHER DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A X01	FENPIPRANE
A03A X02	DIISOPROMINE
A03A X03	CHLORBENZOXAMINE
A03A X04	PINAVERIUM
A03A X05	FENOVERINE
A03A X06	IDANPRAMINE
A03A X07	PROXAZOLE
A03A X08	ALVERINE
A03A X09	TREPIBUTONE
A03A X10	ISOMETHEPTENE
A03A X11	CAROVERINE
A03A X13	SILICONES
A03A X14	VALETHAMATE
A03A X30	TRIMETHYLDIPHENYLPROPYLAMINE
A03A X58	"ALVERINE, COMBINATIONS"
A03B	"BELLADONNA AND DERIVATIVES, PLAIN"
A03B A	"BELLADONNA ALKALOIDS, TERTIARY AMINES"
A03B A01	ATROPINE
A03B A03	HYOSCYAMINE
A03B A04	BELLADONNA TOTAL ALKALOIDS
A03B B	"BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS"
A03B B01	BUTYLSCOPOLAMINE
A03B B02	METHYLATROPINE
A03B B03	METHYLSCOPOLAMINE
A03B B04	FENTONIUM
A03B B05	CIMETROPIUM BROMIDE
A03C	ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03C A	SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS
A03C A01	ISOPROPAMIDE AND PSYCHOLEPTICS
A03C A02	CLIDINIUM AND PSYCHOLEPTICS
A03C A03	OXYPHENCYCLIMINE AND PSYCHOLEPTICS
A03C A04	OTILONIUM BROMIDE AND PSYCHOLEPTICS
A03C A05	GLYCOPYRRONIUM AND PSYCHOLEPTICS
A03C A06	BEVONIUM AND PSYCHOLEPTICS
A03C A07	AMBUTONIUM AND PSYCHOLEPTICS
A03C A08	DIPHEMANIL AND PSYCHOLEPTICS
A03C A09	PIPENZOLATE AND PSYCHOLEPTICS
A03C A30	EMEPRONIUM AND PSYCHOLEPTICS
A03C A34	PROPANTHELINE AND PSYCHOLEPTICS
A03C B	BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS
A03C B01	METHYLSCOPOLAMINE AND PSYCHOLEPTICS
A03C B02	BELLADONNA TOTAL ALKALOIDS AND PSYCHOLEPTICS
A03C B03	ATROPINE AND PSYCHOLEPTICS
A03C B04	METHYLHOMATROPINE AND PSYCHOLEPTICS
A03C B31	HYOSCYAMINE AND PSYCHOLEPTICS
A03C C	OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03D	ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03D A	SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS
A03D A01	TROPENZILONE AND ANALGESICS
A03D A02	PITOFENONE AND ANALGESICS
A03D A03	BEVONIUM AND ANALGESICS
A03D A04	CICLONIUM AND ANALGESICS
A03D A05	CAMYLOFIN AND ANALGESICS
A03D A06	TROSPIUM AND ANALGESICS
A03D A07	TIEMONIUM IODIDE AND ANALGESICS
A03D B	BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS
A03D B04	BUTYLSCOPOLAMINE AND ANALGESICS
A03D C	OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03E	ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03E A	"ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION"
A03E D	ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS
A03F	PROPULSIVES
A03F A	PROPULSIVES
A03F A01	METOCLOPRAMIDE
A03F A02	CISAPRIDE
A03F A03	DOMPERIDONE
A03F A04	BROMOPRIDE
A03F A05	ALIZAPRIDE
A03F A06	CLEBOPRIDE
A03F A07	ITROPRIDE
A03F A08	CINITAPRIDE
A04	ANTIEMETICS AND ANTINAUSEANTS
A04A	ANTIEMETICS AND ANTINAUSEANTS
A04A A	SEROTONIN (5HT3) ANTAGONISTS
A04A A01	ONDANSETRON
A04A A02	GRANISETRON
A04A A03	TROPISETRON
A04A A04	DOLASETRON
A04A A05	PALONOSETRON
A04A A55	"PALONOSETRON, COMBINATIONS"
A04A D	OTHER ANTIEMETICS
A04A D01	SCOPOLAMINE
A04A D02	CERIUM OXALATE
A04A D04	CHLOROBUTANOL
A04A D05	METOPIMAZINE
A04A D10	DRONABINOL
A04A D11	NABILONE
A04A D12	APREPITANT
A04A D13	CASOPITANT
A04A D14	ROLAPITANT
A04A D51	"SCOPOLAMINE, COMBINATIONS"
A04A D54	"CHLOROBUTANOL, COMBINATIONS"
A05	BILE AND LIVER THERAPY
A05A	BILE THERAPY
A05A A	BILE ACIDS AND DERIVATIVES
A05A A01	CHENODEOXYCHOLIC ACID
A05A A02	URSODEOXYCHOLIC ACID
A05A A03	CHOLIC ACID
A05A A04	OBETICHOLIC ACID
A05A B	PREPARATIONS FOR BILIARY TRACT THERAPY
A05A B01	NICOTINYL METHYLAMIDE
A05A X	OTHER DRUGS FOR BILE THERAPY
A05A X01	PIPROZOLIN
A05A X02	HYMECROMONE
A05A X03	CYCLOBUTYROL
A05B	"LIVER THERAPY, LIPOTROPICS"
A05B A	LIVER THERAPY
A05B A01	ARGININE GLUTAMATE
A05B A03	SILYMARIN
A05B A04	CITIOLONE
A05B A05	EPOMEDIOL
A05B A06	ORNITHINE OXOGLURATE
A05B A07	TIDIACIC ARGININE
A05B A08	GLYCYRRHIZIC ACID
A05C	DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION
A06	DRUGS FOR CONSTIPATION
A06A	DRUGS FOR CONSTIPATION
A06A A	"SOFTENERS, EMOLLIENTS"
A06A A01	LIQUID PARAFFIN
A06A A02	DOCUSATE SODIUM
A06A A51	"LIQUID PARAFFIN, COMBINATIONS"
A06A B	CONTACT LAXATIVES
A06A B01	OXYPHENISATIN
A06A B02	BISACODYL
A06A B03	DANTRON
A06A B04	PHENOLPHTHALEIN
A06A B05	CASTOR OIL
A06A B06	SENNA GLYCOSIDES
A06A B07	CASCARA
A06A B08	SODIUM PICOSULFATE
A06A B20	CONTACT LAXATIVES IN COMBINATION
A06A B30	CONTACT LAXATIVES IN COMBINATION WITH BELLADONNA ALKALOIDS
A06A B53	"DANTRON, COMBINATIONS"
A06A B54	PHENOLPHTHALEIN COMBINATIONS
A06A B56	"SENNA GLYCOSIDES, COMBINATIONS"
A06A B57	"CASCARA, COMBINATIONS"
A06A B58	"SODIUM PICOSULFATE, COMBINATIONS"
A06A C	BULK-FORMING LAXATIVES
A06A C01	ISPAGHULA (PSYLLA SEEDS)
A06A C02	ETHULOSE
A06A C03	STERCULIA
A06A C05	LINSEED
A06A C06	METHYLCELLULOSE
A06A C07	TRITICUM (WHEAT FIBRE)
A06A C08	POLYCARBOPHIL CALCIUM
A06A C51	"ISPAGHULA, COMBINATIONS"
A06A C53	"STERCULIA, COMBINATIONS"
A06A C55	"LINSEED, COMBINATIONS"
A06A D	OSMOTICALLY ACTING LAXATIVES
A06A D01	MAGNESIUM CARBONATE
A06A D02	MAGNESIUM OXIDE
A06A D03	MAGNESIUM PEROXIDE
A06A D04	MAGNESIUM SULFATE
A06A D10	MINERAL SALTS IN COMBINATION
A06A D11	LACTULOSE
A06A D12	LACTITOL
A06A D13	SODIUM SULFATE
A06A D14	PENTAERITHRITYL
A06A D15	MACROGOL
A06A D16	MANNITOL
A06A D17	SODIUM PHOSPHATE
A06A D18	SORBITOL
A06A D61	"LACTULOSE, COMBINATIONS"
A06A D65	"MACROGOL, COMBINATIONS"
A06A G	ENEMAS
A06A G01	SODIUM PHOSPHATE
A06A G02	BISACODYL
A06A G03	"DANTRON, INCL. COMBINATIONS"
A06A G04	GLYCEROL
A06A G06	OIL
A06A G07	SORBITOL
A06A G10	"DOCUSATE SODIUM, INCL. COMBINATIONS"
A06A G11	"SODIUM LAURYL SULFOACETATE, INCLUDING COMBINATIONS"
A06A G20	COMBINATIONS
A06A H	PERIPHERAL OPIOID RECEPTOR ANTAGONISTS
A06A H01	METHYLNALTREXONE
A06A H02	ALVIMOPAN
A06A H03	NALOXEGOL
A06A H04	NALOXONE
A06A H05	NALDEMEDINE
A06A X	OTHER DRUGS FOR CONSTIPATION
A06A X01	GLYCEROL
A06A X02	CARBON DIOXIDE PRODUCING DRUGS
A06A X03	LUBIPROSTONE
A06A X04	LINACLOTIDE
A06A X05	PRUCALOPRIDE
A06A X06	TEGASEROD
A06A X07	PLECANATIDE
A07	"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A07A	INTESTINAL ANTIINFECTIVES
A07A A	ANTIBIOTICS
A07A A01	NEOMYCIN
A07A A02	NYSTATIN
A07A A03	NATAMYCIN
A07A A04	STREPTOMYCIN
A07A A05	POLYMYXIN B
A07A A06	PAROMOMYCIN
A07A A07	AMPHOTERICIN B
A07A A08	KANAMYCIN
A07A A09	VANCOMYCIN
A07A A10	COLISTIN
A07A A11	RIFAXIMIN
A07A A12	FIDAXOMICIN
A07A A51	"NEOMYCIN, COMBINATIONS"
A07A A54	"STREPTOMYCIN, COMBINATIONS"
A07A B	SULFONAMIDES
A07A B02	PHTHALYLSULFATHIAZOLE
A07A B03	SULFAGUANIDINE
A07A B04	SUCCINYLSULFATHIAZOLE
A07A C	IMIDAZOLE DERIVATIVES
A07A C01	MICONAZOLE
A07A X	OTHER INTESTINAL ANTIINFECTIVES
A07A X01	BROXYQUINOLINE
A07A X02	ACETARSOL
A07A X03	NIFUROXAZIDE
A07A X04	NIFURZIDE
A07B	INTESTINAL ADSORBENTS
A07B A	CHARCOAL PREPARATIONS
A07B A01	MEDICINAL CHARCOAL
A07B A51	"MEDICINAL CHARCOAL, COMBINATIONS"
A07B B	BISMUTH PREPARATIONS
A07B C	OTHER INTESTINAL ADSORBENTS
A07B C01	PECTIN
A07B C02	KAOLIN
A07B C03	CROSPOVIDONE
A07B C04	ATTAPULGITE
A07B C05	DIOSMECTITE
A07B C30	COMBINATIONS
A07B C54	"ATTAPULGITE, COMBINATIONS"
A07C	ELECTROLYTES WITH CARBOHYDRATES
A07C A	ORAL REHYDRATION SALT FORMULATIONS
A07D	ANTIPROPULSIVES
A07D A	ANTIPROPULSIVES
A07D A01	DIPHENOXYLATE
A07D A02	OPIUM
A07D A03	LOPERAMIDE
A07D A04	DIFENOXIN
A07D A05	LOPERAMIDE OXIDE
A07D A06	ELUXADOLINE
A07D A52	"MORPHINE, COMBINATIONS"
A07D A53	"LOPERAMIDE, COMBINATIONS"
A07E	INTESTINAL ANTIINFLAMMATORY AGENTS
A07E A	CORTICOSTEROIDS ACTING LOCALLY
A07E A01	PREDNISOLONE
A07E A02	HYDROCORTISONE
A07E A03	PREDNISONE
A07E A04	BETAMETHASONE
A07E A05	TIXOCORTOL
A07E A06	BUDESONIDE
A07E A07	BECLOMETASONE
A07E B	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"
A07E B01	CROMOGLICIC ACID
A07E C	AMINOSALICYLIC ACID AND SIMILAR AGENTS
A07E C01	SULFASALAZINE
A07E C02	MESALAZINE
A07E C03	OLSALAZINE
A07E C04	BALSALAZIDE
A07F	ANTIDIARRHEAL MICROORGANISMS
A07F A	ANTIDIARRHEAL MICROORGANISMS
A07F A01	LACTIC ACID PRODUCING ORGANISMS
A07F A02	SACCHAROMYCES BOULARDII
A07F A51	"LACTIC ACID PRODUCING ORGANISMS, COMBINATIONS"
A07X	OTHER ANTIDIARRHEALS
A07X A	OTHER ANTIDIARRHEALS
A07X A01	ALBUMIN TANNATE
A07X A02	CERATONIA
A07X A03	CALCIUM COMPOUNDS
A07X A04	ACETORPHAN
A07X A51	"ALBUMIN TANNATE, COMBINATIONS"
A08	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08A	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08A A	CENTRALLY ACTING ANTIOBESITY PRODUCTS
A08A A01	PHENTERMINE
A08A A02	FENFLURAMINE
A08A A03	AMFEPRAMONE
A08A A04	DEXFENFLURAMINE
A08A A05	MAZINDOL
A08A A06	ETILAMFETAMINE
A08A A07	CATHINE
A08A A08	CLOBENZOREX
A08A A09	MEFENOREX
A08A A10	SIBUTRAMINE
A08A A11	LORCASERIN
A08A A56	"EPHEDRINE, COMBINATIONS"
A08A A62	BUPROPION AND NALTREXONE
A08A B	PERIPHERALLY ACTING ANTIOBESITY PRODUCTS
A08A B01	ORLISTAT
A08A X	OTHER ANTIOBESITY DRUGS
A08A X01	RIMONABANT
A09	"DIGESTIVES, INCL. ENZYMES"
A09A	"DIGESTIVES, INCL. ENZYMES"
A09A A	ENZYME PREPARATIONS
A09A A01	DIASTASE
A09A A02	"MULTIENZYMES (LIPASE, PROTEASE ETC.)"
A09A A03	PEPSIN
A09A A04	TILACTASE
A09A B	ACID PREPARATIONS
A09A B01	GLUTAMIC ACID HYDROCHLORIDE
A09A B02	BETAINE HYDROCHLORIDE
A09A B03	HYDROCHLORIC ACID
A09A B04	CITRIC ACID
A09A C	"ENZYME AND ACID PREPARATIONS, COMBINATIONS"
A09A C01	PEPSIN AND ACID PREPARATIONS
A10	DRUGS USED IN DIABETES
A10A	INSULINS AND ANALOGUES
A10A A	INSULINS
A10A A01	"INSULINS, FAST-ACTING"
A10A A02	"INSULINS, INTERMEDIATE-ACTING"
A10A A03	"INSULINS,INTERMEDIATE-ACTING,RAPID ONSET OF EFFECT"
A10A A04	"INSULINS, LONG-ACTING"
A10A B	"INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING"
A10A B01	INSULIN (HUMAN)
A10A B02	INSULIN (BEEF)
A10A B03	INSULIN (PORK)
A10A B04	INSULIN LISPRO
A10A B05	INSULIN ASPART
A10A B06	INSULIN GLULISINE
A10A B30	COMBINATIONS
A10A C	"INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING"
A10A C01	INSULIN (HUMAN)
A10A C02	INSULIN (BEEF)
A10A C03	INSULIN (PORK)
A10A C04	INSULIN LISPRO
A10A C30	COMBINATIONS
A10A D	"INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING"
A10A D01	INSULIN (HUMAN)
A10A D02	INSULIN (BEEF)
A10A D03	INSULIN (PORK)
A10A D04	INSULIN LISPRO
A10A D05	INSULIN ASPART
A10A D06	INSULIN DEGLUDEC AND INSULIN ASPART
A10A D30	COMBINATIONS
A10A E	"INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING"
A10A E01	INSULIN (HUMAN)
A10A E02	INSULIN (BEEF)
A10A E03	INSULIN (PORK)
A10A E04	INSULIN GLARGINE
A10A E05	INSULIN DETEMIR
A10A E06	INSULIN DEGLUDEC
A10A E30	COMBINATIONS
A10A E54	INSULIN GLARGINE AND LIXISENATIDE
A10A E56	INSULIN DEGLUDEC AND LIRAGLUTIDE
A10A F	"INSULINS AND ANALOGUES, FOR INHALATION"
A10A F01	INSULIN (HUMAN)
A10B	"BLOOD GLUCOSE LOWERING DRUGS, EXCLUDING INSULINS"
A10B A	BIGUANIDES
A10B A01	PHENFORMIN
A10B A02	METFORMIN
A10B A03	BUFORMIN
A10B B	SULFONYLUREAS
A10B B01	GLIBENCLAMIDE
A10B B02	CHLORPROPAMIDE
A10B B03	TOLBUTAMIDE
A10B B04	GLIBORNURIDE
A10B B05	TOLAZAMIDE
A10B B06	CARBUTAMIDE
A10B B07	GLIPIZIDE
A10B B08	GLIQUIDONE
A10B B09	GLICLAZIDE
A10B B10	METAHEXAMIDE
A10B B11	GLISOXEPIDE
A10B B12	GLIMEPIRIDE
A10B B31	ACETOHEXAMIDE
A10B C	SULFONAMIDES (HETEROCYCLIC)
A10B C01	GLYMIDINE
A10B D	COMBINATIONS OF ORAL BLOOD GLUCOSE LOWERING DRUGS
A10B D01	PHENFORMIN AND SULFONYLUREAS
A10B D02	METFORMIN AND SULFONYLUREAS
A10B D03	METFORMIN AND ROSIGLITAZONE
A10B D04	GLIMEPIRIDE AND ROSIGLITAZONE
A10B D05	METFORMIN AND PIOGLITAZONE
A10B D06	GLIMEPIRIDE AND PIOGLITAZONE
A10B D07	METFORMIN AND SITAGLIPTIN
A10B D08	METFORMIN AND VILDAGLIPTIN
A10B D09	PIOGLITAZONE AND ALOGLIPTIN
A10B D10	METFORMIN AND SAXAGLIPTIN
A10B D11	METFORMIN AND LINAGLIPTIN
A10B D12	PIOGLITAZONE AND SITAGLIPTIN
A10B D13	METFORMIN AND ALOGLIPTIN
A10B D14	METFORMIN AND REPAGLINIDE
A10B D15	METFORMIN AND DAPAGLIFLOZIN
A10B D16	METFORMIN AND CANAGLIFLOZIN
A10B D17	METFORMIN AND ACARBOSE
A10B D18	METFORMIN AND GEMIGLIPTIN
A10B D19	LINAGLIPTIN AND EMPAGLIFLOZIN
A10B D20	METFORMIN AND EMPAGLIFLOZIN
A10B D21	SAXAGLIPTIN AND DAPAGLIFLOZIN
A10B D22	METFORMIN AND EVOGLIPTIN
A10B F	ALPHA GLUCOSIDASE INHIBITORS
A10B F01	ACARBOSE
A10B F02	MIGLITOL
A10B F03	VOGLIBOSE
A10B G	THIAZOLIDINEDIONES
A10B G01	TROGLITAZONE
A10B G02	ROSIGLITAZONE
A10B G03	PIOGLITAZONE
A10B H	DIPEPTIDYL PEPTIDASE 4 (DPP-4) INHIBITORS
A10B H01	SITAGLIPTIN
A10B H02	VILDAGLIPTIN
A10B H03	SAXAGLIPTIN
A10B H04	ALOGLIPTIN
A10B H05	LINAGLIPTIN
A10B H06	GEMIGLIPTIN
A10B H07	EVOGLIPTIN
A10B H51	SITAGLIPTIN AND SIMVASTATIN
A10B J	GLUCAGON-LIKE PEPTIDE-1 (GLP-1) ANALOGUES
A10B J01	EXENATIDE
A10B J02	LIRAGLUTIDE
A10B J03	LIXISENATIDE
A10B J04	ALBIGLUTIDE
A10B J05	DULAGLUTIDE
A10B J06	SEMAGLUTIDE
A10B K	SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS
A10B K01	DAPAGLIFLOZIN
A10B K02	CANAGLIFLOZIN
A10B K03	EMPAGLIFLOZIN
A10B X	"OTHER BLOOD GLUCOSE LOWERING DRUGS, EXCLUDING INSULINS"
A10B X01	GUAR GUM
A10B X02	REPAGLINIDE
A10B X03	NATEGLINIDE
A10B X04	EXENATIDE - OLD CODE
A10B X05	PRAMLINTIDE
A10B X06	BENFLUOREX
A10B X07	LIRAGLUTIDE - OLD CODE
A10B X08	MITIGLINIDE
A10B X09	DAPAGLIFLOZIN - OLD CODE
A10B X10	LIXISENATIDE - OLD CODE
A10B X11	CANAGLIFLOZIN - OLD CODE
A10B X12	EMPAGLIFLOZIN - OLD CODE
A10B X13	ALBIGLUTIDE - OLD CODE
A10B X14	DULAGLUTIDE - OLD CODE
A10X	OTHER DRUGS USED IN DIABETES
A10X A	ALDOSE REDUCTASE INHIBITORS
A10X A01	TOLRESTAT
A11	VITAMINS
A11A	"MULTIVITAMINS, COMBINATIONS"
A11A A	MULTIVITAMINS WITH MINERALS
