source	count	destination
Albumin / Kreatinin-ratio::Albumin / Kreatinin-ratio;U	14660	UrineAlbumin_over_Creatinine
Folat;P	14377	Follic_Acid
Koag. overflade-induceret [APTT];P	14317	IGNORE
Transferrin;P	12592	IGNORE
Fibrin D-Dimer;P	12326	IGNORE
Transferrin-mætning;P	12098	IGNORE
Bloddyrkning (vene)	11317	IGNORE
MCV::Erytrocytvol. Middel [MCV];Erc(B)	11150	MCV
Thyroxin frit [T4];P	10535	IGNORE
LDL::Kolesterol LDL (beregnet);P	10522	LDL
Hydrogencarbonat (standard);P	10457	IGNORE
Ilt art blod/ilt indåndingsluft;Pt	10426	IGNORE
eGFR / 1,73m²(CKD-EPI)	10287	IGNORE
Immunglobulin G;P	10014	IGNORE
Troponin T;P	9800	IGNORE
Glukose - POCT;P(kB)	9429	Glucose
TEK-hæmolyse index;P	9305	IGNORE
TEK-Lipæmi index;P	9304	IGNORE
Immunglobulin M;P	9104	IGNORE
pCO2 (Pt-temp.);P(aB)	9086	IGNORE
pH (Pt-temp.);P(aB)	9071	IGNORE
pO2 (Pt-temp.);P(aB)	9066	IGNORE
Parathyrin [PTH];P	9040	IGNORE
Calcium::Calcium-ion frit;P	8970	Ca
BAC-test;B	8890	IGNORE
Neutrophils::Neutrophilocytter(modne+umodne);B	8479	Neutrophils#
Erytrocytter;B	8240	IGNORE
Immunglobulin A (g/l);P	8214	IGNORE
eGFR (1,73 mE2);Nyre	7910	IGNORE
TEK Icterus index;P	7749	IGNORE
MCH::Hæmoglobinindhold [MCH];Erc(B)	7136	MCH
Protein;P	6776	IGNORE
Thyrotropin(diagnostisk);P	6710	IGNORE
Prostataspecifikt antigen;P	6559	IGNORE
Dyrkning (bacterium+fungus);B(vB)	6353	IGNORE
Methæmoglobin;Hb(B)	5509	IGNORE
Triiodthyronin frit [T3];P	5401	IGNORE
Haptoglobin;P	5253	IGNORE
M-komponent;P	5168	IGNORE
Sedimentationsreaktion;B	5127	IGNORE
Glucose::Glukose;P(vB)	4793	Glucose
Hæmoglobin (iFOBT);F	4430	IGNORE
Troponin I;P	4136	IGNORE
Erytrocytter, vol.fr. [EVF];B(aB)	4112	IGNORE
Thyroxin [T4];P	4073	IGNORE
Zink;P	3719	IGNORE
Hæmolyse index;P	3652	IGNORE
Immunglobulin E;P	3611	IGNORE
Calcium (albuminkorrigeret);P	3512	IGNORE
CO2 total;P(vB)	3455	IGNORE
Anion gap(inkl. K+);P(aB)	3294	IGNORE
Bloddyrkning (vene), 2 sæt	3288	IGNORE
Laktat;P(vB)	3026	IGNORE
Protein;U	2949	IGNORE
25-Hydroxy-Vitamin D(D3+D2);P	2917	IGNORE
Potassium::Kalium;P(vB)	2799	K+
Sodium::Natrium;P(vB)	2788	Na
Erytrocytter, vol.fr. [EVF];B	2659	IGNORE
Procalcitonin;P	2614	IGNORE
Neutrophils::Neutrophilocytter (modne+umodne); B	2610	Neutrophils#
Creatinine::Kreatinin;P(vB)	2592	Creatinine
Triiodthyronin [T3];P	2576	IGNORE
Karbamid;U	2535	IGNORE
Triglycerides::Triglycerid;P(fPt)	2330	Triglycerides
Kreatinkinase MB;P	2301	IGNORE
Erytrocytvol. rel. spredning;Erc(B)	2204	IGNORE
Volumen;Pt(U)	2152	IGNORE
Urinopsamlingstid;Pt	2055	IGNORE
Fibrinogen (koag.);P	2054	IGNORE
Bloddyrkning (vene), 2 sæt;B	2042	IGNORE
Kortisol;P	2033	IGNORE
Thyroxinbindingskap. [T4-uptake];P	1839	IGNORE
Blodtype(ABO; Rh D);Erc(B)	1829	IGNORE
Myelocytter;B	1809	IGNORE
Natrium;U	1750	IGNORE
Pro-brain natriur.peptid [proBNP];P	1719	IGNORE
Dyrkning (bacterium+fungus);B	1685	IGNORE
Kreatinin;Pt(U)	1679	IGNORE
Hemoglobin::Hæmoglobin;B(vB)	1665	Hemoglobin
Cholesterol::Kolesterol;P(fPt)	1642	Cholesterol
HDL::Kolesterol HDL;P(fPt)	1638	HDL
LDL::Kolesterol LDL;P(fPt)	1638	LDL
Myoglobin;P	1634	IGNORE
Digoxin;P	1622	IGNORE
Orosomucoid;P	1612	IGNORE
M-komponent(0 1);P	1586	IGNORE
Lambda-kæde(Ig) frit;P	1571	IGNORE
Kappa-kæde(Ig) frit;P	1571	IGNORE
Kappa/Lambda-kæde(Ig) frit;P	1570	IGNORE
Metamyelocytter;B	1529	IGNORE
25-OH-Vitamin D(D3+D2);P	1512	IGNORE
Antitrypsin;P	1491	IGNORE
Rheumafaktor(IgM);P	1491	IGNORE
Cor.SARS(COVID19)DNA/RNA ;Sekr	1476	IGNORE
Klorid;P	1418	IGNORE
Kalium;U	1414	IGNORE
Ethanol;P	1350	IGNORE
Aspergillus fumigatus (m3)-IgE;P	1345	IGNORE
Dyrkning (bacterium+fungus);B sæt2	1334	IGNORE
Peptidyldipeptidase A [ACE];P	1305	IGNORE
Kreatinin-clearance;Nyre	1304	IGNORE
Erytroblaster;B	1285	IGNORE
Immunglobulin A;P	1263	IGNORE
Cykl.citrul.peptid-IgG [CCP];P	1244	IGNORE
Protein;Pt(U)	1224	IGNORE
Cancer-antigen 125;P	1206	IGNORE
Birk (t3)-IgE;P	1169	IGNORE
Eng-rottehale (g6)-IgE;P	1165	IGNORE
Derm. pteronyssinus (d1)-IgE;P	1163	IGNORE
Testosteron;P	1155	IGNORE
Grå bynke (w6)-IgE;P	1143	IGNORE
Derm. farinae (d2)-IgE;P	1142	IGNORE
Hundeskæl (e5)-IgE;P	1129	IGNORE
Bindevævssygdom-relateret-Ab[ANA];P	1102	IGNORE
Karbamid;Pt(U)	1099	IGNORE
Dyrkning (bacterium+fungus) 2.sæt;B	1080	IGNORE
Hepatitis B virus s(Ag) [HBsAg];P	1074	IGNORE
Hepatitis C virus-Ab [HCV-Ab];P	1073	IGNORE
Hesteskæl (e3)-IgE;P	1053	IGNORE
Dyrkning (bacterium+fungus) 2 sæt;B	1051	IGNORE
O2 (indgivet - fraktion);Pt	1041	IGNORE
Smudge celler;B	1036	IGNORE
Aspartattransaminase [ASAT];P	1029	IGNORE
Hepatitis B virus c-Ab [Anti-HBc];P	1027	IGNORE
Methylmalonat;P	1008	IGNORE
Antitrombin (enz.);P	1001	IGNORE
Lipæmi index;P	988	IGNORE
Icterisk index;P	988	IGNORE
O2 (indgivet - fraktion):Pt	982	IGNORE
alfa-1-Føtoprotein;P	982	IGNORE
Glukose(diag.);P(vB; fPt)	963	IGNORE
Follitropin [FSH];P	960	IGNORE
Calprotectin;F	952	IGNORE
Antitrombin (enz.; trombin);P	951	IGNORE
Tacrolimus;B	935	IGNORE
Dyrkning (bacterium+fungus)2.sæt;B	924	IGNORE
Lymfocytter (variantform);B	923	IGNORE
Calcium::Calcium-ion frit (pH=7,4);P(vB)	906	Ca
Thyroidperoxidase-Ab;P	902	IGNORE
Reticulocytter;Erc(B)	900	IGNORE
pH;P(vB)	895	IGNORE
Lutropin [LH];P	891	IGNORE
INR::Koag.Fakt.II+V+VII+X [INR]POCT;P	882	INR
Kaninepitel (e82)-IgE;P	849	IGNORE
Sexualhormonbindende globulin;P	844	IGNORE
Thyreoidea-stim.+blok. immungl;P	839	IGNORE
Rheumafaktor;P	832	IGNORE
pCO2;P(vB)	826	IGNORE
Lithium;P	823	IGNORE
Skimmelsvamp (m1;2;3;6)-IgE;P	821	IGNORE
T-uptake;P	819	IGNORE
Thyroxinbindingskapacitet;P	802	IGNORE
Carbonmonoxidhæmoglobin;Hb(B)	797	IGNORE
Kortikotropin;P	789	IGNORE
Nøgne kerner;B	781	IGNORE
HIV 1+2 (Ag+Ab);P	779	IGNORE
Vancomycin;P	769	IGNORE
Hepatitis B virus, tolkning	768	IGNORE
Hba1c::Hæmoglobin A1c;Hb(B)	753	IGNORE
Alternaria tenuis (m6)-IgE;P	752	IGNORE
Inhalationsantigenpanel-IgE;P	751	IGNORE
Nucleært-IgG [ANA];arb.k.;P	748	IGNORE
P-ANCA(IgG) (semikvant);P	740	IGNORE
C-ANCA(IgG) (semikvant);P	740	IGNORE
Erytrocytter 0-forlig;Erc(B)	732	IGNORE
Base excess (aktuel);P(vB)	730	IGNORE
IgG (kappa;monoklonalt);P	719	IGNORE
Aspergillus fumigatus (m3)-IgG;P	713	IGNORE
pO2;P(vB)	713	IGNORE
Cladosporium herbarum(m2)-IgE;P	703	IGNORE
Antitrombin;P	684	IGNORE
Cykl.citrul.peptid-Ab(IgG) [CCP];P	682	IGNORE
Thyreoideakontrol (Myxødem);P	661	IGNORE
Blastceller(uspec.);B	660	IGNORE
Bloddyrkning (CVK)	644	IGNORE
Lægekommenteret svar (TEK)	642	IGNORE
Nitrit (semikvant);U	609	IGNORE
Leukocytter(semikvant);U	607	IGNORE
Pro-brain natriuretisk pept.[BNP];P	606	IGNORE
MetHæmoglobin;Hb(vB)	581	IGNORE
DNA (dobbeltstrenget)-IgG;P	573	IGNORE
Neutrophils::Neutrophilocytter(modne+umodne); B	570	Neutrophils#
Katteepitel (e1)-IgE;P	568	IGNORE
Proteinase 3-IgG [PR3];P	567	IGNORE
Thyroxin frit [T4]-index;P	565	IGNORE
Transglutaminase-IgA [tTG];P	562	IGNORE
Glukose(semikvant);U	559	IGNORE
Myeloperoxidase-IgG [MPO];P	557	IGNORE
Protein(semikvant);U	556	IGNORE
Sjøgren syndrom [SSB]-IgG;P	555	IGNORE
Katteskæl (e1)-IgE;P	554	IGNORE
Karbamid-clearance;Nyre	552	IGNORE
Bloddyrkning (arteriekanyle)	546	IGNORE
Hepatitis B virus s-Ab;P	540	IGNORE
Epstein-Barr virus(DNA);P	535	IGNORE
Teknisk Kortikotropin;P	533	IGNORE
Prolaktin;P	531	IGNORE
Kappa/Lambda kæde (Ig)(frit);P	517	IGNORE
Prokollagen III, N-term.propeptid;P	512	IGNORE
Nucleært-Ab(IgG) [ANA];arb.k.;P	505	IGNORE
Teknisk Copeptin;P	491	IGNORE
O2 sat.;Hb(vB)	489	IGNORE
Promyelocytter;B	478	IGNORE
60 kDa Ro Protein-IgG;P	475	IGNORE
Cytomegalovirus(DNA);P	471	IGNORE
Carcinoembryonalt antigen;P	467	IGNORE
Laktoseintolerans, MCM6-gen;DNA	466	IGNORE
Plasmocytter;B	459	IGNORE
INR::Koag.Fakt.II+V+VII+X [INR];P	458	INR
Leversygdom (MELD score);Pt	443	IGNORE
Hepatitis (B,C),kronisk,udredning;P	442	IGNORE
DNA topoisomerase1-IgG [Scl70];P	440	IGNORE
Acetoacetat(semikvant);U	438	IGNORE
Insulinlignende vækstfaktor I;P	438	IGNORE
Tryptase;P	436	IGNORE
Sjøgren syndrom [SSA]-IgG;P	430	IGNORE
Streptococcus pneumoniae-Ab(IgG);P	427	IGNORE
Histidin-tRNA-ligase[Jo1]-IgG;P	423	IGNORE
Teknisk ADM[45-92];P	422	IGNORE
Hepatitis B virus s-Ag;P	420	IGNORE
Status ved fremmøde	416	IGNORE
Teknisk suPAR;P	413	IGNORE
Klorid;P(vB)	412	IGNORE
Hepatitis B virus c-Ab;P	410	IGNORE
Erytrocytter, vol.fr.;B(vB)	408	IGNORE
Ciclosporin;B	400	IGNORE
IgG (lambda;monoklonalt);P	392	IGNORE
Protein;Plv	385	IGNORE
Major centromere B-IgG;P	383	IGNORE
Hepatitis C virus-Ab;P	379	IGNORE
Proinsulin C-peptid;P(fPt)	373	IGNORE
pH;U	371	IGNORE
Smiths-IgG;P	368	IGNORE
Allergi-ude;P	363	IGNORE
beta-2-Mikroglobulin;P	359	IGNORE
Mitogen-kontrol;T-lymc(B)	359	IGNORE
Leukocytter;Plv	359	IGNORE
NIL-kontrol;T-lymc(B)	359	IGNORE
Koagf.II+VII+X;rel.tid(akt./norm);P	357	IGNORE
Natrium;Pt(U)	354	IGNORE
Allergi-inde;P	353	IGNORE
Glukose;Plv	349	IGNORE
Histon-IgG;P	343	IGNORE
Ribosomal protein-IgG [Rib P];P	341	IGNORE
dFLC;P	341	IGNORE
Teknisk Thyroxin;P	340	IGNORE
MCH::Tekn Hæmoglobinindhold [MCH];Erc(B)	339	MCH
Teknisk Erytrocytter, vol.fr.;B(vB)	339	IGNORE
MCHC::Teknisk Hæmoglobin [MCHC];Erc(B)	339	MCHC-M
Tek.Erytrocytvolumen(middel) MCV;B	339	IGNORE
Teknisk Erytrocytter, vol.fr.;B	339	IGNORE
Tekninsk Erytrocytter;B	339	IGNORE
Teknisk Erytrocytvol. rel. sprednin	339	IGNORE
Teknisk Trombocytvolumen (middel);B	339	IGNORE
Teknisk Reticulocytter;B	339	IGNORE
Teknisk Trombocytter PDW;B	339	IGNORE
Teknisk Oxyhæmoglobin;Hb(tot.;vB)	338	IGNORE
Teknisk Fibrin D-Dimer;P	338	IGNORE
Teknisk Thyroxin frit [T4];P	338	IGNORE
GLP58 - dummy	338	IGNORE
Teknisk Orosomucoid;P	338	IGNORE
Teknisk Fosfat;P	338	IGNORE
Teknisk MetHæmoglobin;Hb(vB)	338	IGNORE
Teknisk Kalium;P(vB)	338	IGNORE
Teknisk Kortisol;P	338	IGNORE
Teknisk Transferrinreceptor-fragm;P	338	IGNORE
Teknisk Antitrypsin;P	338	IGNORE
Hemoglobin::Teknisk Hæmoglobin;B(vB)	338	Hemoglobin
Teknisk O2 sat.;Hb(vB)	338	IGNORE
Teknisk Calcium-ion frit;P	338	IGNORE
Teknisk Ferritin;P	338	IGNORE
Teknisk 3-Hydroxybutyrat,massek.;P	338	IGNORE
Teknisk fructosamin;P	338	IGNORE
Teknisk Base excess (aktuel);P(vB)	338	IGNORE
Sodium::Teknisk Natrium;P(vB)	338	Na
Teknisk Troponin T;P	338	IGNORE
Teknisk Desert,blod 2	338	IGNORE
Teknisk Myoglobin,massek.;P	338	IGNORE
Teknisk Immunglobulin M;P	338	IGNORE
Teknisk Klorid;P	338	IGNORE
Tekn. Aspartattransaminase [ASAT];P	338	IGNORE
Teknisk Interleukin-6;P	338	IGNORE
Teknisk CO2 total;P(vB)	338	IGNORE
Teknisk Zink;P	338	IGNORE
Tek.Pro-brain natriur.peptid[proBNP	338	IGNORE
Teknisk Jern;P	338	IGNORE
Creatinine::Teknisk Kreatinin;P(vB)	338	Creatinine
Tek. Calcium-ion frit (pH=7,4);P(vB	338	IGNORE
Teknisk Antitrombin (enz.);P	338	IGNORE
Teknisk Ethanol;P	338	IGNORE
P-Teknisk Neutrophil gelatinase-ass	338	IGNORE
Teknisk lactat;P	338	IGNORE
Teknisk pO2;P(vB)	338	IGNORE
Tekn. Hydrogencarbonat (standard);P	338	IGNORE
Tek.Koag.overflade-induceret APTT;P	338	IGNORE
Teknisk Procalcitonin;P	338	IGNORE
Teknisk Fibrinogen (koag.);P	338	IGNORE
Teknisk Folat;P	338	IGNORE
Teknisk Thyrotropin [TSH];P	338	IGNORE
Teknisk Parathyrin [PTH];P	338	IGNORE
HDL::Teknisk Kolesterol HDL;P	338	HDL
Cholesterol::Teknisk Kolesterol;P	338	Cholesterol
Teknisk Kreatinkinase;P	338	IGNORE
Teknisk Urat;P	338	IGNORE
Teknisk Haptoglobin;P	338	IGNORE
Teknisk Klorid;P(vB)	338	IGNORE
Teknisk Triacylglycerollipase;P	338	IGNORE
Teknisk Desert, blod 3	338	IGNORE
Teknisk Laktat;P(vB)	338	IGNORE
Teknisk Vitamin B12;P	338	IGNORE
Teknisk Thyroxinbindingskapacitet;P	338	IGNORE
Teknisk Immunglobulin G;P	338	IGNORE
Teknisk Magnesium;P	338	IGNORE
Glucose::Teknisk Glukose;P(vB)	338	Glucose
LDL::Teknisk Kolesterol LDL;P	338	LDL
Teknisk pH;P(vB)	338	IGNORE
Teknisk Immunglobulin A (g/l);P	338	IGNORE
Tekn. Carbonmonoxidhæmoglobin;Hb(B)	338	IGNORE
Teknisk Transferrin;P	338	IGNORE
Teknisk Protein;P	338	IGNORE
Teknisk Cystacin C;P	338	IGNORE
Teknisk Triiodthyronin frit [T3];P	338	IGNORE
Teknisk Triglycerid;P	338	IGNORE
Teknisk pCO2;P(vB)	338	IGNORE
Teknisk Triiodthyronin;P	338	IGNORE
Teknisk gamma-Glutamyltransferase;P	338	IGNORE
Østradiol;P	337	IGNORE
Direkte antiglobulin test;Erc(B)	337	IGNORE
Smith-RNP-IgG;P	337	IGNORE
U1 snRNP 70 kDa-IgG;P	337	IGNORE
Desert registrering Blod	336	IGNORE
Streptococcus pneumoniae-IgG;P	335	IGNORE
Transglutaminase-Ab(IgA) [tTG];P	330	IGNORE
Erytroblaster;Erc(B)	329	IGNORE
Bacterium+fungus;B	328	IGNORE
Desert	327	IGNORE
Kalium;Pt(U)	313	IGNORE
Clozapin;P	312	IGNORE
Ferroxidase;P	306	IGNORE
Kortisol frit;U	304	IGNORE
Paracetamol;P	304	IGNORE
Dyrkning (bacterium+fungus);U	301	IGNORE
BF-test (0-forlig);P	298	IGNORE
Candida albicans (m5)-IgE;P	297	IGNORE
Erytrocytter(semikvant);U	292	IGNORE
T-lymfocytter(helper);B	291	IGNORE
Leukocytter;Csv	290	IGNORE
Koriogonadotropin+beta [HCG];P	290	IGNORE
Glukose;Csv	289	IGNORE
Erytrocytter;Csv	288	IGNORE
Protein;Csv	287	IGNORE
U1 snRNP(70 kDa+A+C)-IgG;P	284	IGNORE
Ilt art blod/ilt indåndingsluft;aB	283	IGNORE
3-Methoxyadrenalin;P	280	IGNORE
3-Methoxynoradrenalin;P	280	IGNORE
Interferon gamma-frigør.;T-lymc(B)	279	IGNORE
M-komponent type;P	276	IGNORE
Gyldig: plprvt.dato -10 til +30dage	273	IGNORE
Cylinder, hyalin type;U	273	IGNORE
Osmolalitet;U	269	IGNORE
P-Teknisk Lactat på Na-Flourid/Oxa	268	IGNORE
Proteinase 3-Ab(IgG) [PR3];P	267	IGNORE
Deam. gliadin peptid-IgG[DGP];P	267	IGNORE
Testosteron / SHBG;P	265	IGNORE
Testosteron frit;P	264	IGNORE
Myeloperoxidase-Ab(IgG) [MPO];P	263	IGNORE
Aspergillus (galactomannan Ag);P	262	IGNORE
Neutrofilocytter(segmentkernede);B	260	IGNORE
Gentamicin;P	258	IGNORE
Cytomegalovirus(DNA,kvant.) [CMV];P	257	IGNORE
Kortisol (0 min);P	257	IGNORE
Cylinder, granulær type;U	255	IGNORE
Erytropoietin;P	252	IGNORE
Hepatitis A virus, tolkning	251	IGNORE
Blod;U	250	IGNORE
M-komp. TOP 2+ Konc.(TEK)	248	IGNORE
M-komp. TOP 1 (TEK)	248	IGNORE
Kortisol (30 min);P	247	IGNORE
Leukocytter(mononukl.);Plv	245	IGNORE
Complement C4c;P	245	IGNORE
Leukocytter(polynukl.);Plv	244	IGNORE
Dehydroepiandrosteronsulf.[DHEAS];P	236	IGNORE
Ammonium;P	235	IGNORE
INR::Koag.Fakt.II+V+VII+X [INR] - POCT;P	235	INR
Osmolalitet;P	227	IGNORE
M-komponent;U	227	IGNORE
Complement C3c;P	225	IGNORE
Androstendion;P	224	IGNORE
Teknisk hjælpeanalyse nr 01 blå;P	224	IGNORE
Thyreiodea behandlingsktr.grp	220	IGNORE
Testosteron(LC-MS/MS);P	219	IGNORE
Kortisol frit;Pt(U)	218	IGNORE
DNA (dobbeltstrenget)-Ab(IgG);P	218	IGNORE
M-komponent(0 1);U	218	IGNORE
Salicylat;P	216	IGNORE
Hepatitis A virus-IgM [HAV];P	216	IGNORE
Hæmoglobin;F	214	IGNORE
Interleukin 2-receptor (IL2R);P	214	IGNORE
17-Hydroxyprogesteron;P	213	IGNORE
Hepatitis C virus(RNA);P	205	IGNORE
Renin;P	205	IGNORE
Deam. gliadin peptid-Ab(IgG)[DGP];P	203	IGNORE
Coronav. SARS(COVID-19)DNA/RNA;Sekr	203	IGNORE
Actin-IgG;P	203	IGNORE
Kreatinin-clearance.;Nyre	201	IGNORE
pH;P(kB)	200	IGNORE
Cancer occulta, profil;P	200	IGNORE
pCO2;P(kB)	200	IGNORE
Hydrogencarbonat (standard);P(kB)	200	IGNORE
Laktatdehydrogenase [LDH];Plv	197	IGNORE
Erytrocytter;Plv	196	IGNORE
Venlafaxin;P	195	IGNORE
Glomerulær basalmembran-IgG;P	195	IGNORE
Pyrofosfatkrystaller;Ledv	194	IGNORE
Uratkrystaller;Ledv	194	IGNORE
Venlafaxin+OD-venlafaxin;P	192	IGNORE
Base excess (aktuel);P(kB)	192	IGNORE
OD-venlafaxin;P	192	IGNORE
CCP (Cykl.citrul.peptid)-Ab (IgG);P	191	IGNORE
TB1 antigen;CD4-lymc(B)	190	IGNORE
P-Thyreoideaudredning	189	IGNORE
TB2 antigen;CD8-lymc(B)	188	IGNORE
Cytomegalovirus IgG+IgM;P	188	IGNORE
Valproat;P	187	IGNORE
pH;Plv	187	IGNORE
Kromogranin A;P	187	IGNORE
Lamotrigin;P	186	IGNORE
Laktatdehydrogenase;Plv	186	IGNORE
Bakterier (screening);U	185	IGNORE
Teknisk analyse 3, 25OHD3	185	IGNORE
ANCA(IgG) (semikvant) gruppe;P	185	IGNORE
Hepatitis (A,B,C), akut udredning;P	183	IGNORE
Neutrofilocytter(stavkernede);B	183	IGNORE
pO2;P(kB)	181	IGNORE
O2 sat.;Hb(kB)	181	IGNORE
Penicillin V (c2)-IgE;P	180	IGNORE
Hepatitis A virus-Ab;P	175	IGNORE
Penicillin G (c1)-IgE;P	175	IGNORE
Epstein-Barr virus-antistof;P	174	IGNORE
Calcium::Calcium-ion frit;P(kB)	174	Ca
Hemoglobin::Hæmoglobin;B(kB)	172	Hemoglobin
Cylinder, erytrocyttype;U	172	IGNORE
Hyaluronsyre;P	170	IGNORE
Leukocytter;Asc	170	IGNORE
M-komponent (immunfiksation);P	169	IGNORE
Teknisk Albumin;U	167	IGNORE
Teknisk Kreatinin;U	167	IGNORE
Anion gap(inkl. K+);P	167	IGNORE
Desert (Urin)	167	IGNORE
Oxyhæmoglobin;Hb(tot.;kB)	165	IGNORE
Glutamatdecarboxylase(gad65)-Ab;P	163	IGNORE
Albumin;Plv	162	IGNORE
Parvovirus B-19-Ab(IgM);P	162	IGNORE
Hepatitis B virus c-IgM [HBc-IgM];P	162	IGNORE
Teknisk Erythrocytter;U	162	IGNORE
Desert registrering Urin	161	IGNORE
Parvovirus B-19-Ab(IgG);P	161	IGNORE
Cladosporium herbarum (m2)-IgE;P	160	IGNORE
BF-test;P	158	IGNORE
Interleukin-6;P	157	IGNORE
INR::KoagulationF. II+VII+X [INR]POCT;P	156	INR
Hepatitis C virus(RNA), kvan;P	155	IGNORE
TEK-iFLASH2	154	IGNORE
Erytrocytter;U	153	IGNORE
Leukocytter;U	153	IGNORE
Parvovirus B-19-IgG;P	152	IGNORE
Mitokondrie(E2-subunit)-IgG;P	152	IGNORE
Leukocyttype(bemærkninger);B	152	IGNORE
Calcium::Calcium-ion frit (pH=7,4);P(kB)	151	Ca
Hepatitis A virus-IgG [HAV];P	151	IGNORE
Sodium::Natrium;P(kB)	150	Na
Nortriptylin;P	150	IGNORE
Immunglobulin G subklasse gruppe;P	150	IGNORE
Cylinder, leukocyttype;U	150	IGNORE
PEth 16:0/18:1;B	148	IGNORE
Immunglobulin G4;P	148	IGNORE
Glomerulær basalmembran-Ab(IgG);P	147	IGNORE
Parvovirus B-19-IgM;P	147	IGNORE
Interferon gamma-frigør(TB-relat);B	146	IGNORE
Dyrkning(bacterium+fungus);U(midt)	145	IGNORE
Hæmoglobin A1c (teknisk);Hb(B)	144	IGNORE
Hæmoglobin (teknisk);B	144	IGNORE
Cancer-antigen 19-9;P	143	IGNORE
Thyreoideaktr (Thyreotoxikose);P	142	IGNORE
Hydrogencarbonat (aktuel);P(vB)	142	IGNORE
Hepatitis B virus e-Ab [Anti-HBe];P	140	IGNORE
Erytrocytter, vol.fr.;B(kB)	140	IGNORE
52 kDa Ro protein-IgG;P	139	IGNORE
Methæmoglobin;Hb(kB)	139	IGNORE
