code	description	count
Toxic Neutrophils	Toxic Neutrophils	39
Agglutinated RBC	Agglutinated RBC	3
POLYCHROMASIA	POLYCHROMASIA	325
Microcytosis	Microcytosis	8
Microcytic	Microcytic	828
Monotyp Plsma Cell-Mayo	Monotyp Plsma Cell-Mayo	2
Differential Scan	Differential Scan	9
Spherocytes-Mayo	Spherocytes-Mayo	1
Elliptocyte	Elliptocyte	504
Bands Absolute	Bands Absolute	28
RBC	RBC	64893
Large Platelets	Large Platelets	288
Periph Morph	Periph Morph	165
Eos Auto	Eos Auto	1119
MYELOCYTES	MYELOCYTES	36
Atypical Lymphocytes	Atypical Lymphocytes	42
Hypogranular Platelets	Hypogranular Platelets	6
Mono Manual	Mono Manual	3840
Baso Absolute	Baso Absolute	48360
Lymph Absolute	Lymph Absolute	50272
MPV	MPV	27053
Blasts Manual	Blasts Manual	187
Platelet Clumps	Platelet Clumps	18
WBC Morphology	WBC Morphology	96
Plasma Cell	Plasma Cell	5
Spherocyte	Spherocyte	66
React/Atyp Lymphocytes	React/Atyp Lymphocytes	159
Platelet Appear	Platelet Appear	1
Basophils-Mayo	Basophils-Mayo	264
Howell Jolly Body	Howell Jolly Body	61
NRBC Manual	NRBC Manual	128
Differential Type	Differential Type	3954
Macrocytosis	Macrocytosis	31
Smear?	Smear?	62
Neutro per	Neutro %	31019
Hct-POC	Hct-POC	3
Manual Diff Lymph #	Manual Diff Lymph #	25
Platelet Estimate	Platelet Estimate	3618
Pelger-Huet	Pelger-Huet	1
Lymph per	Lymph %	35380
Neutro Auto	Neutro Auto	1119
Eosinophil Ct	Eosinophil Ct	49
Microcytes-Mayo	Microcytes-Mayo	6
Degmacyte	Degmacyte	8
MCH	MCH	30184
Eos per	Eos %	33130
Metamyelo-Mayo	Metamyelo-Mayo	2
Manual Diff Mono #	Manual Diff Mono #	25
Hct	Hct	67185
Ovalocyte	Ovalocyte	518
Vacuolated PMN	Vacuolated PMN	3
Metamyelocyte	Metamyelocyte	57
Dacrocyte	Dacrocyte	450
Macrocytic	Macrocytic	1152
Morph Eval Rev By-Mayo	Morph Eval Rev By-Mayo	30
Gran per	Gran %	4628
Manual Diff Baso #	Manual Diff Baso #	24
Mid Absolute	Mid Absolute	123
Echinocytes	Echinocytes	121
Polychromasia	Polychromasia	449
Platelet Morphology	Platelet Morphology	1059
Eos Manual.	Eos Manual.	510
CBC Comment	CBC Comment	624
Anisocytosis	Anisocytosis	2669
Lymphocytes-Mayo	Lymphocytes-Mayo	754
Promyelo Manual	Promyelo Manual	153
Morph Rev	Morph Rev	91
Smudge Cells	Smudge Cells	61
Toxic Gran	Toxic Gran	198
Monocytes-Mayo	Monocytes-Mayo	30
Morph Eval Intp-Mayo	Morph Eval Intp-Mayo	40
Platelet Size	Platelet Size	107
Acanthocyte	Acanthocyte	264
Mono Absolute	Mono Absolute	50066
Helmet Cells	Helmet Cells	1
WBC Est.	WBC Est.	413
Meta Man	Meta Man	706
Polytyp PC/All Plasma Cells-Mayo	Polytyp PC/All Plasma Cells-Mayo	1
Auer Rods	Auer Rods	1
RDW	RDW	62647
Mono Manual.	Mono Manual.	164
Schistocytes-Mayo	Schistocytes-Mayo	1
Monotyp PC S-Phase-Mayo	Monotyp PC S-Phase-Mayo	2
RBC Morph-Mayo	RBC Morph-Mayo	47
Hematocrit	Hematocrit	135
Band Man	Band Man	2000
Giant Platelets	Giant Platelets	4
Hct-POC3	Hct-POC3	29
Total Cells	Total Cells	1255
Myelo Man	Myelo Man	499
Lymph Manual	Lymph Manual	3430
