code	description	count
18824427	Eos Abs	124
18824429	Eos Abs Auto	1770817
18824431	Eos Abs Man	76739
18824433	Eos Auto	1770793
18824435	Eos Man	76791
18824437	Neutro Abs Auto	1799232
18824439	Neutro Auto	1799217
18824441	Lymph Abs Auto	1799237
18824443	Lymph Auto	1799217
18824445	Mono Auto	1770790
18824447	Mono Abs Man	134012
18824449	Mono Abs Auto	1770812
18824451	Abn Lymph Man	293
18824453	Blasts Man	8767
18824455	Hairy Cell Man	14
18824457	Lymph Man	139558
18824459	Lymphs Abs Man	139557
18824461	Meta Abs Man	40696
18824463	Meta Man	40764
18824465	Mixed Abs Auto	28431
18824467	Mixed Auto	28431
18824469	Monocyte Man	134101
18824471	Myelo Abs Man	44138
18824473	Myelo Man	44263
18824475	NRBC Man	27355
18824477	Plasmacyte Man	226
18824481	Prolymph Man	110
18824483	Promyelo Abs Man	5146
18824485	Promyelo Man	5190
18824487	Reactive Lymphs	44994
18824491	Segs Abs Man	139556
18824493	Segs Man	139558
18824495	Tear Drop Cell	36901
18824497	RBC Review	172787
18824499	Acanthocyte	11280
18824501	Basophillic Stippling	10603
18824503	Bite Cells	1160
18824505	Blasts Abs Man	8405
18824507	Burr Cells	12803
18824509	Elliptocyte	71983
18824511	Howell Jolly Bodies	3199
18824513	Macro Ovalocytes	7003
18824515	Macrocyte	74
18824517	Microcyte	129
18824519	Pappenheimer Bodies	624
18824523	Polychrom	69682
18824525	RBC Agglutin	162
18824527	Rouleaux	12129
18824529	Schistocyte	39001
18824531	Sickle Cell	616
18824533	Siderocyte	59
18824535	Spherocyte	51567
18824537	Stomatocytes	7650
18824539	Target Cell	15445
18824541	PLT Morphology	56592
18824543	Dohle Bodies	9062
18824545	Hyperseg	4538
18824547	Pelger Huet WBC	1844
18824549	Smudge Cells	3560
18824551	Toxic Gran	38081
18824553	Vacuolated WBC	45353
18824653	MCH	2789521
18824655	MCHC	2789522
18824657	MCV	2789519
18824659	MPV	2789260
18824663	U Arsenic	370
18824665	U Amylase	11
18824669	U Beryllium	3
18824671	U Beta %	4371
18824673	U Beta Glob	4371
18824675	U Ca Fract	356
18824677	U Calcium	1402
18824679	U Carnitine	51
18824681	U Chloride	1688
18824683	U Chromium	134
18824685	U Creatinine	109684
18824687	U Iron	2
18824693	U Myoglobin	450
18824695	U Nicotine	877
18824697	U Nordiazepam	800
18824701	U Osmolality	7690
18824703	U Oxazepam	800
18824705	U Pentacarbox	308
18824707	U Phos	71
18824709	U Potassium	1692
18824711	U Prot/Creat	118911
18824713	U Urea	1456
18824715	U Uric Acid	169
18824717	Vanco	4232
18824727	Vanco Pk	21
18824737	Vanco Tr	19686
18824747	Potassium	2891925
18824749	Sodium	2523084
18824751	Chloride	2448312
18824753	CO2	2419839
18824755	AGAP	2408321
18824757	Chol	1080939
18824759	HDL	1061625
18824761	LDL Direct	566968
18824763	Trig	804327
18838314	11Deoxycortisol	18
18838316	5' Nucleotidase	7
18840188	Lambs quarter Class	21826
18840190	Precore Mutation	11
18840192	HBV Genotype	11
18840194	PTH Additional	383
18840198	Total Dox/Desmet	15
18840202	BRCA Ashkenazi Multisite 3	78
18840204	GAD-65 Ab	1007
18840206	Codfish IgE	9733
18840208	Carboxy Hgb	791
18840210	English Plantain Class	23751
18840214	Thy Binding Glob	52
18840216	U24 Protein	7000
18840218	AFP Tumor Marker	9388
18840220	U24 Delta ALA	28
18840224	U Protein Elec	12740
18840226	AMA Ab Scr	9117
18840230	Co-GM1 Triad Ab	42
18840238	Neutro  BF	3207
18840244	June Grass IgE	21904
18840246	Motile Sperm	4424
18840248	FTA-ABS	974
18840250	Comment CSF	1367
18840252	RBC/HPF	1337
18840254	Telephone Date	3861
18840256	Number of Sperm	5112
18840258	D. farinae IgE	23866
18840260	GBM Ab	1337
18840264	Fructosamine	1262
18840266	Abn Prot Band 3	378
18840268	Ur Protein	7000
18840270	U24 Porpho	35
18840272	Goose Down IgE	21904
18840274	Factor IX	265
18840276	Botulism Toxin	6
18840278	Serotype 14 (14)	917
18840282	LDH BF	2948
18840284	FIO2 POCT	44357
18840288	Retic % Auto	25737
18840292	Serogroup 2-6, 8	30
18840294	Dys RBC Interp	1337
18840298	Rabies Response	143
18840300	Liver Isoenzyme	573
18840314	Phenylalanine	78
18840316	Calcium	2465859
18840318	Prothrombin Genotype	2837
18840320	Patient 60 min APTT	220
18840322	HIV 1 RNA PCR	14381
18840326	C.pneumoniae IgG	66
18840328	U Flouride	6
18840330	AFP Maternal	17805
18840332	BCR/ABL Gene Trans	725
18840334	Fecal Fat Qual	2923
18840336	Albumin BF	1561
18840338	Yeast	110891
18840342	p19-I/II	11
18840344	HLA B27	4056
18840346	EPI Semen	2028
18840348	Glucose BF	3457
18840350	Factor V	92
18840352	TV Microalbumin	99
18840354	Serotype 4 (4)	917
18840356	Steroid Comment	11
18840360	U24 17-OH Corticosteroids	10
18840362	AFP Amn Fld	159
18840364	BUN	2462807
18840366	Eos BF	3207
18840370	Entamoeba hist	11
18840372	A-1-AT	9001
18840374	Hep C Ab	155391
18840376	Date of Birth	109
18840378	Troponin-I	225683
18840384	Elm Tree Class	21837
18840386	HIV 1/2 Test status	1
18840390	Alder Tree IgE	21905
18840392	Cr Clearance	375
18840394	Gluc 30 Min	2
18840394	Gluc 30 Min-LT	11
18840396	PNH CD59 CD66b	264
18840398	IgG	23295
18840400	Crystal BF	4240
18840402	Rotavirus Ag Stool	167
18840406	U24 Metanep Tot	3440
18840408	U Methadone Conf	11060
18840410	Rubeola IgM	625
18840416	Total Hgb	3621
18840418	Porphyrins Stool	27
18840420	hCG Tumor CSF	1
18840422	DNA Banking  Molecular Iso	11
18840424	Downs Risk Flag	6285
18840426	C2 Complement	29
18840428	Canavan Disease	48
18840430	Sheep Sorrell Class	23758
18840434	DHEAS	8636
18840436	B quint IgM Ttr	2
18840438	Cryoglobulin	2047
18840440	Phytanic Acid	6
18840442	INR WB	41479
18840444	U Gamma %	4371
18840446	U24 Creatine	35
18840448	Sed Rate	116484
18840450	ACTH 15 min	4
18840452	gp21	11
18840454	Norclozapine	242
18840458	CMV IgM	1879
18840464	C. psittaci Interp	66
18840466	Lysozyme	47
18840470	U Legion Ag	4396
18840472	HLA-DQ2	206
18840474	Hep D Ag	121
18840476	U24 Arsenic	418
18840478	Cryptococcal Ag	1472
18840480	Lipoprotein (a)	288
18840482	Fac 5 Genotype Result	3172
18840484	Eos Smear WBC	75
18840486	U Ethanol Conf	2499
18840488	pCO2 POCT	70705
18840490	TSH Reflex	724962
18840492	Alder Tree Class	21860
18840498	Hazelnut IgE	2776
18840500	U24 Phosphorus gm	1001
18840502	0.60% NACL	23
18840504	Normetaneph	1196
18840506	HSV IgM	1391
18840508	AVG Count	3429
18840510	HSV 1DNA	13143
18840514	AF Panel L/S ratio	12
18840516	Toxoplasma IgG	1111
18840520	Eos Smear Eos %	75
18840522	VLC Fatty Acids	65
18840524	Coccidiomycosis Ab CSF	84
18840526	Lab Receipt Time	9077
18840528	INR	1203522
18840530	Thyroglobulin	3464
18840532	A-1-AT Mutation	401
18840536	Vitamin B6	1516
18840538	Crypto Ag CSF	666
18840542	U24 Ca Fract	4843
18840544	1:1 Mix 0 min PT	84
18840546	IgE	3536
18840548	Total Imip/Desip	62
18840552	ACHr Binding Abs	1401
18840554	LH	12342
18840556	Gluc 120 Min-LT	11
18840556	Gluc 2 Hr	2
18840558	Diff Comment	21293
18840560	TTG IgG Ab	3574
18840562	0.65% NACL	23
18840564	U IFE Interp	2503
18840570	vWF Assay	1496
18840572	gp46	11
18840574	Box Elder Tree Class	23825
18840576	IgA	37254
18840578	Eos %	124
18840580	Breast Cancer 1 Gene Mut	32
18840584	Diphtheria Ab	523
18840586	Fecal Coll Duration	530
18840588	ALT	1594080
18840590	Ammonia Ven	8982
18840592	Total Protein Elec	61473
18840594	Wheat IgE	11395
18840596	Renin Activity	4948
18840600	Thrombin Time	353
18840602	Tri 18 Scrn Result	6285
18840604	Thin Smear	469
18840606	CO2 Totl Cap	1
18840612	Cortisol Salivary	737
18840614	Histamine	68
18840616	LKM-1 Ab (IgG)	413
18840618	HIV WB Interp	263
18840620	CEA BF	222
18840622	HLA A, B and C Ag	142
18840624	Rubella IgG	22550
18840626	Streptavidin	11
18840628	Neuron Specific Enolase	11
18840630	White Ash Tree IgE	21904
18840632	TV Calcium	14041
18840636	Growth Hormone	474
18840642	Scotch Broom IgE	21904
18840644	Tay-Sachs DNA	273
18840646	Tetanus Ab	704
18840648	pH Stool	48
18840650	Amylase BF	1348
18840652	0.30% NACL	23
18840654	Free Lambda	20701
18840656	IgG CSF	679
18840658	CF Interp	15269
18840660	Birch Tree Class	23818
18840662	Cortisol 60 min	4364
18840664	RBC Frag Results Rev	22
18840666	Homocyst Tot	6896
18840668	Macrohepatic Iso	573
18840670	Tri 18 Pt Risk	6270
18840672	Brazilnut Class	2576
18840676	Cottonwood Tree IgE	23866
18840678	U Tricyclic Conf	2026
18840680	LDH Tot	108
18840682	HGH 120 min	1
18840684	Serotype 56 (18C)	917
18840686	LDH	60731
18840696	Abn Prot Band 1	378
18840698	Sperm Ab IgG	9
18840702	Rubeola IgG Qual	18630
18840704	Neutro Absolute	97
18840706	TV Amylase	1
18840710	U24 Metanephrine	3440
18840712	TSI Numeric Value	1050
18840714	Gluc 1Hr PP	32072
18840716	Breast Cancer 2 Gene Mut	22
18840718	Chloride POCT	31819
18840722	Beta Globulin	378
18840724	Breast Cancer BRCA	394
18840726	Binding Loc IgA	9
18840728	Soybean Class	10702
18840730	p18	263
18840732	Phenolpht Stool	13
18840734	U24 Creatinine	1125
18840738	U24 Histamine	175
18840740	Factor XII	82
18840742	RF Quant	38197
18840746	U Albumin Elec	4421
18840748	U24 Nickel	25
18840750	B hens IgG Ttr	94
18840752	Sezary Cells	34
18840754	Desmethyldoxepin	15
18840756	Fibrinogen	11852
18840758	Beta2 Microglob	1769
18840760	Mumps Virus	7
18840762	U Eos Smear WBC	4016
18840764	Pre-Albumin	378
18840766	Beta-2 Transferrin	82
18840768	Aminio Acid Single Qnt	3
18840774	C1q Complement	395
18840776	Duchenne, Becker Mus Dys	7
18840778	MAG-SGPG Ab (IgM) EIA	10
18840780	Islet Cell Ab Titer	20
18840782	U Cocaine Conf	3329
18840784	Enterovirus PCR	26
18840788	Gastrin	364
18840792	Factor XI	169
18840794	Cysticerco Ab	39
18840798	AMA Ab Titer	263
18840800	U24 Norepineph	101
18840802	p24	263
18840808	Patient 60 min PT	80
18840810	Vitamin C	140
18840814	Gent Pk	299
18840816	Volume Semen	9289
18840818	Urea BF	1425
18840820	Ur Uric Acid	4069
18840822	B quintana IgG	1031
18840824	Group B Strep DNA	33186
18840826	Beta2 Micro CSF	4
18840830	Cells Analyzed	5144
18840832	17OHpregnenlone	130
18840840	U24 Epinephrine	101
18840844	SCA 3 Mutation	3
18840846	Walnut Tree IgE	21904
18840848	Milk Class	11926
18840852	ctO2	3621
18840854	WBC Semen	5646
18840858	Albumin %	61474
18840860	Latex Class	537
18840862	U Amino Acid	60
18840864	Mono Scr	16262
18840866	Misc Allergen	6167
18840868	Cobalt	381
18840870	Corn IgE	942
18840878	Cashew IgE	2807
18840880	Vitamin D3 1,25	1039
18840882	Pistachio Class	2645
18840884	Egg Yolk IgE	1036
18840886	Salmonella Ab	10
18840890	Poliovirus Ab	298
18840892	Catechol Total	62
18840894	C. tracho Culture	551
18840898	Spina Bifida Risk Flag	2
18840900	U24 VMA	191
18840902	Cytogen Spec Type	4553
18840908	BUN POCT	16527
18840910	Albumin Elec	61473
18840912	Corticosterone	8
18840914	U N Gonorrhoeae	202152
18840916	Brazilnut IgE	2576
18840918	0.50% NACL	23
18840920	SCA 7 Mutation	1
18840922	VDRL Scr CSF	657
18840924	Serotonin	49
18840928	Meconium Drug Scr	784
18840930	N-Acetylproc	3
18840934	Walnut Class	2885
18840936	Colorado Tick Ab	6
18840938	Bili Direct	340119
18840942	Serotype 68 (9V)	917
18840944	Alternaria IgE	23866
18840946	AST	1334696
18840948	Results Recd	173
18840950	Comment BF	2910
18840952	A. Fumigatus IgE	21930
18840954	Estradiol Ultra Sens  Ped	895
18840956	Total Volume	13874
18840958	Specimen Tracking	627542
18840960	Gluc 1 Hr	2
18840960	Gluc 60 Min-LT	11
18840964	Gest Age Day	10408
18840966	Ammonia Art	19
18840970	O2Hb POCT	10603
18840974	Tot Cells Evaluated	5281
18840976	Carbamaz	4614
18840980	Alcohol	21807
18840982	TV Potassium	390
18840984	pH Ven	8397
18840988	Serotype 5 (5)	917
18840990	EBV VCA Ab (IgM)	5297
18840992	Impression	4689
18840994	Aluminum	389
18840996	Fragile X (FRAXA)	276
18840998	sO2 POCT	63856
18841000	U Styrene Expo	1
18841002	Calcium Ionized POCT	47126
18841004	Serotype 26 (6B)	917
18841006	Oligo Bands CSF	679
18841008	Methanol	98
18841010	C1Inhibitor Func	1065
18841012	C.pneumoniae IgM	66
18841014	Down Syndrom Risk	6285
18841018	DHT	50
18841020	B henselae IgM	1031
18841022	Chronic Gran Disease	69
18841024	HER-2/Neu	1832
18841028	Potassium POCT	46927
18841030	U Eos Smear Source	1
18841032	p55	263
18841034	H.Influ Type B Ab	539
18841036	Complement Tot	304
18841038	Fetal Fibronect	2720
18841040	Color CSF	6837
18841042	sO2	3621
18841050	Date Collected	171668
18841054	AFP Amn Fluid MOM	159
18841058	Meadow Fescue Class	21875
18841060	C. psittaci IgM	66
18841064	Thyroglob Ab	3952
18841066	RSV Antigen	536
18841068	LDH 2	108
18841070	Porphyrins Frac	50
18841072	Gamma %	61474
18841074	U Specific Gravity	181761
18841078	Cortisol Baseline	4404
18841086	Trypsinogen	24
18841088	Cholinesterase	45
18841090	Specimen Source:	5562
18841094	U Tricyclic Scr EDS	29786
18841096	Bismuth	3
18841100	Mumps IgG	15046
18841102	Cat Dander IgE	23866
18841104	Sodium POCT	46526
18841106	CA 19-9	3037
18841108	Potassium WB	88
18841110	Amitrip+Nortrip	106
18841112	Creatinine BF	2794
18841116	SCA 2 Mutation	4
18841118	C3 Complement	13664
18841120	Serotype 3 (3)	917
18841124	Magnesium	354880
18841128	C. trachomatis DNA Eye	132
18841130	Hgb A1c	542794
18841132	HTLV I/II Ab	151
18841136	Band Methodology	5387
18841138	HLA-DQA1.	206
18841140	N Gonorrhoeae	178313
18841144	Post Wash Volume	5258
18841146	Bili BF	201
18841150	Maternal Race	207
18841152	Report Date	156196
18841154	Methemoglob Quant	52
18841156	U Eos Smear % Eos	4016
18841158	Factor VII	63
18841160	T3 Reverse	22
18841162	Patient 0 min PT	92
18841164	Pertussis/Para	2
18841166	Eos % CSF	5403
18841168	HIV 1 DNA PCR	120
18841170	Folate	70689
18841172	DNA Ab (DS)	1813
18841174	Protein C Act	1378
18841176	U Uroporphyrin	270
18841178	Total Motile	5258
18841182	Receipt Date	156194
18841184	Giardia Ag	19051
18841186	Bordetella Pert	4652
18841190	Hct BF	402
18841192	Progression	5646
18841198	U24 Urea gm	141
18841202	Euglob Lysis	24
18841204	IFE Interp	7544
18841206	Prolactin	25154
18841212	Acetone	26
18841216	E. histolytica IgG	40
18841218	FISH, EGFR	24
18841220	HepC RNA PCR Qnt	8989
18841222	CA 125	15605
18841224	U24 Aldosterone	154
18841226	Result/Comment	2
18841228	p31	263
18841234	Selenium	176
18841238	CK MB Index	4106
18841242	MRSA DNA PCR	19901
18841246	Total RBC Counted	578
18841250	Base Excess Ven	8397
18841252	gp46-I	11
18841254	SCA 6 Mutation	6
18841256	C.pneumoniae IgA	66
18841258	HLA Panel ABC Type	53
18841260	Total CO2 POCT	62400
18841262	Ur Testosterone	11
18841264	Hu Ab WB	32
18841266	Influ B PCR	18964
18841270	Duck Fthrs IgE	21904
18841274	June Grass Class	21873
18841276	Egg White Class	11228
18841278	Nordiazepam	1
18841280	Lymph Ag Prolife	166
18841282	CMT1a PMP22 Muta	42
18841284	Serotype 19 (19F)	917
18841286	Semen Centrifuged	1697
18841290	SCA 1 Mutation	2
18841292	U24 Lead	401
18841294	Huntington Disease	63
18841296	Ur Potassium	390
18841300	Source POCT	81941
18841302	Insulin Dep Diabetes	10394
18841304	CO2 Totl Ven	8397
18841308	Myelopeoxidase Ab	8341
18841310	Pigweed IgE	21905
18841316	Ur Cort Free	1398
18841318	U THC/U Creat Ratio	30770
18841320	TV Protein	9109
18841322	Serotype 9 (9N)	917
18841324	Clotest Result	303
18841328	HCO3 Ven	8397
18841332	OR NBS Results	55680
18841334	Dog Dander Class	23836
18841336	Collagen/ADP	292
18841338	Sm/RNP Antibody	683
18841340	pO2 POCT	70656
18841346	Gent Tr	519
18841350	Bili Direct Neo	3881
18841352	U24 Creatinine mg	11087
18841354	Duck Fthrs Class	21871
18841358	Total Vol	438
18841360	Aldosterone	4653
18841362	Dentatorubral Pallidoluysian Atrophy	1
18841364	Cardiolipin IgM	5539
18841368	RBC Enzyme	28
18841370	Down Syndrom Interp	6285
18841372	Factor 8 Inhib	39
18841374	Progress HIV-2	263
18841376	Legionella Pneum	598
18841378	Tobra Tr	1171
18841380	C. trach IgA	66
18841382	Alpha Subunit	123
18841390	Diuretics Urine	4
18841392	Digitoxin	39
18841394	O2 Sat Ven	8398
18841396	Color BF	13170
18841398	gp120	263
18841400	DNase-B Ab	216
18841402	Normal Pool 60 min PT	80
18841404	Pyruvate Kinase	44
18841406	Pecan IgE	2710
18841408	Factor II	31
18841410	Lead	10383
18841412	Lymph Panel Abs	543
18841414	Rubella IgM	377
18841416	Pesticides Scr	2
18841418	Arsenic	774
18841426	Gamma Interferon (TB)	8897
18841428	Rye Grass IgE	21905
18841432	Fungal Elements	10660
18841434	Spec/Block Numb	2284
18841436	PTH Baseline 1	99
18841438	Total Hgb Cap	1
18841440	Acetaminoph Lvl	13704
18841442	LDH 4	108
18841444	HCO3 POCT	66117
18841454	Gest Age Week	2
18841456	Bordetella Cult	2
18841458	C.trach  IgG	66
18841460	Met Hgb	3621
18841462	Neuronal Nuc Ab (Ri) IFA	61
18841464	Zinc	5653
18841466	PT	1606
18841468	Striated Muscle Ab Titer	1
18841470	Egg Yolk Class	1036
18841474	Lymphs BF	3207
18841476	Insulin Free	36
18841478	Bird Fancier Prep	10
18841482	Peanut IgE	12967
18841484	Organic Acid Scr	35
18841486	0.45% NACL	23
18841488	Gliadin IgA Ab	82
18841490	ACTH	1558
18841492	Basement Membrane Zone Ab	18
18841494	Salicylate	12702
18841496	U24 Magnesium	322
18841498	Basophil % BF	12995
18841502	IgM	15892
18841504	Cladosporium Class	23834
18841506	Proteinase -3Ab	8341
18841508	SMA Titer	1629
18841510	Heinz Body Stn	9
18841512	NBS Kit No	55685
18841514	Hu Ab IFA	113
18841516	U Alprazolam	800
18841518	Misc Lab Test	33581
18841520	Beta hCG Ql	2
18841522	Large Mononuclear % CSF	5403
18841526	U LSD Presump Scr	4
18841530	Mycobacterium TB	687
18841532	Trichinella Ab	16
18841534	Hep Be Ab	1428
18841536	CMTx1 XQ13.1 Mut	4
18841538	Salivary Amy	491
18841542	Protein Total	378
18841544	Tryptase	1842
18841546	Eos Abs CSF	6957
18841548	C Diff PCR	3997
18841554	Ur Amylase	1
18841556	Sodium WB	199
18841558	Factor X	62
18841560	Gluc 15 min	2
18841560	Gluc 15 min-LT	11
18841562	Neutro %	97
18841564	Testoster Tot	41302
18841566	Polymerase Muations	11
18841568	Treponema Ab	94
18841570	U24 Normetaneph	3440
18841574	vWF Antigen	1504
18841576	Pecan Class	2710
18841578	Gliadin IgG Ab	76
18841580	Alkaline Phosphatase	573
18841582	Bile Acids Tot	2253
18841584	HSV 2DNA	13143
18841586	Sjogren's Ab SSB	1823
18841588	HLA-DQB1.	206
18841590	PTH 10 min Post Ex	125
18841592	pH POCT	70706
18841594	Hep Be Ag	1907
18841596	HIV 1/2 Screen	38399
18841598	Muscle Biopsy	42
18841602	HLA Ab Screen	43
18841606	Ur Phos	1001
18841608	T3 Free	870
18841614	Mix APTT Interp	252
18841616	Carnitine Free	312
18841618	Cladosporium IgE	23866
18841622	Other % BF	12989
18841626	Crytococcal Titer CSF	34
18841628	MELAS Mitochon	1
18841632	U Hemosid Ql	45
18841634	U24 Iodine	53
18841636	CO2 WB POCT	39741
18841638	Line Immuno	11
18841640	C. trach Interp	66
18841642	U Alpha 2 Glob	4371
18841644	Histone Ab	178
18841646	Large Mononuclear CSF	6957
18841648	Serotype 8 (8)	917
18841650	MPL S505	942
18841652	Eos % BF	12994
18841654	Parietal Ab Scr	761
18841656	RBC BF	8853
18841658	C-Peptide	1862
18841662	Hep A IgG	1937
18841664	Ur Spec Gravity	11
18841666	Endomys IgA Ttr	1
18841668	Protein Total CSF	378
18841672	Chlamydia IgG	20
18841674	C Trachomatis	178313
18841676	Myco/Urea Cult	443
18841678	U24 Creat	329
18841680	Atypical Lymph Man	5813
18841682	U24 Mercury	410
18841686	C7 Complement	1
18841688	Vitamin D 25 OH	259331
18841690	ADH	59
18841692	Maternal Weight	10393
18841696	Total Protein	1193827
18841698	U24 Cystine	109
18841700	ACTH 30 min	5
18841704	HHb	3621
18841706	White Ash Tree Class	21857
18841708	C. psittaci IgA	66
18841712	U24 Copper	645
18841714	TTG IgA	65638
18841718	HLA DR Typing	64
18841720	MAG Ab (IgM) EIA	9
18841722	Scabies ID	432
18841724	Beta Hydroxybutyrate	5248
18841728	SMA Screen	12946
18841730	Almond Class	2962
18841734	vWF Multimer	391
18841736	Chromogranin A	1960
18841742	Vitamin D 1,25	1039
18841748	p65	263
18841752	CK MB	13053
18841754	Progression IUI	5258
18841756	Friedreich Ataxia	5
18841758	C4 Serum	3
18841760	Bird Fancier IgE	67
18841762	Erythropoietin	2736
18841766	Yeast Phase Ab	133
18841768	CD4 % (T Cell)	16239
18841772	Cadmium	137
18841774	Ur Urea	141
18841778	Spina Bifida Interp	10409
18841780	1st Trimester Scr	9958
18841782	Cat Dander Class	23836
18841784	IgG3	708
18841786	Bordetella Pertussis Ab	212
18841788	Throglob Cyst Fluid	168
18841790	U Org Acids Scr	183
18841792	U24 Dopamine	101
18841798	EBV EA-D Ab (IgG)	5297
18841800	Mugwort IgE	21906
18841802	U Creatinine.	17
18841804	Hep B Virus copies	1843
18841806	Tri 18 Interp	6269
18841808	QFever/Phs2 IgG Ttr	4
18841810	Test Name	164273
18841812	ACTH 60 min	5
18841814	Ur Glucose	36
18841816	Glucose Fasting	95755
18841818	Factor 5  Interp	3172
18841820	HLA DR2 DQW1	12
18841824	Neuto % BF	12998
18841826	Prealbumin	21689
18841828	Tobra Pk	29
18841830	Myco pneumo Source	597
18841832	IgG, Serum	1387
18841834	Antithrombin III Act	1515
18841836	Syn Rate IgG CSF	679
18841838	Intestinal Iso	573
18841842	Inhibin A	6807
18841848	Xanthochrom CSF	6957
18841850	Cytogenetic Number	9880
18841852	U24 Corpro	55
18841854	Tobra	645
18841856	Aldost/Renin Ratio	4289
18841858	0.35% NACL	23
18841860	MTHFR Gene PCR	45
18841864	Pancreatic Poly	16
18841868	TIBC	170555
18841872	Parvo B19 DNA	216
18841876	U24 Sodium	4070
18841878	Ribosomal P Ab	4
18841880	IgG2	708
18841882	Hypoglycemic Pan	75
18841884	U Temazepam	800
18841886	Metanephrine	1196
18841888	Cortisol Free	43
18841890	Nickel	2
18841892	Results reviewed	82
18841894	Cytogen Int FISH Diag	2478
18841898	Gluc 45 min	2
18841898	Gluc 45 min-LT	11
18841900	UIBC	516
18841902	Large Mononuclear % BF	12998
18841904	Lymph % CSF	5404
18841906	Osmolality Stl	76
18841910	Alpha 2 Glob	61473
18841912	U24 Urophorphrin	55
18841920	Echinococcus Ab	37
