Read0	Read1	Read3	Read4	Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015
h	h8	h82	h82.	9h82.00	72	68	Excepted from cancer quality indicators: Informed dissent		Anc	na	na	tumor	anc	na	na
O	Ow	Ow1	Ow1.	9Ow1.00	0	0	Bowel cancer detected by national screening programme		Anc	CRC	Colon	tumor;crc	cancer	crc	colon
.	..	...	....	B....00	186	174	Neoplasms		Cancer	na	na	medr_tumor;tumor;benign	morph	na	na
.	..	...	....	B....11	154	146	Cancers		Cancer	na	na	medr_tumor;tumor	morph	na	na
0	0.	0..	0...	B0...00	38	36	"Malignant neoplasm of lip, oral cavity and pharynx"		Cancer	na	na	tumor	cancer	na	na
0	0.	0..	0...	B0...11	17	14	"Carcinoma of lip, oral cavity and pharynx"					tumor	cancer	na	na
0	00	00.	00..	B00..00	20	18	Malignant neoplasm of lip					tumor	cancer	na	na
0	00	00.	00..	B00..11	1	1	Carcinoma of lip					tumor	cancer	na	na
0	00	001	0010	B001000	2	2	"Malignant neoplasm of lower lip, external"					tumor	cancer	na	na
0	00	001	001z	B001z00	1	1	"Malignant neoplasm of lower lip, vermilion border NOS"					tumor	cancer	na	na
0	00	003	003z	B003z00	1	1	"Malignant neoplasm of lower lip, inner aspect NOS"					tumor	cancer	na	na
0	00	006	006.	B006.00	4	3	Malignant neoplasm of overlapping lesion of lip					tumor	cancer	na	na
0	00	007	007.	B007.00	1	1	"Malignant neoplasm of lip, unspecified"					tumor	cancer	na	na
0	01	01.	01..	B01..00	132	108	Malignant neoplasm of tongue					tumor	cancer	na	na
0	01	010	010.	B010.00	34	34	Malignant neoplasm of base of tongue					tumor	cancer	na	na
0	01	010	0100	B010000	1	1	Malignant neoplasm of base of tongue dorsal surface					tumor	cancer	na	na
0	01	011	011.	B011.00	1	1	Malignant neoplasm of dorsal surface of tongue					tumor	cancer	na	na
0	01	013	013.	B013.00	1	1	Malignant neoplasm of ventral surface of tongue					tumor	cancer	na	na
0	01	013	0130	B013000	1	1	Malignant neoplasm of anterior 2/3 of tongue ventral surface					tumor	cancer	na	na
0	01	016	016.	B016.00	6	6	Malignant neoplasm of lingual tonsil					tumor	cancer	na	na
0	01	017	017.	B017.00	2	2	Malignant overlapping lesion of tongue					tumor	cancer	na	na
0	01	01y	01y.	B01y.00	1	1	Malignant neoplasm of other sites of tongue					tumor	cancer	na	na
0	01	01z	01z.	B01z.00	8	8	Malignant neoplasm of tongue NOS					tumor	cancer	na	na
0	02	02.	02..	B02..00	2	2	Malignant neoplasm of major salivary glands					tumor	cancer	na	na
0	02	020	020.	B020.00	40	35	Malignant neoplasm of parotid gland					tumor	cancer	na	na
0	02	021	021.	B021.00	4	3	Malignant neoplasm of submandibular gland					tumor	cancer	na	na
0	02	022	022.	B022.00	1	1	Malignant neoplasm of sublingual gland					tumor	cancer	na	na
0	02	02z	02z.	B02z.00	2	2	Malignant neoplasm of major salivary gland NOS					tumor	cancer	na	na
0	03	03.	03..	B03..00	5	5	Malignant neoplasm of gum					tumor	cancer	na	na
0	03	031	031.	B031.00	2	2	Malignant neoplasm of lower gum					tumor	cancer	na	na
0	04	04.	04..	B04..00	24	22	Malignant neoplasm of floor of mouth					tumor	cancer	na	na
0	04	040	040.	B040.00	2	2	Malignant neoplasm of anterior portion of floor of mouth					tumor	cancer	na	na
0	04	041	041.	B041.00	1	1	Malignant neoplasm of lateral portion of floor of mouth					tumor	cancer	na	na
0	04	042	042.	B042.00	1	1	"Malignant neoplasm, overlapping lesion of floor of mouth"					tumor	cancer	na	na
0	04	04z	04z.	B04z.00	4	4	Malignant neoplasm of floor of mouth NOS					tumor	cancer	na	na
0	05	05.	05..	B05..00	3	3	Malignant neoplasm of other and unspecified parts of mouth					tumor	cancer	na	na
0	05	050	050.	B050.00	12	12	Malignant neoplasm of cheek mucosa					tumor	cancer	na	na
0	05	050	050.	B050.11	3	3	Malignant neoplasm of buccal mucosa					tumor	cancer	na	na
0	05	051	051.	B051.00	1	1	Malignant neoplasm of vestibule of mouth					tumor	cancer	na	na
0	05	051	0511	B051100	1	1	Malignant neoplasm of lower buccal sulcus					tumor	cancer	na	na
0	05	052	052.	B052.00	4	4	Malignant neoplasm of hard palate					tumor	cancer	na	na
0	05	053	053.	B053.00	16	15	Malignant neoplasm of soft palate					tumor	cancer	na	na
0	05	054	054.	B054.00	2	2	Malignant neoplasm of uvula					tumor	cancer	na	na
0	05	055	0551	B055100	1	1	Malignant neoplasm of roof of mouth					tumor	cancer	na	na
0	05	055	055z	B055z00	1	1	Malignant neoplasm of palate NOS					tumor	cancer	na	na
0	05	056	056.	B056.00	3	3	Malignant neoplasm of retromolar area					tumor	cancer	na	na
0	05	057	057.	B057.00	25	19	Overlapping lesion of other and unspecified parts of mouth					tumor	cancer	na	na
0	05	05z	05z.	B05z.00	9	9	Malignant neoplasm of mouth NOS					tumor	cancer	na	na
0	06	06.	06..	B06..00	25	23	Malignant neoplasm of oropharynx					tumor	cancer	na	na
0	06	060	060.	B060.00	90	76	Malignant neoplasm of tonsil					tumor	cancer	na	na
0	06	060	060z	B060z00	14	14	Malignant neoplasm tonsil NOS					tumor	cancer	na	na
0	06	061	061.	B061.00	6	5	Malignant neoplasm of tonsillar fossa					tumor	cancer	na	na
0	06	062	062.	B062.00	2	2	Malignant neoplasm of tonsillar pillar					tumor	cancer	na	na
0	06	062	0621	B062100	1	1	Malignant neoplasm of glossopalatine fold					tumor	cancer	na	na
0	06	063	063.	B063.00	1	1	Malignant neoplasm of vallecula					tumor	cancer	na	na
0	06	064	064.	B064.00	4	4	Malignant neoplasm of anterior epiglottis					tumor	cancer	na	na
0	06	064	0640	B064000	1	1	"Malignant neoplasm of epiglottis, free border"					tumor	cancer	na	na
0	06	064	064z	B064z00	2	2	Malignant neoplasm of anterior epiglottis NOS					tumor	cancer	na	na
0	06	067	067.	B067.00	2	2	Malignant neoplasm of posterior wall of oropharynx					tumor	cancer	na	na
0	06	06y	06y.	B06y.00	3	3	"Malignant neoplasm of oropharynx, other specified sites"					tumor	cancer	na	na
0	06	06y	06yz	B06yz00	1	1	Malignant neoplasm of other specified site of oropharynx NOS					tumor	cancer	na	na
0	06	06z	06z.	B06z.00	7	6	Malignant neoplasm of oropharynx NOS					tumor	cancer	na	na
0	07	07.	07..	B07..00	10	10	Malignant neoplasm of nasopharynx					tumor	cancer	na	na
0	07	071	0710	B071000	1	1	Malignant neoplasm of adenoid					tumor	cancer	na	na
0	07	071	0711	B071100	2	2	Malignant neoplasm of pharyngeal tonsil					tumor	cancer	na	na
0	07	072	0720	B072000	2	2	Malignant neoplasm of pharyngeal recess					tumor	cancer	na	na
0	07	07z	07z.	B07z.00	1	1	Malignant neoplasm of nasopharynx NOS					tumor	cancer	na	na
0	08	08.	08..	B08..00	47	16	Malignant neoplasm of hypopharynx					tumor	cancer	na	na
0	08	081	081.	B081.00	8	7	Malignant neoplasm of pyriform sinus					tumor	cancer	na	na
0	08	082	082.	B082.00	1	1	"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"					tumor	cancer	na	na
0	08	083	083.	B083.00	3	2	Malignant neoplasm of posterior pharynx					tumor	cancer	na	na
0	08	08y	08y.	B08y.00	1	1	Malignant neoplasm of other specified hypopharyngeal site					tumor	cancer	na	na
0	08	08z	08z.	B08z.00	2	2	Malignant neoplasm of hypopharynx NOS					tumor	cancer	na	na
0	0z	0z.	0z..	B0z..00	2	2	"Malig neop other/ill-defined sites lip, oral cavity, pharynx"					tumor	cancer	na	na
0	0z	0z0	0z0.	B0z0.00	7	6	Malignant neoplasm of pharynx unspecified					tumor	cancer	na	na
0	0z	0z2	0z2.	B0z2.00	28	23	Malignant neoplasm of laryngopharynx					tumor	cancer	na	na
0	0z	0zy	0zy.	B0zy.00	2	2	"Malignant neoplasm of other sites lip, oral cavity, pharynx"					tumor	cancer	na	na
0	0z	0zz	0zz.	B0zz.00	18	17	"Malignant neoplasm of lip, oral cavity and pharynx NOS"					tumor	cancer	na	na
1	1.	1..	1...	B1...00	208	194	Malignant neoplasm of digestive organs and peritoneum		Cancer	Digestive System	na	tumor	morph	na	na
1	1.	1..	1...	B1...11	21	20	Carcinoma of digestive organs and peritoneum		Cancer	Digestive System	na	tumor	cancer	na	na
1	10	10.	10..	B10..00	774	596	Malignant neoplasm of oesophagus		Cancer	Oesophagus	Oesophagus	tumor;oeso	cancer	oeso	oeso
1	10	100	100.	B100.00	0	0	Malignant neoplasm of cervical oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	101	101.	B101.00	4	4	Malignant neoplasm of thoracic oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	102	102.	B102.00	2	2	Malignant neoplasm of abdominal oesophagus					tumor;oeso	cancer	stom	stom
1	10	103	103.	B103.00	3	3	Malignant neoplasm of upper third of oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	104	104.	B104.00	9	7	Malignant neoplasm of middle third of oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	105	105.	B105.00	42	40	Malignant neoplasm of lower third of oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	106	106.	B106.00	0	0	"Malignant neoplasm, overlapping lesion of oesophagus"					tumor;oeso	cancer	oeso	oeso
1	10	107	107.	B107.00	5	3	Siewert type I adenocarcinoma					tumor;oeso	cancer	oeso	oeso
1	10	10y	10y.	B10y.00	7	6	Malignant neoplasm of other specified part of oesophagus					tumor;oeso	cancer	oeso	oeso
1	10	10z	10z.	B10z.00	234	200	Malignant neoplasm of oesophagus NOS					tumor;oeso	cancer	oeso	oeso
1	10	10z	10z.	B10z.11	0	0	Oesophageal cancer					tumor;oeso	cancer	oeso	oeso
1	11	11.	11..	B11..00	0	0	Malignant neoplasm of stomach		Cancer	Stomach	Stomach	tumor;stom	cancer	stom	stom
1	11	11.	11..	B11..11	0	0	Gastric neoplasm					tumor;stom;benign	ca_bg	stom	stom
1	11	110	110.	B110.00	18	17	Malignant neoplasm of cardia of stomach					tumor;stom	cancer	stom	stom
1	11	110	1100	B110000	0	0	Malignant neoplasm of cardiac orifice of stomach					tumor;stom	cancer	stom	stom
1	11	110	1101	B110100	23	17	Malignant neoplasm of cardio-oesophageal junction of stomach					tumor;stom	cancer	stom	stom
1	11	110	1101	B110111	1	1	Malignant neoplasm of gastro-oesophageal junction					tumor;stom	cancer	stom	stom
1	11	110	110z	B110z00	4	4	Malignant neoplasm of cardia of stomach NOS					tumor;stom	cancer	stom	stom
1	11	111	111.	B111.00	5	5	Malignant neoplasm of pylorus of stomach					tumor;stom	cancer	stom	stom
1	11	111	1110	B111000	2	2	Malignant neoplasm of prepylorus of stomach					tumor;stom	cancer	stom	stom
1	11	111	1111	B111100	3	3	Malignant neoplasm of pyloric canal of stomach					tumor;stom	cancer	stom	stom
1	11	111	111z	B111z00	1	1	Malignant neoplasm of pylorus of stomach NOS					tumor;stom	cancer	stom	stom
1	11	112	112.	B112.00	12	12	Malignant neoplasm of pyloric antrum of stomach					tumor;stom	cancer	stom	stom
1	11	113	113.	B113.00	19	4	Malignant neoplasm of fundus of stomach					tumor;stom	cancer	stom	stom
1	11	114	114.	B114.00	3	3	Malignant neoplasm of body of stomach					tumor;stom	cancer	stom	stom
1	11	115	115.	B115.00	8	7	Malignant neoplasm of lesser curve of stomach unspecified					tumor;stom	cancer	stom	stom
1	11	116	116.	B116.00	4	4	Malignant neoplasm of greater curve of stomach unspecified					tumor;stom	cancer	stom	stom
1	11	117	117.	B117.00	0	0	"Malignant neoplasm, overlapping lesion of stomach"					tumor;stom	cancer	stom	stom
1	11	118	118.	B118.00	3	3	Siewert type II adenocarcinoma					tumor;stom	cancer	oeso	oeso
1	11	119	119.	B119.00	6	5	Siewert type III adenocarcinoma					tumor;stom	cancer	stom	stom
1	11	11y	11y.	B11y.00	3	3	Malignant neoplasm of other specified site of stomach					tumor;stom	cancer	stom	stom
1	11	11y	11y0	B11y000	0	0	Malignant neoplasm of anterior wall of stomach NEC					tumor;stom	cancer	stom	stom
1	11	11y	11y1	B11y100	0	0	Malignant neoplasm of posterior wall of stomach NEC					tumor;stom	cancer	stom	stom
1	11	11y	11yz	B11yz00	0	0	Malignant neoplasm of other specified site of stomach NOS					tumor;stom	cancer	stom	stom
1	11	11z	11z.	B11z.00	139	128	Malignant neoplasm of stomach NOS					tumor;stom	cancer	stom	stom
1	12	12.	12..	B12..00	6	6	Malignant neoplasm of small intestine and duodenum		Cancer	Small intestine	Small intestine	tumor	cancer	na	na
1	12	120	120.	B120.00	34	33	Malignant neoplasm of duodenum					tumor	cancer	na	na
1	12	121	121.	B121.00	3	3	Malignant neoplasm of jejunum					tumor	cancer	na	na
1	12	122	122.	B122.00	9	6	Malignant neoplasm of ileum					tumor	cancer	na	na
1	12	12z	12z.	B12z.00	16	16	Malignant neoplasm of small intestine NOS					tumor	cancer	na	na
1	13	13.	13..	B13..00	0	0	Malignant neoplasm of colon		Cancer	CRC	Colon	tumor;crc	cancer	crc	colon
1	13	130	130.	B130.00	40	39	Malignant neoplasm of hepatic flexure of colon					tumor;crc	cancer	crc	colon
1	13	131	131.	B131.00	72	70	Malignant neoplasm of transverse colon					tumor;crc	cancer	crc	colon
1	13	132	132.	B132.00	37	37	Malignant neoplasm of descending colon					tumor;crc	cancer	crc	colon
1	13	133	133.	B133.00	0	0	Malignant neoplasm of sigmoid colon					tumor;crc	cancer	crc	colon
1	13	134	134.	B134.00	0	0	Malignant neoplasm of caecum					tumor;crc	cancer	crc	colon
1	13	134	134.	B134.11	33	31	Carcinoma of caecum					tumor;crc	cancer	crc	colon
1	13	135	135.	B135.00	25	24	Malignant neoplasm of appendix					tumor;crc	cancer	crc	colon
1	13	136	136.	B136.00	85	73	Malignant neoplasm of ascending colon					tumor;crc	cancer	crc	colon
1	13	137	137.	B137.00	23	21	Malignant neoplasm of splenic flexure of colon					tumor;crc	cancer	crc	colon
1	13	138	138.	B138.00	0	0	"Malignant neoplasm, overlapping lesion of colon"					tumor;crc	cancer	crc	colon
1	13	139	139.	B139.00	1	1	Hereditary nonpolyposis colon cancer					tumor;crc	cancer	crc	colon
1	13	13y	13y.	B13y.00	3	3	Malignant neoplasm of other specified sites of colon					tumor;crc	cancer	crc	colon
1	13	13z	13z.	B13z.00	162	157	Malignant neoplasm of colon NOS					tumor;crc	cancer	crc	colon
1	13	13z	13z.	B13z.11	0	0	Colonic cancer					tumor;crc	cancer	crc	colon
1	14	14.	14..	B14..00	51	45	"Malignant neoplasm of rectum, rectosigmoid junction and anus"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum;colon
1	14	140	140.	B140.00	103	98	Malignant neoplasm of rectosigmoid junction					tumor	cancer	crc	rectum;colon
1	14	141	141.	B141.00	991	812	Malignant neoplasm of rectum					tumor	cancer	crc	rectum
1	14	141	141.	B141.11	68	67	Carcinoma of rectum					tumor	cancer	crc	rectum
1	14	141	141.	B141.12	0	0	Recatal carcinoma						cancer	crc	rectum
1	14	142	142.	B142.00	44	37	Malignant neoplasm of anal canal		Cancer	Anal	Anus	tumor	cancer	na	na
1	14	142	142.	B142.11	47	43	Anal carcinoma					tumor	cancer	na	na
1	14	143	143.	B143.00	21	20	Malignant neoplasm of anus unspecified		Cancer	Anal	Anus	tumor	cancer	na	na
1	14	14y	14y.	B14y.00	4	4	"Malig neop other site rectum, rectosigmoid junction and anus"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum
1	14	14z	14z.	B14z.00	1	1	"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum
1	15	15.	15..	B15..00	20	18	Malignant neoplasm of liver and intrahepatic bile ducts		Cancer	Liver	Liver	tumor;liver	cancer	liver	liver
1	15	150	150.	B150.00	52	49	Primary malignant neoplasm of liver					tumor;liver	cancer	liver	liver
1	15	150	1500	B150000	38	17	Primary carcinoma of liver					tumor;liver	cancer	liver	liver
1	15	150	1501	B150100	0	0	Hepatoblastoma of liver					tumor;liver	cancer	liver	liver
1	15	150	1502	B150200	0	0	Primary angiosarcoma of liver					tumor;liver	cancer	liver	liver
1	15	150	1503	B150300	182	151	Hepatocellular carcinoma					tumor;liver	cancer	liver	liver
1	15	150	150z	B150z00	1	1	Primary malignant neoplasm of liver NOS					tumor;liver	cancer	liver	liver
1	15	151	151.	B151.00	8	8	Malignant neoplasm of intrahepatic bile ducts					tumor;liver	cancer	liver	liver
1	15	151	1510	B151000	0	0	Malignant neoplasm of interlobular bile ducts					tumor;liver	cancer	liver	liver
1	15	151	1511	B151100	0	0	Malignant neoplasm of interlobular biliary canals					tumor;liver	cancer	liver	liver
1	15	151	1512	B151200	0	0	Malignant neoplasm of intrahepatic biliary passages					tumor;liver	cancer	liver	liver
1	15	151	1513	B151300	0	0	Malignant neoplasm of intrahepatic canaliculi					tumor;liver	cancer	liver	liver
1	15	151	1514	B151400	0	0	Malignant neoplasm of intrahepatic gall duct					tumor;liver	cancer	liver	liver
1	15	151	151z	B151z00	2	2	Malignant neoplasm of intrahepatic bile ducts NOS					tumor;liver	cancer	liver	liver
1	15	152	152.	B152.00	49	47	Malignant neoplasm of liver unspecified					tumor;liver	cancer	liver	liver
1	15	153	153.	B153.00	62	57	Secondary malignant neoplasm of liver		Metastases To	Liver	Liver	tumor;liver	cancer	liver	meta
1	15	15z	15z.	B15z.00	5	5	Malignant neoplasm of liver and intrahepatic bile ducts NOS					tumor;liver	cancer	liver	liver
1	16	16.	16..	B16..00	11	9	Malignant neoplasm gallbladder and extrahepatic bile ducts		Cancer	Biliary Tract	Biliary Tract	tumor	cancer	na	na
1	16	160	160.	B160.00	62	57	Malignant neoplasm of gallbladder					tumor	cancer	na	na
1	16	160	160.	B160.11	14	11	Carcinoma gallbladder					tumor	cancer	na	na
1	16	161	161.	B161.00	11	11	Malignant neoplasm of extrahepatic bile ducts					tumor	cancer	na	na
1	16	161	1611	B161100	3	3	Malignant neoplasm of hepatic duct					tumor;liver	cancer	liver	liver
1	16	161	1612	B161200	37	28	Malignant neoplasm of common bile duct					tumor	cancer	na	na
1	16	161	1612	B161211	2	2	Carcinoma common bile duct					tumor	cancer	na	na
1	16	161	161z	B161z00	5	5	Malignant neoplasm of extrahepatic bile ducts NOS					tumor	cancer	na	na
1	16	162	162.	B162.00	25	24	Malignant neoplasm of ampulla of Vater					tumor	cancer	pancreas	pancreas
1	16	163	163.	B163.00	2	2	"Malignant neoplasm, overlapping lesion of biliary tract"					tumor	cancer	na	na
1	16	16y	16y.	B16y.00	1	1	Malignant neoplasm other gallbladder/extrahepatic bile duct					tumor	cancer	na	na
1	16	16z	16z.	B16z.00	7	7	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS					tumor	cancer	na	na
1	17	17.	17..	B17..00	705	559	Malignant neoplasm of pancreas		Cancer	Pancreas	Pancreas	medr_tumor;tumor	cancer	pancreas	pancreas
1	17	170	170.	B170.00	67	61	Malignant neoplasm of head of pancreas					medr_tumor;tumor	cancer	pancreas	pancreas
1	17	171	171.	B171.00	7	7	Malignant neoplasm of body of pancreas					tumor	cancer	pancreas	pancreas
1	17	172	172.	B172.00	16	16	Malignant neoplasm of tail of pancreas					tumor	cancer	pancreas	pancreas
1	17	173	173.	B173.00	8	8	Malignant neoplasm of pancreatic duct					tumor	cancer	pancreas	pancreas
1	17	17y	17yz	B17yz00	1	1	Malignant neoplasm of specified site of pancreas NOS					tumor	cancer	pancreas	pancreas
1	17	17z	17z.	B17z.00	92	81	Malignant neoplasm of pancreas NOS					tumor	cancer	pancreas	pancreas
1	18	18.	18..	B18..00	9	9	Malignant neoplasm of retroperitoneum and peritoneum		Cancer	Peritoneum	Peritoneum	tumor	cancer	na	na
1	18	180	180.	B180.00	9	8	Malignant neoplasm of retroperitoneum					tumor	cancer	na	na
1	18	180	1802	B180200	1	1	Malignant neoplasm of retrocaecal tissue					tumor	cancer	na	na
1	18	180	180z	B180z00	1	1	Malignant neoplasm of retroperitoneum NOS					tumor	cancer	na	na
1	18	181	181.	B181.00	8	6	Mesothelioma of peritoneum					tumor	cancer	na	na
1	18	18y	18y.	B18y.00	16	14	Malignant neoplasm of specified parts of peritoneum					tumor	cancer	na	na
1	18	18y	18y0	B18y000	1	1	Malignant neoplasm of mesocolon					tumor;crc	cancer	crc	colon
1	18	18y	18y3	B18y300	7	7	Malignant neoplasm of omentum					tumor	cancer	na	na
1	18	18y	18y5	B18y500	5	5	Malignant neoplasm of pelvic peritoneum					tumor	cancer	na	na
1	18	18y	18y7	B18y700	1	1	Malignant neoplasm of mesentery					tumor	cancer	na	na
1	18	18y	18yz	B18yz00	7	7	Malignant neoplasm of specified parts of peritoneum NOS					tumor	cancer	na	na
1	18	18z	18z.	B18z.00	4	4	Malignant neoplasm of retroperitoneum and peritoneum NOS					tumor	cancer	na	na
1	1z	1z.	1z..	B1z..00	2	2	Malig neop oth/ill-defined sites digestive tract/peritoneum		Cancer	na	na	tumor	cancer	na	na
1	1z	1z0	1z0.	B1z0.00	9	9	"Malignant neoplasm of intestinal tract, part unspecified"					tumor	cancer	na	na
1	1z	1z0	1z0.	B1z0.11	0	0	Cancer of bowel					tumor;crc	cancer	crc	colon
1	1z	1z2	1z2.	B1z2.00	1	1	"Malignant neoplasm, overlapping lesion of digestive system"					tumor	cancer	na	na
1	1z	1zz	1zz.	B1zz.00	5	5	Malignant neoplasm of digestive tract and peritoneum NOS					tumor	cancer	na	na
2	2.	2..	2...	B2...00	68	63	Malig neop of respiratory tract and intrathoracic organs		Cancer	Respiratory tract 	na	tumor	cancer	na	na
2	2.	2..	2...	B2...11	2	2	Carcinoma of respiratory tract and intrathoracic organs					tumor	cancer	na	na
2	20	200	200.	B200.00	4	4	Malignant neoplasm of nasal cavities					tumor	cancer	na	na
2	20	200	2002	B200200	2	2	Malignant neoplasm of septum of nose					tumor	cancer	na	na
2	20	200	200z	B200z00	1	1	Malignant neoplasm of nasal cavities NOS					tumor	cancer	na	na
2	20	202	202.	B202.00	3	3	Malignant neoplasm of maxillary sinus					tumor	cancer	na	na
2	20	203	203.	B203.00	1	1	Malignant neoplasm of ethmoid sinus					tumor	cancer	na	na
2	20	204	204.	B204.00	3	2	Malignant neoplasm of frontal sinus					tumor	cancer	na	na
2	20	206	206.	B206.00	1	1	"Malignant neoplasm, overlapping lesion of accessory sinuses"					tumor	cancer	na	na
2	21	21.	21..	B21..00	163	125	Malignant neoplasm of larynx		Cancer	Larynx	Larynx	tumor	cancer	na	na
2	21	210	210.	B210.00	14	13	Malignant neoplasm of glottis					tumor	cancer	na	na
2	21	211	211.	B211.00	33	25	Malignant neoplasm of supraglottis					tumor	cancer	na	na
2	21	212	212.	B212.00	1	1	Malignant neoplasm of subglottis					tumor	cancer	na	na
2	21	213	213.	B213.00	1	1	Malignant neoplasm of laryngeal cartilage					tumor	cancer	na	na
2	21	213	2131	B213100	2	2	Malignant neoplasm of cricoid cartilage					tumor	cancer	na	na
2	21	213	2133	B213300	2	2	Malignant neoplasm of thyroid cartilage					tumor	cancer	na	na
2	21	215	215.	B215.00	7	7	Malignant neoplasm of epiglottis NOS					tumor	cancer	na	na
2	21	21y	21y.	B21y.00	6	5	"Malignant neoplasm of larynx, other specified site"					tumor	cancer	na	na
2	21	21z	21z.	B21z.00	30	26	Malignant neoplasm of larynx NOS					tumor	cancer	na	na
2	22	22.	22..	B22..00	604	509	"Malignant neoplasm of trachea, bronchus and lung"		Cancer	Lung	Lung	tumor;lung	cancer	lung	lung
2	22	220	220.	B220.00	9	7	Malignant neoplasm of trachea					tumor	cancer	na	na
2	22	220	220z	B220z00	2	2	Malignant neoplasm of trachea NOS					tumor	cancer	na	na
2	22	221	221.	B221.00	142	124	Malignant neoplasm of main bronchus					tumor;lung	cancer	lung	lung
2	22	221	2210	B221000	5	5	Malignant neoplasm of carina of bronchus					tumor;lung	cancer	lung	lung
2	22	221	2211	B221100	33	32	Malignant neoplasm of hilus of lung					tumor;lung	cancer	lung	lung
2	22	221	221z	B221z00	53	45	Malignant neoplasm of main bronchus NOS					tumor;lung	cancer	lung	lung
2	22	222	222.	B222.00	123	110	"Malignant neoplasm of upper lobe, bronchus or lung"					tumor;lung	cancer	lung	lung
2	22	222	222.	B222.11	8	5	Pancoast's syndrome					tumor;lung	cancer	lung	lung
2	22	222	2220	B222000	43	43	Malignant neoplasm of upper lobe bronchus					tumor;lung	cancer	lung	lung
2	22	222	2221	B222100	251	238	Malignant neoplasm of upper lobe of lung					tumor;lung	cancer	lung	lung
2	22	222	222z	B222z00	25	25	"Malignant neoplasm of upper lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung
2	22	223	223.	B223.00	17	17	"Malignant neoplasm of middle lobe, bronchus or lung"					tumor;lung	cancer	lung	lung
2	22	223	2230	B223000	6	5	Malignant neoplasm of middle lobe bronchus					tumor;lung	cancer	lung	lung
2	22	223	2231	B223100	37	36	Malignant neoplasm of middle lobe of lung					tumor;lung	cancer	lung	lung
2	22	223	223z	B223z00	4	4	"Malignant neoplasm of middle lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung
2	22	224	224.	B224.00	60	44	"Malignant neoplasm of lower lobe, bronchus or lung"					tumor;lung	cancer	lung	lung
2	22	224	2240	B224000	13	13	Malignant neoplasm of lower lobe bronchus					tumor;lung	cancer	lung	lung
2	22	224	2241	B224100	0	0	Malignant neoplasm of lower lobe of lung					tumor;lung	cancer	lung	lung
2	22	224	224z	B224z00	18	17	"Malignant neoplasm of lower lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung
