Read code	# records	# patients	description	internal comment	status	type	organ
BB13.00	429	399	[M]Carcinoma, metastatic, NOS	tumor	morph	na	na
B834.00	428	375	Carcinoma in situ of prostate	medr_tumor;tumor;medr_benign	cancer	prostate	prostate
B430200	421	388	Malignant neoplasm of endometrium of corpus uteri	medr_tumor;tumor	cancer	uterus	uterus
B937W11	412	310	Myelodysplasia	tumor	cancer	blood	MDS
BBEK.00	394	378	[M]Compound naevus	medr_tumor;tumor;medr_benign	ignore	na	na
BBEF.11	365	277	[M]Lentigo maligna	medr_tumor;tumor;medr_benign	cancer	na	na
BB5M000	346	334	[M]Tubular adenoma NOS	tumor	morph	na	na
BB12.00	329	297	[M]Carcinoma NOS	medr_tumor;tumor;medr_benign	morph	na	na
BB5..12	325	311	[M]Adenomas	medr_tumor;tumor;medr_benign;benign	benign	na	na
BBm7.00	302	270	[M] Monoclonal gammopathy	tumor	ca_bg	na	na
B49z.00	294	272	Malignant neoplasm of urinary bladder NOS	tumor	cancer	bladder	bladder
B58..00	288	274	Secondary malignant neoplasm of other specified sites	tumor	morph	na	na
BB2..12	288	254	[M]Squamous cell neoplasms	medr_tumor;tumor;medr_benign	morph	na	na
B226.00	287	203	Mesothelioma	tumor;lung	cancer	lung	lung
B4A..00	287	232	Malig neop of kidney and other unspecified urinary organs	tumor	cancer	kidney	kidney
B583200	286	254	Cerebral metastasis	tumor	cancer	na	na
BBE1.00	286	228	[M]Malignant melanoma NOS	medr_tumor;medr_benign	cancer	na	na
B440.11	275	229	Cancer of ovary	medr_tumor;tumor	cancer	ovary	ovary
B768.00	274	243	Melanocytic naevi of skin	medr_tumor;medr_benign	ignore	na	na
B650.00	273	185	Acute myeloid leukaemia	medr_tumor;tumor	cancer	blood	AML
B830.00	269	251	Carcinoma in situ of breast	tumor	cancer	breast	breast
B585.00	261	233	Secondary malignant neoplasm of bone and bone marrow	medr_tumor;tumor	cancer	na	na
BB52.00	260	250	[M]Adenocarcinoma NOS	medr_tumor;tumor;medr_benign	morph	na	na
B222100	251	238	Malignant neoplasm of upper lobe of lung	tumor;lung	cancer	lung	lung
BBbL.11	240	177	[M]Glioblastoma multiforme	tumor	cancer	na	na
B10z.00	234	200	Malignant neoplasm of oesophagus NOS	tumor;oeso	cancer	oeso	oeso
BB5D100	227	138	[M]Cholangiocarcinoma	medr_tumor;medr_benign	cancer	na	na
B33..00	223	206	Other malignant neoplasm of skin	tumor	cancer	na	na
BB2L.00	215	181	[M]Bowen's disease	tumor	cancer	na	na
BBn0.12	212	158	[M]Myeloma NOS	medr_tumor;tumor;medr_benign	cancer	blood	MM
B33z.11	210	191	Squamous cell carcinoma of skin NOS	tumor	cancer	na	na
BB3..00	209	185	[M]Basal cell neoplasms	tumor	morph	na	na
B1...00	208	194	Malignant neoplasm of digestive organs and peritoneum	tumor	morph	na	na
B51..00	205	191	Malignant neoplasm of brain	tumor	cancer	na	na
B590.11	202	161	Carcinomatosis	medr_tumor;tumor	morph	na	na
B8...00	196	180	Carcinoma in situ	medr_tumor;tumor;medr_benign	morph	na	na
BBEY.00	195	184	[M]Dysplastic naevus	medr_tumor;tumor;medr_benign	ignore	na	na
BBGK.12	193	181	[M]Histiocytoma NOS	medr_tumor;tumor;medr_benign	ca_bg	na	na
B....00	186	174	Neoplasms	medr_tumor;tumor;benign	morph	na	na
B150300	182	151	Hepatocellular carcinoma	tumor;liver	cancer	liver	liver
B43..00	181	174	Malignant neoplasm of body of uterus	tumor	cancer	uterus	uterus
B837.00	180	161	Carcinoma in situ of bladder	medr_tumor;tumor	cancer	bladder	bladder
BB5M.00	176	175	[M]Tubular adenomas and adenocarcinomas	tumor	morph	na	na
B570.00	175	170	Secondary malignant neoplasm of lung	medr_tumor;tumor	cancer	lung	lung
BBJ2.12	172	156	[M]Soft fibroma	medr_tumor;tumor;medr_benign;benign	benign	na	na
BBL3.00	172	150	[M]Pleomorphic adenoma	medr_tumor;tumor;medr_benign	morph	na	na
B5...00	170	140	Malignant neoplasm of other and unspecified sites	tumor	morph	na	na
B577.00	169	153	Secondary malignant neoplasm of liver	tumor	cancer	liver	meta
BBQ8.00	169	153	[M]Dermoid cyst	medr_tumor;tumor;medr_benign;benign	benign	na	na
BB43.00	166	157	[M]Transitional cell carcinoma NOS	tumor	morph	na	na
BB5a.00	164	150	[M]Renal adenoma and carcinoma	tumor	cancer	na	na
B21..00	163	125	Malignant neoplasm of larynx	tumor	cancer	na	na
B13z.00	162	157	Malignant neoplasm of colon NOS	tumor;crc	cancer	crc	colon
B4Az.00	161	155	Malignant neoplasm of kidney or urinary organs NOS	tumor	cancer	kidney	kidney
BBE0.00	161	144	[M]Pigmented naevus NOS	medr_tumor;medr_benign	ignore	na	na
BBe5.13	161	142	[M]Schwannoma NOS	tumor	benign	na	na
9h81.00	154	143	Excepted from cancer quality indicators: Patient unsuitable	tumor	anc	na	na
B....11	154	146	Cancers	medr_tumor;tumor	morph	na	na
BB1J.00	154	136	[M]Small cell carcinoma NOS	medr_tumor;tumor;medr_benign	morph	na	na
B53..00	153	137	Malignant neoplasm of thyroid gland	medr_tumor;tumor	cancer	na	na
B937X00	152	121	Refractory anaemia, unspecified	tumor	anc	na	na
BBT8.00	150	140	[M]Capillary haemangioma	tumor	morph	na	na
B6y0.00	148	111	Myeloproliferative disorder	tumor	cancer	blood	UNS
B221.00	142	124	Malignant neoplasm of main bronchus	tumor;lung	cancer	lung	lung
B4A0.00	142	121	Malignant neoplasm of kidney parenchyma	tumor	cancer	kidney	kidney
BBM1.00	142	135	[M]Fibroadenoma NOS	medr_tumor;medr_benign	ignore	na	na
B41..00	141	123	Malignant neoplasm of cervix uteri	medr_tumor;tumor	cancer	na	na
B11z.00	139	128	Malignant neoplasm of stomach NOS	tumor;stom	cancer	stom	stom
B828.00	136	122	Melanoma in situ of skin	tumor	cancer	na	na
B01..00	132	108	Malignant neoplasm of tongue	tumor	cancer	na	na
B62y.00	132	110	Malignant lymphoma NOS	tumor	cancer	blood	NHL
BB5j.00	131	122	[M]Endometrioid adenomas and carcinomas	medr_tumor;tumor;medr_benign	cancer	uterus	uterus
B57..11	128	117	Metastases of respiratory and/or digestive systems	tumor	morph	na	na
BB53.00	128	121	[M]Adenocarcinoma, metastatic, NOS	tumor	morph	na	na
B3...00	124	116	Malig neop of bone, connective tissue, skin and breast	tumor	morph	na	na
B222.00	123	110	Malignant neoplasm of upper lobe, bronchus or lung	tumor;lung	cancer	lung	lung
B33z.00	123	108	Malignant neoplasm of skin NOS	tumor	cancer	na	na
B627C11	120	86	Follicular lymphoma NOS	tumor	cancer	blood	NHL
BB5R.00	120	97	[M]Carcinoid tumours	tumor	morph	na	na
B40..00	117	107	Malignant neoplasm of uterus, part unspecified	medr_tumor;tumor	cancer	na	na
B651.00	113	81	Chronic myeloid leukaemia	medr_tumor;tumor	cancer	blood	CML
B590.00	111	89	Disseminated malignancy NOS	tumor	morph	na	na
BB5a000	111	98	[M]Renal cell carcinoma	tumor	cancer	kidney	kidney
BBG0.00	111	103	[M]Fibroma NOS	medr_tumor;tumor;medr_benign	benign	na	na
B4A..11	110	103	Renal malignant neoplasm	tumor	cancer	kidney	kidney
BBv..00	110	99	[M]Myelodysplastic syndrome	tumor	cancer	blood	MDS
BBd..00	108	86	[M]Meningiomas	tumor	ca_bg	na	na
B832000	108	97	Carcinoma in situ of endometrium	medr_tumor;tumor;medr_benign	cancer	uterus	uterus
BB20.00	107	97	[M]Papilloma NOS (excluding papilloma of urinary bladder)	medr_tumor;tumor;medr_benign	benign	na	na
B56..11	105	100	Lymph node metastases	tumor	cancer	na	na
BB5L000	104	100	[M]Adenomatous polyp NOS	tumor	morph	na	na
B140.00	103	98	Malignant neoplasm of rectosigmoid junction	tumor	cancer	crc	rectum;colon
Byu6.00	102	100	[X]Malignant neoplasm of breast	medr_tumor;tumor;medr_benign	cancer	breast	breast
B833311	101	78	Vulval intraepithelial neoplasia	tumor	cancer	na	na
BBe..11	100	93	[M]Neurofibromas	medr_tumor;tumor;medr_benign	cancer	na	na
8B3p.00	99	27	Administration of cancer treatment	tumor	anc	na	na
B4...00	99	94	Malignant neoplasm of genitourinary organ	tumor	cancer	na	na
BB33.00	99	91	[M]Basal cell carcinoma, morphoea type	tumor	morph	na	na
BBb0.11	95	78	[M]Glioma NOS	tumor	morph	na	na
BB50.00	94	85	[M]Adenoma NOS	tumor;benign	benign	na	na
B17z.00	92	81	Malignant neoplasm of pancreas NOS	tumor	cancer	pancreas	pancreas
B937400	91	72	Essential (haemorrhagic) thrombocythaemia	tumor	cancer	blood	THR
B060.00	90	76	Malignant neoplasm of tonsil	tumor	cancer	na	na
B73..12	89	76	Osteoma	medr_tumor;medr_benign	benign	na	na
B7G..11	87	83	Adenoma of thyroid gland	medr_tumor;medr_benign	benign	na	na
BB5y400	87	63	[M]Prolactinoma	tumor	cancer	na	na
BBG0.11	86	81	[M]Fibroma durum	tumor	morph	na	na
BBg2.11	86	75	[M]Non Hodgkins lymphoma	medr_tumor;tumor;medr_benign	cancer	blood	NHL
B136.00	85	73	Malignant neoplasm of ascending colon	tumor;crc	cancer	crc	colon
BB51.00	85	81	[M]Adenocarcinoma in situ	tumor	cancer	na	na
BB25.12	82	75	[M]Hyperkeratotic papilloma	tumor;benign	benign	na	na
BBK0200	81	55	[M]Leiomyosarcoma NOS	tumor	cancer	na	na
B830100	80	75	Intraductal carcinoma in situ of breast	tumor	cancer	breast	breast
9h82.00	72	68	Excepted from cancer quality indicators: Informed dissent	tumor	anc	na	na
B131.00	72	70	Malignant neoplasm of transverse colon	tumor;crc	cancer	crc	colon
B61..00	70	55	Hodgkin's disease	tumor	cancer	blood	HODG
B454.00	69	63	Malignant neoplasm of vulva unspecified	tumor	cancer	na	na
B141.11	68	67	Carcinoma of rectum	tumor	cancer	crc	rectum
B2...00	68	63	Malig neop of respiratory tract and intrathoracic organs	tumor	cancer	na	na
B583000	67	60	Secondary malignant neoplasm of brain	tumor	cancer	na	na
B621.00	67	37	Mycosis fungoides	tumor	cancer	blood	NHL
B937.14	67	54	Myelodysplasia	tumor	cancer	blood	MDS
BBEG.11	67	59	[M]Lentigo maligna melanoma	tumor	cancer	na	na
BBT0.11	67	66	[M]Angioma NOS	tumor	morph	na	na
B170.00	67	61	Malignant neoplasm of head of pancreas	medr_tumor;tumor	cancer	pancreas	pancreas
B153.00	62	57	Secondary malignant neoplasm of liver	tumor;liver	cancer	liver	meta
B160.00	62	57	Malignant neoplasm of gallbladder	tumor	cancer	na	na
BBbL.00	62	53	[M]Glioblastoma NOS	tumor	cancer	na	na
B6...00	61	61	Malignant neoplasm of lymphatic and haemopoietic tissue	tumor	cancer	blood	NHL
BA0..00	61	57	Neoplasm of unspecified nature	tumor;benign	ca_bg	na	na
B224.00	60	44	Malignant neoplasm of lower lobe, bronchus or lung	tumor;lung	cancer	lung	lung
BB5R900	60	55	[M]Neuroendocrine carcinoma	tumor	cancer	na	na
BBT2.00	60	56	[M]Cavernous haemangioma	medr_tumor;tumor;medr_benign	benign	na	na
B80z000	59	55	Carcinoma in situ of pancreas	tumor	cancer	pancreas	pancreas
Byu4100	59	57	[X]Malignant melanoma of skin, unspecified	tumor	cancer	na	na
B232.00	58	50	Mesothelioma of pleura	tumor	cancer	na	na
B62x.00	58	52	Malignant lymphoma otherwise specified	tumor	cancer	blood	NHL
BBEH.00	58	55	[M]Superficial spreading melanoma	tumor	cancer	na	na
BBTB.00	58	53	[M]Angiokeratoma	tumor	cancer	na	na
BB5L011	58	55	[M]Polypoid adenoma	medr_tumor;tumor;medr_benign	benign	na	na
B22y.00	57	54	Malignant neoplasm of other sites of bronchus or lung	tumor;lung	cancer	lung	lung
B7Fy100	56	47	Morton neuroma	medr_tumor;medr_benign	benign	na	na
BB3B.00	56	53	[M]Pilomatrixoma	medr_tumor;tumor;medr_benign	benign	na	na
BBE..00	55	46	[M]Naevi and melanomas	medr_tumor;medr_benign	ignore	na	na
4M0..00	53	52	Gleason grading of prostate cancer	tumor	anc	na	na
B221z00	53	45	Malignant neoplasm of main bronchus NOS	tumor;lung	cancer	lung	lung
BB29.12	53	46	[M]Intraepidermal carcinoma NOS	tumor	morph	na	na
BB25.00	53	53	[M]Squamous cell papilloma	medr_tumor;tumor;medr_benign;benign	benign	na	na
B150.00	52	49	Primary malignant neoplasm of liver	tumor;liver	cancer	liver	liver
B41z.00	52	48	Malignant neoplasm of cervix uteri NOS	tumor	cancer	na	na
BBmK.00	52	42	[M]Waldenstrom's macroglobulinaemia	tumor	cancer	blood	WAL
B14..00	51	45	Malignant neoplasm of rectum, rectosigmoid junction and anus	tumor	cancer	crc	rectum;colon
BBM..00	51	48	[M]Fibroepithelial neoplasms	medr_tumor;medr_benign	ca_bg	na	na
BBmH.00	51	44	[M] Large cell lymphoma	tumor	cancer	blood	NHL
BBEJ.11	50	47	[M]Dermal naevus	tumor	cancer	na	na
B830000	50	48	Lobular carcinoma in situ of breast	medr_tumor;tumor;medr_benign	cancer	breast	breast
B152.00	49	47	Malignant neoplasm of liver unspecified	tumor;liver	cancer	liver	liver
B934.11	49	38	Polycythaemia rubra vera	tumor;benign	cancer	blood	PCV
BB25.13	49	46	[M]Keratotic papilloma	medr_tumor;tumor;medr_benign;benign	benign	na	na
B803300	48	46	Carcinoma in situ of sigmoid colon	tumor;crc	cancer	crc	colon
B08..00	47	16	Malignant neoplasm of hypopharynx	tumor	cancer	na	na
B142.11	47	43	Anal carcinoma	tumor	cancer	na	na
B627C00	47	43	Follicular non-Hodgkin's lymphoma	tumor	cancer	blood	NHL
B801.00	47	46	Carcinoma in situ of oesophagus	tumor;oeso	cancer	oeso	oeso
BB5c.00	47	46	[M]Parathyroid adenomas and adenocarcinomas	tumor	cancer	na	na
BBEB.00	47	44	[M]Junctional naevus	medr_tumor;medr_benign	ignore	na	na
B65..00	47	43	Myeloid leukaemia	medr_tumor;tumor	cancer	blood	ML
B47..00	46	40	Malignant neoplasm of testis	tumor	cancer	na	na
B585000	46	43	Pathological fracture due to metastatic bone disease	tumor	cancer	na	na
B937500	46	43	Idiopathic thrombocythaemia	tumor	cancer	blood	THR
B831.11	45	44	CIN III - carcinoma in situ of cervix	tumor	cancer	na	na
BB5j200	45	44	[M]Endometrioid carcinoma	medr_tumor;tumor;medr_benign	cancer	uterus	uterus
B142.00	44	37	Malignant neoplasm of anal canal	tumor	cancer	na	na
B6y0.11	44	40	Myeloproliferative disease	tumor	cancer	blood	UNS
BBW2.11	44	31	[M]Enchondroma	tumor	cancer	na	na
BB5U000	44	38	[M]Villous adenoma NOS	medr_tumor;tumor;medr_benign;benign	benign	na	na
B222000	43	43	Malignant neoplasm of upper lobe bronchus	tumor;lung	cancer	lung	lung
BB28.00	43	43	[M]Papillomatosis NOS	tumor;benign	benign	na	na
B105.00	42	40	Malignant neoplasm of lower third of oesophagus	tumor;oeso	cancer	oeso	oeso
B827.00	42	36	Carcinoma in situ of skin of lower limb and hip	tumor	cancer	na	na
BB02.00	42	39	[M]Neoplasm, malignant	tumor	morph	na	na
BB2B.00	42	40	[M]Squamous cell carcinoma, metastatic NOS	tumor	morph	na	na
BB4A.00	42	41	[M]Papillary transitional cell carcinoma	tumor	morph	na	na
BB95.00	42	41	[M]Intraductal papilloma	tumor	morph	na	na
BB9J.00	42	30	[M]Paget's disease, mammary	tumor	cancer	na	na
B5z..00	42	33	Malignant neoplasm of other and unspecified site NOS	medr_tumor;tumor	cancer	na	na
B540.11	41	27	Phaeochromocytoma	tumor;benign	benign	na	na
B627W00	41	41	Unspecified B-cell non-Hodgkin's lymphoma	tumor	cancer	blood	NHL
B020.00	40	35	Malignant neoplasm of parotid gland	tumor	cancer	na	na
B130.00	40	39	Malignant neoplasm of hepatic flexure of colon	tumor;crc	cancer	crc	colon
B450.00	40	17	Malignant neoplasm of vagina	tumor	cancer	na	na
BB42.00	40	38	[M]Transitional cell carcinoma in situ	tumor	morph	na	na
B33..16	39	36	Epithelioma basal cell	tumor	cancer	na	na
B630200	39	27	Plasmacytoma NOS	tumor	cancer	blood	MM
B691.00	39	36	Chronic myelomonocytic leukaemia	tumor	cancer	blood	CML
BBs0.00	39	31	[M]Polycythaemia vera	tumor	cancer	blood	PCV
B0...00	38	36	Malignant neoplasm of lip, oral cavity and pharynx	tumor	cancer	na	na
B150000	38	17	Primary carcinoma of liver	tumor;liver	cancer	liver	liver
B35..00	38	33	Malignant neoplasm of male breast	tumor	cancer	breast	breast
B471000	38	31	Seminoma of descended testis	tumor	cancer	na	na
BB81.11	38	31	[M]Ovarian cystadenoma or carcinoma	tumor	cancer	ovary	ovary
B132.00	37	37	Malignant neoplasm of descending colon	tumor;crc	cancer	crc	colon
B161200	37	28	Malignant neoplasm of common bile duct	tumor	cancer	na	na
B223100	37	36	Malignant neoplasm of middle lobe of lung	tumor;lung	cancer	lung	lung
B344.00	37	36	Malignant neoplasm of upper-outer quadrant of female breast	tumor	cancer	breast	breast
B4...11	37	31	Carcinoma of genitourinary organ	tumor	cancer	na	na
BBW0.13	37	36	[M]Osteocartilaginous exostosis	medr_tumor;tumor;medr_benign	benign	na	na
4M01.00	36	36	Gleason prostate grade 5-7 (medium)	tumor	anc	na	na
BA04.00	36	36	Neoplasm of unspecified nature of bladder	tumor;benign	ca_bg	na	na
BB5U.00	36	33	[M]Villous adenomas and adenocarcinomas	tumor	morph	na	na
BB91.11	36	34	[M]Duct carcinoma NOS	tumor	morph	na	na
Bz...00	36	35	Neoplasms NOS	tumor;benign	ca_bg	na	na
B62yz00	35	34	Malignant lymphoma NOS	tumor	cancer	blood	NHL
B905400	35	31	Gastrointestinal stromal tumour	tumor	cancer	na	na
BB9L.00	35	12	[M]Paget's disease, extramammary, exc Paget's disease bone	tumor	cancer	na	na
BBs5.00	35	31	[M]Chronic lymphoproliferative disease	tumor	cancer	blood	CLL
B010.00	34	34	Malignant neoplasm of base of tongue	tumor	cancer	na	na
B120.00	34	33	Malignant neoplasm of duodenum	tumor	cancer	na	na
B937411	34	31	Primary thrombocythaemia	tumor	cancer	blood	THR
BB06.00	34	32	[M]Tumour cells, uncertain whether benign or malignant	tumor;benign	ca_bg	na	na
BB11.00	34	31	[M]Carcinoma in situ NOS	tumor	morph	na	na
BB5cz00	34	31	[M]Parathyroid adenoma or adenocarcinoma NOS	tumor	morph	na	na
B41..11	34	33	Cervical carcinoma (uterus)	medr_tumor;tumor	cancer	na	na
B134.11	33	31	Carcinoma of caecum	tumor;crc	cancer	crc	colon
B211.00	33	25	Malignant neoplasm of supraglottis	tumor	cancer	na	na
B221100	33	32	Malignant neoplasm of hilus of lung	tumor;lung	cancer	lung	lung
B4A2.00	33	33	Malignant neoplasm of ureter	tumor	cancer	na	na
B576200	32	28	Malignant ascites	tumor	cancer	na	na
B624.12	32	27	Hairy cell leukaemia	tumor	cancer	blood	HCL
BB5..00	32	31	[M]Adenomas and adenocarcinomas	tumor	morph	na	na
B32z.00	31	30	Malignant melanoma of skin NOS	tumor	cancer	na	na
BBX..00	31	29	[M]Giant cell tumours	tumor	cancer	na	na
B21z.00	30	26	Malignant neoplasm of larynx NOS	tumor	cancer	na	na
B43z.00	30	25	Malignant neoplasm of body of uterus NOS	tumor	cancer	uterus	uterus
B831.13	30	28	Cervical intraepithelial neoplasia grade III	tumor	cancer	na	na
BB5y000	30	27	[M]Basal cell adenocarcinoma	tumor	morph	na	na
BBm9.00	30	23	[M] Monocytoid B-cell lymphoma	tumor	cancer	na	na
Byu4.00	30	23	[X]Melanoma and other malignant neoplasms of skin	tumor	cancer	na	na
B5...11	30	29	Carcinoma of other and unspecified sites	medr_tumor;tumor	cancer	na	na
B4A0000	29	25	Hypernephroma	tumor	cancer	na	na
B8yy000	29	24	Carcinoma in situ of thyroid gland	tumor	cancer	na	na
BB5D511	29	27	[M]Hepatoma NOS	tumor	cancer	liver	liver
BBK0000	29	26	[M]Leiomyoma NOS	tumor	morph	na	na
BBg..00	29	27	[M]Lymphomas, NOS or diffuse	tumor	cancer	blood	NHL
B0z2.00	28	23	Malignant neoplasm of laryngopharynx	tumor	cancer	na	na
B56..00	28	28	Secondary and unspecified malignant neoplasm of lymph nodes	tumor	cancer	na	na
B803400	28	26	Carcinoma in situ of caecum	tumor;crc	cancer	crc	colon
BB5W013	28	22	[M]Oncocytoma	tumor	morph	na	na
BBn0.11	28	18	[M]Multiple myeloma	tumor	cancer	blood	MM
B2zz.00	27	25	Malignant neoplasm of respiratory tract NOS	tumor	cancer	na	na
B325100	27	26	Malignant melanoma of breast	tumor	cancer	na	na
B33..12	27	27	Epithelioma	tumor	cancer	na	na
B641.11	27	24	Chronic lymphatic leukaemia	tumor	cancer	blood	CLL
B827.11	27	21	Carcinoma in situ of skin of leg	tumor	cancer	na	na
BBd0.00	27	24	[M]Meningioma NOS	tumor	morph	na	na
B3...12	26	18	Sarcoma of bone and connective tissue	tumor	cancer	na	na
BB5N211	26	26	[M]Multiple polyposis	tumor	morph	na	na
BB80000	26	25	[M]Cystadenoma NOS	tumor	morph	na	na
BBj..00	26	20	[M]Hodgkin's disease	tumor	cancer	blood	HODG
BBk..00	26	22	[M]Lymphomas, nodular or follicular	tumor	cancer	blood	HHL
B3...11	26	23	Carcinoma of bone, connective tissue, skin and breast	medr_tumor;tumor	cancer	na	na
BB91.00	26	25	[M]Infiltrating duct carcinoma	medr_tumor;tumor;medr_benign	morph	na	na
B057.00	25	19	Overlapping lesion of other and unspecified parts of mouth	tumor	cancer	na	na
B06..00	25	23	Malignant neoplasm of oropharynx	tumor	cancer	na	na
B135.00	25	24	Malignant neoplasm of appendix	tumor;crc	cancer	crc	colon
B162.00	25	24	Malignant neoplasm of ampulla of Vater	tumor	cancer	pancreas	pancreas
B222z00	25	25	Malignant neoplasm of upper lobe, bronchus or lung NOS	tumor;lung	cancer	lung	lung
B51z.00	25	25	Malignant neoplasm of brain NOS	tumor	cancer	na	na
B800100	25	21	Carcinoma in situ of tongue	tumor	cancer	na	na
BB5f000	25	22	[M]Follicular adenoma	tumor	morph	na	na
BB9E000	25	22	[M]Intraductal carcinoma and lobular carcinoma in situ	tumor	morph	na	na
BBE0.11	25	22	[M]Hairy naevus NOS	tumor	ignore	na	na
BBJH.00	25	20	[M]Dedifferentiated liposarcoma	tumor	morph	na	na
BBbB.00	25	19	[M]Astrocytoma NOS	tumor	cancer	na	na
BBdz.00	25	22	[M]Meningioma NOS	tumor	morph	na	na
ByuC700	25	25	[X]Secondary malignant neoplasm of other specified sites	tumor	cancer	na	na
B04..00	24	22	Malignant neoplasm of floor of mouth	tumor	cancer	na	na
B31..00	24	24	Malignant neoplasm of connective and other soft tissue	tumor	cancer	na	na
B339.00	24	22	Dermatofibrosarcoma protuberans	tumor	cancer	na	na
B640.00	24	20	Acute lymphoid leukaemia	tumor	cancer	blood	ALL
BB43.11	24	19	[M]Urothelial carcinoma	tumor	morph	na	na
B110100	23	17	Malignant neoplasm of cardio-oesophageal junction of stomach	tumor;stom	cancer	stom	stom
B137.00	23	21	Malignant neoplasm of splenic flexure of colon	tumor;crc	cancer	crc	colon
B58y500	23	8	Secondary malignant neoplasm of prostate	tumor	cancer	prostate	prostate
B594.00	23	11	Secondary malignant neoplasm of unknown site	tumor	cancer	na	na
B802.00	23	20	Carcinoma in situ of stomach	tumor;stom	cancer	stom	stom
BB5RA00	23	18	[M]Merkel cell carcinoma	tumor	cancer	na	na
BBL9.00	23	19	[M]Carcinosarcoma NOS	tumor	morph	na	na
BBW0.00	23	19	[M]Osteochondroma	medr_tumor;tumor;medr_benign	benign	na	na
B44..00	22	22	Malignant neoplasm of ovary and other uterine adnexa	tumor	cancer	ovary	ovary
B59..00	22	22	Malignant neoplasm of unspecified site	tumor	cancer	na	na
B593.00	22	20	Primary malignant neoplasm of unknown site	tumor	cancer	na	na
BA02200	22	17	Neoplasm of unspecified nature of skin	tumor;benign	ca_bg	na	na
