Read0	Read1	Read3	Read4	Read code	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015	read_code	medical_freq	ahd_freq
0	5	52	52	B052.00	Malignant neoplasm of hard palate					tumor	cancer	na	na	B052.00	112	2
0	5	53	53	B053.00	Malignant neoplasm of soft palate					tumor	cancer	na	na	B053.00	169	4
0	5	54	54	B054.00	Malignant neoplasm of uvula					tumor	cancer	na	na	B054.00	25	
0	5	55	551	B055100	Malignant neoplasm of roof of mouth					tumor	cancer	na	na	B055100	6	
0	5	55	055z	B055z00	Malignant neoplasm of palate NOS					tumor	cancer	na	na	B055z00	20	
0	5	56	56	B056.00	Malignant neoplasm of retromolar area					tumor	cancer	na	na	B056.00	47	1
0	5	57	57	B057.00	Overlapping lesion of other and unspecified parts of mouth					tumor	cancer	na	na	B057.00	269	
0	5	05z	05z.	B05z.00	Malignant neoplasm of mouth NOS					tumor	cancer	na	na	B05z.00	131	1
0	6	6	06..	B06..00	Malignant neoplasm of oropharynx					tumor	cancer	na	na	B06..00	453	19
0	6	60	60	B060.00	Malignant neoplasm of tonsil					tumor	cancer	na	na	B060.00	1383	23
0	6	60	060z	B060z00	Malignant neoplasm tonsil NOS					tumor	cancer	na	na	B060z00	130	
0	6	61	61	B061.00	Malignant neoplasm of tonsillar fossa					tumor	cancer	na	na	B061.00	129	
0	6	62	62	B062.00	Malignant neoplasm of tonsillar pillar					tumor	cancer	na	na	B062.00	28	2
0	6	62	621	B062100	Malignant neoplasm of glossopalatine fold					tumor	cancer	na	na	B062100	2	
0	6	63	63	B063.00	Malignant neoplasm of vallecula					tumor	cancer	na	na	B063.00	14	
0	6	64	64	B064.00	Malignant neoplasm of anterior epiglottis					tumor	cancer	na	na	B064.00	33	1
0	6	64	640	B064000	"Malignant neoplasm of epiglottis, free border"					tumor	cancer	na	na	B064000	10	
0	6	64	064z	B064z00	Malignant neoplasm of anterior epiglottis NOS					tumor	cancer	na	na	B064z00	11	
0	6	67	67	B067.00	Malignant neoplasm of posterior wall of oropharynx					tumor	cancer	na	na	B067.00	7	1
0	6	06y	06y.	B06y.00	"Malignant neoplasm of oropharynx, other specified sites"					tumor	cancer	na	na	B06y.00	23	
0	6	06y	06yz	B06yz00	Malignant neoplasm of other specified site of oropharynx NOS					tumor	cancer	na	na	B06yz00	8	
0	6	06z	06z.	B06z.00	Malignant neoplasm of oropharynx NOS					tumor	cancer	na	na	B06z.00	65	2
0	7	7	07..	B07..00	Malignant neoplasm of nasopharynx					tumor	cancer	na	na	B07..00	405	7
0	7	71	710	B071000	Malignant neoplasm of adenoid					tumor	cancer	na	na	B071000	21	
0	7	71	711	B071100	Malignant neoplasm of pharyngeal tonsil					tumor	cancer	na	na	B071100	46	
0	7	72	720	B072000	Malignant neoplasm of pharyngeal recess					tumor	cancer	na	na	B072000	53	1
0	7	07z	07z.	B07z.00	Malignant neoplasm of nasopharynx NOS					tumor	cancer	na	na	B07z.00	34	
0	8	8	08..	B08..00	Malignant neoplasm of hypopharynx					tumor	cancer	na	na	B08..00	216	8
0	8	81	81	B081.00	Malignant neoplasm of pyriform sinus					tumor	cancer	na	na	B081.00	95	5
0	8	82	82	B082.00	"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"					tumor	cancer	na	na	B082.00	13	
0	8	83	83	B083.00	Malignant neoplasm of posterior pharynx					tumor	cancer	na	na	B083.00	16	
0	8	08y	08y.	B08y.00	Malignant neoplasm of other specified hypopharyngeal site					tumor	cancer	na	na	B08y.00	3	
0	8	08z	08z.	B08z.00	Malignant neoplasm of hypopharynx NOS					tumor	cancer	na	na	B08z.00	29	1
0	0z	0z.	0z..	B0z..00	"Malig neop other/ill-defined sites lip, oral cavity, pharynx"					tumor	cancer	na	na	B0z..00	31	
0	0z	0z0	0z0.	B0z0.00	Malignant neoplasm of pharynx unspecified					tumor	cancer	na	na	B0z0.00	491	1
0	0z	0z2	0z2.	B0z2.00	Malignant neoplasm of laryngopharynx					tumor	cancer	na	na	B0z2.00	365	6
0	0z	0zy	0zy.	B0zy.00	"Malignant neoplasm of other sites lip, oral cavity, pharynx"					tumor	cancer	na	na	B0zy.00	24	1
0	0z	0zz	0zz.	B0zz.00	"Malignant neoplasm of lip, oral cavity and pharynx NOS"					tumor	cancer	na	na	B0zz.00	445	1
1	1	1..	1...	B1...00	Malignant neoplasm of digestive organs and peritoneum		Cancer	Digestive System	na	tumor	morph	na	na	B1...00	2327	23
1	1	1..	1...	B1...11	Carcinoma of digestive organs and peritoneum		Cancer	Digestive System	na	tumor	cancer	na	na	B1...11	1456	13
1	10	10	10..	B10..00	Malignant neoplasm of oesophagus		Cancer	Oesophagus	Oesophagus	tumor;oeso	cancer	oeso	oeso	B10..00	13131	485
1	10	100	100	B100.00	Malignant neoplasm of cervical oesophagus					tumor;oeso	cancer	oeso	oeso	B100.00	8	
1	10	101	101	B101.00	Malignant neoplasm of thoracic oesophagus					tumor;oeso	cancer	oeso	oeso	B101.00	40	1
1	10	102	102	B102.00	Malignant neoplasm of abdominal oesophagus					tumor;oeso	cancer	stom	stom	B102.00	36	
1	10	103	103	B103.00	Malignant neoplasm of upper third of oesophagus					tumor;oeso	cancer	oeso	oeso	B103.00	51	
1	10	104	104	B104.00	Malignant neoplasm of middle third of oesophagus					tumor;oeso	cancer	oeso	oeso	B104.00	104	2
1	10	105	105	B105.00	Malignant neoplasm of lower third of oesophagus					tumor;oeso	cancer	oeso	oeso	B105.00	609	6
1	10	106	106	B106.00	"Malignant neoplasm, overlapping lesion of oesophagus"					tumor;oeso	cancer	oeso	oeso	B106.00	6	1
1	10	107	107	B107.00	Siewert type I adenocarcinoma					tumor;oeso	cancer	oeso	oeso	B107.00	22	
1	10	10y	10y.	B10y.00	Malignant neoplasm of other specified part of oesophagus					tumor;oeso	cancer	oeso	oeso	B10y.00	47	4
1	10	10z	10z.	B10z.00	Malignant neoplasm of oesophagus NOS					tumor;oeso	cancer	oeso	oeso	B10z.00	2976	101
1	10	10z	10z.	B10z.11	Oesophageal cancer					tumor;oeso	cancer	oeso	oeso	B10z.11	6389	385
1	11	11	11..	B11..00	Malignant neoplasm of stomach		Cancer	Stomach	Stomach	tumor;stom	cancer	stom	stom	B11..00	8620	286
1	11	11	11..	B11..11	Gastric neoplasm					tumor;stom;benign	ca_bg	stom	stom	B11..11	889	48
1	11	110	110	B110.00	Malignant neoplasm of cardia of stomach					tumor;stom	cancer	stom	stom	B110.00	297	9
1	11	110	1100	B110000	Malignant neoplasm of cardiac orifice of stomach					tumor;stom	cancer	stom	stom	B110000	3	
1	11	110	1101	B110100	Malignant neoplasm of cardio-oesophageal junction of stomach					tumor;stom	cancer	stom	stom	B110100	160	3
1	11	110	1101	B110111	Malignant neoplasm of gastro-oesophageal junction					tumor;stom	cancer	stom	stom	B110111	15	
1	11	110	110z	B110z00	Malignant neoplasm of cardia of stomach NOS					tumor;stom	cancer	stom	stom	B110z00	35	
1	11	111	111	B111.00	Malignant neoplasm of pylorus of stomach					tumor;stom	cancer	stom	stom	B111.00	75	
1	11	111	1110	B111000	Malignant neoplasm of prepylorus of stomach					tumor;stom	cancer	stom	stom	B111000	32	
1	11	111	1111	B111100	Malignant neoplasm of pyloric canal of stomach					tumor;stom	cancer	stom	stom	B111100	102	6
1	11	111	111z	B111z00	Malignant neoplasm of pylorus of stomach NOS					tumor;stom	cancer	stom	stom	B111z00	30	
1	11	112	112	B112.00	Malignant neoplasm of pyloric antrum of stomach					tumor;stom	cancer	stom	stom	B112.00	91	6
1	11	113	113	B113.00	Malignant neoplasm of fundus of stomach					tumor;stom	cancer	stom	stom	B113.00	103	1
1	11	114	114	B114.00	Malignant neoplasm of body of stomach					tumor;stom	cancer	stom	stom	B114.00	134	5
1	11	115	115	B115.00	Malignant neoplasm of lesser curve of stomach unspecified					tumor;stom	cancer	stom	stom	B115.00	108	1
1	11	116	116	B116.00	Malignant neoplasm of greater curve of stomach unspecified					tumor;stom	cancer	stom	stom	B116.00	48	
1	11	117	117	B117.00	"Malignant neoplasm, overlapping lesion of stomach"					tumor;stom	cancer	stom	stom	B117.00	2	
1	11	118	118	B118.00	Siewert type II adenocarcinoma					tumor;stom	cancer	oeso	oeso	B118.00	46	
1	11	119	119	B119.00	Siewert type III adenocarcinoma					tumor;stom	cancer	stom	stom	B119.00	24	
1	11	11y	11y.	B11y.00	Malignant neoplasm of other specified site of stomach					tumor;stom	cancer	stom	stom	B11y.00	21	2
1	11	11y	11y0	B11y000	Malignant neoplasm of anterior wall of stomach NEC					tumor;stom	cancer	stom	stom	B11y000	10	
1	11	11y	11y1	B11y100	Malignant neoplasm of posterior wall of stomach NEC					tumor;stom	cancer	stom	stom	B11y100	7	
1	11	11y	11yz	B11yz00	Malignant neoplasm of other specified site of stomach NOS					tumor;stom	cancer	stom	stom	B11yz00	16	1
1	11	11z	11z.	B11z.00	Malignant neoplasm of stomach NOS					tumor;stom	cancer	stom	stom	B11z.00	4306	144
1	12	12	12..	B12..00	Malignant neoplasm of small intestine and duodenum		Cancer	Small intestine	Small intestine	tumor	cancer	na	na	B12..00	175	
1	12	120	120	B120.00	Malignant neoplasm of duodenum					tumor	cancer	na	na	B120.00	357	15
1	12	121	121	B121.00	Malignant neoplasm of jejunum					tumor	cancer	na	na	B121.00	47	
1	12	122	122	B122.00	Malignant neoplasm of ileum					tumor	cancer	na	na	B122.00	87	2
1	12	12z	12z.	B12z.00	Malignant neoplasm of small intestine NOS					tumor	cancer	na	na	B12z.00	180	2
1	13	13	13..	B13..00	Malignant neoplasm of colon		Cancer	CRC	Colon	tumor;crc	cancer	crc	colon	B13..00	31230	781
1	13	130	130	B130.00	Malignant neoplasm of hepatic flexure of colon					tumor;crc	cancer	crc	colon	B130.00	490	3
1	13	131	131	B131.00	Malignant neoplasm of transverse colon					tumor;crc	cancer	crc	colon	B131.00	735	9
1	13	132	132	B132.00	Malignant neoplasm of descending colon					tumor;crc	cancer	crc	colon	B132.00	555	7
1	13	133	133	B133.00	Malignant neoplasm of sigmoid colon					tumor;crc	cancer	crc	colon	B133.00	5889	67
1	13	134	134	B134.00	Malignant neoplasm of caecum					tumor;crc	cancer	crc	colon	B134.00	5985	104
1	13	134	134	B134.11	Carcinoma of caecum					tumor;crc	cancer	crc	colon	B134.11	652	10
1	13	135	135	B135.00	Malignant neoplasm of appendix					tumor;crc	cancer	crc	colon	B135.00	298	3
1	13	136	136	B136.00	Malignant neoplasm of ascending colon					tumor;crc	cancer	crc	colon	B136.00	1244	22
1	13	137	137	B137.00	Malignant neoplasm of splenic flexure of colon					tumor;crc	cancer	crc	colon	B137.00	297	2
1	13	138	138	B138.00	"Malignant neoplasm, overlapping lesion of colon"					tumor;crc	cancer	crc	colon	B138.00	2	
1	13	139	139	B139.00	Hereditary nonpolyposis colon cancer					tumor;crc	cancer	crc	colon	B139.00	54	
1	13	13y	13y.	B13y.00	Malignant neoplasm of other specified sites of colon					tumor;crc	cancer	crc	colon	B13y.00	66	1
1	13	13z	13z.	B13z.00	Malignant neoplasm of colon NOS					tumor;crc	cancer	crc	colon	B13z.00	2771	36
1	13	13z	13z.	B13z.11	Colonic cancer					tumor;crc	cancer	crc	colon	B13z.11	5987	221
1	14	14	14..	B14..00	"Malignant neoplasm of rectum, rectosigmoid junction and anus"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum;colon	B14..00	779	18
1	14	140	140	B140.00	Malignant neoplasm of rectosigmoid junction					tumor	cancer	crc	rectum;colon	B140.00	987	19
1	14	141	141	B141.00	Malignant neoplasm of rectum					tumor	cancer	crc	rectum	B141.00	18254	222
1	14	141	141	B141.11	Carcinoma of rectum					tumor	cancer	crc	rectum	B141.11	2034	82
1	14	141	141	B141.12	Recatal carcinoma						cancer	crc	rectum	B141.12	8160	253
1	14	142	142	B142.00	Malignant neoplasm of anal canal		Cancer	Anal	Anus	tumor	cancer	na	na	B142.00	845	10
1	14	142	142	B142.11	Anal carcinoma					tumor	cancer	na	na	B142.11	534	11
1	14	143	143	B143.00	Malignant neoplasm of anus unspecified		Cancer	Anal	Anus	tumor	cancer	na	na	B143.00	249	4
1	14	14y	14y.	B14y.00	"Malig neop other site rectum, rectosigmoid junction and anus"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum	B14y.00	56	
1	14	14z	14z.	B14z.00	"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"		Cancer	CRC	Rectum	tumor	cancer	crc	rectum	B14z.00	95	
1	15	15	15..	B15..00	Malignant neoplasm of liver and intrahepatic bile ducts		Cancer	Liver	Liver	tumor;liver	cancer	liver	liver	B15..00	230	8
1	15	150	150	B150.00	Primary malignant neoplasm of liver					tumor;liver	cancer	liver	liver	B150.00	550	18
1	15	150	1500	B150000	Primary carcinoma of liver					tumor;liver	cancer	liver	liver	B150000	273	5
1	15	150	1501	B150100	Hepatoblastoma of liver					tumor;liver	cancer	liver	liver	B150100	101	1
1	15	150	1502	B150200	Primary angiosarcoma of liver					tumor;liver	cancer	liver	liver	B150200	11	1
1	15	150	1503	B150300	Hepatocellular carcinoma					tumor;liver	cancer	liver	liver	B150300	1814	148
1	15	150	150z	B150z00	Primary malignant neoplasm of liver NOS					tumor;liver	cancer	liver	liver	B150z00	51	
1	15	151	151	B151.00	Malignant neoplasm of intrahepatic bile ducts					tumor;liver	cancer	liver	liver	B151.00	80	1
1	15	151	1510	B151000	Malignant neoplasm of interlobular bile ducts					tumor;liver	cancer	liver	liver	B151000	4	
1	15	151	1511	B151100	Malignant neoplasm of interlobular biliary canals					tumor;liver	cancer	liver	liver			
1	15	151	1512	B151200	Malignant neoplasm of intrahepatic biliary passages					tumor;liver	cancer	liver	liver	B151200	9	
1	15	151	1513	B151300	Malignant neoplasm of intrahepatic canaliculi					tumor;liver	cancer	liver	liver			
1	15	151	1514	B151400	Malignant neoplasm of intrahepatic gall duct					tumor;liver	cancer	liver	liver	B151400	11	
1	15	151	151z	B151z00	Malignant neoplasm of intrahepatic bile ducts NOS					tumor;liver	cancer	liver	liver	B151z00	23	
1	15	152	152	B152.00	Malignant neoplasm of liver unspecified					tumor;liver	cancer	liver	liver	B152.00	759	14
1	15	153	153	B153.00	Secondary malignant neoplasm of liver		Metastases To	Liver	Liver	tumor;liver	cancer	liver	meta	B153.00	513	9
1	15	15z	15z.	B15z.00	Malignant neoplasm of liver and intrahepatic bile ducts NOS					tumor;liver	cancer	liver	liver	B15z.00	70	
1	16	16	16..	B16..00	Malignant neoplasm gallbladder and extrahepatic bile ducts		Cancer	Biliary Tract	Biliary Tract	tumor	cancer	na	na	B16..00	93	1
1	16	160	160	B160.00	Malignant neoplasm of gallbladder					tumor	cancer	na	na	B160.00	778	24
1	16	160	160	B160.11	Carcinoma gallbladder					tumor	cancer	na	na	B160.11	288	22
1	16	161	161	B161.00	Malignant neoplasm of extrahepatic bile ducts					tumor	cancer	na	na	B161.00	124	2
1	16	161	1611	B161100	Malignant neoplasm of hepatic duct					tumor;liver	cancer	liver	liver	B161100	26	1
1	16	161	1612	B161200	Malignant neoplasm of common bile duct					tumor	cancer	na	na	B161200	205	4
1	16	161	1612	B161211	Carcinoma common bile duct					tumor	cancer	na	na	B161211	60	1
1	16	161	161z	B161z00	Malignant neoplasm of extrahepatic bile ducts NOS					tumor	cancer	na	na	B161z00	27	
1	16	162	162	B162.00	Malignant neoplasm of ampulla of Vater					tumor	cancer	pancreas	pancreas	B162.00	364	4
1	16	163	163	B163.00	"Malignant neoplasm, overlapping lesion of biliary tract"					tumor	cancer	na	na	B163.00	21	
1	16	16y	16y.	B16y.00	Malignant neoplasm other gallbladder/extrahepatic bile duct					tumor	cancer	na	na	B16y.00	11	2
1	16	16z	16z.	B16z.00	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS					tumor	cancer	na	na	B16z.00	156	4
1	17	17	17..	B17..00	Malignant neoplasm of pancreas		Cancer	Pancreas	Pancreas	medr_tumor;tumor	cancer	pancreas	pancreas	B17..00	11359	751
1	17	170	170	B170.00	Malignant neoplasm of head of pancreas					medr_tumor;tumor	cancer	pancreas	pancreas	B170.00	1041	24
1	17	171	171	B171.00	Malignant neoplasm of body of pancreas					tumor	cancer	pancreas	pancreas	B171.00	113	1
1	17	172	172	B172.00	Malignant neoplasm of tail of pancreas					tumor	cancer	pancreas	pancreas	B172.00	125	1
1	17	173	173	B173.00	Malignant neoplasm of pancreatic duct					tumor	cancer	pancreas	pancreas	B173.00	137	5
1	17	17y	17yz	B17yz00	Malignant neoplasm of specified site of pancreas NOS					tumor	cancer	pancreas	pancreas	B17yz00	8	1
1	17	17z	17z.	B17z.00	Malignant neoplasm of pancreas NOS					tumor	cancer	pancreas	pancreas	B17z.00	1132	41
1	18	18	18..	B18..00	Malignant neoplasm of retroperitoneum and peritoneum		Cancer	Peritoneum	Peritoneum	tumor	cancer	na	na	B18..00	83	2
1	18	180	180	B180.00	Malignant neoplasm of retroperitoneum					tumor	cancer	na	na	B180.00	103	7
1	18	180	1802	B180200	Malignant neoplasm of retrocaecal tissue					tumor	cancer	na	na	B180200	11	
1	18	180	180z	B180z00	Malignant neoplasm of retroperitoneum NOS					tumor	cancer	na	na	B180z00	21	1
1	18	181	181	B181.00	Mesothelioma of peritoneum					tumor	cancer	na	na	B181.00	154	9
1	18	18y	18y.	B18y.00	Malignant neoplasm of specified parts of peritoneum					tumor	cancer	na	na	B18y.00	171	4
1	18	18y	18y0	B18y000	Malignant neoplasm of mesocolon					tumor;crc	cancer	crc	colon	B18y000	1	
1	18	18y	18y3	B18y300	Malignant neoplasm of omentum					tumor	cancer	na	na	B18y300	78	
1	18	18y	18y5	B18y500	Malignant neoplasm of pelvic peritoneum					tumor	cancer	na	na	B18y500	69	3
1	18	18y	18y7	B18y700	Malignant neoplasm of mesentery					tumor	cancer	na	na	B18y700	11	
1	18	18y	18yz	B18yz00	Malignant neoplasm of specified parts of peritoneum NOS					tumor	cancer	na	na	B18yz00	40	2
1	18	18z	18z.	B18z.00	Malignant neoplasm of retroperitoneum and peritoneum NOS					tumor	cancer	na	na	B18z.00	40	1
1	1z	1z.	1z..	B1z..00	Malig neop oth/ill-defined sites digestive tract/peritoneum		Cancer	na	na	tumor	cancer	na	na	B1z..00	54	1
1	1z	1z0	1z0.	B1z0.00	"Malignant neoplasm of intestinal tract, part unspecified"					tumor	cancer	na	na	B1z0.00	996	4
1	1z	1z0	1z0.	B1z0.11	Cancer of bowel		cancer	crc	colon	tumor;crc	cancer	crc	colon	B1z0.11	4338	272
1	1z	1z2	1z2.	B1z2.00	"Malignant neoplasm, overlapping lesion of digestive system"					tumor	cancer	na	na	B1z2.00	7	
1	1z	1zz	1zz.	B1zz.00	Malignant neoplasm of digestive tract and peritoneum NOS					tumor	cancer	na	na	B1zz.00	58	4
2	2	2..	2...	B2...00	Malig neop of respiratory tract and intrathoracic organs		Cancer	Respiratory tract 	na	tumor	cancer	na	na	B2...00	901	13
2	2	2..	2...	B2...11	Carcinoma of respiratory tract and intrathoracic organs					tumor	cancer	na	na	B2...11	53	2
2	20	200	200	B200.00	Malignant neoplasm of nasal cavities					tumor	cancer	na	na	B200.00	210	
2	20	200	2002	B200200	Malignant neoplasm of septum of nose					tumor	cancer	na	na	B200200	18	
2	20	200	200z	B200z00	Malignant neoplasm of nasal cavities NOS					tumor	cancer	na	na	B200z00	25	
2	20	202	202	B202.00	Malignant neoplasm of maxillary sinus					tumor	cancer	na	na	B202.00	62	6
2	20	203	203	B203.00	Malignant neoplasm of ethmoid sinus					tumor	cancer	na	na	B203.00	29	1
2	20	204	204	B204.00	Malignant neoplasm of frontal sinus					tumor	cancer	na	na	B204.00	26	
2	20	206	206	B206.00	"Malignant neoplasm, overlapping lesion of accessory sinuses"					tumor	cancer	na	na	B206.00	6	
2	21	21	21..	B21..00	Malignant neoplasm of larynx		Cancer	Larynx	Larynx	tumor	cancer	na	na	B21..00	3723	52
2	21	210	210	B210.00	Malignant neoplasm of glottis					tumor	cancer	na	na	B210.00	380	
2	21	211	211	B211.00	Malignant neoplasm of supraglottis					tumor	cancer	na	na	B211.00	404	9
2	21	212	212	B212.00	Malignant neoplasm of subglottis					tumor	cancer	na	na	B212.00	28	
2	21	213	213	B213.00	Malignant neoplasm of laryngeal cartilage					tumor	cancer	na	na	B213.00	55	4
2	21	213	2131	B213100	Malignant neoplasm of cricoid cartilage					tumor	cancer	na	na	B213100	20	1
2	21	213	2133	B213300	Malignant neoplasm of thyroid cartilage					tumor	cancer	na	na	B213300	71	
2	21	215	215	B215.00	Malignant neoplasm of epiglottis NOS					tumor	cancer	na	na	B215.00	67	2
2	21	21y	21y.	B21y.00	"Malignant neoplasm of larynx, other specified site"					tumor	cancer	na	na	B21y.00	76	1
2	21	21z	21z.	B21z.00	Malignant neoplasm of larynx NOS					tumor	cancer	na	na	B21z.00	660	6
