read_codes	type	quantity	desc_medical	freq_medical	freq_ahd
9Ndg.00	2	-9	Declined consent for follow-up by smoking cessation team    	4096.0	215.0
9NdV.00	2	-9	Consent given follow-up after smoking cessation intervention	23.0	
9NdW.00	2	-9	Consent given for smoking cessation data sharing            	473.0	
9NdY.00	2	-9	Declin cons follow-up evaluation after smoking cess interven	236.0	
9NdZ.00	2	-9	Declined consent for smoking cessation data sharing         	50.0	
9NS0200	2	-9	Referral for smoking cessation service offered              	7974.0	1810.0
9OO..00	2	-9	Anti-smoking monitoring admin.                              	21631.0	6.0
9OO1.00	2	-9	Attends stop smoking monitor.                               	64666.0	579.0
9OO2.00	2	-9	Refuses stop smoking monitor                                	10480.0	3486.0
9OO3.00	2	-9	Stop smoking monitor default                                	2052.0	34.0
9OO4.00	2	-9	Stop smoking monitor 1st lettr                              	58703.0	1.0
9OO5.00	2	-9	Stop smoking monitor 2nd lettr                              	6734.0	1.0
9OO6.00	2	-9	Stop smoking monitor 3rd lettr                              	2286.0	1.0
9OO7.00	2	-9	Stop smoking monitor verb.inv.                              	4301.0	4.0
9OO8.00	2	-9	Stop smoking monitor phone inv                              	5854.0	
9OO9.00	2	-9	Stop smoking monitoring delete                              	38.0	
9OOA.00	2	-9	Stop smoking monitor.chck done                              	17807.0	146.0
9OOB.00	2	-9	Stop smoking invitation short message service text message  	3584.0	
9OOB000	2	-9	Stop smoking invitation first SMS text message              	2578.0	
9OOB100	2	-9	Stop smoking invitation second SMS text message             	48.0	
9OOB200	2	-9	Stop smoking invitation third SMS text message              	8.0	
9OOZ.00	2	-9	Stop smoking monitor admin.NOS                              	14432.0	12.0
E023.00	2	-9	Nicotine withdrawal                                         	1304.0	1.0
J036400	2	-9	Tobacco deposit on teeth                                    	1.0	
SMC..00	2	-9	Toxic effect of tobacco and nicotine                        	24.0	
TJHy200	2	-9	Adverse reaction to nicotine                                	19.0	59.0
U609900	2	-9	[X]Bupropion causing adverse effects in therapeutic use     	3.0	43.0
ZV4K000	2	-9	[V]Tobacco use                                              	80.0	9.0
ZV6D800	2	-9	[V]Tobacco abuse counselling                                	690.0	1.0
13p5.00	2	-9	Smoking cessation programme start date                      	30594.0	2468.0
9ko..00	2	-9	Current smoker annual review - enhanced services admin      	42.0	
137..11	3	-9	Smoker - amount smoked                                      	1539.0	51093.0
1371.11	4	0	Non-smoker                                                  	10408.0	843278.0
1372.11	2	1	Occasional smoker                                           	370.0	132261.0
137P.11	3	-9	Smoker                                                      	13291.0	296282.0
137Q.11	3	-9	Smoking restarted                                           	498.0	7121.0
9Ndf.00	2	-9	Consent given for follow-up by smoking cessation team       	1102.0	181.0
9OO..12	2	-9	Stop smoking monitoring admin.                              	43244.0	141.0
H310100	2	-9	Smokers' cough                                              	2302.0	4.0
ZG23300	2	-9	Advice on smoking                                           	6299.0	1106.0
13p1.00	2	-9	Smoking status at 4 weeks                                   	36076.0	1278.0
388B.00	2	-9	Pack years                                                  	6697.0	42695.0
137W.00	2	-9	Chews tobacco                                               	11.0	434.0
137g.00	2	-9	Cigarette pack-years                                        	9512.0	181.0
13p2.00	2	-9	Smoking status between 4 and 52 weeks                       	6121.0	93.0
1PC..00	2	-9	User of electronic cigarette                                	2155.0	35.0
67K1.00	2	-9	Contemplation stage                                         	436.0	27.0
