	code0	desc0
223	R78031	BONE GRAFT TO RADIUS / ULNA, AUTOGRAFT PHEMIST
224	7863	REMOVAL IMPLANT DEVICE FROM RADIUS / ULNA
225	79322	OPEN REDUCTION INT FIX (PLATE) OF RADIUS / ULNA
226	1508521	הכנסת נפרוסטומיה לכליה שמאלית
227	5749	EXC BLADDER LESION TRANANSURETHRAL
228	1399140	מילוי נפרוסטומיה
229	1508523	החלפת נפרוסטומיה משמאל
230	5732	CYSTOSCOPY TRANSURETHRAL  NEC
231	561	MEATOTOMY URETERAL
232	1467662	הכנסת תומכן לשופכן
233	1468031	בקורת נפרוסטומיה
234	1815967	השתלת קוצב לב קבוע
235	3778	INSERTION OF TEMPORARY TRANSVEN. PACEMAKER
236	2636577	השתלת קוצב לב זמני
237	0052	IMPLANT / REPLAC TRANSVEN LEAD (ELECTRODE) INTO LT VENTRICULAR CORONARY VENOUS SYST
238	R37751	REVISION OF ELECTRODE OF CARDIAC PACEMAKER
239	2989875	CT אורוגרפיה
240	4104	AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANT W / O PURGING
241	2750030	החדרת HICKMAN
242	R38932	REPLACE OF HICKMAN / BROVIAC TYPE CATHETER
243	R38933	REMOVAL OF HICKMAN / BROVIAC TYPE CATHETER
244	R50111	PERCUTANEOUS LIVER NEEDLE BIOPSY (LNB)
245	1398027	FNA- US צואר ובלוטת התריס
246	064	THYROIDECTOMY TOTAL
247	R40410	MOD. RAD. NECK DISSECTION, UNILAT
248	403	EXC REGIONAL LYMPH NODE
249	1599105	מפוי כל הגוף ביוד 131
250	1396131	CT עש מותני/עצי
251	3422241	US בלוטות בצוואר
252	1599110	UPTAKE
253	1467689	צילום שורש כף יד - שמאל
254	1396266	ניקור מחט בטומוגרפיה מחשבית חזה
255	5502	NEPHROSTOMY
256	1512476	הכנסת נפרוסטומיה לכליה ימנית
257	1508520	החלפת נפרוסטומיה מימין
258	R37831	INITIAL INSERTION OF DUAL CHAMBER PACEMAKER
259	1823725	ביופסיה מלעורית של השד בהנחיית US
260	1396992	FNB- US בטן לבלב כבד מרה
261	4675	SUTURE LG BOWEL LACERAT
262	749	CESAREAN SECTION NOS
263	6909	DILATION & CURETTAGE DIAGNOSTIC
264	6812	HYSTEROSCOPY
265	4542	ENDOSCOPIC POLYPECTOMY OF LARGE INTESTINE
266	7885	OTH DX PROCED-FEMUR
267	744	CESAREAN SECTION NEC
268	R2110	NASAL SEPTOTOMY
269	1395672	CT צוואר ולרינקס
270	3143	BIOPSY OF LARYNX - CLOSED
271	4019	DX PROC LYMPHATIC NEC
272	712584	קולונסקופיה קצרה
273	R43190	GASTROSTOMY TEMPORARY (OPERATIVE)
274	4576	OPEN & OTHER SIGMOIDECTOMY
275	1395681	CT לצורך תכנון הקרנות
276	1496415	תהודה מגנטית (MRI) - צואר
277	2911	PHARYNGOSCOPY
278	R38911	ARTERIAL CATHETERIZATION, PERCUT.
279	0309	EXPLORATION / DECOMPRESSION SPINAL CANAL
280	79173	CLOSED REDUCTION INT FIX (SCREW) TAR / METATARSAL
281	1496325	"MRI של ע""ש מותני"
282	1441	SCLERAL BUCKLE WITH IMPLANT
283	1474	MECHANICAL VITRECTOMY, POSTERIOR APPROACH
284	5103	CHOLECYSTOSTOMY NEC
285	1594648	מפוי עצם
286	2272755	לויקוציטים מסומנים
287	2688416	המשך לויקוציטים מסומנים
288	1399475	צילום מרפק ימין
289	370	PERICARDIOCENTESIS
290	2408112	ניקור פריקרדיאלי
291	3409	INCISION OF PLEURA NEC
292	1397244	US ניקוז מורסה - חזה
293	1399502	צילום עצם החזה (סטרנו)
294	8819	ABDOMINAL X-RAY NEC
295	1467806	צילום קרסול שמאל
296	1467761	צילום כתף שמאל
297	1467671	צילום זרוע יד שמאל
298	1399295	צילום זרוע - צד ימין
299	4863	ANT RESECT RECTUM NEC
300	5459	ADHESIOLYSIS PERITONEAL& NOS
301	7915	CLOSED REDUCTION INTERNAL FIX  FX OF FEMUR
302	R79151	CLOSED REDUCTION FX INTERNAL FIX (NAIL) OF FEMUR
303	1467887	פילטר וורידי
304	R79352	ORIF (PLATE) OF FEMUR FX
305	1398762	שיקוף אחר
306	7865	REMOVAL IMPLANT DEVICE FROM FEMUR
307	R79351	ORIF (NAIL) OF FEMUR FX
308	1398405	FNA- US אבר בנפרד
309	1395609	CT אגן אורטופדי
310	R37851	REPLACE P-M W SINGLE CHAMBER DEVICE NOT RATE RESPONSIVE
311	5927424	אקג קרדיו
312	2771192	מנומטריה אנורקטלית
313	7902	CLOSED REDUCTION OF FRACTURE OF RADIUS / ULNA
314	9353	APPLICATION OF OTHER CAST
315	79152	CLOSED REDUCTION # INTERN FIX (PLATE) OF FEMUR
316	R00661	PRIMARY PCI
317	1395951	CT פרפוזיה של המח
318	1396284	CT אנגיו קרוטיס - CTA
319	1467464	אמבוליזציה
320	1467554	כמואמבוליזציה
321	R99251	CHEMOEMBOLIZATION
322	R99070	PLASMA TRANSFUSION
323	3859	LIGAT-STRIP VARICOS VEINS LEG
324	3606	INSERTION OF NON-DRUG-ELUTING CORONARY ARTERY STENT(S)
325	3601	PTCA SINGLE VESSEL W / O THROMB AGENT
326	9232	STEREOTACT MULTI-SOURCE PHOTON RADIOSURG
327	R36071	PTCA WITH INSERTION OF DRUG-ELUTING CORONARY STENT(S)
328	0024	INTRAVASCULAR IMAGING (IVUS) OF CORONARY VESSELS
329	3610	BYPASS AORTOCORONARY, NOS (CABG)
330	3612	BYPASS AORTOCOR (CABG) - 2 COR ART
331	2724	BIOPSY OF MOUTH NOS
332	0045	INSERTION OF ONE VASCULAR STENT
333	436	GASTRECTOMY PARTIAL (BILROTH I)
334	9969	CARDIAC RHYTHM CONVERSION NEC
335	1496550	תהודה מגנטית (MRI) - מפרק ברך שמאל
336	3607400	EMG
337	4872541	בדיקת מערכות שיווי משקל ספונטנית, ENG
338	1396758	US שאיבת נוזל - כיס מרה
339	1399113	מלוי כולציסטוסטומיה.
340	5421	LAPAROSCOPY
341	3491	THORACENTESIS (PLEURAL PUNCTURE)
342	1598122	מפוי ריאות +SPLIT FUNCTION
343	9670	CONTINUOUS INVASIVE MECHANICAL VENTILATION UNSPEC DURATION
344	R38935	INSERTION OF PICC LINE CATHETER
345	R38931	INSERTION OF HICKMAN / BROVIAC TYPE CATHETER
346	R99791	COLLECTING (HARVEST) OF STEM CELLS
347	7051	REPAIR OF CYSTOCELE (ANTERIOR COLPORRHAPHY)
348	7052	REPAIR OF RECTOCELE (POSTERIOR COLPORRHAPHY)
349	6859	VAGINAL HYSTERECTOMY, OTHER AND UNSPECIFIED
350	1598123	ריאות ונטילציה
351	R38934	INSERTION OF PERMACATH
352	1399232	החדרת  PERMCATH
353	864	EXC LES SKIN - RADICAL
354	0443	RELEASE CARPAL TUNNEL
355	1397487	USD - US דופלר וריד יד שמאל
356	R96181	INSERTION OF STENT INTO UTERINE CERVIX
357	3064094	ביצוע השוואה לבדיקת בטן
358	3057814	ביצוע השוואה לבדיקת חזה
359	7024	BIOPSY OF VAGINA
360	7111	BIOPSY OF VULVA
361	1809	INCIS EXTERNAL EAR NEC
362	1496163	תהודה מגנטית (MRI) - אגן
363	R60111	NEEDLE BIOPSY OF PROSTATE
364	R88751	TRANSRECTAL ULTRASOUND OF PROSTATE (TRUS)
365	6029	OTHER TRANSURETHRAL PROSTATECTOMY
366	R06393	THYROIDECTOMY, BILAT. PARTIAL
367	2383734	מפוי כל הגוף ביוד 131 משולב עם בדיקת UPTAKE
368	1467923	צילום אמה שמאל
369	R45623	RESECTION OF ILEUM
370	8771	C.A.T. SCAN OF KIDNEY
371	8703	C.A.T. SCAN OF HEAD
372	3426	BIOPSY MEDIASTINAL - OPEN
373	3420	THORACOSCOPIC PLEURAL BIOPSY
374	3421	TRANSPLEURA THORACOSCOPY
375	5493	CREATE CUTANPERITON FIST
376	1655603	אנגיוגרפיה גפה עליונה ימנית
377	2298097	שנטוגרפיה גפה ימנית עליונה
378	1594651	צפיפות עצם
379	1467455	אנגיוגרפיה של העורק הברכיאלי
380	2298096	שנטוגרפיה גפה שמאלית עליונה
381	3068286	בדיקת DOPPLER של עורקי הרגליים
382	1399268	צילום עצמות הבריח (קלויקולה) מימין
383	4701	APPENDECTOMY LAPAROSCOPIC
384	7906	CLOSED REDUCTION OF FRACTURE TIBIA / FIBULA
385	1467779	צילום עקב קלקנאוס משמאל
386	9929	INJECT / INFUSE NEC
387	R14791	INJECTION MEDICATION / AVASTIN  INTO VITREOUS
388	R87412	CT OF CORONARY ARTERIES
389	R00665	PTCA BY DRUG ELUTING BALOON
390	93541	APPLICATION OF P.O.P. CAST
391	9354	APPLICATION OF SPLINT (PLASTER / TRAY)
392	79161	CLOSED REDUCTION INTER FIX (NAIL) TIBIA / FIBULA
393	5123	CHOLECYSTECTOMY LAPAROSCOPIC
394	3734	EXCIS / DESTR OTHER LES OF TISSUE OF HEART, ENDOVASC APPROACH
395	2466358	אלקטרופיזיולוגית ואבלציה
396	245	ALVEOLOPLASTY
397	2319	SURGICAL TOOTH EXTRACTION NEC
398	236	PROSTHET DENTAL IMPLANT
399	6591	ASPIRATION OF OVARY
400	6992	ARTIFICIAL INSEMINATION
401	458	COLECTOMY TOTAL
402	3442780	הסבה - אולטרסאונד4
403	3442778	הסבה - אולטרסאונד2
404	6902	DILATION & CURETTAGE POST DELIVERY OR ABORTION
405	7499	CESAREAN SECTION NOS
406	862	EXCIS SKIN LESION BY KNIFE
407	8521	EXC LES BREAST - LOCAL (LUMPECTOMY)
408		
409	1297	IRIS OPERATION NEC
410	0234	VENTRICULO-ABDOMINAL SHUNT
411	1467581	צילום עצמות פנים
412	1399628	צילום גולגולת (רגיל 2)
413	1395924	FNA - CT /ביופסיה בהנחיית CT
414	8339	EXC LES SOFT TISSUE NEC
415	1397388	USD - US דופלר  עורק יד שמאל
416	8607	INSERTION OF PORTACATH
417	1398861	שיקוף- ביקורת צנתר ורידי
418	R86072	REMOVAL OF PORTACATH
419	1396068	CT עש גב
420	1396596	US חזה
421	6829	EXCISION UTERINE LESION NEC
422	R45791	COLECTOMY SUBTOTAL
423	1397640	US שאיבת נוזל - חזה
424	1399385	"צילום ע""""ש כל האורך"
425	4100	BONE MARROW TRANSPLANT NOT OTHERWISE SPECIFIED
426	1398807	VOIDING CYSTOGRAPHY
427	9905	PLATELET TRANSFUSION
428	602	PROSTATECT TRANSURETHRAL
429	470	APPENDECTOMY
430	5770540	GA68 - PSMA PET/CT
431	0059	INTRAVASC PRESSURE MEASURE OF CORONARIES (INCLUDE FFR)
432	2465978	אלקטרופיזיולוגית
433	4067938	"קרוטיס - שר""ן מאושפזים"
434	1508524	אנגיוגרפיה של עורקי המוח
435	R397242	ENDOVASC EMBOLIZ ANEURYSM INTRACRANIAL ARTERIES BY OTHER IMPLANT
436	3952	REPAIR ANEURYSM NEC
437	2612877	פעולת סגירת מפרצת בעורקי המוח בדרך אנדווסקולרית
438	R88481	TRANSFEMORAL ANGIOGRAPHY
439	R54110	EXP LAPAROTOMY,(NOT FOR TRAUMA)
440	4582	TOTAL INTRA-ABDOMINAL COLECTOMY, OPEN
441	3322	BRONCHOSCOPY FIBER-OPTIC
442	8128	FUSION INTERPHALANGEAL
443	4241	ESOPHAGECTOMY PARTIAL
444	R86232	REMOVAL NAIL FINGER
445	5551	NEPHRECTOMY TOTAL UNILATERAL
446	2688432	מוניטורינג TCD
447	R38126	EVERSION CAROTID ARTERY ENDARTERECTOMY
448	0041	PROCEDURE ON TWO VESSELS
449	5474538	תהודה מגנטית צוואר רקמות רכות+MRA
450	8841	ARTERIOGRAM CEREBRAL ARTERIES
451	0063	PERCUTANEOUS INSERTION OF CAROTID ARTERY STENT(S)
452	0061	PERCUT ANGIOPLASTY OF EXTRACRAN VESSEL(S)
453	1146867	צנתור עורקי הקרוטיס
454	2377855	אנגיופלסטיה של עורקי הקרוטיס בהמשך לצנתור
455	R81541	TOTAL KNEE REPLACEMENT, BICOMPARTMENT
456	3025933	CT בטן פרוטוקול כבד
457	2616656	PET
458	R33930	FNA LUNG
459	3249	OTHER LOBECTOMY OF LUNG
460	3402	THORACOTOMY EXPLORATORY
461	3248	LOBECTOMY OF LUNG LT LOWER LOBE
462	1398648	US אפנדיקס
463	1597497	מפוי כליות/התערבות תרופתית
464	R79312	ORIF (PLATE) OF HUMERUS FX
465	3065094	CT כתף ימין
466	8415	AMPUTATION BELOW KNEE
467	5301	OTHER & OPEN REPAIR DIRECT INGUINAL HERNIA, UNILAT
468	4195	REPAIR OF SPLEEN (SUT)
469	3930	SUTURE OF VESSEL NOS
470	R54112	EXP LAPAROTOMY (FOR TRAUMA) & HEMOSTASIS NOS
471	5475	REP MESENTERY NEC
472	86224	EXCISIONAL DEBRIDEMENT DOWN TO FASCIA
473	79362	OPEN REDUCTION INT FIX (PLATE) OF TIBIA / FIBULA
474	86743	ATTACH MYOCUTAN PEDICLE GRFT / FLAP
475	1496217	תהודה מגנטית (MRI) - בטן
476	R73401	MEDICAL INDUCTION OF LABOR BY PITOCIN
477	7271	VACUUM EXTRACTION DELIVERY WITH EPISIOTOMY
478	7346	PGE2 INDUCTION OF LABOR
479	99290	INFUSION OF MAGNESIUM SULFATE
480	7534	FETAL MONITORING NOS
481	R53490	REPAIR OF UMBILICAL HERNIA, NOS
482	2630582	סקירת מערכות עובר
483	3095901	הרדמה אפידורלית
484	4382	LAPAROSCOPIC VERTICAL (SLEEVE) GASTRECTOMY
485	R43891	LAPAROSCOPIC SLEEVE GASTRECTOMY
486	R887511	PROSTATE VOLUME STUDY
487	604	PROSTATECTOMY RETROPUBIC
488	2749	OTHER EXC OF MOUTH NEC
489	586	DILATION OF URETHRA
490	1398726	וושט קיבה תריסריון, מעי דק
491	5371	REP DIAPHRAGM HERNIA, ABDOMINAL APPROACH, LAPAROSCOP
492	R44381	LAPAROSCOPIC BARIATRIC GASTRIC BYPASS
493	1398969	שיקוף חזה
494	R79111	CLOSED REDUCTION FX INTERNAL FIX (NAIL) OF HUMERUS
495	1715703	CT אנגיו מזנטריאלי CTA
496	7856	INT FIX W / O FX - PATELLA
497	R54211	LAPAROSCOPY DIAG. (NOT FOR TRAUMA)
498	545344	אנגיופלסטיה כלילית
499	3521	OPEN AND OTHER REPLACEMENT AORTIC VALVE W TISSUE GRAFT
500	4281	INSERT PERMANENT TUBE INTO ESOPHAGUS
501	4439	GASTROENTEROSTOMY NEC
502	5226541	הזרקה
503	1395699	CT ברכיים
504	R79353	ORIF (SCREW) OF FEMUR FX
505	R46391	FEEDING JEJUNOSTOMY
506	86043	I & D OF SKIN & SUBCUT ABSCESS
507	1398978	פיסטולוגרפיה (סינוגרם)
508	1397397	USD - US דופלר עורק רגל ימין
509	1397505	USD - US דופלר עורק רגל שמאל
510	1715728	דופלקס כלי דם בבטן ,אגן ורטרופריטונאום
511	R88422	ABDOMINAL AORTOGRAPHY (INCLUD ART LOW LIMB)
512	1399693	אנגיוגרפיה לגפיים תחתונות - TFA
513	4399	GASTRECTOMY TOTAL
514	5349	OTHER OPEN REPAIR HERNIA UMBILICAL NOS
515	415	SPLENECTOMY TOTAL
516	1598118	מפוי גליום
517	2688188	המשך מפוי גליום
518	3323	BRONCHOSCOPY
519	R99102	INFUSION OF TPA
520	8594	REMOVAL BREAST IMPLANT
521	857	RECONSTRUCT BREAST TOTAL
522	8553	IMPLANT BREAST UNILAT
523	8587	REPAIR NIPPLE NEC
524	0887	RHYTIDECTMY UPPER LID
525	0886	RHYTIDECTOMY LOWER LID
526	4102	TRANSPLANT BONE MARROW, ALLOGENIC
527	2403519	דימום בדרכי עיכול GIB
528	3224344	הרחבת העורק התת בריחי עם בלון
529	3122457	הערכת מרדים לפני ניתוח
530	5825236	גסטרוסקופיה מורכבת
531	1398594	US מרפק ימין
532	1399068	אורוגרפיה תוך ורידית IVP
533	8773	INTRAVENOUS PYELOGRAM
534	2688424	מפוי עצם לאחר 24 שעות
535	1396023	CT גפיים עצמות
536	2612096	מפוי פרפוזיה של הלב
537	3009	EXC LESION LARYNX NEC
538	R01241	BURR HOLE
539	0128	PLACEMENT OF INTRACEREBRAL CATHETER(S) VIA BURR HOLE(S)
540	R01181	INTRACRANIAL PRESSURE MONITORING
541	4264	ESOPHAGOENTER ANTESTERN NEC
542	496	EXC OF ANUS
543	0243	REMOV VENTRICLE SHUNT
544	3998	CONTROL OF HEMORRHAGE NOS
545	1395996	CT אזניים
546	3649647	CTA - 4D
547	R06891	EXCISION OF PARATHYROID ADENOMA
548	3446449	US לסימון בית החזה
549	3451	DECORTICATION OF LUNG
550	5645540	TVS
551	1508537	US שוק
552	1299	OP ON ANTERIOR CHAMBER NEC
553	2777656	ERCP עם הוצאת אבנים מדרכי המרה
554	9764	REMOVAL URINARY DRAINAGE DEVICE  NEC
555	605	PROSTATECTOMY RADICAL
556	562	URETEROTOMY
557	9851	ESWL KIDNEY, URETER & / OR BLADDER
558	6069	PROSTATECTOMY NEC
559	4389	OPEN AND OTHER PARTIAL GASTRECTOMY  NEC
560	8848	ARTERIOGRAM - LEG
561	3959	REPAIR OF VESSEL NEC
562	3925	BYPASS AORTA-ILIAC-FEMORAL
563	1395879	CT אנגיו פריפרי - CTA
564	R99101	INFUSION UROKINASE
565	1467437	הזלפת אורוקינז
566	1468121	בקורת לאחר הזלפת אורקינז
