RC	RN
vU	Adeno
Qn	Adenovirus
zE	Adneosine Deaminase Pleural Fl
K6	Adrenal(CAH)-Wash. NB Screen
=1	Aer Def ID
sv	Aerobic Final
Sw	Aerobic Sub Culture
TB	Age at Collection
Q5	Air/Ana Tolerence
J9	Albumin
LC	Albumin
cs	Albumin
iN	Albumin
T3	Albumin (SPE)
KY	Albumin Index
AN	Albumin, CSF
Lq	Albumin, CSF
MY	Albumin,CSF
AM	Albumin- BF..:
er	Alcohol
Vo	Alcohol (Ur) OD
N7	Alder tree
N8	Alder tree
YL	Aldolase
Xr	Aldosterone Ur
YS	Aldosterone, by RIA
YN	Alk. Phos Isoenzymes
cw	Alkaline Phos
Bs	All CSF mononuclear cells
8d	Allergen QC d1
8g	Allergen QC g6
KJ	Allergens (Patient)
p9	Allopurinol
zz	Almond
yo	Almond IgE
MZ	Alpha 1
iO	Alpha 1
iz	Alpha 1
a5	Alpha 1 Antitryp MA
Mb	Alpha 2
iA	Alpha 2
iP	Alpha 2
Yw	Alpha Subunit
Ne	Alternaris alternata mold
Nf	Alternaris alternata mold
bn	Aluminum, Serum
eW	Ami + Nor
Pw	Amikacin
qL	Amikacin
bh	Amiodarone, Serum
eX	Amitrip LD Date
kH	Amitrip LD Date
eY	Amitrip LD Time
kI	Amitrip LD Time
eZ	Amitrip ND Date
kJ	Amitrip ND Date
i5	Amitrip ND Time
kK	Amitrip ND Time
eV	Amitriptyline
kn	Amitriptyline, Serum
pp	Ammonia Arterial
em	Ammonia Venous
Zm	Amorphous
uw	Amorphous
qI	Amoxapine
RJ	Amp/Sulbactam
JO	Amphetamine Confirm (OB)
JM	Amphetamine Sc (OB)
Gk	Amphetamines Screen
gn	Amphetamines:
tH	Amphetamines:
0l	Amphotericin B
RH	Ampicillin
d5	Amy Ur Random
cx	Amylase
LE	Amylase (clinic)
d6	Amylase Urine
d7	Amylase Urine
AL	Amylase- BF...:
p0	Anaerobe E-test
Sx	Anaerobic Subculture
P7	Andrades Adonitol
P6	Andrades Arabinose
PE	Andrades Raffinose
PF	Andrades Salicin
PG	Andrades Sorbitol
PI	Andrades Xylose
PA	Andrades lactose
PD	Andrades maltose
YX	Androstenedione
rS	Angelman
rr	Angelman D15S10 probe
rq	Angelman FISH analysis
ro	Angelman SNRPN probe
7C	Anidulafungin
3a	Anion Gap
yu	Anion Gap
3H	Anti Endomysial Ab
bO	Anti Sperm Antibody
ld	Anti-Adrenal AB, IFA
Eu	Anti-Cardiolipin Anti IgA
jX	Anti-Cent Titer
jW	Anti-Centromere AB
jq	Anti-DNA AB
a3	Anti-ENA
jv	Anti-Microsome (TPO) Ab
jY	Anti-Mitoch AB
jZ	Anti-Mitoch Titer
mk	Anti-Myocardial Ab, IFA
29	Anti-Ovary Ab Titer
j2	Anti-Parietal Cell AB
j4	Anti-Parietal Titer
on	Anti-Skin Antibodies, IFA
j0	Anti-Smooth Muscle AB
j1	Anti-Smooth Muscle Titer
jp	Anti-nDNA Titer
ZD	AntiThrom III
Fk	Antib. ID for Type and Screen
ot	Antibiotic Sensitivity Testing
vA	Antibiotics:
Fj	Antibody Identification
Fi	Antibody Screen
HB	Antibody Titer (BB)
HC	Antigen Typing (BB)
jQ	Antinuclear AB Screen
2j	Appearance
Bq	Appearance
Zf	Appearance
ed	Appearance
uj	Appearance
iy	Approved By
n0	Arbovirus IgG Ab Panel
lu	CMV IgM Ab, EIA
tQ	CMV,Rubella,Herpes
C9	CMVG QC
t5	CO-GM1 Triad Auto Ab
cd	CO2
EI	COHb
Hz	CSF IgA
s2	CSF IgA, IgM, IgG Quant
Hy	CSF IgG
I5	CSF IgM
lR	CSF Protein Electro
PO	CTA Arabinose
P8	CTA Dextrose
P9	CTA Inositol
PP	CTA Lactose
PQ	CTA Mannitol
PR	CTA Raffinose
PS	CTA Sorbitol
PH	CTA Sucrose
rD	CTA fructose
PB	CTA maltose
rE	CTA trehalose
VI	CTRL-QUAD
1T	CYST FLUID PTH
dZ	Ca Urine Random
bp	Cadmium, Blood
n3	Cadmium, Urine
Vq	Caffeic acid
lN	Caffeine, Serum
A9	Calc. Factor
Bi	Calc. Factor
Yo	Calcitonin
ck	Calcium
dO	Calcium Urine
qW	Calcium, Frac. Excretion
dN	Calcium, Urine
s1	Calcium, Urine
AD	Calcium- BF..:
Xw	Calculated Total (E+NE)
X1	Called to:
Da	Calprotectin, Stool
Sh	Camp Test
PL	Campy Growth
Gm	Cannabinoid Screen
tI	Cannabinoids(THC):
2z	Cannabinoids:
6M	Cannabinoids:
gj	Cannabinoids:
cJ	Carbam LD Date
kP	Carbam LD Date
cK	Carbam LD Time
kQ	Carbam LD Time
kR	Carbam ND Date
cL	Carbam ND Time
cM	Carbam ND Time
kS	Carbam ND Time
cD	Carbamazepine
kb	Carbamazepine
o6	Carbamazepine free
RL	Carbenicillin
Ew	Carboxyhemoglo
XE	Cardiolipin Antibody IgM
Et	Cardiolipin IgG, EIA
Ev	Cardiolipin IgM, EIA
os	Carisoprodol
zY	Carnitine
zZ	Carnitine Urine
XN	Carotene
zp	Cashew
zs	Cashew
20	Caspofungin
1r	Cast/uL
QJ	Cat 15%
NT	Cat dander
NU	Cat dander
QI	Catalase
QL	Catalase Heat Stable
Xu	Catecholamine Frac Urine
Z0	Catecholamines, Total
0P	Cefaclor
RO	Cefazolin
RP	Cefepime
Pi	Cefixime
RR	Cefoperazone
RS	Cefotaxime
RU	Cefotetan
D1	Cefoxitin
RT	Cefoxitin
28	Cefoxitin Screen
SD	Cefpodoxime
Uk	Cefpodoxime
RV	Ceftazidime
sN	Ceftriax/Cefotax
=B	Ceftriaxone
D2	Ceftriaxone
RX	Ceftriaxone
0Q	Ceftriaxone mening
aw	Ceftriaxone non-men
S8	Cefuroxime
Un	Cefuroxime
=5	Cefuroxime Axetil
FX	Cells Analyzed
FY	Cells Karyotyped
RY	Cephalothin
gb	Ceruloplasmin
KP	Cesarean Scheduled?
tW	Chlam Sp Diff Ab Panel
Sc	Chlamydia Confirmation
sP	Chlamydia Final Results
aW	Chlamydia Group Ab, IF
Qf	Chlamydia IFA
jO	Chlamydia Prelim 1
jP	Chlamydia culture final result
3Q	Chlamydia trach
3U	Chlamydia trach.
jw	Chlamydia:
le	Chloral Hydrate
Pr	Chloramphenicol
mC	Chloramphenicol
mD	Chlordiazepoxide
cc	Chloride
yA	Chloride POCT
ni	Chloride Urine
nj	Chloride Urine
qo	Chloride, WB
Ax	Chloride- BF.:
nI	Chlorpromazine (Thorazine)
i9	Choc/Sub
RW	Chocolate
AA	Chol- BF.....:
gJ	Chol/HDL Chol
ee	Cholesterol
Dz	Cholinest Dibuc
XJ	Cholinesterase, RBC
mf	Chromium 24 Hr Urine
fL	Chromium, plasma
W4	Chromogranin A
K8	Chylomicrons
ec	Chylomicrons
oi	Cimetidine
Ra	Ciprofloxacin
3K	Circulating Immune Panel
lt	Citrate, 24 hr Urine
Vh	Citrulline (CCP) Antibody
nh	Cl Urine Random
Nb	Cladosporium herbarum mold
Nd	Cladosporium herbarum mold
0N	Clarithromycin
d8	Clearance
Re	Clindamycin
LV	Clinical Brief
wj	Clinical Indic
KN	Clinical Indication
ZZ	Clinical Information:
uH	Clinitest
br	Clomipramine, Serum
bb	Clonazepam, Serum
m8	Clonidine (Catapres)
h9	Clorazepate (Tranzene)
pS	Clostridium difficile toxin
QR	Clotest
mE	Clozapine (Clozaril)
tx	Clue Cells
Cz	Co-Path Case No.:
Dt	Co-receptor Tropism
wN	CoPath Case No.:
oG	Cobalt
go	Cocaine Metabol:
tJ	Cocaine Metabolite:
Gn	Cocaine Metabolites Screen
XB	Cocaine and Metabol Screen
wA	Coccidio immitis ID by DNA Prb
pH	Coccidioides Ab Panel
lw	Coccidioides immitis, CF
O9	Codfish
OA	Codfish
jt	Cold Agglutinin Titer
ju	Cold Aggultinin
23	Colistin
=F	Colistin
QB	Colistin (10ug)
3O	Collagen/ADP
3N	Collagen/EPI
CF	Collect and Hold
M_	Collection Methods
XL	Collection Period
A3	Collection Time
2D	Collection site:
Pd	Coloney Count
st	Colony Count
2h	Color
Bp	Color
Yd	Color
Ze	Color
ub	Color
pi	Colorado Tick Fever
bt	Combined Total
bx	Combined Total
Rc	Comment
Yl	Comment
1d	Comments
AZ	Comments
Ly	Comments
ZA	Comments
hc	Comments
pD	Comments
uS	Comments
1f	Comments for ABS
1e	Comments for DAT
te	Comments:
o0	Complement Component C6
o1	Complement Component C7
o5	Complement Component C8
o4	Complement Component C9
r5	Complement Total
ZX	Complement, Total (CH50)
Fo	Component Availability
G6	Component Disposition #1
G7	Component Disposition #2
2J	Concentration expected:
2L	Concentration:
1n	Conductivity
2U	Confirm actual collection time
sX	Contaminated Blood Culture
Wa	Control Cold
Wb	Control warm
oO	Cooper, Liver Tissue
rp	Copper
bZ	Copper, 24 Hr Urine
f0	Copper, Serum
zd	Corn
ze	Corn
ZF	Cort,Dexam.Sup
li	Corticosterone, Serum
2E	Cortisol
fZ	Cortisol
WK	Cortisol Free Serum
7K	Cortisol, 60 min
7J	Cortisol, Baseline
0C	Cortisol, Salivary
ND	Cottonwood tree
NE	Cottonwood tree
Ab	Coumadin Ther?
mF	Coumadin, Plasma
Bc	Count
Bl	Count
Ba	Count 1
Bj	Count 1
Bb	Count 2
Bk	Count 2
ua	County of Residence:
d1	Creat Ur Random
ky	Creat Urine
dV	Creat, Urine
wI	Creatine
qJ	Creatine, Urine
yw	Creatinine POCT
Xt	Creatinine Random Urine
ci	Creatinine Ser
Xn	Creatinine Ur
Xj	Creatinine Urine
gm	Creatinine, Random Urine
s0	Creatinine, Ur
6A	Creatinine, Urine
qv	Creatinine, WB
bc	Creatinine- BF:
pG	Creutzfeldt-Jacob Detctor
p5	Crossmatch Analysis
jN	Cryofibrinogen
lO	Cryoglobulins, Quant
2u	Cryptococcus Ag CSF
tB	Cryptococcus Ag Serum
tb	Cryptosporidium Exam:
R4	Cryptosporidium FA
Bo	Crystal Exam, BF
VK	Culture Report
Mc	Culture Result.:
sa	Culture Site
ux	Cultured
mG	Cyanide, Blood
pV	Cyclic AMP
z5	Cyclo LD Date
z6	Cyclo LD Time
z7	Cyclo ND Date
z8	Cyclo ND Time
lq	Cyclospora Exam
1J	Cyclosporin, EIA
CY	Cyclosporine
jM	Cyroglobulin
q7	Cysticercosis Ab, CSF
m7	Cysticercosis Ab, Serum
ff	Cystine
h0	Cystine, Qual, Urine
G5	Cyto Number
u8	Cyto Sputum Biling
xn	Cytogen Communication
vC	Cytology Washings
Ah	D-Dimer
Ai	D-Dimer, Semiquantitative
oN	D-Lactate Acid
r7	D-Zone
Gw	DD Ordered to
NO	DF Dust Mite
NN	DF dust mite
kq	DHEA Sulfate
GD	DIAGNOSIS
Fp	DIRECTOR:
as	DNA Estraction
VD	DNASE-QUAD
bU	DNase-B Ab
NQ	DP Dust Mite
NP	DP dust mite
7e	DVV confirm Ratio
7d	DVV test
27	DZONE
=D	Daptomycin
Us	Daptomycin
IE	Date (Gest.Age Based On)
GZ	Date End Collection (Urine)
KO	Date If Cesarean?
6Y	Date Orig Coll
GX	Date Start Collection (urine)
qd	Date of Culture
IW	Days Gest. Age Based On
oU	Delta Aminolevulinic Acid
Y6	Deoxycorticosterone
Xi	Deoxypyridinoline 24 Hr Urine
2W	Derivative Lot
bi	Desethylamiodarone
e2	Desip LD Date
e3	Desip LD Time
e4	Desip ND Date
e5	Desip ND Time
e1	Desipramine
kl	Desipramine Serum
kj	Desipramine/R
PJ	Arginine
Y9	Arginine Vasopressin
bo	Arsenic, 24 hr Urine
bk	Arsenic, Blood
Wp	Arsenic, Urine
nH	Ascorbic Acid
NX	Aspergillus fumigatus mold
NY	Aspergillus fumigatus mold
3P	Aspirin Intake
SC	Augmentin
Sz	Augmentin
NV	Aus.Parrot/Parakeet Feath
NW	Aus.Parrot/Parakeet Feath
Ic	Ave. Risk for Mat Age 1:
IR	Ave. Risk for Maternal Age
0O	Azithromycin
Pu	Aztreonam
zT	B Cell Clonality by PCR
lj	B pertussis Ab Panel
n9	B pertussis IgG Immune
QF	B-glu
Os	B-lact
ae	B.henselae IgM
4B	B.pertussis DNA,PCR
af	B.quintana IgG
ag	B.quintana IgM
Gr	B12
f1	B12
Gj	B2 Microglb,CSF
oe	B2 Transferrin
I8	BB Miscellaneous
pu	BIO Evaluation
HZ	BIO Results
2A	BNP
Uy	BR Direct Tube Coag
cj	BUN
yx	BUN POCT
qp	BUN, WB
3r	B_FLH
3o	B_FSC
3q	B_FSCW
Q6	Ba/Mac
1s	Bact/uL
Zi	Bacteria
us	Bacteria
o8	Bacterial Meningitis CSF
rb	Band 5-1-1(p)/c100(p)
4N	Band Methodology
rd	Band NS5
GK	Band Resolution
GT	Band Resolution
rf	Band c22p
re	Band c33C
rg	Band hSOD
Gp	Barbiturates
gk	Barbiturates:
tL	Barbiturates:
ad	Bartonella Ab Panel
g8	Base Excess
gO	Base Excess
if	Base Excess
at	Base Excess-POC
2X	Baseline 1:
2Y	Baseline 2:
MG	Baseline ACTH
Ea	Baseline Cort
sR	Baseline GH Glu Suppression
H3	Benzodiazepine Confirmation
Gl	Benzodiazepines Screen
d9	Benzodiazepines:
tG	Benzodiazepines:
lc	Beryllium Exposure Biouptake
iB	Beta
iQ	Beta
Md	Beta Globulin,CSF
V8	Beta Hemolysis
W5	Beta Hydroxybutyrate
h4	Bile Acids
m9	Bile Acids (Cholylglycine)
PK	Bile Esculin
On	Bile Solubility
cr	Bili
Zc	Bilirubin
Zt	Bilirubin
uo	Bilirubin
AE	Bilirubin- BF.:
Gf	Bill Item
Hq	Bill Item (Salem Panel)
WO	Bill MWB
bR	Binding Location IgA
bP	Binding Location IgG
bT	Binding Location IgM
pW	Bioavailable Testosterone
pY	Biotinidase
N5	Birch tree
N6	Birch tree
TA	Birth Weight
m6	Bismuth, Serum
Ag	Bleeding Time
Zd	Blood
Zy	Blood
uF	Blood
up	Blood
VJ	Blood Culture Result:
2V	Blood Derivative Description
p1	Blood Product Description
F7	Body Fluid Occult Blood
Qy	Boiled VI
YQ	Bone Isoenzyme
bJ	Bone Marrow Prep
Lx	Bordetella Pertussis
zf	Brazil nut
zg	Brazil nut
m0	Bromides, Serum
iI	Bruc/Sub
wi	Brucella Ab IgG,IgM
lK	Bupropion
mA	Butalbital, Serum
X2	By:
gh	C Reactive Prot
Ym	C-Peptide
3V	C.Trachomatis
9V	C.diff PCR
jf	C.diff Toxin/Ag
aD	C1 Esterase Inhib, Total
a2	C1 Esterase Inhibitor
lL	C1Q Binding Assay
aE	C1Q, Complement
lP	C1q Binding Assay
a6	C2, Serum
gf	C3
aC	C3b Binding Assay
gg	C4
YI	CA 19-9
lM	CA 27.29
2m	CA-125
0j	CA-125, CIA
WQ	CA-125, CIA, Old
iX	CA-125, RIA
T8	CAH Comments
wo	CAR Auto Antibody
bf	CBC Comments
o2	CBG-Free Cortisol
Qz	CCA
Dq	CCP Intrepretation
tT	CD4 % (T Cell)
tS	CD4 (T Cell)
xS	CD4/CD8 Ratio
wq	CD59 on RBC's
Wm	CD66b on WBC's
Vd	CD8
wP	CD8 %
mw	CEA
Cb	CEA, Body Fluid
6Q	CEA, Immulite
T7	CH Comments
cz	CK
de	CK sequence #
cE	CK,Cardiac
cF	CKMB RLB
LH	CKMB - BKC
2r	CLARITHROMYCIN SUSCEP
sI	CMG Rate from Axsym
WN	CMV DNA QUANT by PCR
oK	CMV DNA by PCR
wz	CMV DNA by PCR
Qk	CMV IFA
Lo	CMV IgG Ab
mX	Mixed
C5	Mixed Cells Absolute
gY	Mode
QZ	Modified Acid Fast
=p	Mold Def ID
MT	Mono
je	Mono
ln	Moricizine (Ethmozine)
RC	Morph Comment
A1	Motility
A7	Motility
PW	Motility
Rs	Motility (Room Temp)
5K	Moxifloxacin
uu	Mucous
Zk	Mucus
y5	Mugwort
y6	Mugwort
IX	Multiple Births?
Nh	Multiple Sclerosis Panel
ap	Mumps Ab IgM, IFA
aV	Mumps IgG Ab
wv	Mumps Viral Culture
Db	MumpsG QC
aU	Muramidase (Lysozyme), Serum
n5	Muramidase (Lysozyme), Urine
ya	Mutation Detected
s3	Mycobac TB.DNA,PCR
zO	Mycophenolic Acid
ws	Mycoplas/Ureaplas Clt
oJ	Mycoplasma pneumo DNA
Qa	Mycosel
YT	Myelin Basic Protein
Xc	Myeloperoxidase Ab
XD	Myocplasma pneumo Ab by CF
uI	Myoglobin Screen
rz	Myoglobin, Quant, Ur
4E	N Gonorrhoeae
sB	N Men A C Y W135
sD	N Men B/E coli K1
3R	N. gonorrhoeae
c8	NAPA
i1	NAPA
j7	NAPA/R
KF	NBS Kit Number
2f	NCC's / cu mm
R0	NF Plus
M9	NMP-22
Pm	NOVO (0-16 R)
nr	NRBC
nb	Na Urine Random
Pp	Naladixic Acid
1V	Negative Conctrol
�0	Neogen Screen pending
W1	Neopterin
W6	Neuron Specific Enolase
oD	Neuronal Nuclear Hu Ab
ts	Neutral Fat
Bv	Neutrophils Counted
HW	Newborn Screen
ED	Next Dose Date
EE	Next Dose Time
Px	Niacin
nV	Nickel, 24 hour urine
ll	Nickel, Serum
n6	Nicotine and Metabolites
nU	Nifedipine
PY	Nitrate
pA	Nitrate, Blood
Ow	Nitrate-Anaerobic
B6	Nitrite
Zv	Nitrite
uD	Nitrite
ug	Nitrite
uh	Nitrite
Rq	Nitrofurantoin
t7	No of Cells Counted
x6	Nocardia Screen
ik	Non-Glyco Fr Y
tu	Non-Stool Results
uZ	Nor Last Dose Date
bw	Nordoxepin
Yy	Norepinephrine
Xv	Norepinephrine 24Hr Urine
Po	Norfloxacin
by	Norfluoxetine, Serum
Aj	Norm Pool, 0 min.
AV	Normal Forms
Aq	Normal Pool 0 Min.
At	Normal Pool 60 Min.
Al	Normal Pool 60 min
LA	Normetanephrine
J0	Norpace LD Date
u0	Norpace LD Time
u1	Norpace ND Date
u2	Norpace ND Time
eR	Nortrip LD Date
kL	Nortrip LD Date
eS	Nortrip LD Time
kM	Nortrip LD Time
eT	Nortrip ND Date
eU	Nortrip ND Time
kO	Nortrip ND Time
kN	Nortrip next dose date
Oj	Nortriptyline
Ok	Nortriptyline
eQ	Nortriptyline
km	Nortriptyline
UK	Nucleated Cells
b4	O2 Saturation
g9	O2 Saturation
gP	O2 Saturation
ig	O2 Saturation
yp	O2HB POC
EF	O2Hb
JN	OD Amphetamine (OB)
Vy	OD-Alcohol Urine
Ia	OD-Amphetamine Screen
Ig	OD-Barbiturate Screen
ha	OD-Benzodiazipine
JT	OD-Cannabinoids
Ij	OD-Cocaine Metabolite
C3	OD-Fentanyl
Ih	OD-Methadone Screen
Ii	OD-Opiate Screen
4H	OD-Oxycodone
JU	OD-Phencyclidine
JV	OD-Propoxyphene
PZ	OF Dextrose
Pe	OF Lactose
Pf	OF Maltose
Pg	OF Mannitol
Ph	OF Sucrose
3F	OHSU Pharmacy #:
5D	OHSU Pt location
VE	ONPG-MOT
Le	OSB Risk Flag
NF	Oak tree
NG	Oak tree
1b	Occ Health Panel Spec Gr Item
0B	Occ Health Panel Spec Item
1a	Occ Health Panel Spec Item
1c	Occ Health Panel Spec Item
Pl	Ofloxacin
Mf	Oligoclonal Bands
DN	Oncotype DX
H4	Opi,Oxy Conf.
Go	Opiates Screen
gq	Opiates:
tK	Opiates:
35	Organic Bases, Screen
Gq	Organic Bases, Screen
KA	Organic Bases, Screen
21	Organism:
Ya	Origin
ce	Osmolality
cf	Osmolality Ur
YJ	Osteocacin, Human
Xs	Osteomark with Creat
Zn	Other
uy	Other
iw	Other Hgb:
1t	Others
lh	Ovary Antibody, IFA
Ru	Oxacillin
j3	Oxacillin Well Sub
lx	Oxalate, Timed Urine
hA	Oxazepam, Serum
Vg	Oxcarbazepine Metab(Trileptal)
Py	Oxidase
gW	Oximetry
v9	Oximetry
q6	Oxycodone:
zG	Oxycodone:
lm	PAI-1 Activity
FW	PC CM H20
y8	PCA3 Plus (Prostate)
mW	PCBs,Serum/Plasma
ZW	PCNA Ab
g5	PCO2
gL	PCO2
ic	PCO2
n7	PCP (Phencyclidine), Serum
gX	PEEP
yS	PF4
ui	PH
g2	PIP/PS
v3	PIP/PS
T5	PKU Comments
ps	PKU Evaluation
HX	PKU Results
K5	PKU-Wash. NB Screen
oC	PM SCL Ab
=k	PNEUMOSLIDE
Ob	PNH Defect
g6	PO2
gM	PO2
id	PO2
y0	POCT Activated Clotting Time
xh	PORPHOBILINOGEN SCN UR, Ran
9N	PR3 QC
9J	PRE or POST?
6J	PREGNANCY INVOLVED?
gE	PRELIMINARY RESULTS:
6I	PREVIOUS CF SCREEN?
FV	PS CM H2O
qq	PS/PC
Wk	PSA Monitoring
el	PSA Screen
3X	PSA Total
YK	PSA Ultrasens
3Y	PSA, % Free
h7	PSA, % Free
hn	PSA, % Free
h5	PSA, Free
hm	PSA, Free
h6	PSA, Total
l7	PSA, Total
Ft	PTH Intact
ZN	PTH Related Protein
cC	PTN LD Date
db	PTN LD Time
dc	PTN ND Date
dd	PTN ND Time
Pz	PYR
Yu	Pancreatic Polypeptide
CQ	Paper Wasp
CR	Paper Wasp
ta	Para Exam Source:
pQ	Paradione
vQ	Parainfluenza 1
vR	Parainfluenza 2
vS	Parainfluenza 3
Qq	Parainfluenzae 1 virus
Qp	Parainfluenzae 2 virus
Qo	Parainfluenzae 3 virus
fB	Paroxetin
bH	Parvovirus Ab B19 IgG
aq	Parvovirus Ab B19 IgM
vW	Parvovirus B19 IgG
l9	Parvovirus B19 IgM
oI	Parvovirus DNA - PCR
1y	Path CAST
V1	Path Comments, PLATELETS
V0	Path Comments, RED CELLS:
V2	Path Comments, WBC:
AI	Path. Review
AJ	Path. Review
tA	Pathologist
B2	Pathologist ID:
iL	Pathologist ID:
Lf	Pathologist Review
ZB	Pathologists
t8	Pathology/Cytology
Au	Patient 60 Min.
KG	Patient Given Metopirone
LZ	Patient Notification
KL	Patient Pregnant?
IT	Patient Risk 1:
Ib	Patient Risk 1:
IQ	Patient Risk - Down Synd.
uc	Patient Status:
Uo	Patient Warm
XG	Patient, 0 Min.
Ap	Patient, 0 min.
Am	Patient, 60 min
O5	Peanut
O6	Peanut
zj	Pecan
zo	Pecan
Ui	Pediatric A1C
0H	Pediatric Estradiol
0G	Pediatric FSH
0I	Pediatric LH
vY	Peds Endocrin Panel
v4	Peep
qr	Peep/CPAP
oZ	Pemoline
vi	Pen Allergic?
4D	Pen/cephalosp allergy?
=A	Penicillin
Pk	Penicillin
pe	Penicillin
6V	Penicillin IV
6W	Penicillin Oral
pT	Penicilloyl V (c2)
mV	Pentobarbital, Serum
Yg	Percent
Yi	Percent
Yk	Percent
iJ	Percent Total
N1	Perennial Rye grass
N2	Perennial Rye grass
V3	Performed on:
oW	Perphenazine (Trilafon)
MO	Pertussis DFA
M0	Pertussis DFA Bill Item
nN	Phenacemide
gs	Phencyclidine:
t9	Phencylidine(PCP):
n8	Phenelzine (Nardil)
df	Pheno LD Date
dg	Pheno LD Time
dh	Pheno ND Date
di	Pheno ND Time
