PC	PN
AMP	AMPHETAMINE SCREEN
GPA	AMPLIFIED GC/CT PROBE
GPU	AMPLIFIED GC/CT URINE
AMY	AMYLASE
UAM	AMYLASE URINE
RUM	AMYLASE URINE RANDOM
BAM	AMYLASE, BODY FLUID
AMF	AMYLASE, FRAC ISOENZYME
ANA	ANA SCREEN
ANM	ANA SCREEN MASTER
APT	ANA WORKUP
RAB	ANABOLIC STEROID SCREEN
P57	ANAEROBIC WORK UP
XA1	ANALYSIS FISH 10-30
XA3	ANALYSIS FISH 3-5
RAN	ANDROSTENEDIONE
APN	ANEMIA ABC PANEL
ANF	ANGELMAN FISH
RAG	ANGIO CONVERT ENZ SERUM
ACC	ANGIO CONVERT ENZYME CSF
XRA	ANTI RANA
ARA	ANTI RETICULIN AB IGA
DNA	ANTI-DNA ANTIBODY
RBV	ANTI-DNASE B
RAE	ANTI-ENA
REJ	ANTI-HISTONE ANTIBODIES
RJO	ANTI-JO-1 ANTIBODIES
AMA	ANTI-MITOCHONDRIAL AB
APC	ANTI-PARIETAL CELL AB
RPE	ANTI-PEMPHIGUS ANTIBODY
ASM	ANTI-SMOOTH MUSCLE AB
III	ANTI-THROMBIN III
RAA	ANTIADRENAL ANTIBODY
ABI	ANTIBODY IDENTIFICATION
ABS	ANTIBODY SCREEN
ABT	ANTIBODY TITER,RBC,PREN
AG	ANTIGEN TYPE
RNE	ANTINEUTROPHIL CYTOPLSMIC
AP	APT(SCR.FOR FETAL HGB)
PTT	APTT
RBO	ARBOVIRUS ANTIBODY MAC EI
ARC	ARC REFERENCE LAB WORKUP
RAV	ARGININE VASOPRESSIN(AVP)
ARR	ARSENIC URINE RANDOM
ARB	ARSENIC, BLOOD
ARS	ARSENIC-QUANT URINE
ART	ARTERIAL DRAW
MBG	ARTERIAL GASES
ASA	ARYLSULFATASE A
STT	ASO TITER
APA	ASPERGILLUS PANEL ALLERG
RAP	ASPERGILLUS SPECIFIC IGG
AST	AST (GOT)
ABC	AUTOMATED BLOOD COUNT
ADF	AUTOMATED DIFFERENTIAL
BEL	B CELL CLONALITY BY PCR
RPT	B PERTUSSIS AB IGA,IGG
BSB	B-STREP GROUP B AG
VB	B12 (ONLY B12 ORDERED)
B12	B12/FOLATE(ORDERS BOTH)
CB2	B2 MICROGLOBULIN, CSF
B2M	B2 MICROGLOBULIN, SERUM
BIG	BACTERIA ISOLATE GM STAIN
BII	BACTERIA ISOLATE ID
BIX	BACTERIA ISOLATE MASTER
BIS	BACTERIA ISOLATE SENS
IBA	BARBITUATES CONFIRM UR
BAR	BARBITURATE SCREEN
DSB	BASIC DRUGS OF ABUSE SCRN
BMT	BASIC METABOLIC PANEL
BCC	BC CONTAMINATION RATE
BFC	BDY FLD CHEM. MASTER
IBE	BENZODIAZEPINE CONFIRM
BEN	BENZODIAZEPINE SCREEN
BRY	BERYLLIUM, URINE
BHB	BETA HYDROXYBUTYRATE
B2T	BETA-2 TRANSFERRIN, BF
DIR	BETA-STREP GROUP B AG
RBA	BILE ACID (CHOLYGLYCINE)
BTB	BILIRUBIN, BODY FLUID
DBI	BILIRUBIN,DIRECT
TBI	BILIRUBIN,TOTAL
MCT	BILL MANUAL CELL COUNT
XMR	BILL MANUAL RETIC CT
ABO	BILL ONLY (ABO RH)
HS1	BILLING PANEL FOR HSV1
HS2	BILLING PANEL FOR HSV2
BIT	BIOTINIDASE
RBF	BIRD FANCIER DIS PANEL
BFH	BIRD FANCIERS H PROFILE
RDF	BISMUTH
BB	BLOOD BANK LBL - GENERIC
CLT	BLOOD BANK SPECIMEN
BCS	BLOOD CULT SENSITIVITY
BLC	BLOOD CULTURE
BCX	BLOOD CULTURE MASTER
DBG	BLOOD GAS-DIALYSATE
BG	BLOOD GASES ARTERIAL
CBG	BLOOD GASES CAPILLARY
VBG	BLOOD GASES VENOUS
UBL	BLOOD,URINE
BNP	BNP
BFL	BODY FLUID CULTURE
BFX	BODY FLUID CULTURE MASTER
BFG	BODY FLUID GRAM STAIN
BHT	BODY FLUID HCT
BFS	BODY FLUID SUSCEPTIBILITY
BMP	BONE MARROW PREP
RB2	BOTULISM
BZN	BRAZIL NUT IGE ALLERGEN
BRA	BRCA ASHKENAZI MULTISITE3
BRC	BRCA PROFILE
BR1	BRCA1
BR2	BRCA2
REO	BROMIDE
BWB	BRONCH WASH BILL ONLY
BWC	BRONCHWASH CULTURE
BWX	BRONCHWASH CULTURE MASTER
BWG	BRONCHWASH GRAM STAIN
BWS	BRONCHWASH SENSI
BUN	BUN
BPR	BUPROPION
BUT	BUTALBITAL
RCP	C - PEPTIDE
CRP	C-REACTIVE PROTEIN
CDM	C.DIFF PCR OHSU
CDI	C.DIFFICILE TOXIN, AG
C1E	C1 ESTERASE INHIBITOR QT
RAK	C1 ESTERASE INHIBRO FUNCT
RED	C1Q BINDING IMMUNE COMPLX
R1Q	C1Q COMPLEMENT COMPONENT
RC2	C2 COMPLEMENT COMPONENT
C34	C3 / C4 MASTER PANEL
C5	C5 COMPLEMENT COMPONENT
R19	CA 19-9
R15	CA 27.29
CA1	CA125
RCU	CADMIUM, URINE
CAD	CADMIUM,BLOOD
CLN	CALCITONIN
CA	CALCIUM
CF1	CALCIUM EXCRET. SERUM
FC1	CALCIUM EXCRET. SERUM
CFR	CALCIUM FRAC. EX. RANDOM
CFE	CALCIUM FRACT. EXCRETION
FCU	CALCIUM FRACT. EXCRETION
UCA	CALCIUM URINE
RCA	CALCIUM URINE RANDOM
BCA	CALCIUM, BODY FLUID
URC	CALCULUS ANALYSIS
CAS	CALPROTECTIN, STOOL
CAN	CANNABINOID SCREEN
ICN	CANNABINOIDS URINE CONFIR
DIA	CAPD CULTURE
DIX	CAPD CULTURE MASTR
DIS	CAPD SENSITIVITY
CAP	CAPILLARY COLLECTION
CAR	CARBAMAZEPINE
RCB	CARBAMAZEPINE/REFERRED
COH	CARBOXYHEMOGLOBIN
ANT	CARDIOLIPIN IGG & IGM
CTN	CARNITINE URINE
RDW	CARNITINE,FREE & TOTAL
RCC	CAROTENE
CHW	CASHEW IGE ALLERGEN
REZ	CAT SCRATCH FEVER AB
TIX	CAT TIP CULTURE MASTER
RCT	CATECHOLAMINES, PLASMA
RCM	CATECHOLAMINES, URINE
TIP	CATH TIP CULTURE
TIS	CATH TIP SUSCEPTIBILITY
CBC	CBC PANEL
CD4	CD4 (T CELL)
CDB	CD4 AND CD8
CEA	CEA
BCE	CEA, BODY FLUID
CEF	CEFOXITIN
CFT	CEFTRIAXONE
BCD	CELL COUNT, BODY FLUID
CCC	CELL COUNT, CSF
CER	CERULOPLASMIN
N25	CF NEG BIOCHEM
CFC	CF RESPIRATORY CULT
CFG	CF SPUTUM GRAM STAIN
ERC	CHEM 7
CX7	CHEM 7 MASTER
LVK	CHEM PANEL-LVK ONLY
RCJ	CHEMISTRY PROFILE
CSD	CHLAM SPECIES DIFF
CLA	CHLAMYDIA CULTURE
CPB	CHLAMYDIA DNA PROBE
CT	CHLAMYDIA FINAL RESULT
CTO	CHLAMYDIA OCULAR
RA1	CHLAMYDIA SP IGG AB'S
RCH	CHLORAL HYDRATE
CHL	CHLORAMPHENICOL
CL	CHLORIDE
UCL	CHLORIDE URINE
CLR	CHLORIDE URINE RANDOM
REQ	CHLORPROMAZINE
CHO	CHOLESTEROL
BCH	CHOLESTEROL, BODY FLUID
RER	CHOLINEST DIBUCAINE INHIB
RCG	CHOLYGLYCINE
CHR	CHROMIUM
RCX	CHROMIUM, URINE
CHA	CHROMOGRANIN A
AAS	CHROMOSOME AMNIO SCREEN
CBA	CHROMOSOME BLOOD ABBRV
CBS	CHROMOSOME BLOOD SCREEN
CMS	CHROMOSOME MARROW SCREEN
CSA	CHROMOSOME STUDIES AMNIO
CSB	CHROMOSOME STUDIES BLOOD
CSM	CHROMOSOME STUDIES MARROW
CST	CHROMOSOME STUDIES TISSUE
CSH	CHROMOSOME STUDIES TUMOR
CSV	CHROMOSOME STUDIES VILLI
CTA	CHROMOSOME TISSUE ABBRV
CTC	CHROMOSOME TISSUE CONFIRM
CHT	CHYLOMICRONS
RTG	CIMETIDINE
RCI	CIRCULATING IMMUNE COMPLX
CIT	CITRATE, URINE
CCP	CITRULLINE ANTIBODY
CK	CK
CKI	CK ISO ELECTROPHORESIS
CKC	CK TOTAL, REFLEX CKMB
MB	CKMB
MBC	CKMB
TBM	CLARITHROMYCIN SUSCEP
CI	CLINICAL INFORMATION
CLL	CLL BILL CYTOGEN
RB3	CLOMIPRAMINE
KLO	CLONAZEPAM
RCV	CLONIDINE (CATAPRES)
CLO	CLOTEST FOR H. PYLORI
CLZ	CLOZAPINE (CLOZARIL)
BUF	CMV - BUFFY COAT
CMV	CMV CULTURE
CDU	CMV DNA PCR URINE QUAL
CVD	CMV DNA QUANT BY PCR
CMR	CMV FINAL REPORT
JC1	CMV PRELIM 1
CMP	CMV PRELIMINARY REPORT
CH2	CMV,RUBELLA,HERPES(TORCH)
COT	CO-GM1 TRIAD AUTO AB
RTA	CO-RECEPTOR TROPISM ASSAY
CO2	CO2
COB	COBALT
COC	COCAINE METABOLITE SCREEN
ICO	COCAINE METABOLITE UR CON
REX	COCCIDIOMYCOSIS AB,CSF
REW	COCCIDIOMYCOSIS AB,SERUM
CCF	COCCIDIOMYCOSIS CF CSF
MCF	COCOCCIDIOMYCOSIS BY CF
ZZZ	CODE TEST
AGG	COLD AGGLUTININ
CAT	COLD AGGLUTININ TITER
NTX	COLLAGEN N-TELOPEPTIDE,UR
CAH	COLLECT AND HOLD IN LAB
C_M	COLLECTION METHODS
RCK	COLORADO TICK FEVER
AL4	COMP INHALENT PANEL
CME	COMP METABOLIC PANEL
C3	COMPLEMENT - C3
C4	COMPLEMENT - C4
RC7	COMPLEMENT 7
RC8	COMPLEMENT 8
RC9	COMPLEMENT 9
CH5	COMPLEMENT TOTAL (CH50)
RDC	COMPREHENSIVE DRUG ANALY
DSC	COMPREHENSIVE URN DRG SCR
CON	CONCENTRATION BILL ONLY
CFM	CONFIRM DISPATCH LABEL
IHP	CONFIRM HBA/HOB
CPL	COPPER, LIVER TISSUE
COP	COPPER, SERUM
RCQ	COPPER, URINE
COE	COPROPORPHYRINOGEN OX
CGA	CORD BLOOD GASES ARTERIAL
CGV	CORD BLOOD GASES VENOUS
CDH	CORD BLOOD HOLD SPECIMEN
CRD	CORD BLOOD WORKUP
CRN	CORN IGE ALLERGEN
CRT	CORTICOSTERONE
COR	CORTISOL
COG	CORTISOL BINDING GLOB
SCF	CORTISOL FREE SERUM
RCO	CORTISOL, REFERRED
RSC	CORTISOL,SALIVARY
RC1	COUMADIN
RCD	CREATINE, URINE
CRE	CREATININE
CC1	CREATININE CLEAR SERUM
CC	CREATININE CLEARANCE
UCR	CREATININE URINE
RCR	CREATININE URINE RANDOM
BCF	CREATININE, BODY FLUID
PCJ	CREUTZFELDT-JACOB DETCTOR
CRH	CRH STIMULATION TEST
CRG	CRYOGLOBULIN (QUAL)
RCL	CRYOGLOBULINS QUANT
CNF	CRYPTOCOCCAL AG MSTR CSF
CCS	CRYPTOCOCCAL AG SERUM
CCA	CRYPTOCOCCAL ANTIGEN CSF
CCM	CRYPTOCOCCAL ANTIGEN MSTR
CTS	CRYPTOCOCCAL TITER SERUM
CRI	CRYPTOSPOR EXAM,STOOL
CRY	CRYSTAL EXAM, BODY FLUID
CSC	CSF CHEMISTRIES MASTER
CSF	CSF CULTURE
CSX	CSF CULTURE MASTER
CSS	CSF SENSITIVITY
BSA	CULTURE, THROAT ROUTINE
CX3	CX-3 MASTER
CYN	CYANIDE, BLOOD
CYS	CYCLOSPORA EXAM
CYC	CYCLOSPORINE
CFX	CYSTIC FIBROSIS MASTER
RMC	CYSTIC FIBROSIS MOLECULAR
CYT	CYSTICERCOSIS AB, SERUM
RCE	CYSTINE QUANTITATIVE UR
CMB	CYTO/MICRO/UA SPLIT
C02	CYTOLOGY CSF
CMG	CYTOMEGALOVIRUS IGG AB
CTM	CYTOMEGALOVIRUS IGM
DD	D-DIMER
DDD	D-DIMER MASTER
DDS	D-DIMER, SEMIQUANTITATIVE
DLA	D-LACTATE ACID
RDY	D-XYLOSE ABS PEDIATRIC
RAL	DELTA AMNIOLEVULINIC ACID
RDO	DEOXYCORTICOSTERONE
RDE	DESIPRAMINE/REFERRED
DST	DEXAMETHASONE SUPPRESSION
DHE	DHEA SULFATE
DGM	DIALYSIS FLD GRAM STAIN
VLM	DIAZEPAM
VCF	DIGEORGE/VCF FISH
RDG	DIGITOXIN
DIG	DIGOXIN
RDI	DIHYDROTESTOSTERONE
RBW	DILANTIN FREE
RDA	DIPHTHERIA ANTITOXOID AB
DBB	DIRECT BILIRUBIN BABY
DAT	DIRECT COOMBS(DAT)
LDL	DIRECT LDL CHOL
DTI	DIRECT TISSUE IMMUNOFLNCE
DSU	DIURETIC SCREEN, URINE
DQU	DIURETICS PANEL, URINE
DMD	DMD/BMD MALE PROBAND
PRK	DNA EXTRACTION FOR STUDY
DOL	DOLICHOLS, URINE
DON	DONATH LANDSTEINER
RDP	DOXEPIN
DUX	DUCREYI CULTURE MASTR
UDY	DYSMORPHIC RBC SCREEN
ECC	E COLI O157:H7 CULTURE
EAR	EAR CULTURE
EAX	EAR CULTURE MASTR
EAS	EAR SUSCEPTIBILITY
ECG	ECG ORDER
ECW	ECHINOCOCCUS IGG WB
ECE	ECHINOCOCCUS IGG,ELISA
EGP	EGFR BY PCR
EGF	EGFR FISH
EWA	EGG WHITE IGE ALLERGEN
EYA	EGG YOLK IGE ALLERGEN
FLY	ELECTOLYTES, FECAL
ELC	ELECTROLYTE PANEL
DSS	EMERGENCY DEPT DRUG SCRN
EHS	EMPLOYEE HEALTH SCREEN
EAA	ENDOMYSIAL AB IGA
EDT	ENDOMYSIAL AB IGA TITER
ENS	ENTAMOEBA HISTOLYTICA AG
ENT	ENTAMOEBA HISTOLYTICA IGG
ENV	ENTEROVIRUS CULTURE
EPC	ENTEROVIRUS PCR,CSF
ERN	ENTEROVIRUS RNA BY PCR
EOS	EOS ABSOLUTE COUNT
EOM	EOSINOPHIL SMEAR,MISC.
UEO	EOSINOPHIL SMEAR,URINE
REB	EPSTEIN BARR AB PANEL
ERY	ERYTHROPOIETIN
REP	ERYTHROPOIETIN
GFR	EST GLOMERULAR FILTRATION
EST	ESTRADIOL
REU	ESTRIOL UNCONJUGATED
ESR	ESTROGEN TOTAL URINARY
EPR	ESTROGEN-PROGESTERONE REC
EFS	ESTROGENS FRACT SERUM
ETS	ESTROGENS, TOTAL
REF	ESTROGENS-FRACTIONATED
RA9	ESTRONE
RET	ETHANOL GEL TEST
IAL	ETHANOL URINE CONFIRM
ALU	ETHANOL, URINE
ZAR	ETHOSUXIMIDE
RDV	ETHYLENE GLYCOL
REG	EUGLOBULIN CLOT LYSIS TIM
XDF	EXTENDED DIFF
XBF	EXTRA BODY FLUID SPECIMEN
XGY	EXTRA CHEM GRAY TUBE
XGR	EXTRA CHEM GREEN SEP TUBE
XRD	EXTRA CHEM RD10 TUBE
XSS	EXTRA CHEM SS5 TUBE
XBL	EXTRA COAG BLUE TUBE
XSF	EXTRA CSF SPECIMEN
XLV	EXTRA HEME LAV TUBE
XSP	EXTRA SPUTUM SPECIMEN
XST	EXTRA STOOL SPECIMEN
XUR	EXTRA URINE SPECIMEN
XBC	EXTRA WHOLE BLOOD CHEM
XCB	EXTRA WHOLE BLOOD CHEM
EYE	EYE CULTURE
EYX	EYE CULTURE MASTER
EYS	EYE CULTURE SUSCEPTIBILIY
EYG	EYE GRAM STAIN
F8P	FACTOR 8 VON W PANEL
FBC	FACTOR B COMPLEMENT
F2A	FACTOR II ACTIVITY
FIX	FACTOR IX ACTIVITY
F9I	FACTOR IX COAG INHIB
F5A	FACTOR V ACTIVITY
F5M	FACTOR V MUTATION ASSAY
F7A	FACTOR VII ACTIVITY
FAC	FACTOR VIII ACTIVITY ONLY
F8A	FACTOR VIII ANTIGEN ONLY
F8I	FACTOR VIII COAG INHIB
FXA	FACTOR X ACTIVITY
FXI	FACTOR XI ACTIVITY
FX2	FACTOR XII ACTIVITY
FX3	FACTOR XIII ACTIVITY
FLD	FARMERS LUNG DISEASE
FBM	FASTING BASIC METABOLIC
FCM	FASTING COMP METABOLIC
FRF	FASTING RENAL FUNCTION
RFF	FECAL FAT QUANTITATIVE
FQL	FECAL FAT, QUALITATIVE
SWB	FECAL WBC
MWB	FECAL WBC -- RLB REFLEX
FLB	FELBAMATE
FEN	FENTANYL SCREEN
FER	FERRITIN
FFN	FETAL FIBRONECTIN
FSC	FETAL-MATERNAL SCREEN
FIB	FIBRINOGEN
JE	FINAL
FTS	FIRST TRIMESTER SCREEN
FIS	FISH
IFS	FISH SINGLE DNA BILL ONLY
HR2	FISH,HER2/NEU RFLX IHC
FK5	FK506 (TACROLIMUS)
RFL	FLECAINIDE
RAQ	FLUORIDE SERUM
RAW	FLUORIDE URINE
C09	FNA PALP MASS
C11	FNA THYROID
FRC	FOLATE RBC
FOL	FOLATE(ONLY FOLATE ORDER)
FSH	FOLICLE STIMULATION HORMO
FRM	FORM FOR BLOOD BANK
RFP	FREE ERYTHRO PROTOPORPHYN
T4F	FREE T4
FT4	FREE T4 BY DIALYSIS (REF)
FRU	FRUCTOSAMINE
FTR	FTA
FTA	FTA (HEARING LOSS)
FNA	FUNGUS BILL #1
FNJ	FUNGUS BILL #10
FNK	FUNGUS BILL #11
FNB	FUNGUS BILL #2
FNC	FUNGUS BILL #3
FND	FUNGUS BILL #4
FNE	FUNGUS BILL #5
FNF	FUNGUS BILL #6
FNG	FUNGUS BILL #7
FNH	FUNGUS BILL #8
FNI	FUNGUS BILL #9
FUN	FUNGUS CULTURE
FII	FUNGUS ISOLATE ID OHSU
FOS	FUNGUS ISOLATE SMEAR
FUS	FUNGUS SMEAR
BFN	FUNGUS SOURCE 3
HNS	FUNGUS SOURCE BILL 1
OFN	FUNGUS SOURCE BILL 2
RG6	G6PD
GAD	GAD-65 AUTOANTIBODIES
GGT	GAMMA GT
RB1	GANGLIOSIDE AB PANEL
RGA	GASTRIN
GCA	GC AMPLIFIED TEST
GC	GC CULTURE
GCX	GC CULTURE MASTER
NJ	GC/CHLAM PROBES
CPR	GC/CHLAMYDIA DNA PROBES
GCM	GC/GENITAL MASTER
RGM	GEMONIL (METHARBITAL)
P71	GEN YST
SSO	GENERIC STAT SEND-OUT
DFA	GENERIC VIRAL AG ID, DFA
GRW	GENETIC REFERRAL WORKLOAD
GEN	GENITAL CULTURE
GEX	GENITAL CULTURE MASTER
CGH	GENOMIC ARRAY ANALYSIS
GEP	GENTAMICIN PEAK
GER	GENTAMICIN RANDOM
GET	GENTAMICIN TROUGH
OP	GIARDIA SCREEN
RGL	GLIADIN ANTIBODY IGA
GAG	GLIADIN ANTIBODY IGG
RDB	GLOMERULAR BSMT MEM AB
RGC	GLUCAGON
G1P	GLUCOSE 1HR PRENATAL SCR
TT2	GLUCOSE 3H PRENATAL TOL
G2B	GLUCOSE ABBREV 2H
GAT	GLUCOSE ADDITIONAL TIMED
UGQ	GLUCOSE QUANTITATIVE UR
BGL	GLUCOSE, BODY FLUID
CGL	GLUCOSE, CSF
FBS	GLUCOSE, FASTING
GLU	GLUCOSE, NONFASTING
UGL	GLUCOSE,TEST STRIP URINE
GLY	GLYCOSYLATED HEMOGLOBIN
GPR	GONOCOCCUS DNA PROBE
N01	GRAM NEG ID #1
N10	GRAM NEG ID #10
N11	GRAM NEG ID #11
N12	GRAM NEG ID #12
N13	GRAM NEG ID #13
N14	GRAM NEG ID #14
N15	GRAM NEG ID #15
N16	GRAM NEG ID #16
N17	GRAM NEG ID #17
N19	GRAM NEG ID #19
N20	GRAM NEG ID #20
N21	GRAM NEG ID #21
N22	GRAM NEG ID #22
N23	GRAM NEG ID #23
N24	GRAM NEG ID #24
N05	GRAM NEG ID #5
NO5	GRAM NEG ID #5
N06	GRAM NEG ID #6
N07	GRAM NEG ID #7
N08	GRAM NEG ID #8
N09	GRAM NEG ID #9
N03	GRAM NEG ID#3
N04	GRAM NEG ID#4
N32	GRAM NEG REFLEX ID #32
N33	GRAM NEG REFLEX ID #33
N34	GRAM NEG REFLEX ID #34
N35	GRAM NEG REFLEX ID #35
N36	GRAM NEG REFLEX ID #36
N37	GRAM NEG REFLEX ID #37
N38	GRAM NEG REFLEX ID #38
N39	GRAM NEG REFLEX ID #39
N40	GRAM NEG REFLEX ID #40
N41	GRAM NEG REFLEX ID #41
N42	GRAM NEG REFLEX ID #42
N43	GRAM NEG REFLEX ID #43
N44	GRAM NEG REFLEX ID #44
N45	GRAM NEG REFLEX ID #45
N46	GRAM NEG REFLEX ID #46
N47	GRAM NEG REFLEX ID #47
N48	GRAM NEG REFLEX ID #48
N49	GRAM NEG REFLEX ID #49
N50	GRAM NEG REFLEX ID #50
N51	GRAM NEG REFLEX ID #51
N52	GRAM NEG REFLEX ID #52
N53	GRAM NEG REFLEX ID #53
N54	GRAM NEG REFLEX ID #54
N55	GRAM NEG REFLEX ID #55
N56	GRAM NEG REFLEX ID #56
N57	GRAM NEG REFLEX ID #57
N59	GRAM NEG REFLEX ID #59
N31	GRAM NEG REFLEX ID#31
P09	GRAM POS ID # 9
P01	GRAM POS ID #1
P10	GRAM POS ID #10
P11	GRAM POS ID #11
P12	GRAM POS ID #12
P02	GRAM POS ID #2
P03	GRAM POS ID #3
P04	GRAM POS ID #4
P42	GRAM POS ID #42
P05	GRAM POS ID #5
P07	GRAM POS ID #7
P08	GRAM POS ID #8
P41	GRAM POS REFLEX ID #41
P43	GRAM POS REFLEX ID #43
P44	GRAM POS REFLEX ID #44
P45	GRAM POS REFLEX ID #45
P46	GRAM POS REFLEX ID #46
P47	GRAM POS REFLEX ID #47
P48	GRAM POS REFLEX ID #48
P49	GRAM POS REFLEX ID #49
P50	GRAM POS REFLEX ID #50
P51	GRAM POS REFLEX ID #51
P52	GRAM POS REFLEX ID #52
P53	GRAM POS REFLEX ID #53
P54	GRAM POS REFLEX ID #54
P56	GRAM POS REFLEX ID #56
P58	GRAM POS REFLEX ID #58
P59	GRAM POS REFLEX ID #59
P60	GRAM POS REFLEX ID #60
P70	GRAM POS REFLEX ID #60
P61	GRAM POS REFLEX ID #61
P62	GRAM POS REFLEX ID #62
P63	GRAM POS REFLEX ID #63
P64	GRAM POS REFLEX ID #64
P65	GRAM POS REFLEX ID #65
P66	GRAM POS REFLEX ID #66
P67	GRAM POS REFLEX ID #67
P68	GRAM POS REFLEX ID #68
P69	GRAM POS REFLEX ID #69
CSG	GRAM STAIN CSF
GS	GRAM STAIN ONLY
GSR	GRAM STAIN ONLY REVIEW
CSR	GRAM STAIN REVIEW CSF
