"icd","ccs","ccsdesc","icddesc","icdvers"
"0069","227","Oth diag procs","INTRAVS MSMT VES NEC/NOS (Begin 2008)","ICD-9-CM"
"0070","153","Hip replace","REV HIP REPL-ACETAB/FEM (Begin 2005)","ICD-9-CM"
"0071","153","Hip replace","REV HIP REPL-ACETAB COMP (Begin 2005)","ICD-9-CM"
"0072","153","Hip replace","REV HIP REPL-FEM COMP (Begin 2005)","ICD-9-CM"
"0073","153","Hip replace","REV HIP REPL-LINER/HEAD (Begin 2005)","ICD-9-CM"
"0074","153","Hip replace","HIP REPL SURF-METAL/POLY (Begin 2005)","ICD-9-CM"
"0075","153","Hip replace","HIP REP SURF-METAL/METAL (Begin 2005)","ICD-9-CM"
"0076","153","Hip replace","HIP REP SURF-CERMC/CERMC (Begin 2005)","ICD-9-CM"
"0077","153","Hip replace","HIP REPL SURF-CERMC/POLY (Begin 2006)","ICD-9-CM"
"0080","152","Arthropl kne","REV KNEE REPLACEMT-TOTAL (Begin 2005)","ICD-9-CM"
"0081","152","Arthropl kne","REV KNEE REPL-TIBIA COMP (Begin 2005)","ICD-9-CM"
"0082","152","Arthropl kne","REV KNEE REPL-FEMUR COMP (Begin 2005)","ICD-9-CM"
"0083","152","Arthropl kne","REV KNEE REPLACE-PATELLA (Begin 2005)","ICD-9-CM"
"0084","152","Arthropl kne","REV KNEE REPL-TIBIA LIN (Begin 2005)","ICD-9-CM"
"0085","153","Hip replace","RESRF HIP","ICD-9-CM"
"0086","153","Hip replace","RESRF HIP","ICD-9-CM"
"0087","153","Hip replace","RESRF HIP","ICD-9-CM"
"0091","231","Ot Rx procs","TRNSPLNT LIVE REL DONOR (Begin 2004)","ICD-9-CM"
"0092","231","Ot Rx procs","TRNSPLNT LIVE NONREL DON (Begin 2004)","ICD-9-CM"
"0093","231","Ot Rx procs","TRANSPLANT CADAVER DONOR (Begin 2004)","ICD-9-CM"
"0094","231","Ot Rx procs","INTRA-OP NEUROPHYS MONTR (Begin 2007)","ICD-9-CM"
"0095","231","Ot Rx procs","Injct/infus glucarpidase (Begin 2012)","ICD-9-CM"
"0096","231","Ot Rx procs","Infusion 4F-PCC (Begin 2013)","ICD-9-CM"
"0101","1","Inc/exc CNS","CISTERNAL PUNCTURE","ICD-9-CM"
"0102","8","Ot nOR nerv","VENTRICL SHUNT TUBE PUNC","ICD-9-CM"
"0109","1","Inc/exc CNS","CRANIAL PUNCTURE NEC","ICD-9-CM"
"0110","231","Ot Rx procs","INTRACRAN PRESSURE MONTR (Begin 2007)","ICD-9-CM"
"0111","7","Ot Dx nerv","CLOS CEREB MENINGES BX","ICD-9-CM"
"0112","7","Ot Dx nerv","OPEN CEREB MENINGES BX","ICD-9-CM"
"0113","7","Ot Dx nerv","CLOSED BRAIN BIOPSY","ICD-9-CM"
"0114","7","Ot Dx nerv","OPEN BRAIN BIOPSY","ICD-9-CM"
"0115","7","Ot Dx nerv","SKULL BIOPSY","ICD-9-CM"
"0116","231","Ot Rx procs","INTRACRANIAL 02 MONITOR (Begin 2007)","ICD-9-CM"
"0117","231","Ot Rx procs","BRAIN TEMP MONITORING (Begin 2007)","ICD-9-CM"
"0118","7","Ot Dx nerv","OTHER BRAIN DX PROCEDURE","ICD-9-CM"
"0119","7","Ot Dx nerv","OTHER SKULL DX PROCEDURE","ICD-9-CM"
"0120","9","Ot OR nerv","Imp/repl brain pulse gen (Begin 2010)","ICD-9-CM"
"0121","1","Inc/exc CNS","CRANIAL SINUS I & D","ICD-9-CM"
"0122","1","Inc/exc CNS","REMOV INTRACRAN STIMULAT","ICD-9-CM"
"0123","1","Inc/exc CNS","REOPEN CRANIOTOMY SITE","ICD-9-CM"
"0124","1","Inc/exc CNS","OTHER CRANIOTOMY","ICD-9-CM"
"0125","1","Inc/exc CNS","OTHER CRANIECTOMY","ICD-9-CM"
"0126","1","Incision and","INS CATH-CRANIAL CAVITY (Begin 2005)","ICD-9-CM"
"0127","1","Incision and","REM CATH-CRANIAL CAVITY (Begin 2005)","ICD-9-CM"
"0128","1","Inc/exc CNS","INTRACEREB CTH-BURR HOLE (Begin 2006)","ICD-9-CM"
"0129","9","Ot OR nerv","Rem brain pulse generatr (Begin 2010)","ICD-9-CM"
"0131","1","Inc/exc CNS","INCISE CEREBRAL MENINGES","ICD-9-CM"
"0132","1","Inc/exc CNS","LOBOTOMY & TRACTOTOMY","ICD-9-CM"
"0139","1","Inc/exc CNS","OTHER BRAIN INCISION","ICD-9-CM"
"0141","1","Inc/exc CNS","THALAMUS OPERATIONS","ICD-9-CM"
"0142","1","Inc/exc CNS","GLOBUS PALLIDUS OPS","ICD-9-CM"
"0151","1","Inc/exc CNS","EX CEREB MENINGEAL LES","ICD-9-CM"
"0152","1","Inc/exc CNS","HEMISPHERECTOMY","ICD-9-CM"
"0153","1","Inc/exc CNS","BRAIN LOBECTOMY","ICD-9-CM"
"0159","1","Inc/exc CNS","OTHER BRAIN EXCISION","ICD-9-CM"
"016","9","Ot OR nerv","EXCISE SKULL LESION","ICD-9-CM"
"0201","9","Ot OR nerv","LINEAR CRANIECTOMY","ICD-9-CM"
"0202","9","Ot OR nerv","ELEVATE SKULL FX FRAGMNT","ICD-9-CM"
"0203","9","Ot OR nerv","SKULL FLAP FORMATION","ICD-9-CM"
"0204","9","Ot OR nerv","BONE GRAFT TO SKULL","ICD-9-CM"
"0205","9","Ot OR nerv","SKULL PLATE INSERTION","ICD-9-CM"
"0206","9","Ot OR nerv","CRANIAL OSTEOPLASTY NEC","ICD-9-CM"
"0207","9","Ot OR nerv","SKULL PLATE REMOVAL","ICD-9-CM"
"0211","9","Ot OR nerv","SIMPLE SUTURE OF DURA","ICD-9-CM"
"0212","9","Ot OR nerv","BRAIN MENINGE REPAIR NEC","ICD-9-CM"
"0213","9","Ot OR nerv","MENINGE VESSEL LIGATION","ICD-9-CM"
"0214","9","Ot OR nerv","CHOROID PLEXECTOMY","ICD-9-CM"
"022","9","Ot OR nerv","VENTRICULOSTOMY (end 2011)","ICD-9-CM"
"0221","9","Ot OR nerv","Insert/replace EVD (Begin 2011)","ICD-9-CM"
"0222","9","Ot OR nerv","Intrcran vent shunt/anas (Begin 2011)","ICD-9-CM"
"0231","2","Extcrn shunt","VENTRICL SHUNT-HEAD/NECK","ICD-9-CM"
"0232","2","Extcrn shunt","VENTRI SHUNT-CIRCULA SYS","ICD-9-CM"
"0233","2","Extcrn shunt","VENTRICL SHUNT-THORAX","ICD-9-CM"
"0234","2","Extcrn shunt","VENTRICL SHUNT-ABDOMEN","ICD-9-CM"
"0235","2","Extcrn shunt","VENTRI SHUNT-UNINARY SYS","ICD-9-CM"
"0239","2","Extcrn shunt","OTHER VENTRICULAR SHUNT","ICD-9-CM"
"0241","8","Ot nOR nerv","IRRIGATE VENTRICLE SHUNT","ICD-9-CM"
"0242","2","Extcrn shunt","REPLACE VENTRICLE SHUNT","ICD-9-CM"
"0243","2","Extcrn shunt","REMOVE VENTRICLE SHUNT","ICD-9-CM"
"0291","9","Ot OR nerv","LYSIS CORTICAL ADHESION","ICD-9-CM"
"0292","9","Ot OR nerv","BRAIN REPAIR","ICD-9-CM"
"0293","9","Ot OR nerv","IMPLANT BRAIN STIMULATOR","ICD-9-CM"
"0294","9","Ot OR nerv","INSERT/REPLAC SKULL TONG","ICD-9-CM"
"0295","8","Ot nOR nerv","REMOVE SKULL TONGS","ICD-9-CM"
"0296","9","Ot OR nerv","INSERT SPHENOIDAL ELECTD (Begin 1992)","ICD-9-CM"
"0299","9","Ot OR nerv","SKULL & BRAIN OP NEC","ICD-9-CM"
"0301","9","Ot OR nerv","REMOVAL FB SPINAL CANAL","ICD-9-CM"
"0302","3","Laminectomy","REOPEN LAMINECTOMY SITE","ICD-9-CM"
"0309","3","Laminectomy","SPINAL CANAL EXPLOR NEC","ICD-9-CM"
"031","9","Ot OR nerv","INTRASPIN NERVE ROOT DIV","ICD-9-CM"
"0321","8","Ot nOR nerv","PERCUTANEOUS CHORDOTOMY","ICD-9-CM"
"0329","9","Ot OR nerv","OTHER CHORDOTOMY","ICD-9-CM"
"0331","4","Dx spinaltap","SPINAL TAP","ICD-9-CM"
"0332","7","Ot Dx nerv","SPINAL CORD/MENINGES BX","ICD-9-CM"
"0339","7","Ot Dx nerv","OTHER SPINAL DX PROC","ICD-9-CM"
"034","9","Ot OR nerv","EXCIS SPINAL CORD LESION","ICD-9-CM"
"0351","9","Ot OR nerv","SPINE MENINGOCELE REPAIR","ICD-9-CM"
"0352","9","Ot OR nerv","MYELOMENINGOCEL REPAIR","ICD-9-CM"
"0353","9","Ot OR nerv","VERTEBRAL FX REPAIR","ICD-9-CM"
"0359","9","Ot OR nerv","SPINAL STRUCT REPAIR NEC","ICD-9-CM"
"036","9","Ot OR nerv","SPINAL CORD ADHESIOLYSIS","ICD-9-CM"
"0371","9","Ot OR nerv","SUBARACH-PERITON SHUNT","ICD-9-CM"
"0372","9","Ot OR nerv","SUBARACH-URETERAL SHUNT","ICD-9-CM"
"0379","9","Ot OR nerv","OTH SPINAL THECAL SHUNT","ICD-9-CM"
"038","5","Inject spine","DESTR INJECT-SPINE CANAL","ICD-9-CM"
"0390","5","Inject spine","INSERT SPINAL CANAL CATH (Begin 1987)","ICD-9-CM"
"0391","5","Inject spine","ANESTH INJECT-SPIN CANAL","ICD-9-CM"
"0392","5","Inject spine","SPINAL CANAL INJECT NEC","ICD-9-CM"
"0393","5","Inject spine","INSERT SPINAL STIMULATOR","ICD-9-CM"
"0394","5","Inject spine","REMOVE SPINAL STIMULATOR","ICD-9-CM"
"0395","8","Ot nOR nerv","SPINAL PATCH","ICD-9-CM"
"0396","8","Ot nOR nerv","PERCUTAN FACET DENERVAT","ICD-9-CM"
"0397","9","Ot OR nerv","REVISE SPINE THECA SHUNT","ICD-9-CM"
"0398","9","Ot OR nerv","REMOVE SPINE THECA SHUNT","ICD-9-CM"
"0399","9","Ot OR nerv","SPINE CANAL STRUC OP NEC","ICD-9-CM"
"0401","9","Ot OR nerv","ACOUSTIC NEUROTOMY","ICD-9-CM"
"0402","9","Ot OR nerv","TRIGEMINAL NERV DIVISION","ICD-9-CM"
"0403","9","Ot OR nerv","PERIPH NERVE DIV NEC","ICD-9-CM"
"0404","9","Ot OR nerv","PERIPH NERVE INCIS NEC","ICD-9-CM"
"0405","9","Ot OR nerv","GASSERIAN GANGLIONECTOMY","ICD-9-CM"
"0406","9","Ot OR nerv","PERIPH GANGLIONECT NEC","ICD-9-CM"
"0407","9","Ot OR nerv","PERIPH NERV EXCISION NEC","ICD-9-CM"
"0411","7","Ot Dx nerv","CLOS PERIPH NERVE BIOPSY","ICD-9-CM"
"0412","7","Ot Dx nerv","OPEN PERIPH NERVE BIOPSY","ICD-9-CM"
"0419","7","Ot Dx nerv","PERIPH NERVE DX PROC NEC","ICD-9-CM"
"042","9","Ot OR nerv","PERIPH NERVE DESTRUCTION","ICD-9-CM"
"043","9","Ot OR nerv","PERIPHERAL NERVE SUTURE","ICD-9-CM"
"0441","9","Ot OR nerv","DECOMPRESS TRIGEM ROOT","ICD-9-CM"
"0442","9","Ot OR nerv","CRAN NERV ROOT DECOM NEC","ICD-9-CM"
"0443","6","Decomp nerve","CARPAL TUNNEL RELEASE","ICD-9-CM"
"0444","6","Decomp nerve","TARSAL TUNNEL RELEASE","ICD-9-CM"
"0449","6","Decomp nerve","PER NERVE ADHESIOLYS NEC","ICD-9-CM"
"045","9","Ot OR nerv","PERIPHERAL NERVE GRAFT","ICD-9-CM"
"046","9","Ot OR nerv","PERIPH NERVE TRANSPOSIT","ICD-9-CM"
"0471","9","Ot OR nerv","HYPOGLOSS-FACIAL ANASTOM","ICD-9-CM"
"0472","9","Ot OR nerv","ACCESSORY-FACIAL ANASTOM","ICD-9-CM"
"0473","9","Ot OR nerv","ACCESS-HYPOGLOSS ANASTOM","ICD-9-CM"
"0474","9","Ot OR nerv","PERIPH NERV ANASTOM NEC","ICD-9-CM"
"0475","9","Ot OR nerv","POSTOP REVIS PER NERV OP","ICD-9-CM"
"0476","9","Ot OR nerv","LATE REPAIR PER NERV INJ","ICD-9-CM"
"0479","9","Ot OR nerv","OTHER NEUROPLASTY","ICD-9-CM"
"0480","8","Ot nOR nerv","PERIPH NERVE INJECT NOS","ICD-9-CM"
"0481","8","Ot nOR nerv","ANESTH INJEC PERIPH NERV","ICD-9-CM"
"0489","8","Ot nOR nerv","PERIPH NERVE INJECT NEC","ICD-9-CM"
"0491","9","Ot OR nerv","NEURECTASIS","ICD-9-CM"
"0492","9","Ot OR nerv","IMPLANT PERIPH STIMULAT","ICD-9-CM"
"0493","9","Ot OR nerv","REMOVE PERIPH STIMULATOR","ICD-9-CM"
"0499","9","Ot OR nerv","PERIPHERAL NERVE OPS NEC","ICD-9-CM"
"050","9","Ot OR nerv","SYMPATH NERVE DIVISION","ICD-9-CM"
"0511","7","Ot Dx nerv","SYMPATHETIC NERVE BIOPSY","ICD-9-CM"
"0519","7","Ot Dx nerv","SYMPATH NRV DX PROC NEC","ICD-9-CM"
"0521","9","Ot OR nerv","SPHENOPALATIN GANGLIONEC","ICD-9-CM"
"0522","9","Ot OR nerv","CERVICAL SYMPATHECTOMY","ICD-9-CM"
"0523","9","Ot OR nerv","LUMBAR SYMPATHECTOMY","ICD-9-CM"
"0524","9","Ot OR nerv","PRESACRAL SYMPATHECTOMY","ICD-9-CM"
"0525","9","Ot OR nerv","PERIART SYMPATHECT (Begin 1995)","ICD-9-CM"
"0529","9","Ot OR nerv","OTHER SYMPATHECTOMY","ICD-9-CM"
"0531","8","Ot nOR nerv","ANESTH INJECT SYMP NERVE","ICD-9-CM"
"0532","8","Ot nOR nerv","NEUROLYT INJEC-SYMP NRV","ICD-9-CM"
"0539","8","Ot nOR nerv","SYMPATH NERVE INJECT NEC","ICD-9-CM"
"0581","9","Ot OR nerv","SYMPATHETIC NERVE REPAIR","ICD-9-CM"
"0589","9","Ot OR nerv","SYMPATHETIC NERVE OP NEC","ICD-9-CM"
"059","9","Ot OR nerv","OTHER NERVOUS SYSTEM OPS","ICD-9-CM"
"0601","12","Ot Rx endoc","THYROID FIELD ASPIRATION","ICD-9-CM"
"0602","12","Ot Rx endoc","REOPEN THYROID FIELD WND","ICD-9-CM"
"0609","12","Ot Rx endoc","INCIS THYROID FIELD NEC","ICD-9-CM"
"0611","11","Dx endocr","CLOSED THYROID GLAND BX","ICD-9-CM"
"0612","11","Dx endocr","OPEN THYROID GLAND BX","ICD-9-CM"
"0613","11","Dx endocr","PARATHYROID BIOPSY","ICD-9-CM"
"0619","11","Dx endocr","THYR/PARATHY DX PROC NEC","ICD-9-CM"
"062","10","Thyroidect","UNILAT THYROID LOBECTOMY","ICD-9-CM"
"0631","10","Thyroidect","EXCISION THYROID LESION","ICD-9-CM"
"0639","10","Thyroidect","PART THYROIDECTOMY NEC","ICD-9-CM"
"064","10","Thyroidect","COMPLETE THYROIDECTOMY","ICD-9-CM"
"0650","10","Thyroidect","SUBSTERN THYROIDECT NOS","ICD-9-CM"
"0651","10","Thyroidect","PART SUBSTERN THYROIDECT","ICD-9-CM"
"0652","10","Thyroidect","TOT SUBSTERN THYROIDECT","ICD-9-CM"
"066","10","Thyroidect","LINGUAL THYROID EXCISION","ICD-9-CM"
"067","12","Ot Rx endoc","THYROGLOSS DUCT EXCISION","ICD-9-CM"
"0681","12","Ot Rx endoc","TOTAL PARATHYROIDECTOMY","ICD-9-CM"
"0689","12","Ot Rx endoc","OTHER PARATHYROIDECTOMY","ICD-9-CM"
"0691","12","Ot Rx endoc","THYROID ISTHMUS DIVISION","ICD-9-CM"
"0692","12","Ot Rx endoc","THYROID VESSEL LIGATION","ICD-9-CM"
"0693","12","Ot Rx endoc","THYROID SUTURE","ICD-9-CM"
"0694","12","Ot Rx endoc","THYROID REIMPLANTATION","ICD-9-CM"
"0695","12","Ot Rx endoc","PARATHYROID REIMPLANT","ICD-9-CM"
"0698","12","Ot Rx endoc","OTHER THYROID OPERATIONS","ICD-9-CM"
"0699","12","Ot Rx endoc","OTHER PARATHYROID OPS","ICD-9-CM"
"0700","11","Dx endocr","ADRENAL EXPLORATION NOS","ICD-9-CM"
"0701","11","Dx endocr","UNILAT ADRENAL EXPLORAT","ICD-9-CM"
"0702","11","Dx endocr","BILAT ADRENAL EXPLORAT","ICD-9-CM"
"0711","11","Dx endocr","CLOSED ADRENAL GLAND BX","ICD-9-CM"
"0712","11","Dx endocr","OPEN ADRENAL GLAND BX","ICD-9-CM"
"0713","11","Dx endocr","TRANSFRONT PITUITARY BX","ICD-9-CM"
"0714","11","Dx endocr","TRANSPHEN PITUITARY BX","ICD-9-CM"
"0715","11","Dx endocr","PITUITARY BIOPSY NOS","ICD-9-CM"
"0716","11","Dx endocr","THYMUS BIOPSY","ICD-9-CM"
"0717","11","Dx endocr","PINEAL BIOPSY","ICD-9-CM"
"0719","11","Dx endocr","ENDOCRINE DX PROC NEC","ICD-9-CM"
"0721","12","Ot Rx endoc","ADRENAL LESION EXCISION","ICD-9-CM"
"0722","12","Ot Rx endoc","UNILATERAL ADRENALECTOMY","ICD-9-CM"
"0729","12","Ot Rx endoc","PART ADRENALECTOMY NEC","ICD-9-CM"
"073","12","Ot Rx endoc","BILATERAL ADRENALECTOMY","ICD-9-CM"
"0741","12","Ot Rx endoc","ADRENAL INCISION","ICD-9-CM"
"0742","12","Ot Rx endoc","ADRENAL NERVE DIVISION","ICD-9-CM"
"0743","12","Ot Rx endoc","ADRENAL VESSEL LIGATION","ICD-9-CM"
"0744","12","Ot Rx endoc","ADRENAL REPAIR","ICD-9-CM"
"0745","12","Ot Rx endoc","ADRENAL REIMPLANTATION","ICD-9-CM"
"0749","12","Ot Rx endoc","ADRENAL OPERATION NEC","ICD-9-CM"
"0751","11","Dx endocr","PINEAL FIELD EXPLORATION","ICD-9-CM"
"0752","12","Ot Rx endoc","PINEAL GLAND INCISION","ICD-9-CM"
"0753","12","Ot Rx endoc","PARTIAL PINEALECTOMY","ICD-9-CM"
"0754","12","Ot Rx endoc","TOTAL PINEALECTOMY","ICD-9-CM"
"0759","12","Ot Rx endoc","PINEAL OPERATION NEC","ICD-9-CM"
"0761","12","Ot Rx endoc","EXC PITUIT LES-TRANSFRON","ICD-9-CM"
"0762","12","Ot Rx endoc","EXC PITUIT LES-TRANSPHEN","ICD-9-CM"
"0763","12","Ot Rx endoc","PART EXCIS PITUITARY NOS","ICD-9-CM"
"0764","12","Ot Rx endoc","TOT EXC PITUIT-TRANSFRON","ICD-9-CM"
"0765","12","Ot Rx endoc","TOT EXC PITUIT-TRANSPHEN","ICD-9-CM"
"0768","12","Ot Rx endoc","TOTAL EXC PITUITARY NEC","ICD-9-CM"
"0769","12","Ot Rx endoc","TOTAL EXC PITUITARY NOS","ICD-9-CM"
"0771","11","Dx endocr","PITUITARY FOSSA EXPLORAT","ICD-9-CM"
"0772","12","Ot Rx endoc","PITUITARY GLAND INCISION","ICD-9-CM"
"0779","12","Ot Rx endoc","PITUITARY OPERATION NEC","ICD-9-CM"
"0780","12","Ot Rx endoc","THYMECTOMY NOS","ICD-9-CM"
"0781","12","Ot Rx endoc","PART EXCISION OF THYMUS","ICD-9-CM"
"0782","12","Ot Rx endoc","TOTAL EXCISION OF THYMUS","ICD-9-CM"
"0783","12","Ot Rx endoc","THORAC PART EXISN THYMUS (Begin 2007)","ICD-9-CM"
"0784","12","Ot Rx endoc","THORAC TOTAL EXC THYMUS (Begin 2007)","ICD-9-CM"
"0791","11","Dx endocr","THYMUS FIELD EXPLORATION","ICD-9-CM"
"0792","12","Ot Rx endoc","INCISION OF THYMUS","ICD-9-CM"
"0793","12","Ot Rx endoc","REPAIR OF THYMUS","ICD-9-CM"
"0794","12","Ot Rx endoc","THYMUS TRANSPLANTATION","ICD-9-CM"
"0795","12","Ot Rx endoc","THORAC INCISION THYMUS (Begin 2007)","ICD-9-CM"
"0798","12","Ot Rx endoc","OTH THORAC OP THYMUS NOS (Begin 2007)","ICD-9-CM"
"0799","12","Ot Rx endoc","THYMUS OPERATION NEC","ICD-9-CM"
"0801","19","Ot Rx eye","INCISION OF LID MARGIN","ICD-9-CM"
"0802","19","Ot Rx eye","BLEPHARORRHAPHY SEVERING","ICD-9-CM"
"0809","19","Ot Rx eye","OTHER EYELID INCISION","ICD-9-CM"
"0811","18","Dx eye","EYELID BIOPSY","ICD-9-CM"
"0819","18","Dx eye","EYELID DX PROCEDURE NEC","ICD-9-CM"
"0820","19","Ot Rx eye","REMOVE EYELID LESION NOS","ICD-9-CM"
"0821","19","Ot Rx eye","CHALAZION EXCISION","ICD-9-CM"
"0822","19","Ot Rx eye","EXCISE MINOR LES LID NEC","ICD-9-CM"
"0823","19","Ot Rx eye","EXC MAJ LES LID PRT-THIC","ICD-9-CM"
"0824","19","Ot Rx eye","EXC MAJ LES LID FUL-THIC","ICD-9-CM"
"0825","19","Ot Rx eye","DESTRUCTION LID LESION","ICD-9-CM"
"0831","19","Ot Rx eye","PTOSIS REP-FRONT MUS SUT","ICD-9-CM"
"0832","19","Ot Rx eye","PTOSIS REP-FRON MUS SLNG","ICD-9-CM"
"0833","19","Ot Rx eye","PTOSIS REP-LEVAT MUS ADV","ICD-9-CM"
"0834","19","Ot Rx eye","PTOSIS REP-LEVAT MUS NEC","ICD-9-CM"
"0835","19","Ot Rx eye","PTOS REP-TARSAL TECHNIQ","ICD-9-CM"
"0836","19","Ot Rx eye","BLEPHAROPTOS REPAIR NEC","ICD-9-CM"
"0837","19","Ot Rx eye","REDUC OVERCORRECT PTOSIS","ICD-9-CM"
"0838","19","Ot Rx eye","CORRECT LID RETRACTION","ICD-9-CM"
"0841","19","Ot Rx eye","THERMOCAUT/ENTROPION REP","ICD-9-CM"
"0842","19","Ot Rx eye","SUTURE ENTROPION REPAIR","ICD-9-CM"
